代號,名稱,Date,現價,上週估買(張),這週估買(張),淨增進貨(張),增長倍數,5D股價漲跌,狀態
00722B.TWO,群益投資級電信債,20260514,35.74,73,492,419,6.7x,-0.14%,★ 壓低偷買
4157.TWO,太景*-KY,20260514,9.24,-146,268,415,-1.8x,-4.94%,★ 壓低偷買
6156.TWO,松上,20260514,19.3,-394,16,411,-0.0x,-1.53%,★ 壓低偷買
8070.TW,長華*,20260514,45.6,-386,15,402,-0.0x,-5.88%,★ 壓低偷買
00700.TW,富邦�琤肭磪�,20260514,17.9,-88,297,386,-3.3x,0.39%,★ 壓低偷買
3518.TW,柏騰,20260514,36.3,127,497,370,3.9x,-4.10%,★ 壓低偷買
6416.TW,瑞祺電通,20260514,89.5,139,505,366,3.6x,5.79%,▲ 順勢追意
7750.TW,新代,20260514,2745.0,-120,243,363,-2.0x,5.37%,▲ 順勢追意
3257.TW,虹冠電,20260514,54.4,-241,112,353,-0.5x,0.55%,▲ 順勢追意
8464.TW,億豐,20260514,328.0,-299,52,351,-0.2x,0.31%,★ 壓低偷買
2912.TW,統一超,20260514,226.5,-185,160,345,-0.9x,-0.88%,★ 壓低偷買
6546.TWO,正基,20260514,69.3,-14,330,345,-22.4x,5.48%,▲ 順勢追意
1590.TW,亞德客-KY,20260514,1465.0,177,521,343,2.9x,-1.68%,★ 壓低偷買
00982D.TW,主動富邦動態入息,20260514,9.91,-98,230,328,-2.3x,-0.70%,★ 壓低偷買
6739.TWO,竹陞科技,20260514,1330.0,-165,155,320,-0.9x,-2.92%,★ 壓低偷買
00852L.TW,國泰美國道瓊正2,20260514,31.65,-296,13,310,-0.0x,-0.53%,★ 壓低偷買
3122.TWO,笙泉,20260514,37.35,1422,1729,306,1.2x,-6.39%,★ 壓低偷買
6270.TWO,倍微,20260514,26.35,-133,170,304,-1.3x,-5.05%,★ 壓低偷買
8032.TWO,光菱,20260514,42.0,-272,25,297,-0.1x,0.24%,★ 壓低偷買
2241.TW,艾姆勒,20260514,32.85,-16,271,288,-16.0x,7.00%,▲ 順勢追意
3527.TWO,聚積,20260514,61.9,-17,267,284,-15.3x,3.17%,▲ 順勢追意
3669.TW,圓展,20260514,38.3,-115,169,284,-1.5x,-3.28%,★ 壓低偷買
3483.TWO,力致,20260514,87.0,274,540,266,2.0x,-6.65%,★ 壓低偷買
6219.TWO,富旺,20260514,12.2,26,286,260,11.0x,-5.43%,★ 壓低偷買
2365.TW,昆盈,20260514,35.3,3808,4068,259,1.1x,-3.02%,★ 壓低偷買
6202.TW,盛群,20260514,55.2,4024,4283,258,1.1x,-4.00%,★ 壓低偷買
3556.TWO,禾瑞亞,20260514,54.1,-172,84,257,-0.5x,3.44%,▲ 順勢追意
6465.TWO,威潤,20260514,48.6,-70,181,252,-2.6x,-2.61%,★ 壓低偷買
2390.TW,云辰,20260514,10.0,-71,174,245,-2.4x,4.71%,▲ 順勢追意
6922.TWO,宸曜,20260514,184.0,-214,31,245,-0.1x,-4.17%,★ 壓低偷買
4154.TWO,樂威科-KY,20260514,14.75,0,243,243,新進貨,31.11%,▲ 順勢追意
2440.TW,太空梭,20260514,16.9,-218,20,239,-0.1x,-3.43%,★ 壓低偷買
3349.TWO,寶德,20260514,19.0,0,237,237,新進貨,-18.98%,★ 壓低偷買
3021.TW,鴻名,20260514,17.0,-223,12,236,-0.1x,4.62%,▲ 順勢追意
3546.TWO,宇峻,20260514,71.6,-88,130,219,-1.5x,5.14%,▲ 順勢追意
2101.TW,南港,20260514,32.55,91,304,213,3.3x,-6.20%,★ 壓低偷買
1810.TW,和成,20260514,18.75,-53,160,213,-3.0x,1.08%,▲ 順勢追意
6246.TWO,臺龍,20260514,15.95,-204,2,207,-0.0x,-10.39%,★ 壓低偷買
7822.TW,倍利科,20260514,1140.0,-30,161,192,-5.2x,-12.31%,★ 壓低偷買
2364.TW,倫飛,20260514,69.0,56,242,186,4.3x,5.67%,▲ 順勢追意
7728.TWO,光焱科技,20260514,746.0,-165,18,183,-0.1x,-1.71%,★ 壓低偷買
3003.TW,健和興,20260514,61.0,127,308,181,2.4x,9.52%,▲ 順勢追意
3325.TWO,旭品,20260514,12.05,-54,126,180,-2.3x,-6.59%,★ 壓低偷買
6742.TW,澤米,20260514,42.45,-59,115,174,-1.9x,9.27%,▲ 順勢追意
2597.TW,潤弘,20260514,158.0,21,196,174,9.0x,1.28%,▲ 順勢追意
3188.TWO,鑫龍騰,20260514,25.0,-153,19,173,-0.1x,1.42%,▲ 順勢追意
1907.TW,永豐餘,20260514,24.45,-163,9,172,-0.1x,1.66%,▲ 順勢追意
5488.TWO,松普,20260514,10.5,1,173,172,新進貨,5.00%,▲ 順勢追意
2480.TW,敦陽科,20260514,150.0,-54,117,172,-2.2x,2.04%,▲ 順勢追意
6223.TWO,旺矽,20260514,6290.0,99,268,168,2.7x,25.05%,▲ 順勢追意
4113.TWO,聯上,20260514,14.45,-124,36,160,-0.3x,-5.86%,★ 壓低偷買
6491.TW,晶碩,20260514,289.5,74,234,160,3.1x,1.94%,▲ 順勢追意
6642.TWO,富致,20260514,63.5,15,169,154,11.1x,-5.08%,★ 壓低偷買
6861.TW,睿生光電,20260514,450.0,-96,56,153,-0.6x,11.11%,▲ 順勢追意
3687.TWO,歐買尬,20260514,63.0,-152,0,153,-0.0x,-4.83%,★ 壓低偷買
6741.TWO,91APP*-KY,20260514,65.9,-23,124,148,-5.2x,0.61%,▲ 順勢追意
6515.TW,穎崴,20260514,10540.0,-33,114,147,-3.5x,6.90%,▲ 順勢追意
5210.TWO,寶碩,20260514,25.5,-138,6,145,-0.0x,-7.61%,★ 壓低偷買
2106.TW,建大,20260514,16.85,4,146,141,新進貨,-3.71%,★ 壓低偷買
8183.TWO,精星,20260514,30.75,15,148,133,9.7x,-9.43%,★ 壓低偷買
3230.TWO,錦明,20260514,31.25,-1,130,132,新進貨,-8.09%,★ 壓低偷買
1776.TW,展宇,20260514,18.7,8,140,131,15.8x,7.78%,▲ 順勢追意
6994.TW,富威電力,20260514,57.9,20,151,130,7.4x,-11.47%,★ 壓低偷買
2069.TW,運錩,20260514,20.0,66,195,129,3.0x,5.82%,▲ 順勢追意
6596.TWO,寬宏藝術,20260514,98.2,-9,119,128,-13.0x,-0.61%,★ 壓低偷買
00724B.TWO,群益投資級金融債,20260514,33.6,-11,115,127,-9.6x,0.00%,★ 壓低偷買
3207.TWO,耀勝,20260514,57.3,-56,53,110,-1.0x,-5.45%,★ 壓低偷買
1723.TW,中碳,20260514,80.7,18,126,107,6.6x,2.54%,▲ 順勢追意
7547.TWO,碩網,20260514,70.1,-48,57,106,-1.2x,-6.03%,★ 壓低偷買
7556.TWO,意德士,20260514,273.0,-59,45,105,-0.8x,-3.87%,★ 壓低偷買
3577.TWO,泓格,20260514,109.5,29,133,103,4.4x,25.00%,▲ 順勢追意
5321.TWO,美而快,20260514,23.25,-68,34,103,-0.5x,6.90%,▲ 順勢追意
3147.TWO,大綜,20260514,172.5,-10,92,102,-8.5x,-2.27%,★ 壓低偷買
6574.TWO,霈方,20260514,124.0,12,114,102,9.3x,6.44%,▲ 順勢追意
6498.TWO,久禾光,20260514,112.5,-12,83,96,-6.6x,18.42%,▲ 順勢追意
6129.TWO,普誠,20260514,15.6,87,183,96,2.1x,-6.87%,★ 壓低偷買
7704.TWO,明遠精密,20260514,68.8,55,149,93,2.7x,17.61%,▲ 順勢追意
6272.TW,驊陞,20260514,30.8,-84,8,92,-0.1x,-3.60%,★ 壓低偷買
6890.TW,來億-KY,20260514,161.5,-18,72,91,-3.8x,4.53%,▲ 順勢追意
5227.TWO,立凱-KY,20260514,21.8,-50,37,88,-0.8x,4.81%,▲ 順勢追意
2755.TWO,揚秦,20260514,133.0,-85,1,87,-0.0x,-0.75%,★ 壓低偷買
3228.TWO,金麗科,20260514,207.0,232,316,83,1.4x,-19.61%,★ 壓低偷買
4119.TW,旭富,20260514,40.95,6,89,83,13.2x,-13.42%,★ 壓低偷買
6180.TWO,橘子,20260514,38.9,-28,55,83,-1.9x,-0.77%,★ 壓低偷買
