om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
N/A,🚀 利潤擴張,2025,180.65,42.33,98.72093200674419,6.449999999999999,42.4500007629,6708.TWO,天擎,48.16,119.23,0.05,2025-12,0.25,138.32,N/A,⚠️ 追價風險
N/A,🧐 疑業外收益,2025,104.91,-32.24,34.6031733922222,9.450000000000005,21.7999992371,5227.TWO,立凱-KY,-19.06,199.67,2.99,2025-12,0.17,137.15,N/A,⚠️ 追價風險
N/A,🔄 轉虧為盈,2025,152.21,16.84,70.87301829507936,18.9,89.3000030518,6485.TWO,點序,14.7,70.64,-0.32,2025-12,0.71,135.37,N/A,⚠️ 追價風險
39.15%,🔄 轉虧為盈,2025,229.88,95.09,0.0,-28.5,341.0,2408.TW,南亞科,32.43,-28.32,-1.45,2025-12,2.13,134.79,49.05%,⚪ 數據不足
5.14%,🚀 利潤擴張,2025,178.19,44.32,5.970803142467153,205.50000000000003,81.8000030518,3709.TWO,鑫聯大投控,55.41,167.46,3.61,2025-12,7.11,133.87,8.09%,💎 強力關注
-223.66%,🧐 疑業外收益,2025,58.98,-72.48,0.0,-57.45,39.2000007629,3466.TWO,德晉,-68.41,65.77,-0.81,2025-12,-1.11,131.46,-8.98%,⚪ 數據不足
41.27%,🏰 高護城河,2025,645.65,515.18,241.39344262295083,183.0,2945.0,3081.TWO,聯亞,82.29,884.75,4.66,2026-03,3.44,130.47000000000003,54.76%,⚠️ 追價風險
-456.27%,🧐 疑業外收益,2025,54.11,-75.71,0.0,-35.85,17.3500003815,4934.TW,太極,-81.44,16.25,-0.67,2025-12,-0.95,129.82,-156.07%,⚪ 數據不足
6.32%,🧐 疑業外收益,2025,108.46,-19.52,5.408515535097814,130.35,47.0,2607.TW,榮運,-19.69,139.38,2.72,2025-12,3.56,127.97999999999999,18.52%,💎 強力關注
N/A,🚀 利潤擴張,2025,159.21,32.59,28.137254901960787,229.49999999999997,430.5,5386.TWO,青雲,12.38,103.38,3.03,2025-12,8.61,126.62,N/A,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,161.27,35.14,7.2347628074717845,66.44999999999999,32.0499992371,6021.TWO,美好證,13.11,128.3,2.46,2025-12,3.76,126.13000000000001,N/A,💎 強力關注
-3.44%,🚀 利潤擴張,2025,155.22,29.09,0.0,0.0,0.0,3540.TWO,曜越,30.74,147.47,0.47,2025-12,0.74,126.13,27.46%,⚪ 數據不足
N/A,🚀 利潤擴張,2025,177.17,51.31,4.886201774409673,105.44999999999999,34.3499984741,8473.TW,山林水,62.88,130.34,2.05,2025-12,2.55,125.85999999999999,N/A,💎 強力關注
13.87%,🧐 疑業外收益,2025,120.99,-4.69,103.9784946236559,69.75,483.5,3105.TWO,穩懋,-13.87,-40.53,1.57,2025-12,4.0,125.67999999999999,31.80%,⚠️ 追價風險
N/A,🚀 利潤擴張,2025,142.59,20.19,10.137457044673539,43.650000000000006,29.5,6276.TWO,安鈦克,28.81,128.33,0.66,2025-12,0.92,122.4,N/A,💎 強力關注
-3.62%,🚀 利潤擴張,2025,127.94,8.09,27.8400001524,3.75,6.9600000381,1512.TW,瑞利,2.64,111.76,0.04,2025-12,0.19,119.85,28.43%,⚠️ 追價風險
26.41%,🚀 利潤擴張,2025,177.61,59.65,6.511110941577778,67.5,29.2999992371,2596.TWO,綠意,217.33,425.0,1.04,2025-12,1.86,117.96000000000001,32.97%,💎 強力關注
N/A,🚀 利潤擴張,2025,139.29,22.38,40.57971014492753,10.350000000000001,28.0,8080.TWO,泰霖,34.06,190.91,0.2,2025-12,0.12,116.91,N/A,⚠️ 追價風險
2.93%,🔄 轉虧為盈,2025,122.09,7.47,1013.7499809274999,0.6000000000000001,40.5499992371,4555.TW,氣立,8.77,97.22,-0.02,2025-12,0.19,114.62,31.93%,⚠️ 追價風險
N/A,🧐 疑業外收益,2025,23.33,-90.1,0.0,-7.5,22.3999996185,6198.TWO,瑞築,-92.7,55.56,-0.12,2025-12,-0.23,113.42999999999999,N/A,⚪ 數據不足
-88.29%,🧐 疑業外收益,2025,51.72,-61.59,27.628571646571416,5.250000000000002,9.6700000763,4702.TWO,中美實,-60.26,-14.81,0.23,2025-12,0.88,113.31,35.38%,⚠️ 追價風險
35.36%,🚀 利潤擴張,2025,144.7,32.13,11.325057005320497,592.05,447.0,3260.TWO,威剛,22.8,19.56,10.08,2025-12,23.18,112.57,48.37%,💎 強力關注
14.50%,🧐 疑業外收益,2025,87.32,-22.64,0.0,-17.700000000000003,12.1999998093,2025.TW,千興,-15.81,28.07,-0.41,2025-12,-0.18,109.96,-19.82%,⚪ 數據不足
