om,status,prev_year,eps_yoy,rev_yoy,pe,est_price,price,symbol,name,prev_rev_yoy,prev_eps_yoy,prev_eps,date,eps,expansion,gm,advice
15.06%,🌑 雙重衰退,2025,-74.55,-20.24,4.85959432425897,96.15,31.1499996185,2520.TW,冠德,-26.92,-79.28,1.72,2025-12,2.61,-54.31,23.17%,⚪ 中性觀察
2.42%,🔄 轉虧為盈,2025,-77.66,-23.26,245.00000000000006,0.7499999999999998,12.25,1468.TW,昶和,-23.09,-105.0,-0.04,2025-12,0.21,-54.39999999999999,18.12%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-54.76,-0.23,41.829267362256104,24.599999999999998,68.5999984741,5371.TWO,中光電,-5.04,-72.67,0.44,2025-12,0.95,-54.53,N/A,❌ 暫避觀望
3.04%,📉 獲利侵蝕,2025,-52.74,1.81,17.407407407407405,40.5,47.0,1722.TW,台肥,2.1,-27.92,1.11,2025-12,0.95,-54.550000000000004,15.30%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-20.47,35.16,91.38381201044388,172.34999999999997,1050.0,6531.TW,愛普*,28.02,-54.3,3.03,2025-12,7.74,-55.629999999999995,N/A,❌ 暫避觀望
0.28%,🌑 雙重衰退,2025,-56.49,-0.85,42.04545454545455,19.8,55.5,3552.TWO,同致,-1.51,-70.99,0.38,2025-12,0.67,-55.64,19.47%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-36.41,19.24,9.01279693548446,82.05000000000001,49.2999992371,6856.TWO,鑫傳,29.13,-54.6,1.53,2025-12,2.62,-55.64999999999999,N/A,⚪ 中性觀察
3.23%,🌑 雙重衰退,2025,-72.16,-16.5,25.227272149242427,9.899999999999999,16.6499996185,2028.TW,威致,-19.32,-89.16,0.09,2025-12,0.28,-55.66,5.49%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-29.85,26.29,11.75438596491228,213.75,167.5,6438.TW,迅得,26.46,10.24,4.17,2025-12,5.24,-56.14,N/A,⚪ 中性觀察
4.51%,🌑 雙重衰退,2025,-66.09,-9.88,36.78571307468254,18.9,46.3499984741,2634.TW,漢翔,-12.58,-87.21,0.22,2025-12,0.78,-56.21,8.73%,❌ 暫避觀望
9.03%,🌑 雙重衰退,2025,-66.46,-9.88,42.20563847429519,90.44999999999999,254.5,3675.TWO,德微,-11.4,-74.8,1.53,2025-12,2.67,-56.57999999999999,36.51%,❌ 暫避觀望
2.48%,⚠️ 獲利稀釋,2025,3.11,59.7,4.547311303730429,220.35,66.8000030518,2643.TWO,捷迅,70.71,10.59,4.7,2025-12,6.3,-56.59,5.79%,⚪ 中性觀察
-4.89%,🌑 雙重衰退,2025,-69.2,-12.33,24.1635687732342,40.35,65.0,2367.TW,燿華,-10.77,-59.32,0.71,2025-12,0.68,-56.870000000000005,8.85%,❌ 暫避觀望
-3.62%,🌑 雙重衰退,2025,-76.51,-19.54,42.44060475161987,69.45,196.5,3376.TW,新日興,-16.36,-77.26,1.23,2025-12,1.63,-56.970000000000006,11.53%,❌ 暫避觀望
6.58%,🌑 雙重衰退,2025,-66.92,-9.94,0.0,0.0,0.0,1584.TWO,精剛,-12.67,-86.86,0.23,2025-12,0.44,-56.980000000000004,14.01%,⚪ 數據不足
4.03%,🌑 雙重衰退,2025,-79.88,-22.51,36.428572002180445,19.950000000000003,48.4500007629,4561.TWO,健椿,-25.07,-87.84,0.36,2025-12,0.66,-57.36999999999999,19.95%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-72.09,-14.5,33.44827520431034,8.700000000000001,19.3999996185,8927.TWO,北基,-27.61,-91.61,0.12,2025-12,0.35,-57.59,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-137.27,-79.25,0.0,-98.85,20.2999992371,8089.TWO,康全電訊,-78.07,-124.6,-1.85,2025-12,-3.09,-58.02000000000001,N/A,⚪ 數據不足
-10.37%,🌑 雙重衰退,2025,-82.6,-24.55,0.0,-227.10000000000002,13.6499996185,2616.TW,山隆,-30.68,-155.56,-4.41,2025-12,-6.25,-58.05,7.55%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-46.52,11.63,5.659630808153034,56.85,21.4500007629,8068.TWO,全達,2.91,-37.5,1.25,2025-12,1.23,-58.150000000000006,N/A,⚪ 中性觀察
1.41%,🌑 雙重衰退,2025,-64.42,-6.01,14.018691588785046,32.1,30.0,2235.TWO,謚源,-2.97,-70.24,0.61,2025-12,0.95,-58.410000000000004,16.15%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-73.66,-14.95,0.0,-157.95,5.1700000763,5907.TW,大洋-KY,-14.73,-82.04,-3.04,2025-12,-4.55,-58.709999999999994,N/A,⚪ 數據不足
-12.99%,📉 獲利侵蝕,2025,-51.49,7.24,0.0,-54.0,43.5499992371,3224.TWO,三顧,6.79,-52.17,-1.05,2025-12,-1.53,-58.730000000000004,15.11%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-35.22,23.56,2.419017723981191,143.55,23.1499996185,9945.TW,潤泰新,9.27,-49.41,2.68,2025-12,3.93,-58.78,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-7.07,51.84,13.382157123834885,112.65,100.5,8932.TWO,智通*,63.13,160.91,2.9,2025-12,1.85,-58.910000000000004,N/A,⚪ 中性觀察
12.46%,📉 獲利侵蝕,2025,-56.22,2.72,6.871287279782178,75.75,34.7000007629,2739.TW,寒舍,1.51,-78.46,1.01,2025-12,2.36,-58.94,44.04%,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-38.12,21.02,0.0,0.0,307.5,6725.TWO,矽科宏晟,20.53,-22.06,8.09,2025-12,12.98,-59.14,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-73.47,-14.3,10.700757575757578,158.39999999999998,113.0,6863.TW,永道-KY,-10.3,-62.28,2.95,2025-12,3.0,-59.17,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-51.37,7.87,0.0,0.0,0.0,7788.TW,松川精密,8.42,-56.66,2.18,2025-12,3.63,-59.239999999999995,N/A,⚪ 數據不足
20.25%,🔄 轉虧為盈,2025,-51.41,8.08,0.0,-76.05000000000001,238.0,3006.TW,晶豪科,-5.44,-300.0,-2.81,2025-12,0.87,-59.489999999999995,32.33%,⚪ 數據不足
7.44%,🌑 雙重衰退,2025,-75.14,-15.65,10.301886504566037,39.75000000000001,27.2999992371,2201.TW,裕隆,-17.2,-76.11,0.77,2025-12,0.93,-59.49,30.14%,⚪ 中性觀察
4.80%,🔄 轉虧為盈,2025,-77.78,-18.09,0.0,-9.6,23.2999992371,3531.TWO,先益,-15.43,-204.44,-0.47,2025-12,0.3,-59.69,22.74%,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-62.99,-2.85,3.5993614105426976,187.95,45.0999984741,8442.TW,威宏-KY,-6.65,-60.02,3.46,2025-12,4.18,-60.14,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-47.4,12.79,0.0,0.0,45.4000015259,7770.TWO,君曜,17.51,-58.08,1.53,2025-12,3.0,-60.19,N/A,⚪ 數據不足
-3.65%,📉 獲利侵蝕,2025,-54.31,7.08,100.96773947435481,9.3,62.5999984741,3141.TWO,晶宏,9.9,-94.05,0.05,2025-12,0.54,-61.39,38.56%,❌ 暫避觀望
5.94%,🌑 雙重衰退,2025,-79.17,-16.46,17.40000025426667,11.25,13.0500001907,4306.TW,炎洲,-23.85,-79.34,0.25,2025-12,0.26,-62.71,15.11%,❌ 暫避觀望
-413.94%,🌑 雙重衰退,2025,-132.04,-69.02,0.0,-14.849999999999998,11.3000001907,3313.TWO,斐成,-78.14,-122.4,-0.31,2025-12,-0.35,-63.019999999999996,-74.40%,⚪ 數據不足
-36.39%,🌑 雙重衰退,2025,-85.86,-22.39,0.0,-61.349999999999994,32.5,1721.TW,三晃,-23.51,-45.45,-1.12,2025-12,-1.84,-63.47,-19.76%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-58.24,5.25,208.38709185193554,4.6499999999999995,64.5999984741,8111.TWO,立��,7.39,-88.1,0.05,2025-12,0.38,-63.49,N/A,❌ 暫避觀望
-5.91%,🏰 高護城河,2025,-48.37,15.52,0.0,-79.20000000000002,21.2000007629,2438.TW,翔耀,26.64,-125.84,-2.11,2025-12,-2.38,-63.89,51.08%,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,41.57,105.62,20.47244094488189,114.3,156.0,6895.TWO,宏碩系統,121.07,99.24,2.61,2025-12,3.61,-64.05000000000001,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-67.55,-3.48,12.470588235294118,63.75,53.0,8433.TWO,弘帆,-7.78,-89.32,0.71,2025-12,3.17,-64.07,N/A,⚪ 中性觀察
6.07%,🏰 高護城河,2025,-74.29,-10.15,0.0,-31.200000000000003,14.9499998093,3288.TWO,點晶,-7.45,43.62,-0.56,2025-12,-0.64,-64.14,71.52%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-47.47,17.01,11.320754716981133,23.849999999999998,18.0,5426.TWO,振發,30.86,-40.91,0.39,2025-12,0.52,-64.48,N/A,⚪ 中性觀察
N/A,🔄 轉虧為盈,2025,-44.41,20.34,665.625,14.399999999999999,639.0,6643.TWO,M31,7.33,-116.01,-0.69,2025-12,1.69,-64.75,N/A,❌ 暫避觀望
3.53%,⚠️ 獲利稀釋,2025,43.19,108.39,6.454630495790458,320.7,138.0,3231.TW,緯創,94.87,44.39,6.43,2025-12,9.04,-65.2,5.62%,⚪ 中性觀察
N/A,⚠️ 獲利稀釋,2025,1919.44,1985.02,9.53461975028377,396.44999999999993,252.0,8271.TW,宇瞻,41.93,209.22,6.7,2026-03,14.54,-65.57999999999993,N/A,⚪ 中性觀察
1.25%,🌑 雙重衰退,2025,-89.88,-23.91,52.297298328378375,5.55,19.3500003815,1323.TW,永裕,-28.19,-97.63,0.06,2025-12,0.26,-65.97,15.09%,❌ 暫避觀望
5.53%,🌑 雙重衰退,2025,-68.29,-2.19,262.00000762999974,0.7500000000000007,13.1000003815,2611.TW,志信,-1.45,-78.8,0.39,2025-12,0.52,-66.10000000000001,37.12%,❌ 暫避觀望
-10.27%,🌑 雙重衰退,2025,-90.28,-24.07,0.0,-50.24999999999999,8.0399999619,1310.TW,台苯,-19.92,-141.03,-0.94,2025-12,-1.37,-66.21000000000001,-7.37%,⚪ 數據不足
-1.96%,🌑 雙重衰退,2025,-73.51,-7.24,42.587413654475526,21.45,60.9000015259,3588.TW,通嘉,-9.27,-78.11,0.37,2025-12,0.5,-66.27000000000001,31.63%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-57.38,9.13,113.68421588035088,8.55,64.8000030518,5309.TWO,系統電,7.47,-90.7,0.04,2025-12,0.27,-66.51,N/A,❌ 暫避觀望
20.17%,🏰 高護城河,2025,-64.44,2.09,18.597402201064938,57.74999999999999,71.5999984741,3546.TWO,宇峻,-4.51,-86.34,0.47,2025-12,1.97,-66.53,89.44%,❌ 暫避觀望
-16.22%,📉 獲利侵蝕,2025,-47.93,18.86,0.0,-69.9,13.8500003815,3419.TW,譁裕,27.6,-43.16,-1.36,2025-12,-1.79,-66.78999999999999,12.27%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-55.46,11.46,0.0,-90.6,9.3299999237,4943.TW,康控-KY,6.89,-93.42,-1.51,2025-12,-1.88,-66.92,N/A,⚪ 數據不足
38.48%,⚠️ 獲利稀釋,2025,60.92,127.87,33.590308370044056,136.2,305.0,4772.TWO,台特化,81.35,174.49,2.69,2025-12,4.2,-66.95,48.92%,❌ 暫避觀望
-4.33%,🌑 雙重衰退,2025,-76.19,-9.18,0.0,-79.35,35.4500007629,3323.TWO,加百裕,-6.05,-112.5,-1.58,2025-12,-1.92,-67.00999999999999,11.17%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-54.79,12.31,12.631578524681442,54.14999999999999,45.5999984741,8070.TW,長華*,11.79,-18.99,1.49,2025-12,1.02,-67.1,N/A,⚪ 中性觀察
N/A,📉 獲利侵蝕,2025,-56.06,11.11,0.0,-585.7500000000001,131.5,6462.TWO,神盾,16.32,-126.04,-12.5,2025-12,-17.51,-67.17,N/A,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-63.86,3.42,11.249999825022936,65.4,49.0499992371,8050.TWO,廣積,15.23,-57.66,1.33,2025-12,1.44,-67.28,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-69.96,-2.5,25.205478929486304,43.8,73.5999984741,6224.TW,聚鼎,0.32,-42.6,0.98,2025-12,0.67,-67.46,N/A,❌ 暫避觀望
3.21%,🔄 轉虧為盈,2025,-85.43,-17.82,230.00000544964286,4.199999999999999,64.4000015259,4741.TWO,泓瀚,-19.51,-100.71,-0.01,2025-12,0.29,-67.61000000000001,33.55%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-45.45,22.25,0.0,-1.5,31.8999996185,6134.TWO,萬旭,18.87,-58.82,0.14,2025-12,0.12,-67.7,N/A,⚪ 數據不足
-4.97%,🌑 雙重衰退,2025,-77.5,-9.64,10.470809505480226,79.64999999999999,55.5999984741,2066.TWO,世德,-7.86,-77.02,1.33,2025-12,1.34,-67.86,19.80%,⚪ 中性觀察
12.04%,🌑 雙重衰退,2025,-79.87,-11.81,18.61363671040909,33.0,40.9500007629,4119.TW,旭富,-11.91,-86.03,0.57,2025-12,0.9,-68.06,28.02%,❌ 暫避觀望
N/A,⚠️ 獲利稀釋,2025,29.56,97.77,54.761904761904766,56.699999999999996,207.0,8227.TWO,巨有科技,93.9,53.85,1.4,2025-12,2.06,-68.21,N/A,❌ 暫避觀望
0.82%,🌑 雙重衰退,2025,-73.65,-5.05,16.228571210571427,26.25,28.3999996185,3434.TWO,哲固,-2.33,-77.78,0.3,2025-12,0.47,-68.60000000000001,17.99%,❌ 暫避觀望
N/A,📉 獲利侵蝕,2025,-37.72,30.97,0.0,-115.05,101.0,8054.TWO,安國,26.01,-129.13,-2.42,2025-12,-3.19,-68.69,N/A,⚪ 數據不足
N/A,🔄 轉虧為盈,2025,-95.24,-26.42,0.0,-11.850000000000001,56.0,6234.TWO,高僑,-31.56,-144.58,-0.37,2025-12,0.05,-68.82,N/A,⚪ 數據不足
-4.04%,🌑 雙重衰退,2025,-91.07,-22.22,0.0,-43.35,16.1000003815,1309.TW,台達化,-17.56,-55.0,-0.93,2025-12,-1.07,-68.85,3.28%,⚪ 數據不足
N/A,🔄 轉虧為盈,2025,-64.1,5.45,195.1162826183721,6.449999999999999,83.9000015259,8150.TW,南茂,0.67,-100.61,-0.01,2025-12,0.7,-69.55,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-130.23,-59.86,0.0,-113.39999999999999,39.0,6875.TWO,國邑*,-61.06,-35.26,-2.11,2025-12,-2.97,-70.36999999999999,N/A,⚪ 數據不足
-6.17%,🌑 雙重衰退,2025,-108.06,-37.56,0.0,-49.05,17.8999996185,2014.TW,中鴻,-36.55,-92.98,-1.1,2025-12,-1.29,-70.5,-3.67%,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-74.77,-4.08,22.36111075787037,16.200000000000003,24.1499996185,6508.TWO,惠光,-1.96,-73.79,0.27,2025-12,0.27,-70.69,N/A,❌ 暫避觀望
-7.54%,🌑 雙重衰退,2025,-80.37,-9.62,13.08139534883721,12.9,11.25,4109.TWO,加捷生醫,-13.54,-91.88,0.2,2025-12,0.43,-70.75,24.70%,⚪ 中性觀察
-4.13%,🌑 雙重衰退,2025,-81.13,-10.32,5.785714285714286,52.5,20.25,1473.TW,台南,-5.85,-69.8,0.77,2025-12,0.57,-70.81,13.69%,⚪ 中性觀察
-2289.99%,🌑 雙重衰退,2025,-77.68,-6.55,0.0,-423.0,33.0,4174.TWO,浩鼎,-26.19,10.0,-6.21,2025-12,-15.61,-71.13000000000001,-76.10%,⚪ 數據不足
4.48%,🔄 轉虧為盈,2025,-95.68,-24.52,50.68749904637501,11.999999999999998,40.5499992371,3226.TWO,龍鋒,-23.4,-107.89,-0.34,2025-12,0.24,-71.16000000000001,15.90%,❌ 暫避觀望
6.05%,🌑 雙重衰退,2025,-74.48,-3.28,32.10526315789474,28.5,61.0,3003.TW,健和興,-3.86,-82.94,0.5,2025-12,0.99,-71.2,21.28%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-80.53,-8.96,43.62068833965517,4.3500000000000005,12.6499996185,5450.TWO,南良,-8.5,-94.81,0.04,2025-12,0.22,-71.57,N/A,❌ 暫避觀望
2.02%,🌑 雙重衰退,2025,-81.05,-9.36,22.089552523432836,10.05,14.8000001907,2012.TW,春雨,-3.32,-73.26,0.25,2025-12,0.2,-71.69,13.55%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-77.08,-5.35,12.021857923497267,54.900000000000006,44.0,8941.TWO,關中,-4.94,-88.89,0.48,2025-12,1.16,-71.73,N/A,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-77.05,-5.05,36.688311688311686,11.550000000000002,28.25,6244.TWO,茂迪,-5.87,-46.15,0.28,2025-12,0.14,-72.0,N/A,❌ 暫避觀望
1.84%,🌑 雙重衰退,2025,-74.46,-1.8,0.0,0.0,0.0,3548.TWO,兆利,8.05,-87.97,0.73,2025-12,2.23,-72.66,10.77%,⚪ 數據不足
0.74%,📉 獲利侵蝕,2025,-47.66,25.19,18.353831598864712,158.55,194.0,4569.TW,六方科-KY,28.81,-51.13,3.23,2025-12,4.13,-72.85,15.14%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-114.96,-41.94,0.0,-87.75,12.1999998093,6219.TWO,富旺,-99.58,-255.35,-2.47,2025-12,-0.76,-73.02,N/A,⚪ 數據不足
-80.56%,📉 獲利侵蝕,2025,-44.44,28.81,0.0,-5.1,11.6999998093,4402.TWO,郡都開發,17.54,63.33,-0.11,2025-12,-0.13,-73.25,15.04%,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,50.0,123.75,0.0,-31.049999999999997,37.7000007629,6560.TWO,欣普羅,137.08,-41.94,-0.88,2025-12,-0.16,-73.75,N/A,⚪ 數據不足
25.42%,🏰 高護城河,2025,-0.7,73.85,5.435294207411765,63.75,23.1000003815,2887.TW,台新新光金,35.48,-27.12,1.3,2025-12,1.91,-74.55,60.04%,⚪ 中性觀察
-176.58%,🌑 雙重衰退,2025,-85.71,-10.18,52.41379244568965,8.700000000000001,30.3999996185,2434.TW,統懋,-8.66,-58.97,0.32,2025-12,0.02,-75.53,-37.47%,❌ 暫避觀望
7.11%,🔄 轉虧為盈,2025,-74.4,1.33,0.0,0.0,0.0,4543.TWO,萬在,-3.85,-105.39,-0.09,2025-12,0.53,-75.73,25.17%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-69.73,6.19,15.769230769230772,19.499999999999996,20.5,7743.TWO,金利食安,17.91,-48.15,0.58,2025-12,0.57,-75.92,N/A,❌ 暫避觀望
-15.74%,🌑 雙重衰退,2025,-84.27,-8.3,0.0,-58.05,12.0500001907,3325.TWO,旭品,-11.73,-74.19,-1.08,2025-12,-1.64,-75.97,2.22%,⚪ 數據不足
N/A,⚠️ 獲利稀釋,2025,31.64,108.17,0.0,0.0,69.5,6620.TWO,漢達,122.44,39.62,3.76,2025-12,4.85,-76.53,N/A,⚪ 數據不足
50.09%,🏰 高護城河,2025,-92.76,-15.8,1.195190947666195,530.25,42.25,4763.TW,材料*-KY,-6.43,-91.36,4.94,2025-12,6.1,-76.96000000000001,57.83%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-79.59,-1.9,21.666666666666668,26.999999999999996,39.0,5244.TW,弘凱,-2.61,-62.57,0.64,2025-12,0.51,-77.69,N/A,❌ 暫避觀望
N/A,⚠️ 獲利稀釋,2025,160.13,237.84,24.970060337065863,25.05,41.7000007629,8038.TWO,長園科,372.94,164.8,0.81,2025-12,0.92,-77.71000000000001,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-95.77,-17.19,0.0,-51.45,5.5700001717,8933.TWO,愛地雅,0.33,-266.67,-1.1,2025-12,-1.39,-78.58,N/A,⚪ 數據不足
24.28%,📉 獲利侵蝕,2025,-69.45,9.26,9.057047637718094,765.1500000000001,462.0,2327.TW,國巨*,5.78,-73.12,8.22,2025-12,11.51,-78.71000000000001,37.30%,⚪ 中性觀察
N/A,🌑 雙重衰退,2025,-90.28,-11.54,47.26414950396226,7.95,25.0499992371,8076.TWO,伍豐,-17.3,-99.59,0.01,2025-12,0.14,-78.74000000000001,N/A,❌ 暫避觀望
4.98%,📉 獲利侵蝕,2025,-77.63,1.31,22.04819338389558,37.35,54.9000015259,2540.TW,愛山林,25.99,-73.93,0.68,2025-12,0.69,-78.94,20.31%,❌ 暫避觀望
-116.55%,🌑 雙重衰退,2025,-122.76,-43.59,0.0,0.0,0.0,1591.TWO,駿吉-KY,-47.7,-44.76,-2.09,2025-12,-2.75,-79.17,-25.13%,⚪ 數據不足
-27.07%,🔄 轉虧為盈,2025,-87.21,-7.88,322.4999904625004,0.5999999999999993,12.8999996185,1449.TW,佳和,-18.87,-128.57,-0.28,2025-12,0.12,-79.33,0.84%,❌ 暫避觀望
N/A,🔄 轉虧為盈,2025,-84.51,-4.81,0.0,-10.649999999999999,137.5,6735.TWO,美達科技,-23.64,-131.03,-0.54,2025-12,0.33,-79.7,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-81.97,-2.15,48.87324051112676,10.649999999999999,34.7000007629,8182.TWO,加高,-3.51,-97.71,0.04,2025-12,0.44,-79.82,N/A,❌ 暫避觀望
N/A,🔄 轉虧為盈,2025,-35.0,45.18,0.0,-46.050000000000004,525.0,6451.TW,訊芯-KY,56.34,-672.73,-0.64,2025-12,0.26,-80.18,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-87.79,-7.53,1.1251580599620734,355.95,26.7000007629,8422.TW,可寧衛*,-2.24,40.9,10.47,2025-12,1.29,-80.26,N/A,⚪ 中性觀察
9.53%,📉 獲利侵蝕,2025,-70.28,10.44,13.822751322751323,113.39999999999999,104.5,4912.TW,聯德控股-KY,2.6,-45.51,2.73,2025-12,1.98,-80.72,22.10%,⚪ 中性觀察
-1.55%,🌑 雙重衰退,2025,-116.56,-35.66,0.0,-20.55,39.1500015259,4906.TW,正文,-33.96,-140.91,-0.45,2025-12,-0.25,-80.9,14.16%,⚪ 數據不足
-14.81%,🌑 雙重衰退,2025,-101.09,-20.15,0.0,-190.34999999999997,48.1500015259,2338.TW,光罩,-17.29,-394.25,-3.56,2025-12,-4.88,-80.94,5.40%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-71.34,10.3,75.15151283954546,9.899999999999999,49.5999984741,6432.TWO,今展科,10.79,-90.83,0.11,2025-12,0.48,-81.64,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-92.31,-10.01,0.0,-5.1000000000000005,23.7999992371,6113.TWO,亞矽,-14.19,31.58,-0.13,2025-12,-0.25,-82.3,N/A,⚪ 數據不足
0.14%,📉 獲利侵蝕,2025,-61.33,21.35,6.8835615567351605,65.7,30.1499996185,1522.TW,堤維西,6.94,-73.56,1.17,2025-12,1.72,-82.68,15.03%,⚪ 中性觀察
7.12%,🔄 轉虧為盈,2025,-80.0,3.55,0.0,0.0,22.2000007629,3717.TW,聯嘉投控,0.43,-182.86,-0.29,2025-12,0.08,-83.55,19.34%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-55.26,28.45,0.0,0.0,79.1999969482,6921.TW,嘉雨思-創,51.06,-25.0,0.21,2025-12,0.35,-83.71,N/A,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-64.17,19.58,77.77777777777777,32.400000000000006,168.0,6762.TWO,達亞,32.38,-4.23,0.68,2025-12,0.67,-83.75,N/A,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-91.2,-6.07,13.458646329699251,19.95,17.8999996185,6158.TWO,禾昌,-6.12,-51.97,0.62,2025-12,0.11,-85.13,N/A,⚪ 中性觀察
11.05%,🌑 雙重衰退,2025,-94.0,-8.17,48.69565134478261,3.4499999999999997,11.1999998093,1611.TW,中電,-5.31,-76.74,0.1,2025-12,0.03,-85.83,37.93%,❌ 暫避觀望
-16.08%,📉 獲利侵蝕,2025,-84.96,1.1,0.0,-55.95,37.4500007629,3543.TW,州巧,2.18,-43.75,-1.16,2025-12,-2.24,-86.05999999999999,5.62%,⚪ 數據不足
N/A,📉 獲利侵蝕,2025,-54.81,31.54,18.5595567867036,54.150000000000006,67.0,6612.TWO,奈米醫材,37.74,-59.52,0.7,2025-12,1.09,-86.35,N/A,❌ 暫避觀望
-0.08%,🌑 雙重衰退,2025,-92.0,-5.46,2650.0,0.44999999999999996,79.5,1727.TW,中華化,-6.15,-93.18,0.03,2025-12,0.04,-86.54,11.85%,❌ 暫避觀望
-25.24%,🌑 雙重衰退,2025,-95.74,-9.04,0.0,-130.50000000000003,68.1999969482,3714.TW,富采,-10.09,-154.37,-2.62,2025-12,-3.69,-86.69999999999999,-2.65%,⚪ 數據不足
4.89%,🔄 轉虧為盈,2025,-92.39,-5.25,0.0,-2.25,123.0,3016.TW,嘉晶,-9.76,-110.98,-0.09,2025-12,0.07,-87.14,11.81%,⚪ 數據不足
-22.36%,🌑 雙重衰退,2025,-96.23,-8.18,0.0,-27.9,13.8000001907,3713.TWO,新晶投控,-14.16,-13.64,-0.55,2025-12,-1.13,-88.05000000000001,0.24%,⚪ 數據不足
26.68%,🏰 高護城河,2025,-14.16,73.94,12.405200433369448,138.45000000000002,114.5,3169.TWO,亞信,9.02,7.31,3.67,2026-03,0.97,-88.1,54.20%,⚪ 中性觀察
6.52%,🌑 雙重衰退,2025,-92.45,-4.04,0.0,-36.9,28.1499996185,3685.TWO,元創精密,-11.44,-63.16,-0.62,2025-12,-1.02,-88.41,22.32%,⚪ 數據不足
-16.80%,🌑 雙重衰退,2025,-96.99,-8.56,0.0,-2.850000000000001,35.6500015259,3490.TWO,單井,-4.45,-80.0,0.43,2025-12,0.05,-88.42999999999999,19.24%,⚪ 數據不足
-0.43%,🌑 雙重衰退,2025,-93.16,-4.37,8.718969153489001e+17,2.0816681711721685e-16,12.1000003815,1220.TW,台榮,-0.15,-87.62,0.13,2025-12,0.08,-88.78999999999999,8.16%,❌ 暫避觀望
-3.10%,🔄 轉虧為盈,2025,-91.3,-2.4,0.0,-18.3,23.3999996185,4534.TWO,慶騰,-3.65,-630.0,-0.53,2025-12,0.01,-88.89999999999999,15.20%,⚪ 數據不足
1.48%,🌑 雙重衰退,2025,-90.0,-0.7,70.20833492291666,3.6,16.8500003815,2106.TW,建大,-1.02,-94.5,0.06,2025-12,0.13,-89.3,20.30%,❌ 暫避觀望
N/A,🌑 雙重衰退,2025,-141.41,-51.86,0.0,-23.249999999999996,30.75,6582.TW,申豐,-44.17,-117.59,-0.19,2025-12,-0.41,-89.55,N/A,⚪ 數據不足
N/A,🌑 雙重衰退,2025,-121.74,-31.37,0.0,-97.19999999999999,12.1999998093,8024.TWO,佑華,-30.69,-103.09,-1.97,2025-12,-2.55,-90.36999999999999,N/A,⚪ 數據不足
8.41%,📉 獲利侵蝕,2025,-74.05,16.57,51.886792452830186,7.95,27.5,3597.TWO,映興,27.0,-84.21,0.12,2025-12,0.34,-90.62,25.04%,❌ 暫避觀望
-39.20%,📉 獲利侵蝕,2025,-70.0,20.96,0.0,-12.600000000000001,10.1000003815,4806.TWO,桂田文創,46.84,-4.35,-0.24,2025-12,-0.34,-90.96000000000001,46.90%,⚪ 數據不足
