prev_eps,eps_yoy,status,date,prev_eps_yoy,price,advice,prev_rev_yoy,om,name,symbol,prev_year,est_price,pe,expansion,gm,rev_yoy,eps
2.74,83.05,🏰 高護城河,2026-03,-1.08,69.5999984741,💎 強力關注,6.4,33.03%,元大金,2885.TW,2025,105.6,9.886363419616478,20.689999999999998,80.00%,62.36,1.08
0.85,45.45,🚀 利潤擴張,2026-03,-66.0,31.0,✅ 穩健價值,0.36,N/A,中連,5604.TWO,2025,33.45,13.90134529147982,19.960000000000004,N/A,25.49,0.32
0.76,470.83,🚀 利潤擴張,2026-03,-11.63,17.8500003815,💎 強力關注,0.56,N/A,宏遠證,6015.TWO,2025,24.599999999999998,10.884146574085365,19.539999999999964,N/A,451.29,0.89
-0.61,45.71,🚀 利潤擴張,2026-03,-134.86,14.1499996185,⚪ 數據不足,-8.35,N/A,力新,5202.TWO,2025,-30.900000000000002,0.0,18.900000000000002,N/A,26.81,-0.19
1.9,41.03,🏰 高護城河,2026-03,13.1,45.7999992371,💎 強力關注,4.06,45.93%,華南金,2880.TW,2025,70.8,9.70338966887712,18.060000000000002,97.25%,22.97,0.55
0.81,234.78,🚀 利潤擴張,2026-03,35.0,105.0,⚠️ 追價風險,13.9,8.13%,博磊,3581.TWO,2025,9.75,161.53846153846152,17.97999999999999,31.93%,216.8,0.31
0.68,33.33,🏰 高護城河,2026-03,28.3,12.1499996185,💎 強力關注,14.52,32.37%,高雄銀,2836.TW,2025,25.200000000000003,7.232142630059523,17.229999999999997,89.95%,16.1,0.2
0.15,331.43,🚀 利潤擴張,2026-03,107.11,447.5,⚠️ 追價風險,25.43,N/A,環宇-KY,4991.TWO,2025,11.999999999999998,559.375,15.160000000000025,N/A,316.27,1.67
2.91,10.53,🧐 疑業外收益,2026-03,14.12,34.4000015259,⚪ 數據不足,10.14,N/A,精誠金融,7819.TWO,2025,0.0,0.0,12.35,N/A,-1.82,0.42
1.74,34.04,🏰 高護城河,2026-03,-10.99,39.3499984741,💎 強力關注,-12.26,39.14%,凱基金,2883.TW,2025,57.14999999999999,10.328083589002626,12.0,78.38%,22.04,0.69
-2.92,52.29,🚀 利潤擴張,2026-03,-14.12,33.25,⚪ 數據不足,-0.97,N/A,華安,6657.TW,2025,-109.2,0.0,10.350000000000001,N/A,41.94,-0.53
25.6,29.13,🏰 高護城河,2026-03,4.19,3305.0,⚠️ 追價風險,6.74,60.64%,力旺,3529.TWO,2025,947.7,52.31085786641342,9.14,100.00%,19.99,7.98
-0.43,283.33,🔄 轉虧為盈,2026-03,-53.57,25.25,⚪ 數據不足,-8.31,-4.59%,宏亞,1236.TW,2025,-14.25,0.0,8.629999999999995,24.77%,274.7,0.23
-3.35,153.49,🔄 轉虧為盈,2026-03,-827.91,20.5499992371,⚪ 數據不足,-15.19,-13.99%,岱宇,1598.TW,2025,-89.10000000000001,0.0,7.890000000000015,27.77%,145.6,0.25
4.66,56.0,🚀 利潤擴張,2026-03,24.93,64.8000030518,✅ 穩健價值,15.86,N/A,全景軟體,8272.TWO,2025,136.05,7.144432530518192,7.82,N/A,48.18,0.39
0.38,37.5,🏰 高護城河,2026-03,-7.32,22.9500007629,⚠️ 追價風險,-2.15,20.24%,欣欣,2901.TW,2025,13.5,25.500000847666666,7.48,84.77%,30.02,0.11
-0.92,-5.56,🌑 雙重衰退,2026-03,14.95,0.0,⚪ 數據不足,-3.6,N/A,未知,4178.TWO,2025,0.0,0.0,5.7299999999999995,N/A,-11.29,-0.19
-0.92,-5.56,🌑 雙重衰退,2026-03,14.95,16.6000003815,⚪ 數據不足,-3.6,N/A,永笙-KY,4178.TW,2025,0.0,0.0,5.7299999999999995,N/A,-11.29,-0.19
0.99,114.29,🚀 利潤擴張,2026-03,-38.13,28.0,✅ 穩健價值,-3.57,N/A,詩肯,6195.TWO,2025,63.6,6.60377358490566,5.1200000000000045,N/A,109.17,1.5
2.36,16.67,🏰 高護城河,2026-03,0.85,50.0,✅ 穩健價值,-1.77,33.61%,兆豐金,2886.TW,2025,91.94999999999999,8.156606851549757,4.100000000000001,83.45%,12.57,0.63
0.25,16.67,🏰 高護城河,2026-03,41.18,54.2999992371,⚠️ 追價風險,13.2,-7.29%,聯傑,3094.TW,2025,7.35,110.81632497367347,3.8000000000000025,73.82%,12.87,0.07
-0.43,300.0,🔄 轉虧為盈,2026-03,-326.32,74.6999969482,⚪ 數據不足,-8.05,N/A,亞電,4939.TWO,2025,-22.2,0.0,3.490000000000009,N/A,296.51,0.24
