status,prev_eps_yoy,eps_yoy,prev_eps,expansion,gm,advice,rev_yoy,eps,prev_rev_yoy,om,symbol,pe,est_price,price,date,name,prev_year
🚀 利潤擴張,-26.32,206.45,2.52,56.41999999999999,N/A,💎 強力關注,150.03,1.9,-4.59,N/A,6208.TWO,10.961791429275362,113.85,83.1999969482,2026-03,日揚,2025
🚀 利潤擴張,-36.9,204.17,1.19,55.839999999999975,N/A,💎 強力關注,148.33,1.46,-6.81,N/A,4747.TWO,10.331950049190871,72.30000000000001,49.7999992371,2026-03,強生,2025
🔄 轉虧為盈,49.15,244.44,-0.6,55.43000000000001,N/A,⚪ 數據不足,189.01,0.13,2.65,N/A,8040.TWO,0.0,-18.45,73.0,2026-03,九暘,2025
🚀 利潤擴張,905.92,239.47,12.33,54.05000000000001,41.95%,💎 強力關注,185.42,2.62,-6.28,-106.23%,4123.TWO,2.0993413830954997,273.29999999999995,38.25,2026-03,晟德,2025
🌑 雙重衰退,-48.08,-2.96,-3.92,52.519999999999996,N/A,⚪ 數據不足,-55.48,-1.43,-29.22,N/A,6934.TW,0.0,0.0,79.0,2026-03,心誠鎂,2025
🚀 利潤擴張,66.34,147.37,6.82,51.74000000000001,N/A,💎 強力關注,95.63,3.29,6.51,N/A,6574.TWO,7.541567695961995,252.6,127.0,2026-03,霈方,2025
🚀 利潤擴張,38.44,139.49,13.04,47.56,N/A,⚪ 數據不足,91.93,7.68,182.72,N/A,7711.TW,0.0,0.0,0.0,2026-03,永擎,2025
🚀 利潤擴張,-36.17,406.06,1.5,46.579999999999984,N/A,✅ 穩健價值,359.48,1.01,23.54,N/A,3287.TWO,13.749999820047169,31.8,29.1499996185,2026-03,廣寰科,2025
🚀 利潤擴張,544.54,112.5,5.29,45.849999999999994,N/A,💎 強力關注,66.65,0.03,-17.0,N/A,9949.TWO,2.425793322712385,146.54999999999998,23.7000007629,2026-03,琉園,2025
🚀 利潤擴張,31.64,55.17,4.85,39.24,N/A,💎 強力關注,15.93,0.46,108.17,N/A,6620.TWO,7.328111135613576,172.35,84.1999969482,2026-03,漢達,2025
🚀 利潤擴張,-93.75,300.0,0.12,35.860000000000014,20.64%,⚪ 數據不足,264.14,0.08,-40.0,-8.17%,2388.TW,0.0,-30.6,74.9000015259,2026-03,威盛,2025
🏰 高護城河,-5.7,190.24,2.15,34.20000000000002,50.66%,💎 強力關注,156.04,1.19,1.24,14.95%,3556.TWO,11.355311355311356,81.9,62.0,2026-03,禾瑞亞,2025
🚀 利潤擴張,91.67,42.62,2.99,32.379999999999995,N/A,⚪ 數據不足,10.24,0.87,19.28,N/A,7821.TW,0.0,0.0,40.7999992371,2026-03,神數,2025
🚀 利潤擴張,-17.2,34.92,7.56,28.590000000000003,35.24%,⚪ 數據不足,6.33,11.94,15.19,30.89%,2072.TWO,0.0,0.0,0.0,2025-12,未知,2025
🧐 疑業外收益,-13.21,23.4,-1.89,27.259999999999998,N/A,⚪ 數據不足,-3.86,-0.36,-5.58,N/A,6794.TW,0.0,-70.05,77.6999969482,2026-03,向榮生技,2025
🔄 轉虧為盈,-197.83,450.0,-0.45,27.04000000000002,23.39%,⚪ 數據不足,422.96,0.11,2.23,1.90%,1467.TW,0.0,-28.950000000000003,10.0,2026-03,南緯,2025
🚀 利潤擴張,-27.83,42.86,3.24,26.23,N/A,⚪ 數據不足,16.63,1.62,3.08,N/A,7768.TW,0.0,0.0,279.0,2026-03,頌勝科技,2025
🚀 利潤擴張,-27.83,42.86,3.24,26.23,N/A,⚪ 數據不足,16.63,1.62,3.08,N/A,7768.TWO,0.0,0.0,0.0,2026-03,未知,2025
🚀 利潤擴張,11.37,38.11,13.61,25.689999999999998,21.29%,⚪ 數據不足,12.42,4.33,20.5,16.93%,1623.TW,0.0,0.0,0.0,2026-03,大東電,2025
🏰 高護城河,-1.08,83.05,2.74,20.689999999999998,80.00%,💎 強力關注,62.36,1.08,6.4,33.03%,2885.TW,8.963067965071023,105.6,63.0999984741,2026-03,元大金,2025
🚀 利潤擴張,-66.0,45.45,0.85,19.960000000000004,N/A,✅ 穩健價值,25.49,0.32,0.36,N/A,5604.TWO,13.632286824439463,33.45,30.3999996185,2026-03,中連,2025
🚀 利潤擴張,-11.63,470.83,0.76,19.539999999999964,N/A,💎 強力關注,451.29,0.89,0.56,N/A,6015.TWO,9.878049245670733,24.599999999999998,16.2000007629,2026-03,宏遠證,2025
🚀 利潤擴張,-134.86,45.71,-0.61,18.900000000000002,N/A,⚪ 數據不足,26.81,-0.19,-8.35,N/A,5202.TWO,0.0,-30.900000000000002,12.5500001907,2026-03,力新,2025
🏰 高護城河,13.1,41.03,1.9,18.060000000000002,97.25%,💎 強力關注,22.97,0.55,4.06,45.93%,2880.TW,8.62288151756356,70.8,40.7000007629,2026-03,華南金,2025
🚀 利潤擴張,35.0,234.78,0.81,17.97999999999999,31.93%,⚠️ 追價風險,216.8,0.31,13.9,8.13%,3581.TWO,173.07692307692307,9.75,112.5,2026-03,博磊,2025
🏰 高護城河,28.3,33.33,0.68,17.229999999999997,89.95%,💎 強力關注,16.1,0.2,14.52,32.37%,2836.TW,7.648809750892856,25.200000000000003,12.8500003815,2026-03,高雄銀,2025
🚀 利潤擴張,107.11,331.43,0.15,15.160000000000025,N/A,⚠️ 追價風險,316.27,1.67,25.43,N/A,4991.TWO,521.25,11.999999999999998,417.0,2026-03,環宇-KY,2025
🧐 疑業外收益,14.12,10.53,2.91,12.35,N/A,⚪ 數據不足,-1.82,0.42,10.14,N/A,7819.TWO,0.0,0.0,35.5,2026-03,精誠金融,2025
🏰 高護城河,-10.99,34.04,1.74,12.0,78.38%,💎 強力關注,22.04,0.69,-12.26,39.14%,2883.TW,8.044619322440946,57.14999999999999,30.6499996185,2026-03,凱基金,2025
🚀 利潤擴張,-14.12,52.29,-2.92,10.350000000000001,N/A,⚪ 數據不足,41.94,-0.53,-0.97,N/A,6657.TW,0.0,-109.2,34.0,2026-03,華安,2025
🏰 高護城河,4.19,29.13,25.6,9.14,100.00%,⚠️ 追價風險,19.99,7.98,6.74,60.64%,3529.TWO,39.09465020576132,947.7,2470.0,2026-03,力旺,2025
🔄 轉虧為盈,-53.57,283.33,-0.43,8.629999999999995,24.77%,⚪ 數據不足,274.7,0.23,-8.31,-4.59%,1236.TW,0.0,-14.25,23.5499992371,2026-03,宏亞,2025
🔄 轉虧為盈,-827.91,153.49,-3.35,7.890000000000015,27.77%,⚪ 數據不足,145.6,0.25,-15.19,-13.99%,1598.TW,0.0,-89.10000000000001,19.75,2026-03,岱宇,2025
🚀 利潤擴張,24.93,56.0,4.66,7.82,N/A,✅ 穩健價值,48.18,0.39,15.86,N/A,8272.TWO,7.475193280242558,136.05,67.8000030518,2026-03,全景軟體,2025
🏰 高護城河,-7.32,37.5,0.38,7.48,84.77%,⚠️ 追價風險,30.02,0.11,-2.15,20.24%,2901.TW,27.166667514333334,13.5,24.4500007629,2026-03,欣欣,2025
🌑 雙重衰退,14.95,-5.56,-0.92,5.7299999999999995,N/A,⚪ 數據不足,-11.29,-0.19,-3.6,N/A,4178.TWO,0.0,0.0,0.0,2026-03,未知,2025
🌑 雙重衰退,14.95,-5.56,-0.92,5.7299999999999995,N/A,⚪ 數據不足,-11.29,-0.19,-3.6,N/A,4178.TW,0.0,0.0,18.6499996185,2026-03,永笙-KY,2025
🚀 利潤擴張,-38.13,114.29,0.99,5.1200000000000045,N/A,✅ 穩健價值,109.17,1.5,-3.57,N/A,6195.TWO,6.415094519551887,63.6,27.2000007629,2026-03,詩肯,2025
🏰 高護城河,0.85,16.67,2.36,4.100000000000001,83.45%,✅ 穩健價值,12.57,0.63,-1.77,33.61%,2886.TW,7.903752163605221,91.94999999999999,48.4500007629,2026-03,兆豐金,2025
🏰 高護城河,41.18,16.67,0.25,3.8000000000000025,73.82%,⚠️ 追價風險,12.87,0.07,13.2,-7.29%,3094.TW,73.87755257734693,7.35,36.2000007629,2026-03,聯傑,2025
🔄 轉虧為盈,-326.32,300.0,-0.43,3.490000000000009,N/A,⚪ 數據不足,296.51,0.24,-8.05,N/A,4939.TWO,0.0,-22.2,62.7000007629,2026-03,亞電,2025
🚀 利潤擴張,18.52,5.8,2.56,3.3499999999999996,N/A,⚪ 數據不足,2.45,0.73,8.14,N/A,7839.TWO,0.0,0.0,45.5999984741,2026-03,達人網,2025
