name,om,advice,prev_year,rev_yoy,symbol,est_price,date,expansion,prev_rev_yoy,prev_eps_yoy,eps_yoy,price,gm,prev_eps,status,eps,pe
玉山金,40.48%,⚪ 中性觀察,2025,19.37,2884.TW,81.0,2026-03,-6.640000000000001,20.44,30.06,12.73,38.0999984741,91.14%,2.12,🏰 高護城河,0.62,7.055555272981481
瑞基,-9.23%,⚪ 數據不足,2025,56.73,4171.TWO,-79.95,2026-03,-6.729999999999997,12.71,8.21,50.0,16.8999996185,73.67%,-1.93,🏰 高護城河,-0.09,0.0
中信金,31.38%,⚪ 中性觀察,2025,22.25,2891.TW,151.5,2026-03,-7.1,29.29,11.73,15.15,66.5,70.98%,4.08,🏰 高護城河,1.18,6.584158415841585
富邦金,22.46%,⚪ 中性觀察,2025,-10.41,2881.TW,307.35,2026-03,-9.66,9.74,-21.56,-20.07,129.5,42.21%,8.37,🌑 雙重衰退,2.4,6.320156173743289
德英,42.63%,⚪ 中性觀察,2025,-52.83,4911.TWO,80.39999999999999,2026-03,-10.07,24.13,26.01,-62.9,27.7999992371,85.36%,2.18,🏰 高護城河,0.23,5.186567021847015
皇普,10.37%,⚪ 中性觀察,2025,-98.55,2528.TW,130.95000000000002,2026-03,-10.710000000000008,130.3,12.42,-109.26,20.1499996185,15.63%,3.65,🌑 雙重衰退,-0.11,2.3081328314432987
正瀚-創,N/A,⚪ 中性觀察,2025,17.4,6534.TW,255.0,2026-03,-10.719999999999999,11.21,-2.59,6.68,91.0999984741,N/A,4.51,⚠️ 獲利稀釋,4.15,5.358823439652942
日盛台駿,N/A,⚪ 數據不足,2025,174.36,6958.TW,-70.65,2026-03,-11.030000000000001,-7.09,-280.56,163.33,17.3999996185,N/A,-2.38,🔄 轉虧為盈,0.2,0.0
台中銀,51.96%,⚪ 中性觀察,2025,13.77,2812.TW,57.300000000000004,2026-03,-11.209999999999999,6.96,0.0,2.56,19.0,93.02%,1.53,🏰 高護城河,0.4,4.973821989528796
ABC-KY,N/A,⚪ 數據不足,2025,168.99,6598.TW,-61.349999999999994,2026-03,-11.850000000000023,38.52,22.83,157.14,27.75,N/A,-1.96,🔄 轉虧為盈,0.2,0.0
晶宏,-3.65%,❌ 暫避觀望,2025,149.28,3141.TWO,16.65,2026-03,-12.140000000000015,7.08,-54.31,137.14,69.6999969482,38.56%,0.54,⚠️ 獲利稀釋,0.84,62.79279004342342
大將,-2853.40%,⚪ 數據不足,2025,72.15,1453.TW,-1.05,2026-03,-13.820000000000007,7.27,100.0,58.33,11.1999998093,912.85%,0.04,🏰 高護城河,-0.05,0.0
國泰金,30.59%,⚪ 中性觀察,2025,12.33,2882.TW,254.09999999999997,2026-03,-13.85,-2.04,-2.94,-1.52,99.1999969482,62.29%,7.06,🏰 高護城河,2.15,5.855962039445101
永豐金,37.14%,⚪ 中性觀察,2025,47.42,2890.TW,79.35,2026-03,-14.090000000000003,15.47,4.57,33.33,39.5999984741,91.41%,1.97,🏰 高護城河,0.76,7.485822017788279
永冠-KY,-5.22%,⚪ 數據不足,2025,16.77,1589.TW,-222.15,2025-09,-15.41,18.73,65.91,1.36,5.5399999619,7.87%,-2.71,⚠️ 獲利稀釋,-5.06,0.0
遠東銀,38.22%,⚪ 中性觀察,2025,11.99,2845.TW,34.800000000000004,2026-03,-15.84,0.06,-14.85,-3.85,13.4499998093,102.49%,0.93,🏰 高護城河,0.25,5.797413710905172
大洋-KY,N/A,⚪ 數據不足,2025,8.46,5907.TW,-159.0,2026-03,-15.91,-14.95,-73.66,-7.45,4.8800001144,N/A,-4.55,📉 獲利侵蝕,-1.01,0.0
華票,65.42%,⚪ 中性觀察,2025,76.08,2820.TW,53.849999999999994,2026-03,-16.08,33.06,31.37,60.0,16.25,87.03%,1.34,🏰 高護城河,0.48,4.5264623955431755
訊連,N/A,⚪ 中性觀察,2025,20.0,5203.TW,126.89999999999999,2026-03,-16.12,18.91,-9.05,3.88,58.4000015259,N/A,3.63,⚠️ 獲利稀釋,1.34,6.903073466418441
寶齡富錦,13.25%,⚪ 中性觀察,2025,98.16,1760.TW,78.60000000000001,2026-03,-16.340000000000003,1.66,53.1,81.82,58.2999992371,52.35%,2.22,🏰 高護城河,0.6,11.12595405288168
直得,9.16%,❌ 暫避觀望,2025,197.09,1597.TW,30.150000000000002,2026-03,-17.090000000000003,9.81,-15.24,180.0,139.5,38.83%,0.91,⚠️ 獲利稀釋,0.43,69.40298507462686
上緯投控,-95.04%,⚪ 中性觀察,2025,-54.13,3708.TW,545.4000000000001,2026-03,-18.21,-30.75,1276.65,-72.34,104.0,24.80%,35.57,🌑 雙重衰退,0.13,2.86028602860286
隆中,N/A,⚪ 數據不足,2025,54.92,6542.TWO,-8.100000000000001,2026-03,-21.590000000000003,10.22,-99.01,33.33,43.8499984741,N/A,0.02,⚠️ 獲利稀釋,0.04,0.0
統領,51.79%,⚪ 中性觀察,2025,18.36,2910.TW,42.45,2026-03,-21.689999999999998,-14.47,8.85,-3.33,24.0,87.61%,1.23,🏰 高護城河,0.29,8.480565371024735
雃博,N/A,⚪ 中性觀察,2025,122.47,4106.TW,45.45,2026-03,-22.47,0.74,5.26,100.0,24.7999992371,N/A,1.2,⚠️ 獲利稀釋,0.46,8.184818230066005
IET-KY,N/A,❌ 暫避觀望,2025,254.17,4971.TWO,45.6,2026-03,-22.839999999999975,50.49,146.97,231.33,556.0,N/A,1.65,⚠️ 獲利稀釋,1.97,182.89473684210526
敘豐,N/A,⚪ 數據不足,2025,-6.85,3485.TWO,0.0,2026-03,-23.32,-10.06,-17.37,-30.17,207.0,N/A,5.9,🌑 雙重衰退,1.69,0.0
藥華藥,N/A,❌ 暫避觀望,2025,76.92,6446.TW,530.85,2026-03,-23.950000000000003,60.61,53.11,52.97,1400.0,N/A,13.64,⚠️ 獲利稀釋,5.79,39.55919751342187
長聖,N/A,⚪ 中性觀察,2025,49.97,6712.TWO,177.14999999999998,2026-03,-25.2,8.96,7.69,24.77,147.5,N/A,4.88,⚠️ 獲利稀釋,1.39,12.489415749364946
鑫傳,N/A,⚪ 中性觀察,2025,47.77,6856.TWO,83.55000000000001,2026-03,-26.030000000000005,19.24,-36.41,21.74,43.2000007629,N/A,2.62,⚠️ 獲利稀釋,0.56,7.755834966409335
伍豐,N/A,❌ 暫避觀望,2025,326.44,8076.TWO,9.750000000000002,2026-03,-26.439999999999998,-11.54,-90.28,300.0,23.3999996185,N/A,0.14,⚠️ 獲利稀釋,0.16,35.999999413076914
名軒,34.02%,⚪ 中性觀察,2025,-55.17,1442.TW,116.85,2026-03,-27.14,-62.17,-57.74,-82.31,29.6000003815,49.04%,3.03,🌑 雙重衰退,0.23,3.7997433095635427
雲象科技-創,N/A,⚪ 數據不足,2025,-6.92,7803.TW,0.0,2026-03,-27.559999999999995,91.93,-67.15,-34.48,0.0,N/A,-2.29,🌑 雙重衰退,-0.78,0.0
未知,N/A,⚪ 數據不足,2025,-6.92,7803.TWO,0.0,2026-03,-27.559999999999995,91.93,-67.15,-34.48,0.0,N/A,-2.29,🌑 雙重衰退,-0.78,0.0
華園,10.47%,⚪ 數據不足,2025,18.79,2702.TW,-24.3,2026-03,-28.31,-2.27,-234.62,-9.52,12.1499996185,89.24%,-0.35,🔄 轉虧為盈,0.19,0.0
雙美,41.97%,⚪ 中性觀察,2025,28.12,4728.TWO,521.55,2026-03,-28.85,11.45,6.9,-0.73,391.5,77.03%,13.33,🏰 高護城河,4.07,11.259706643658328
森鉅,N/A,⚪ 中性觀察,2025,20.98,8942.TWO,78.15,2026-03,-28.87,-20.5,-66.05,-7.89,41.5499992371,N/A,1.83,📉 獲利侵蝕,1.05,7.975047838214972
美食-KY,7.94%,⚪ 數據不足,2025,39.9,2723.TW,-53.400000000000006,2026-03,-28.88,-4.59,-175.3,11.02,62.5,59.54%,-2.47,🔄 轉虧為盈,1.31,0.0
和潤企業,N/A,⚪ 中性觀察,2025,55.42,6592.TW,158.4,2026-03,-30.67,-18.16,10.4,24.75,60.5999984741,N/A,4.72,⚠️ 獲利稀釋,0.76,5.738636219138257
廣閎科,N/A,⚪ 數據不足,2025,542.16,6693.TWO,-26.700000000000003,2026-03,-31.44999999999999,29.21,-102.7,510.71,172.5,N/A,-0.09,🔄 轉虧為盈,1.17,0.0
泓瀚,3.21%,❌ 暫避觀望,2025,244.69,4741.TWO,7.35,2026-03,-34.69,-17.82,-85.43,210.0,43.5,33.55%,0.29,⚠️ 獲利稀釋,0.31,88.77551020408164
中福,-1427.47%,⚪ 數據不足,2025,54.92,1435.TW,-14.1,2026-03,-34.92,-43.98,-51.85,20.0,23.4500007629,64.71%,-0.41,🏰 高護城河,-0.08,0.0
御嵿,N/A,⚪ 數據不足,2025,125.1,3522.TWO,-81.6,2026-03,-35.099999999999994,27.85,-17.7,90.0,11.6499996185,N/A,-2.66,🔄 轉虧為盈,0.4,0.0
富華新,-1.56%,⚪ 中性觀察,2025,-63.16,3056.TW,55.05,2026-03,-36.16,-68.21,-82.6,-99.32,14.0500001907,21.31%,1.07,🌑 雙重衰退,0.01,3.828337926621254
樂事綠能,7.13%,⚪ 中性觀察,2025,470.92,1529.TW,45.3,2026-03,-37.59000000000003,32.89,876.92,433.33,16.7999992371,16.87%,1.01,⚠️ 獲利稀釋,0.16,5.562913654668875
強盛新,N/A,❌ 暫避觀望,2025,-64.4,1463.TW,16.650000000000002,2026-03,-37.72999999999999,23.84,-95.82,-102.13,17.7000007629,N/A,0.13,🌑 雙重衰退,-0.01,15.945946633243242
騰雲,N/A,❌ 暫避觀望,2025,104.62,6870.TWO,210.89999999999998,2026-03,-37.95,20.33,40.48,66.67,257.5,N/A,7.08,⚠️ 獲利稀釋,1.1,18.314366998577526
弘煜科,N/A,⚪ 中性觀察,2025,-33.46,6482.TWO,80.1,2026-03,-38.26,-10.07,-34.28,-71.72,28.3999996185,N/A,2.32,🌑 雙重衰退,0.28,5.318351988483147
光焱科技,N/A,❌ 暫避觀望,2025,94.63,7728.TWO,142.5,2026-03,-38.51,-6.16,-45.05,56.12,585.0,N/A,4.92,⚠️ 獲利稀釋,1.53,61.578947368421055
天能綠電,N/A,⚪ 數據不足,2025,86.87,7842.TWO,0.0,2026-03,-39.09,123.22,112.83,47.78,100.5,N/A,4.01,⚠️ 獲利稀釋,1.33,0.0
溢泰實業,N/A,⚪ 數據不足,2025,-12.84,7818.TW,0.0,2026-03,-39.849999999999994,-4.14,-28.57,-52.69,62.4000015259,N/A,5.65,🌑 雙重衰退,0.88,0.0
未知,N/A,⚪ 數據不足,2025,-12.84,7818.TWO,0.0,2026-03,-39.849999999999994,-4.14,-28.57,-52.69,0.0,N/A,5.65,🌑 雙重衰退,0.88,0.0
泓格,14.28%,❌ 暫避觀望,2025,130.77,3577.TWO,103.20000000000002,2026-03,-39.860000000000014,9.44,46.3,90.91,120.5,53.43%,2.37,🏰 高護城河,1.47,17.514534883720927
點晶,6.07%,⚪ 數據不足,2025,123.55,3288.TWO,-25.049999999999997,2026-03,-39.879999999999995,-10.15,-74.29,83.67,22.8500003815,71.52%,-0.64,🏰 高護城河,-0.08,0.0
群益期,N/A,⚪ 中性觀察,2025,97.36,6024.TW,207.15,2026-03,-40.22,9.98,-6.01,57.14,60.7999992371,N/A,5.48,⚠️ 獲利稀釋,1.76,4.4026067514192615
沛爾生醫-創,N/A,⚪ 數據不足,2025,50.51,6949.TW,-235.35000000000002,2026-03,-40.43,60.07,44.38,10.08,1055.0,N/A,-7.23,⚠️ 獲利稀釋,-1.18,0.0
億而得,N/A,❌ 暫避觀望,2025,-6.55,6423.TWO,27.450000000000003,2026-03,-40.510000000000005,2.34,-39.36,-47.06,78.0,N/A,0.58,🌑 雙重衰退,0.28,42.62295081967213
旅天下,N/A,⚪ 數據不足,2025,0.49,6961.TWO,0.0,2026-03,-40.620000000000005,-8.56,16.53,-40.13,51.0,N/A,4.23,📉 獲利侵蝕,1.9,0.0
