rev_yoy,prev_rev_yoy,name,symbol,est_price,prev_year,prev_eps_yoy,price,prev_eps,date,expansion,eps,pe,eps_yoy,status,om,gm,advice
268.59,-4.81,美達科技,6735.TWO,-7.200000000000001,2025,-84.51,66.8000030518,0.33,2026-03,114.74000000000001,0.29,0.0,383.33,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
-21.56,-7.78,益航,2601.TW,-33.6,2025,-365.71,6.5700001717,-1.63,2026-03,109.06,-0.02,0.0,87.5,🏰 高護城河,-12.62%,102.69%,⚪ 數據不足
161.56,-5.33,暉盛-創,7730.TW,50.699999999999996,2025,-45.51,166.0,1.73,2026-03,108.44,0.37,49.11242603550296,270.0,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
67.27,-16.81,麗嬰房,2911.TW,-40.05,2025,152.83,7.1500000954,2.15,2026-03,96.19000000000001,0.66,0.0,163.46,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
57.36,-7.4,網龍,3083.TWO,13.05,2025,-46.91,25.25,0.43,2026-03,92.64,0.3,29.022988505747126,150.0,🏰 高護城河,12.73%,87.57%,⚠️ 追價風險
990.52,14.16,青松健康,6931.TW,44.550000000000004,2025,104.41,39.2000007629,1.39,2026-03,89.48000000000002,0.49,13.198653455521884,1080.0,🚀 利潤擴張,N/A,N/A,✅ 穩健價值
486.21,-18.58,宏佳騰,1599.TWO,-24.299999999999994,2025,-169.49,22.6499996185,-0.84,2026-03,88.79000000000002,0.28,0.0,575.0,🔄 轉虧為盈,-21.33%,16.92%,⚪ 數據不足
81.97,0.19,中裕,4147.TWO,-18.3,2025,17.57,58.9000015259,-0.61,2026-03,84.69999999999999,0.06,0.0,166.67,🔄 轉虧為盈,-58.34%,28.91%,⚪ 數據不足
102.97,-14.02,昭輝,1339.TW,97.8,2025,-51.9,44.2000007629,2.41,2026-03,83.63,2.78,6.779141221303681,186.6,🚀 利潤擴張,13.17%,33.66%,💎 強力關注
309.82,15.32,偉詮電,2436.TW,81.9,2025,78.06,56.5999984741,3.02,2026-03,83.04000000000002,0.7,10.366300086831501,392.86,🚀 利潤擴張,3.76%,30.84%,💎 強力關注
97.11,-8.83,威鋒電子,6756.TW,45.449999999999996,2025,-50.67,92.1999969482,1.11,2026-03,81.14999999999999,0.64,30.42904189709571,178.26,🚀 利潤擴張,N/A,N/A,⚠️ 追價風險
62.07,2.09,宇峻,3546.TWO,77.99999999999999,2025,-64.44,71.4000015259,1.97,2026-03,74.29000000000002,2.34,13.730769524211539,136.36,🏰 高護城河,20.17%,89.44%,✅ 穩健價值
26.64,22.72,奧義賽博-KY創,7823.TW,0.0,2025,96.29,84.0,-1.49,2026-03,73.29,-0.15,0.0,99.93,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
-97.71,19.25,昱泉,6169.TWO,-96.44999999999999,2025,-99.18,14.1000003815,-2.43,2026-03,71.78,-0.68,0.0,-25.93,🌑 雙重衰退,N/A,N/A,⚪ 數據不足
578.38,0.63,冠好,8354.TWO,-17.549999999999997,2025,-91.14,16.0,0.14,2026-03,71.62,0.3,0.0,650.0,🚀 利潤擴張,N/A,N/A,⚪ 數據不足
