eps,expansion,prev_eps,eps_yoy,advice,symbol,om,name,pe,date,status,rev_yoy,gm,prev_year,prev_rev_yoy,est_price,prev_eps_yoy,price
1.9,56.41999999999999,2.52,206.45,💎 強力關注,6208.TWO,N/A,日揚,9.789196713017128,2026-03,🚀 利潤擴張,150.03,N/A,2025,-4.59,113.85,-26.32,74.3000030518
1.46,55.839999999999975,1.19,204.17,💎 強力關注,4747.TWO,N/A,強生,4.937759177821577,2026-03,🚀 利潤擴張,148.33,N/A,2025,-6.81,72.30000000000001,-36.9,23.7999992371
0.13,55.43000000000001,-0.6,244.44,⚪ 數據不足,8040.TWO,N/A,九暘,0.0,2026-03,🔄 轉虧為盈,189.01,N/A,2025,2.65,-18.45,49.15,94.5
2.62,54.05000000000001,12.33,239.47,💎 強力關注,4123.TWO,-106.23%,晟德,1.6986828080625687,2026-03,🚀 利潤擴張,185.42,41.95%,2025,-6.28,273.29999999999995,905.92,30.9500007629
-1.43,52.519999999999996,-3.92,-2.96,⚪ 數據不足,6934.TW,N/A,心誠鎂,0.0,2026-03,🌑 雙重衰退,-55.48,N/A,2025,-29.22,0.0,-48.08,75.5
3.29,51.74000000000001,6.82,147.37,💎 強力關注,6574.TWO,N/A,霈方,7.036817102137768,2026-03,🚀 利潤擴張,95.63,N/A,2025,6.51,252.6,66.34,118.5
7.68,47.56,13.04,139.49,⚪ 數據不足,7711.TW,N/A,永擎,0.0,2026-03,🚀 利潤擴張,91.93,N/A,2025,182.72,0.0,38.44,0.0
1.01,46.579999999999984,1.5,406.06,⚪ 中性觀察,3287.TWO,N/A,廣寰科,19.36320718731132,2026-03,🚀 利潤擴張,359.48,N/A,2025,23.54,31.8,-36.17,41.0499992371
0.03,45.849999999999994,5.29,112.5,💎 強力關注,9949.TWO,N/A,琉園,2.4564994882292734,2026-03,🚀 利潤擴張,66.65,N/A,2025,-17.0,146.54999999999998,544.54,24.0
0.46,39.24,4.85,55.17,💎 強力關注,6620.TWO,N/A,漢達,10.791993037423847,2026-03,🚀 利潤擴張,15.93,N/A,2025,108.17,172.35,31.64,124.0
0.08,35.860000000000014,0.12,300.0,⚪ 數據不足,2388.TW,-8.17%,威盛,0.0,2026-03,🚀 利潤擴張,264.14,20.64%,2025,-40.0,-30.6,-93.75,70.0999984741
1.19,34.20000000000002,2.15,190.24,💎 強力關注,3556.TWO,14.95%,禾瑞亞,10.531135531135531,2026-03,🏰 高護城河,156.04,50.66%,2025,1.24,81.9,-5.7,57.5
0.87,32.379999999999995,2.99,42.62,⚪ 數據不足,7821.TW,N/A,神數,0.0,2026-03,🚀 利潤擴張,10.24,N/A,2025,19.28,0.0,91.67,36.75
11.94,28.590000000000003,7.56,34.92,⚪ 數據不足,2072.TWO,30.89%,未知,0.0,2025-12,🚀 利潤擴張,6.33,35.24%,2025,15.19,0.0,-17.2,0.0
-0.36,27.259999999999998,-1.89,23.4,⚪ 數據不足,6794.TW,N/A,向榮生技,0.0,2026-03,🧐 疑業外收益,-3.86,N/A,2025,-5.58,-70.05,-13.21,72.9000015259
0.11,27.04000000000002,-0.45,450.0,⚪ 數據不足,1467.TW,1.90%,南緯,0.0,2026-03,🔄 轉虧為盈,422.96,23.39%,2025,2.23,-28.950000000000003,-197.83,8.0500001907
1.62,26.23,3.24,42.86,⚪ 數據不足,7768.TW,N/A,頌勝科技,0.0,2026-03,🚀 利潤擴張,16.63,N/A,2025,3.08,0.0,-27.83,304.5
