股票代碼         名稱              收盤價       最佳均線          勝率%            報酬%       次數        外資5日買 目前狀態                
1471.TW      首利            13.75          4        54.55          28.67        1          148 📉 觀望/賣出             
1477.TW      聚陽            293.0          8         50.0           0.68        2        -3143 📉 觀望/賣出             
1503.TW      士電            200.0          7         50.0          23.84        2        -1477 📉 觀望/賣出             
1504.TW      東元             69.3         19          0.0            0.0        0         -640 📉 觀望/賣出             
1512.TW      瑞利             8.01          4        100.0           2.17        0         -107 📈 持有                
1513.TW      中興電           158.5          8        58.33          14.42        2           61 📈 持有                
1514.TW      亞力            115.5          5        63.64          30.15        2          225 📈 持有                
1516.TW      川飛             22.5          4        58.82           3.97        6          -64 📉 觀望/賣出             
1519.TW      華城            909.0          3         70.0          31.04        1         -726 📉 觀望/賣出             
1522.TW      堤維西            34.8          8         62.5           9.09        1        -2367 📉 觀望/賣出             
1525.TW      江申             61.6          8        45.45          -4.02        3          -12 📉 觀望/賣出             
1528.TW      恩德             22.4          4        66.67          35.27        1         1372 📈 持有                
1529.TW      樂事綠能           28.9          4        73.68          54.94        2        -1010 📈 持有                
1535.TW      中宇             52.2          3        63.64           7.78        4          -65 📉 觀望/賣出             
1536.TW      和大             52.6         20          0.0          -2.39        1          143 📉 觀望/賣出             
1537.TW      廣隆            124.0          4         37.5           -0.4        4           49 📈 持有                
1538.TW      正峰             17.5          3         60.0           -2.3        3            0 📉 觀望/賣出             
1560.TW      中砂            453.5          3        45.45          15.75        4        -2059 📉 觀望/賣出             
1563.TW      巧新             41.0         19          0.0            0.0        0          -51 📉 觀望/賣出             
1568.TW      倉佑            22.35          3        77.78          10.95        2          -49 📈 持有                
1569.TWO     濱川             51.3          4         60.0          11.16        2           93 📉 觀望/賣出             
1582.TW      信錦             86.6          6         56.0          31.64        1         -432 📉 觀望/賣出             
1583.TW      程泰            42.55          4         62.5           8.55        2          -12 📉 觀望/賣出             
1584.TWO     精剛            22.55          6        53.85          -5.33        4          278 📉 觀望/賣出             
1587.TW      吉茂             37.4         15          0.0            0.0        0         -134 📉 觀望/賣出             
1589.TW      永冠-KY          8.77         18          0.0            0.0        0          142 📉 觀望/賣出             
1590.TW      亞德客-KY       1015.0          7        73.33          18.06        2           30 📉 觀望/賣出             
1591.TWO     駿吉-KY         45.25         20        16.67          -2.75        2         -137 📉 觀望/賣出             
1593.TWO     祺驊             33.2          4        57.14           5.71        2            4 📉 觀望/賣出             
1597.TW      直得             78.0          8        53.33           6.29        3          298 📈 持有                
1599.TWO     宏佳騰           26.05          9          0.0          -3.17        1           -2 📉 觀望/賣出             
1603.TW      華電            34.25         11        42.86           1.45        2        -2173 📉 觀望/賣出             
1605.TW      華新             32.9          5        45.45           1.89        3         9995 📈 持有                
1608.TW      華榮            33.45         20          0.0           -5.8        1        -5509 📉 觀望/賣出             
1609.TW      大亞            35.75          5        71.43           6.58        2        -2716 📉 觀望/賣出             
1611.TW      中電             13.1          5        33.33           -1.5        4          710 📉 觀望/賣出             
1612.TW      宏泰             35.9          8        57.14           7.31        2         -274 📈 持有                
1616.TW      億泰             24.8          4         50.0           0.73        3        -2562 📉 觀望/賣出             
1623.TW      大東電           200.0          5        33.33           0.65        3          124 📉 觀望/賣出             
1708.TW      東鹼             43.2         18        57.14           5.66        1          863 📉 觀望/賣出             
1709.TW      和益             18.3         18        42.86           4.84        1           99 📈 持有                
1710.TW      東聯             13.6          5        53.85           -4.4        4        -2943 📉 觀望/賣出             
1711.TW      永光             35.5         18        76.47          56.73        0         5354 📈 持有                
1714.TW      和桐             9.38          8         50.0           3.15        3          181 📉 觀望/賣出             
1717.TW      長興             63.6          5         70.0          30.18        1         1378 📈 持有                
1718.TW      中纖             7.38          6         50.0          -4.24        5         6949 📉 觀望/賣出             
1721.TW      三晃             20.8          4         50.0          -3.78        1          937 📉 觀望/賣出             
1723.TW      中碳             76.8          4        64.29          12.08        2          511 📈 持有                
1725.TW      元禎            32.45          5        54.55           0.89        2          -62 📉 觀望/賣出             
1726.TW      永記             75.5          3        54.55           0.64        4          -45 📉 觀望/賣出             
1727.TW      中華化            55.3         16         60.0          13.67        0         5052 📈 持有                
1735.TW      日勝化            26.1         18        57.14          42.33        1         -248 📈 持有                
1736.TW      喬山            131.0         16          0.0            0.0        0         -379 📉 觀望/賣出             
1762.TW      中化生            29.2         10        47.06           1.09        2          -63 📈 持有                
1773.TW      勝一            148.0          3         50.0            4.4        1          366 📈 持有                
