Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority
2201.TW,裕隆,2026-03-27,看跌 FVG,27.9,28.09,26.5,⏳ 待回測,監控中 🧹,0,51.72,-,3
2204.TW,中華,2026-03-25,看漲 FVG,55.0,54.43,57.75,✅ 已站穩,🟢 買進,0,46.3,2026-03-27,3
2206.TW,三陽工業,2026-03-12,看跌 FVG,58.5,59.4,55.57,❌ 已失效,實體過中線,0,37.97,2026-03-16,3
2208.TW,台船,2026-03-25,看漲 FVG,21.7,20.89,22.79,❌ 已失效,實體破中線,1,50.0,2026-03-27,3
2211.TW,長榮鋼,2026-03-27,看跌 FVG,100.5,101.5,95.47,⏳ 待回測,監控中,0,62.69,-,3
2230.TWO,泰茂,2026-03-26,看跌 FVG,32.0,32.26,30.4,❌ 已失效,實體過中線,0,44.78,-,3
2233.TW,宇隆,2026-03-27,看跌 FVG,230.5,233.16,218.97,⏳ 待回測,監控中,0,71.67,-,3
2236.TW,百達-KY,2026-03-25,看漲 FVG,110.0,106.96,115.5,⏳ 待回測,監控中 🧹,0,48.15,-,3
2241.TW,艾姆勒,2026-03-26,看跌 FVG,29.7,30.5,28.21,❌ 已失效,實體過中線,0,49.55,-,3
2248.TW,華勝-KY,2026-03-19,看跌 FVG,50.4,51.46,47.88,⏳ 待回測,監控中 🧹,0,54.79,-,3
2250.TW,IKKA-KY,2026-03-19,看跌 FVG,65.0,67.54,61.75,⚠️ 壓力確認,🔴 放空,0,38.02,2026-03-25,3
2301.TW,光寶科,2026-03-27,看跌 FVG,151.5,154.27,143.92,⏳ 待回測,監控中,0,52.88,-,3
2303.TW,聯電,2026-03-27,看跌 FVG,57.5,58.39,54.62,⏳ 待回測,監控中,0,43.79,-,3
2308.TW,台達電,2026-03-27,看跌 FVG,1495.0,1522.57,1420.25,⏳ 待回測,監控中 🧹,0,73.02,-,3
2312.TW,金寶,2026-03-23,看跌 FVG,23.3,23.77,22.13,💰 已達標,獲利點,0,44.12,2026-03-26,3
2316.TW,楠梓電,2026-03-23,看跌 FVG,104.5,111.05,99.27,💰 已達標,獲利點,0,53.72,2026-03-25,3
2317.TW,鴻海,2026-03-27,看跌 FVG,195.5,201.5,185.72,⏳ 待回測,監控中,0,37.78,-,3
2321.TW,東訊,2026-03-27,看跌 FVG,13.8,14.82,13.11,⏳ 待回測,監控中 🧹,0,4.55,-,3
2327.TW,國巨*,2026-03-27,看跌 FVG,258.0,260.29,245.1,⏳ 待回測,監控中,0,55.11,-,3
2328.TW,廣宇,2026-03-27,看跌 FVG,44.65,45.53,42.42,⏳ 待回測,監控中,0,58.86,-,3
2331.TW,精英,2026-03-27,看跌 FVG,21.75,22.11,20.66,⏳ 待回測,監控中,0,45.74,-,3
2332.TW,友訊,2026-03-25,看漲 FVG,15.3,15.07,16.07,✅ 已站穩,🟢 買進,0,51.92,2026-03-27,3
2338.TW,光罩,2026-03-26,看跌 FVG,47.1,48.34,44.74,⏳ 待回測,監控中,0,40.85,-,3
2345.TW,智邦,2026-03-27,看跌 FVG,1650.0,1668.3,1567.5,⏳ 待回測,監控中 🧹,0,68.71,-,3
2347.TW,聯強,2026-03-27,看跌 FVG,79.1,79.9,75.14,⏳ 待回測,監控中 🧹,0,77.29,-,3
2348.TW,海悅,2026-03-27,看跌 FVG,78.5,79.5,74.58,⏳ 待回測,監控中,0,72.44,-,3
2349.TW,錸德,2026-03-27,看跌 FVG,13.4,13.87,12.73,⏳ 待回測,監控中,0,56.07,-,3
2352.TW,佳世達,2026-03-27,看跌 FVG,23.4,23.92,22.23,⏳ 待回測,監控中,0,55.84,-,3
2353.TW,宏��,2026-03-27,看跌 FVG,27.15,27.34,25.79,⏳ 待回測,監控中,0,59.09,-,3
2354.TW,鴻準,2026-03-27,看跌 FVG,51.9,52.66,49.3,⏳ 待回測,監控中,0,50.0,-,3
2357.TW,華碩,2026-03-20,看跌 FVG,575.0,580.89,546.25,❌ 已失效,實體過中線,0,65.29,2026-03-24,3
2359.TW,所羅門,2026-03-27,看跌 FVG,112.0,113.06,106.4,⏳ 待回測,監控中,0,54.41,-,3
2363.TW,矽統,2026-03-26,看跌 FVG,49.2,50.05,46.74,⏳ 待回測,監控中,0,44.19,-,3
