est_price,eps,advice,pe,om,price,date,gm,status,eps_yoy,prev_rev_yoy,prev_eps_yoy,name,prev_eps,expansion,rev_yoy,symbol,prev_year
-13.5,-0.55,⚪ 數據不足,0.0,N/A,26.7000007629,2025-12,N/A,🧐 疑業外收益,58.65,-95.44,77.78,台新藥,-0.24,152.03,-93.38,6838.TW,2025
-5.8500000000000005,0.06,⚪ 數據不足,0.0,81.17%,11.1999998093,2025-12,98.33%,🔄 轉虧為盈,220.0,-79.84,-1000.0,太景*-KY,-0.22,147.76,72.24,4157.TWO,2025
2.4,0.13,⚠️ 追價風險,126.250004768125,22.84%,20.2000007629,2025-12,43.11%,🔄 轉虧為盈,141.94,-4.86,54.55,海灣,-0.1,145.65,-3.71,3252.TWO,2025
67.05000000000001,1.7,✅ 穩健價值,12.527964205816554,1.68%,56.0,2025-12,11.59%,🚀 利潤擴張,209.26,89.71,292.31,精確,1.25,143.77999999999997,65.48,3162.TWO,2025
107.1,2.71,💎 強力關注,6.28851561987395,-0.68%,44.9000015259,2025-12,5.83%,🧐 疑業外收益,133.62,-8.66,55.15,TPK-KY,2.56,142.39000000000001,-8.77,3673.TW,2025
4.050000000000001,0.08,⚠️ 追價風險,80.00000141296296,N/A,21.6000003815,2025-12,N/A,🧐 疑業外收益,119.51,-18.24,111.11,中湛,0.05,140.19,-20.68,6236.TWO,2025
6.449999999999999,0.25,⚠️ 追價風險,91.16279247186047,N/A,39.2000007629,2025-12,N/A,🚀 利潤擴張,180.65,48.16,119.23,天擎,0.05,138.32,42.33,6708.TWO,2025
9.450000000000005,0.17,⚠️ 追價風險,37.61904882999998,N/A,23.7000007629,2025-12,N/A,🧐 疑業外收益,104.91,-19.06,199.67,立凱-KY,2.99,137.15,-32.24,5227.TWO,2025
18.9,0.71,⚠️ 追價風險,64.52381194587302,N/A,81.3000030518,2025-12,N/A,🔄 轉虧為盈,152.21,14.7,70.64,點序,-0.32,135.37,16.84,6485.TWO,2025
-28.5,2.13,⚪ 數據不足,0.0,39.15%,220.5,2025-12,49.05%,🔄 轉虧為盈,229.88,32.43,-28.32,南亞科,-1.45,134.79,95.09,2408.TW,2025
205.50000000000003,7.11,💎 強力關注,4.817518248175182,5.14%,66.0,2025-12,8.09%,🚀 利潤擴張,178.19,55.41,167.46,鑫聯大投控,3.61,133.87,44.32,3709.TWO,2025
-57.45,-1.11,⚪ 數據不足,0.0,-223.66%,34.5999984741,2025-12,-8.98%,🧐 疑業外收益,58.98,-68.41,65.77,德晉,-0.81,131.46,-72.48,3466.TWO,2025
183.0,3.44,⚠️ 追價風險,140.1639344262295,41.27%,1710.0,2026-03,54.76%,🏰 高護城河,645.65,82.29,884.75,聯亞,4.66,130.47000000000003,515.18,3081.TWO,2025
-35.85,-0.95,⚪ 數據不足,0.0,-456.27%,16.9500007629,2025-12,-156.07%,🧐 疑業外收益,54.11,-81.44,16.25,太極,-0.67,129.82,-75.71,4934.TW,2025
130.35,3.56,💎 強力關注,5.868814729574224,6.32%,51.0,2025-12,18.52%,🧐 疑業外收益,108.46,-19.69,139.38,榮運,2.72,127.97999999999999,-19.52,2607.TW,2025
229.49999999999997,8.61,⚪ 中性觀察,18.725490196078432,N/A,286.5,2025-12,N/A,🚀 利潤擴張,159.21,12.38,103.38,青雲,3.03,126.62,32.59,5386.TWO,2025
0.0,0.74,⚪ 數據不足,0.0,-3.44%,0.0,2025-12,27.46%,🚀 利潤擴張,155.22,30.74,147.47,曜越,0.47,126.13,29.09,3540.TWO,2025
105.44999999999999,2.55,💎 強力關注,5.526315572418208,N/A,38.8499984741,2025-12,N/A,🚀 利潤擴張,177.17,62.88,130.34,山林水,2.05,125.85999999999999,51.31,8473.TW,2025
69.75,4.0,⚠️ 追價風險,83.9784946236559,13.87%,390.5,2025-12,31.80%,🧐 疑業外收益,120.99,-13.87,-40.53,穩懋,1.57,125.67999999999999,-4.69,3105.TWO,2025
43.650000000000006,0.92,💎 強力關注,11.408934970068726,N/A,33.2000007629,2025-12,N/A,🚀 利潤擴張,142.59,28.81,128.33,安鈦克,0.66,122.4,20.19,6276.TWO,2025
3.75,0.19,⚠️ 追價風險,29.7600002288,-3.62%,7.4400000572,2025-12,28.43%,🚀 利潤擴張,127.94,2.64,111.76,瑞利,0.04,119.85,8.09,1512.TW,2025
67.5,1.86,💎 強力關注,7.155555725088888,26.41%,32.2000007629,2025-12,32.97%,🚀 利潤擴張,177.61,217.33,425.0,綠意,1.04,117.96000000000001,59.65,2596.TWO,2025
10.350000000000001,0.12,⚠️ 追價風險,42.173913596376806,N/A,29.1000003815,2025-12,N/A,🚀 利潤擴張,139.29,34.06,190.91,泰霖,0.2,116.91,22.38,8080.TWO,2025
0.6000000000000001,0.19,⚠️ 追價風險,887.4999999999998,2.93%,35.5,2025-12,31.93%,🔄 轉虧為盈,122.09,8.77,97.22,氣立,-0.02,114.62,7.47,4555.TW,2025
-7.5,-0.23,⚪ 數據不足,0.0,N/A,21.2999992371,2025-12,N/A,🧐 疑業外收益,23.33,-92.7,55.56,瑞築,-0.12,113.42999999999999,-90.1,6198.TWO,2025
5.250000000000002,0.88,⚠️ 追價風險,29.142856597999987,-88.29%,10.1999998093,2025-12,35.38%,🧐 疑業外收益,51.72,-60.26,-14.81,中美實,0.23,113.31,-61.59,4702.TWO,2025
592.05,23.18,💎 強力關注,9.374208259437548,35.36%,370.0,2025-12,48.37%,🚀 利潤擴張,144.7,22.8,19.56,威剛,10.08,112.57,32.13,3260.TWO,2025
-17.700000000000003,-0.18,⚪ 數據不足,0.0,14.50%,11.8000001907,2025-12,-19.82%,🧐 疑業外收益,87.32,-15.81,28.07,千興,-0.41,109.96,-22.64,2025.TW,2025
-4.95,0.02,⚪ 數據不足,0.0,N/A,20.6000003815,2025-12,N/A,🧐 疑業外收益,102.7,-7.04,104.35,大拓-KY,0.02,109.10000000000001,-6.4,8455.TWO,2025
-5.399999999999999,0.54,⚪ 數據不足,0.0,N/A,30.7999992371,2025-12,N/A,🔄 轉虧為盈,134.62,17.8,50.67,佳龍,-0.37,108.56,26.06,9955.TW,2025
279.75000000000006,13.06,💎 強力關注,11.823056300268096,N/A,220.5,2025-12,N/A,🚀 利潤擴張,110.31,-15.55,-46.86,十銓,3.47,107.85000000000001,2.46,4967.TW,2025
-38.4,-0.92,⚪ 數據不足,0.0,N/A,13.8000001907,2025-12,N/A,🧐 疑業外收益,53.77,-51.54,80.0,創業家,-0.62,106.5,-52.73,8477.TWO,2025
94.35,2.83,💎 強力關注,3.6645467785532593,17.13%,23.0499992371,2025-12,26.51%,🚀 利潤擴張,108.09,7.39,127.38,國建,1.91,106.29,1.8,2501.TW,2025
-14.549999999999999,0.86,⚪ 數據不足,0.0,N/A,46.0,2025-12,N/A,🔄 轉虧為盈,168.25,5.09,29.25,威潤,-0.75,104.65,63.6,6465.TWO,2025
131.09999999999997,6.33,✅ 穩健價值,12.585812356979407,16.62%,110.0,2025-12,19.12%,🚀 利潤擴張,143.64,34.74,-29.03,凌航,1.5,103.75999999999999,39.88,3135.TW,2025
79.8,2.63,💎 強力關注,10.751879842650377,N/A,57.2000007629,2025-12,N/A,🚀 利潤擴張,164.15,77.79,156.36,撼訊,1.55,102.95,61.2,6150.TWO,2025
19.2,0.43,⚠️ 追價風險,41.562500596015624,2.26%,53.2000007629,2025-12,10.44%,🚀 利潤擴張,107.41,32.51,102.43,麗臺,0.09,101.99,5.42,2465.TW,2025
19.05,0.54,⚠️ 追價風險,28.89763839598425,-1.48%,36.7000007629,2025-12,40.82%,🚀 利潤擴張,100.0,2.58,241.67,誠品生活,0.34,98.16,1.84,2926.TWO,2025
65.7,2.32,💎 強力關注,5.856164296461188,7.07%,25.6499996185,2025-12,19.55%,🚀 利潤擴張,118.87,28.08,41.94,錩泰,1.32,97.42,21.45,1541.TW,2025
29.099999999999998,0.72,💎 強力關注,3.159793873402062,0.24%,6.1300001144,2025-12,24.41%,🚀 利潤擴張,110.31,9.38,133.57,虹光,0.47,96.7,13.61,2380.TW,2025
-7.0500000000000025,1.65,⚪ 數據不足,0.0,N/A,635.0,2025-12,N/A,🚀 利潤擴張,146.97,54.63,103.17,IET-KY,0.09,96.47999999999999,50.49,4971.TWO,2025
-7.35,0.16,⚪ 數據不足,0.0,N/A,12.5,2025-12,N/A,🚀 利潤擴張,104.43,7.31,116.43,雙喜,0.34,96.02000000000001,8.41,5516.TWO,2025
10.65,0.16,⚠️ 追價風險,860.56338028169,-9.15%,611.0,2025-12,12.43%,🚀 利潤擴張,134.04,49.52,317.65,上詮,0.37,95.32,38.72,3363.TWO,2025
