status,advice,gm,eps_yoy,rev_yoy,om,prev_rev_yoy,name,eps,pe,date,symbol,price,expansion,prev_year,prev_eps,est_price,prev_eps_yoy
🚀 利潤擴張,⚪ 數據不足,N/A,650.0,578.38,N/A,0.63,冠好,0.3,0.0,2026-03,8354.TWO,15.8000001907,71.62,2025,0.14,-17.549999999999997,-91.14
🚀 利潤擴張,✅ 穩健價值,25.49%,386.11,315.9,0.20%,22.56,台聯電,1.75,14.189474005452631,2026-03,4905.TWO,67.4000015259,70.21000000000004,2025,2.76,71.25,-5.15
🚀 利潤擴張,⚪ 數據不足,N/A,121.74,51.84,N/A,76.4,創新服務,1.02,0.0,2026-03,7828.TWO,1890.0,69.89999999999999,2025,6.33,0.0,44.08
🏰 高護城河,💎 強力關注,90.85%,127.27,58.58,38.94%,4.6,國票金,0.25,10.228757920588235,2026-03,2889.TW,15.6499996185,68.69,2025,0.63,22.95,3.28
🏰 高護城河,💎 強力關注,82.18%,107.35,40.15,20.98%,-4.63,麗豐-KY,1.41,5.484247374562427,2026-03,4137.TW,94.0,67.19999999999999,2025,7.13,257.1,24.43
🔄 轉虧為盈,⚪ 數據不足,54.59%,175.0,110.52,3.73%,-28.72,研勤,0.06,0.0,2026-03,3632.TWO,8.0,64.48,2025,-0.38,-15.3,-31.03
🚀 利潤擴張,⚪ 數據不足,N/A,106.9,42.91,N/A,2.38,和迅,0.6,0.0,2026-03,6986.TWO,44.5499992371,63.99000000000001,2025,2.43,0.0,-24.06
🔄 轉虧為盈,⚪ 數據不足,31.44%,175.0,111.03,-45.46%,-7.78,穎漢,0.11,0.0,2026-03,4562.TW,31.5499992371,63.97,2025,-1.28,-38.1,-184.44
🏰 高護城河,⚪ 數據不足,93.22%,62.5,-1.0,-55.72%,-29.69,泰偉,-0.27,0.0,2026-03,3064.TWO,18.0,63.5,2025,-3.51,-122.4,-7120.0
🚀 利潤擴張,💎 強力關注,N/A,235.0,171.79,N/A,12.14,群益證,1.34,5.081121056474926,2026-03,6005.TW,34.4500007629,63.21000000000001,2025,2.64,101.7,17.33
🚀 利潤擴張,⚠️ 追價風險,N/A,500.0,438.18,N/A,19.69,車王電,0.84,50.000000000000014,2026-03,1533.TW,33.5,61.81999999999999,2025,0.58,10.049999999999997,152.25
🚀 利潤擴張,✅ 穩健價值,20.98%,600.0,538.23,7.12%,-4.85,正隆,0.56,14.466667175266666,2026-03,1904.TW,21.7000007629,61.76999999999998,2025,0.74,22.5,34.55
🚀 利潤擴張,💎 強力關注,N/A,206.45,150.03,N/A,-4.59,日揚,1.9,10.974967464005271,2026-03,6208.TWO,83.3000030518,56.41999999999999,2025,2.52,113.85,-26.32
🚀 利潤擴張,💎 強力關注,N/A,204.17,148.33,N/A,-6.81,強生,1.46,10.248962972178424,2026-03,4747.TWO,49.4000015259,55.839999999999975,2025,1.19,72.30000000000001,-36.9
🔄 轉虧為盈,⚪ 數據不足,N/A,244.44,189.01,N/A,2.65,九暘,0.13,0.0,2026-03,8040.TWO,75.6999969482,55.43000000000001,2025,-0.6,-18.45,49.15
🚀 利潤擴張,💎 強力關注,41.95%,239.47,185.42,-106.23%,-6.28,晟德,2.62,2.1020855783260157,2026-03,4123.TWO,38.2999992371,54.05000000000001,2025,12.33,273.29999999999995,905.92
🌑 雙重衰退,⚪ 數據不足,N/A,-2.96,-55.48,N/A,-29.22,心誠鎂,-1.43,0.0,2026-03,6934.TW,79.8000030518,52.519999999999996,2025,-3.92,0.0,-48.08
🚀 利潤擴張,💎 強力關注,N/A,147.37,95.63,N/A,6.51,霈方,3.29,7.600950118764846,2026-03,6574.TWO,128.0,51.74000000000001,2025,6.82,252.6,66.34
🚀 利潤擴張,⚪ 數據不足,N/A,139.49,91.93,N/A,182.72,永擎,7.68,0.0,2026-03,7711.TW,0.0,47.56,2025,13.04,0.0,38.44
🚀 利潤擴張,✅ 穩健價值,N/A,406.06,359.48,N/A,23.54,廣寰科,1.01,13.749999820047169,2026-03,3287.TWO,29.1499996185,46.579999999999984,2025,1.5,31.8,-36.17
🚀 利潤擴張,💎 強力關注,N/A,112.5,66.65,N/A,-17.0,琉園,0.03,2.425793322712385,2026-03,9949.TWO,23.7000007629,45.849999999999994,2025,5.29,146.54999999999998,544.54
🚀 利潤擴張,💎 強力關注,N/A,55.17,15.93,N/A,108.17,漢達,0.46,7.38033098797215,2026-03,6620.TWO,84.8000030518,39.24,2025,4.85,172.35,31.64
🚀 利潤擴張,⚪ 數據不足,20.64%,300.0,264.14,-8.17%,-40.0,威盛,0.08,0.0,2026-03,2388.TW,73.4000015259,35.860000000000014,2025,0.12,-30.6,-93.75
🏰 高護城河,💎 強力關注,50.66%,190.24,156.04,14.95%,1.24,禾瑞亞,1.19,11.373626094157508,2026-03,3556.TWO,62.0999984741,34.20000000000002,2025,2.15,81.9,-5.7
