prev_eps_yoy,gm,om,prev_rev_yoy,expansion,name,prev_year,est_price,eps,prev_eps,eps_yoy,advice,date,status,pe,price,symbol,rev_yoy
38.44,N/A,N/A,182.72,47.56,永擎,2025,0.0,7.68,13.04,139.49,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,0.0,7711.TW,91.93
-36.17,N/A,N/A,23.54,46.579999999999984,廣寰科,2025,31.8,1.01,1.5,406.06,✅ 穩健價值,2026-03,🚀 利潤擴張,13.490566217688679,28.6000003815,3287.TWO,359.48
544.54,N/A,N/A,-17.0,45.849999999999994,琉園,2025,146.54999999999998,0.03,5.29,112.5,💎 強力關注,2026-03,🚀 利潤擴張,2.369498425639714,23.1499996185,9949.TWO,66.65
31.64,N/A,N/A,108.17,39.24,漢達,2025,172.35,0.46,4.85,55.17,💎 強力關注,2026-03,🚀 利潤擴張,7.336814887014795,84.3000030518,6620.TWO,15.93
-93.75,20.64%,-8.17%,-40.0,35.860000000000014,威盛,2025,-30.6,0.08,0.12,300.0,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,75.9000015259,2388.TW,264.14
-5.7,50.66%,14.95%,1.24,34.20000000000002,禾瑞亞,2025,81.9,1.19,2.15,190.24,💎 強力關注,2026-03,🏰 高護城河,11.04395590423077,60.2999992371,3556.TWO,156.04
91.67,N/A,N/A,19.28,32.379999999999995,神數,2025,0.0,0.87,2.99,42.62,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,40.0,7821.TW,10.24
-17.2,35.24%,30.89%,15.19,28.590000000000003,未知,2025,0.0,11.94,7.56,34.92,⚪ 數據不足,2025-12,🚀 利潤擴張,0.0,0.0,2072.TWO,6.33
-13.21,N/A,N/A,-5.58,27.259999999999998,向榮生技,2025,-70.05,-0.36,-1.89,23.4,⚪ 數據不足,2026-03,🧐 疑業外收益,0.0,76.9000015259,6794.TW,-3.86
-197.83,23.39%,1.90%,2.23,27.04000000000002,南緯,2025,-28.950000000000003,0.11,-0.45,450.0,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,9.279999733,1467.TW,422.96
-27.83,N/A,N/A,3.08,26.23,頌勝科技,2025,0.0,1.62,3.24,42.86,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,251.5,7768.TW,16.63
-27.83,N/A,N/A,3.08,26.23,未知,2025,0.0,1.62,3.24,42.86,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,0.0,7768.TWO,16.63
11.37,21.29%,16.93%,20.5,25.689999999999998,大東電,2025,0.0,4.33,13.61,38.11,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,0.0,1623.TW,12.42
-1.08,80.00%,33.03%,6.4,20.689999999999998,元大金,2025,105.6,1.08,2.74,83.05,💎 強力關注,2026-03,🏰 高護城河,9.659090909090908,68.0,2885.TW,62.36
-66.0,N/A,N/A,0.36,19.960000000000004,中連,2025,33.45,0.32,0.85,45.45,✅ 穩健價值,2026-03,🚀 利潤擴張,13.497758018609865,30.1000003815,5604.TWO,25.49
-11.63,N/A,N/A,0.56,19.539999999999964,宏遠證,2025,24.599999999999998,0.89,0.76,470.83,💎 強力關注,2026-03,🚀 利潤擴張,9.481707433353659,15.5500001907,6015.TWO,451.29
-134.86,N/A,N/A,-8.35,18.900000000000002,力新,2025,-30.900000000000002,-0.19,-0.61,45.71,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,11.75,5202.TWO,26.81
13.1,97.25%,45.93%,4.06,18.060000000000002,華南金,2025,70.8,0.55,1.9,41.03,💎 強力關注,2026-03,🏰 高護城河,9.120762550233051,43.0499992371,2880.TW,22.97
35.0,31.93%,8.13%,13.9,17.97999999999999,博磊,2025,9.75,0.31,0.81,234.78,⚠️ 追價風險,2026-03,🚀 利潤擴張,166.15384615384616,108.0,3581.TWO,216.8
28.3,89.95%,32.37%,14.52,17.229999999999997,高雄銀,2025,25.200000000000003,0.2,0.68,33.33,💎 強力關注,2026-03,🏰 高護城河,7.1130951245833325,11.9499998093,2836.TW,16.1
107.11,N/A,N/A,25.43,15.160000000000025,環宇-KY,2025,11.999999999999998,1.67,0.15,331.43,⚠️ 追價風險,2026-03,🚀 利潤擴張,485.00000000000006,388.0,4991.TWO,316.27
14.12,N/A,N/A,10.14,12.35,精誠金融,2025,0.0,0.42,2.91,10.53,⚪ 數據不足,2026-03,🧐 疑業外收益,0.0,34.2000007629,7819.TWO,-1.82
-10.99,78.38%,39.14%,-12.26,12.0,凱基金,2025,57.14999999999999,0.69,1.74,34.04,💎 強力關注,2026-03,🏰 高護城河,7.979002524540683,30.3999996185,2883.TW,22.04
-14.12,N/A,N/A,-0.97,10.350000000000001,華安,2025,-109.2,-0.53,-2.92,52.29,⚪ 數據不足,2026-03,🚀 利潤擴張,0.0,30.3999996185,6657.TW,41.94
4.19,100.00%,60.64%,6.74,9.14,力旺,2025,947.7,7.98,25.6,29.13,⚠️ 追價風險,2026-03,🏰 高護城河,37.82842671731561,2390.0,3529.TWO,19.99
-53.57,24.77%,-4.59%,-8.31,8.629999999999995,宏亞,2025,-14.25,0.23,-0.43,283.33,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,24.7000007629,1236.TW,274.7
-827.91,27.77%,-13.99%,-15.19,7.890000000000015,岱宇,2025,-89.10000000000001,0.25,-3.35,153.49,⚪ 數據不足,2026-03,🔄 轉虧為盈,0.0,20.1499996185,1598.TW,145.6
