name,gm,prev_eps_yoy,advice,om,status,expansion,eps_yoy,prev_year,est_price,price,pe,prev_rev_yoy,prev_eps,eps,rev_yoy,date,symbol
泰偉,93.22%,-7120.0,⚪ 數據不足,-55.72%,🏰 高護城河,63.5,62.5,2025,-122.4,16.8999996185,0.0,-29.69,-3.51,-0.27,-1.0,2026-03,3064.TWO
群益證,N/A,17.33,💎 強力關注,N/A,🚀 利潤擴張,63.21000000000001,235.0,2025,101.7,31.5,4.646017699115044,12.14,2.64,1.34,171.79,2026-03,6005.TW
車王電,N/A,152.25,⚠️ 追價風險,N/A,🚀 利潤擴張,61.81999999999999,500.0,2025,10.049999999999997,30.6499996185,45.746268087313446,19.69,0.58,0.84,438.18,2026-03,1533.TW
正隆,20.98%,34.55,⚪ 中性觀察,7.12%,🚀 利潤擴張,61.76999999999998,600.0,2025,22.5,24.7999992371,16.533332824733332,-4.85,0.74,0.56,538.23,2026-03,1904.TW
日揚,N/A,-26.32,💎 強力關注,N/A,🚀 利潤擴張,56.41999999999999,206.45,2025,113.85,74.3000030518,9.789196713017128,-4.59,2.52,1.9,150.03,2026-03,6208.TWO
強生,N/A,-36.9,💎 強力關注,N/A,🚀 利潤擴張,55.839999999999975,204.17,2025,72.30000000000001,24.7999992371,5.145228057489626,-6.81,1.19,1.46,148.33,2026-03,4747.TWO
九暘,N/A,49.15,⚪ 數據不足,N/A,🔄 轉虧為盈,55.43000000000001,244.44,2025,-18.45,77.1999969482,0.0,2.65,-0.6,0.13,189.01,2026-03,8040.TWO
晟德,41.95%,905.92,💎 強力關注,-106.23%,🚀 利潤擴張,54.05000000000001,239.47,2025,273.29999999999995,30.25,1.6602634467618003,-6.28,12.33,2.62,185.42,2026-03,4123.TWO
心誠鎂,N/A,-48.08,⚪ 數據不足,N/A,🌑 雙重衰退,52.519999999999996,-2.96,2025,0.0,75.0999984741,0.0,-29.22,-3.92,-1.43,-55.48,2026-03,6934.TW
霈方,N/A,66.34,💎 強力關注,N/A,🚀 利潤擴張,51.74000000000001,147.37,2025,252.6,120.0,7.1258907363420425,6.51,6.82,3.29,95.63,2026-03,6574.TWO
永擎,N/A,38.44,⚪ 數據不足,N/A,🚀 利潤擴張,47.56,139.49,2025,0.0,0.0,0.0,182.72,13.04,7.68,91.93,2026-03,7711.TW
廣寰科,N/A,-36.17,⚪ 中性觀察,N/A,🚀 利潤擴張,46.579999999999984,406.06,2025,31.8,35.0,16.50943396226415,23.54,1.5,1.01,359.48,2026-03,3287.TWO
