prev_eps_yoy,est_price,rev_yoy,advice,prev_year,prev_rev_yoy,symbol,price,gm,eps,pe,name,eps_yoy,prev_eps,status,date,om,expansion
78.06,81.9,309.82,✅ 穩健價值,2025,15.32,2436.TW,77.5,30.84%,0.7,14.194139194139193,偉詮電,392.86,3.02,🚀 利潤擴張,2026-03,3.76%,83.04000000000002
-50.67,45.449999999999996,97.11,⚠️ 追價風險,2025,-8.83,6756.TW,105.0,N/A,0.64,34.65346534653465,威鋒電子,178.26,1.11,🚀 利潤擴張,2026-03,N/A,81.14999999999999
-64.44,77.99999999999999,62.07,⚪ 中性觀察,2025,2.09,3546.TWO,83.9000015259,89.44%,2.34,16.134615678057692,宇峻,136.36,1.97,🏰 高護城河,2026-03,20.17%,74.29000000000002
96.29,0.0,26.64,⚪ 數據不足,2025,22.72,7823.TW,80.3000030518,N/A,-0.15,0.0,奧義賽博-KY創,99.93,-1.49,🚀 利潤擴張,2026-03,N/A,73.29
-99.18,-96.44999999999999,-97.71,⚪ 數據不足,2025,19.25,6169.TWO,15.25,N/A,-0.68,0.0,昱泉,-25.93,-2.43,🌑 雙重衰退,2026-03,N/A,71.78
-91.14,-17.549999999999997,578.38,⚪ 數據不足,2025,0.63,8354.TWO,16.2999992371,N/A,0.3,0.0,冠好,650.0,0.14,🚀 利潤擴張,2026-03,N/A,71.62
-5.15,71.25,315.9,✅ 穩健價值,2025,22.56,4905.TWO,70.6999969482,25.49%,1.75,14.884209883831579,台聯電,386.11,2.76,🚀 利潤擴張,2026-03,0.20%,70.21000000000004
44.08,0.0,51.84,⚪ 數據不足,2025,76.4,7828.TWO,2240.0,N/A,1.02,0.0,創新服務,121.74,6.33,🚀 利潤擴張,2026-03,N/A,69.89999999999999
3.28,22.95,58.58,💎 強力關注,2025,4.6,2889.TW,15.0,90.85%,0.25,9.803921568627452,國票金,127.27,0.63,🏰 高護城河,2026-03,38.94%,68.69
24.43,257.1,40.15,💎 強力關注,2025,-4.63,4137.TW,110.5,82.18%,1.41,6.446907817969661,麗豐-KY,107.35,7.13,🏰 高護城河,2026-03,20.98%,67.19999999999999
-31.03,-15.3,110.52,⚪ 數據不足,2025,-28.72,3632.TWO,7.9000000954,54.59%,0.06,0.0,研勤,175.0,-0.38,🔄 轉虧為盈,2026-03,3.73%,64.48
-184.44,-38.1,111.03,⚪ 數據不足,2025,-7.78,4562.TW,34.8499984741,31.44%,0.11,0.0,穎漢,175.0,-1.28,🔄 轉虧為盈,2026-03,-45.46%,63.97
-7120.0,-122.4,-1.0,⚪ 數據不足,2025,-29.69,3064.TWO,20.0,93.22%,-0.27,0.0,泰偉,62.5,-3.51,🏰 高護城河,2026-03,-55.72%,63.5
17.33,101.7,171.79,💎 強力關注,2025,12.14,6005.TW,39.75,N/A,1.34,5.8628318584070795,群益證,235.0,2.64,🚀 利潤擴張,2026-03,N/A,63.21000000000001
152.25,10.049999999999997,438.18,⚠️ 追價風險,2025,19.69,1533.TW,36.7000007629,N/A,0.84,54.7761205416418,車王電,500.0,0.58,🚀 利潤擴張,2026-03,N/A,61.81999999999999
34.55,22.5,538.23,✅ 穩健價值,2025,-4.85,1904.TW,21.7000007629,20.98%,0.56,14.466667175266666,正隆,600.0,0.74,🚀 利潤擴張,2026-03,7.12%,61.76999999999998
-26.32,113.85,150.03,✅ 穩健價值,2025,-4.59,6208.TWO,100.5,N/A,1.9,13.24110671936759,日揚,206.45,2.52,🚀 利潤擴張,2026-03,N/A,56.41999999999999
-36.9,72.30000000000001,148.33,💎 強力關注,2025,-6.81,4747.TWO,52.0999984741,N/A,1.46,10.80912831412863,強生,204.17,1.19,🚀 利潤擴張,2026-03,N/A,55.839999999999975
49.15,-18.45,189.01,⚪ 數據不足,2025,2.65,8040.TWO,114.0,N/A,0.13,0.0,九暘,244.44,-0.6,🔄 轉虧為盈,2026-03,N/A,55.43000000000001
905.92,273.29999999999995,185.42,💎 強力關注,2025,-6.28,4123.TWO,37.2999992371,41.95%,2.62,2.0472008362843033,晟德,239.47,12.33,🚀 利潤擴張,2026-03,-106.23%,54.05000000000001
-48.08,0.0,-55.48,⚪ 數據不足,2025,-29.22,6934.TW,67.1999969482,N/A,-1.43,0.0,心誠鎂,-2.96,-3.92,🌑 雙重衰退,2026-03,N/A,52.519999999999996
66.34,252.6,95.63,💎 強力關注,2025,6.51,6574.TWO,114.0,N/A,3.29,6.7695961995249405,霈方,147.37,6.82,🚀 利潤擴張,2026-03,N/A,51.74000000000001
38.44,0.0,91.93,⚪ 數據不足,2025,182.72,7711.TW,0.0,N/A,7.68,0.0,永擎,139.49,13.04,🚀 利潤擴張,2026-03,N/A,47.56
-36.17,31.8,359.48,✅ 穩健價值,2025,23.54,3287.TWO,33.75,N/A,1.01,15.919811320754716,廣寰科,406.06,1.5,🚀 利潤擴張,2026-03,N/A,46.579999999999984
544.54,146.54999999999998,66.65,💎 強力關注,2025,-17.0,9949.TWO,27.0,N/A,0.03,2.7635619242579326,琉園,112.5,5.29,🚀 利潤擴張,2026-03,N/A,45.849999999999994
31.64,172.35,15.93,💎 強力關注,2025,108.17,6620.TWO,90.9000015259,N/A,0.46,7.911227286849433,漢達,55.17,4.85,🚀 利潤擴張,2026-03,N/A,39.24
-93.75,-30.6,264.14,⚪ 數據不足,2025,-40.0,2388.TW,79.5999984741,20.64%,0.08,0.0,威盛,300.0,0.12,🚀 利潤擴張,2026-03,-8.17%,35.860000000000014
-5.7,81.9,156.04,✅ 穩健價值,2025,1.24,3556.TWO,74.4000015259,50.66%,1.19,13.62637390584249,禾瑞亞,190.24,2.15,🏰 高護城河,2026-03,14.95%,34.20000000000002
91.67,0.0,10.24,⚪ 數據不足,2025,19.28,7821.TW,43.25,N/A,0.87,0.0,神數,42.62,2.99,🚀 利潤擴張,2026-03,N/A,32.379999999999995
-17.2,0.0,6.33,⚪ 數據不足,2025,15.19,2072.TWO,0.0,35.24%,11.94,0.0,未知,34.92,7.56,🚀 利潤擴張,2025-12,30.89%,28.590000000000003
-13.21,-70.05,-3.86,⚪ 數據不足,2025,-5.58,6794.TW,79.1999969482,N/A,-0.36,0.0,向榮生技,23.4,-1.89,🧐 疑業外收益,2026-03,N/A,27.259999999999998
-197.83,-28.950000000000003,422.96,⚪ 數據不足,2025,2.23,1467.TW,7.1100001335,23.39%,0.11,0.0,南緯,450.0,-0.45,🔄 轉虧為盈,2026-03,1.90%,27.04000000000002
-27.83,0.0,16.63,⚪ 數據不足,2025,3.08,7768.TW,360.5,N/A,1.62,0.0,頌勝科技,42.86,3.24,🚀 利潤擴張,2026-03,N/A,26.23
-27.83,0.0,16.63,⚪ 數據不足,2025,3.08,7768.TWO,0.0,N/A,1.62,0.0,未知,42.86,3.24,🚀 利潤擴張,2026-03,N/A,26.23
11.37,0.0,12.42,⚪ 數據不足,2025,20.5,1623.TW,0.0,21.29%,4.33,0.0,大東電,38.11,13.61,🚀 利潤擴張,2026-03,16.93%,25.689999999999998
-1.08,105.6,62.36,💎 強力關注,2025,6.4,2885.TW,68.3000030518,80.00%,1.08,9.701704978948865,元大金,83.05,2.74,🏰 高護城河,2026-03,33.03%,20.689999999999998
-66.0,33.45,25.49,✅ 穩健價值,2025,0.36,5604.TWO,31.0499992371,N/A,0.32,13.923766474035874,中連,45.45,0.85,🚀 利潤擴張,2026-03,N/A,19.960000000000004
-11.63,24.599999999999998,451.29,💎 強力關注,2025,0.56,6015.TWO,18.6000003815,N/A,0.89,11.341463647256099,宏遠證,470.83,0.76,🚀 利潤擴張,2026-03,N/A,19.539999999999964
-134.86,-30.900000000000002,26.81,⚪ 數據不足,2025,-8.35,5202.TWO,14.8500003815,N/A,-0.19,0.0,力新,45.71,-0.61,🚀 利潤擴張,2026-03,N/A,18.900000000000002
13.1,70.8,22.97,💎 強力關注,2025,4.06,2880.TW,37.5499992371,97.25%,0.55,7.955508312944916,華南金,41.03,1.9,🏰 高護城河,2026-03,45.93%,18.060000000000002
35.0,9.75,216.8,⚠️ 追價風險,2025,13.9,3581.TWO,162.0,31.93%,0.31,249.23076923076923,博磊,234.78,0.81,🚀 利潤擴張,2026-03,8.13%,17.97999999999999
28.3,25.200000000000003,16.1,💎 強力關注,2025,14.52,2836.TW,12.3000001907,89.95%,0.2,7.321428684940476,高雄銀,33.33,0.68,🏰 高護城河,2026-03,32.37%,17.229999999999997
107.11,11.999999999999998,316.27,⚠️ 追價風險,2025,25.43,4991.TWO,536.0,N/A,1.67,670.0,環宇-KY,331.43,0.15,🚀 利潤擴張,2026-03,N/A,15.160000000000025
14.12,0.0,-1.82,⚪ 數據不足,2025,10.14,7819.TWO,41.4000015259,N/A,0.42,0.0,精誠金融,10.53,2.91,🧐 疑業外收益,2026-03,N/A,12.35
-10.99,57.14999999999999,22.04,💎 強力關注,2025,-12.26,2883.TW,30.1000003815,78.38%,0.69,7.9002625673228355,凱基金,34.04,1.74,🏰 高護城河,2026-03,39.14%,12.0
-14.12,-109.2,41.94,⚪ 數據不足,2025,-0.97,6657.TW,35.25,N/A,-0.53,0.0,華安,52.29,-2.92,🚀 利潤擴張,2026-03,N/A,10.350000000000001
4.19,947.7,19.99,⚠️ 追價風險,2025,6.74,3529.TWO,3185.0,100.00%,7.98,50.41152263374486,力旺,29.13,25.6,🏰 高護城河,2026-03,60.64%,9.14
-53.57,-14.25,274.7,⚪ 數據不足,2025,-8.31,1236.TW,25.8500003815,24.77%,0.23,0.0,宏亞,283.33,-0.43,🔄 轉虧為盈,2026-03,-4.59%,8.629999999999995
-827.91,-89.10000000000001,145.6,⚪ 數據不足,2025,-15.19,1598.TW,19.7000007629,27.77%,0.25,0.0,岱宇,153.49,-3.35,🔄 轉虧為盈,2026-03,-13.99%,7.890000000000015
24.93,136.05,48.18,✅ 穩健價值,2025,15.86,8272.TWO,69.1999969482,N/A,0.39,7.629547623836824,全景軟體,56.0,4.66,🚀 利潤擴張,2026-03,N/A,7.82
-7.32,13.5,30.02,⚠️ 追價風險,2025,-2.15,2901.TW,24.0,84.77%,0.11,26.666666666666664,欣欣,37.5,0.38,🏰 高護城河,2026-03,20.24%,7.48
