📊 量化獲利品質診斷報告 - 基準日: 20260331 (生成時間: 2026-04-18 19:38)
代號       名稱           價格         PE       15X推估        空間%        狀態
6218.TWO   豪勉         24.35      0.00       -37.65            27.10%    🚀 利潤擴張
3661.TW    世芯-KY      2485.00    14.39      2590.35           26.66%    🌑 雙重衰退
6153.TW    嘉聯益        15.85      0.00       -155.70           26.15%    🧐 疑業外收益
4417.TWO   金洲         50.10      3.29       228.45            26.09%    🚀 利潤擴張
3702.TW    大聯大        88.00      6.69       197.25            25.89%    🚀 利潤擴張
2069.TW    運錩         18.45      4.78       57.90             25.80%    🧐 疑業外收益
2424.TW    隴華         24.50      0.00       -54.15            25.65%    🚀 利潤擴張
2481.TW    強茂         84.84      11.47      111.00            25.55%    🚀 利潤擴張
2712.TW    遠雄來        14.45      0.00       -15.15            25.34%    🚀 利潤擴張
6179.TWO   亞通         23.60      22.06      16.05             25.22%    🧐 疑業外收益
2359.TW    所羅門        107.50     228.72     7.05              25.16%    🚀 利潤擴張
6512.TWO   啟發電        19.70      0.00       -22.95            25.14%    🧐 疑業外收益
6961.TWO   旅天下        56.70      0.00       0.00              25.09%    🧐 疑業外收益
3058.TW    立德         9.33       0.00       -32.40            25.06%    🚀 利潤擴張
6228.TWO   全譜         24.30      0.00       -28.05            24.75%    🚀 利潤擴張
6782.TW    視陽         189.00     5.68       499.50            24.39%    🚀 利潤擴張
6872.TWO   浩宇生醫       16.80      0.00       -78.00            23.76%    🌑 雙重衰退
3296.TW    勝德         21.85      10.45      31.35             23.66%    🧐 疑業外收益
1410.TW    南染         31.00      29.52      15.75             23.66%    🧐 疑業外收益
3672.TWO   康聯訊        10.65      0.00       -78.30            23.43%    🧐 疑業外收益
5484.TW    慧友         40.65      0.00       -45.30            23.34%    🚀 利潤擴張
2910.TW    統領         21.00      7.39       42.60             23.32%    🧐 疑業外收益
1626.TW    艾美特-KY     10.05      0.00       -16.20            23.01%    🧐 疑業外收益
6170.TWO   統振         50.50      4.74       159.75            22.80%    🚀 利潤擴張
4442.TWO   竣邦-KY      62.40      4.52       207.00            22.76%    🚀 利潤擴張
2913.TW    農林         12.20      0.00       -5.70             22.69%    🚀 利潤擴張
6907.TWO   雅特力-KY     106.50     0.00       0.00              22.64%    🚀 利潤擴張
7750.TW    新代         0.00       0.00       0.00              22.52%    🚀 利潤擴張
1733.TW    五鼎         29.25      6.82       64.35             22.34%    🚀 利潤擴張
6591.TW    動力-KY      60.30      4.14       218.70            22.07%    🚀 利潤擴張
3694.TW    海華         54.10      5.46       148.65            22.03%    🚀 利潤擴張
2032.TW    新鋼         16.01      12.92      18.60             21.99%    🚀 利潤擴張
1256.TW    鮮活果汁-KY    143.00     5.59       383.40            21.94%    🚀 利潤擴張
2211.TW    長榮鋼        96.80      4.41       329.10            21.91%    🚀 利潤擴張
6805.TW    富世達        1750.00    26.41      993.90            21.56%    🚀 利潤擴張
6550.TW    北極星藥業-KY   19.15      0.00       -163.35           21.43%    🌑 雙重衰退
3581.TWO   博磊         66.80      607.27     1.65              21.10%    🚀 利潤擴張
4128.TWO   中天         0.00       0.00       0.00              21.08%    🚀 利潤擴張
5607.TW    遠雄港        44.80      6.67       100.80            21.03%    🚀 利潤擴張
6967.TWO   汎瑋材料       62.60      6.99       134.25            20.98%    🚀 利潤擴張
6217.TWO   中探針        163.50     0.00       -78.60            20.57%    🚀 利潤擴張
6212.TWO   理銘         28.10      2.27       186.00            20.33%    🌑 雙重衰退
6203.TWO   海韻電        64.60      5.64       171.75            20.28%    🚀 利潤擴張
6799.TW    來頡         73.60      9.15       120.60            20.20%    🚀 利潤擴張
4577.TWO   達航科技       102.50     0.00       -48.45            20.16%    🚀 利潤擴張
6870.TWO   騰雲         181.00     13.29      204.30            20.15%    🚀 利潤擴張
5234.TW    達興材料       330.00     18.32      270.15            20.12%    🚀 利潤擴張
4973.TWO   廣穎         61.01      49.20      18.60             19.67%    🔄 轉虧為盈
6259.TWO   百徽         17.25      10.27      25.20             19.37%    🚀 利潤擴張
2516.TW    新建         13.55      5.46       37.20             19.35%    🚀 利潤擴張
1259.TWO   安心         59.00      12.61      70.20             19.24%    🚀 利潤擴張
6431.TW    光麗-KY      23.50      0.00       -74.85            18.27%    🧐 疑業外收益
3450.TW    聯鈞         242.00     17.66      205.50            17.71%    🚀 利潤擴張
4147.TWO   中裕         51.30      0.00       -20.55            17.38%    🚀 利潤擴張
2221.TWO   大甲         31.15      5.35       87.30             17.34%    🧐 疑業外收益
2421.TW    建準         123.00     6.68       276.30            17.33%    🚀 利潤擴張
6187.TWO   萬潤         810.00     20.84      583.05            16.97%    🧐 疑業外收益
7547.TWO   碩網         83.20      13.40      93.15             16.95%    🚀 利潤擴張
2472.TW    立隆電        126.00     6.81       277.35            16.86%    🚀 利潤擴張
5515.TW    建國         35.85      4.19       128.25            16.62%    🚀 利潤擴張
2851.TW    中再保        30.75      4.13       111.75            16.51%    🚀 利潤擴張
3593.TW    力銘         13.35      0.00       -66.30            16.49%    🚀 利潤擴張
2357.TW    華碩         549.00     3.61       2283.90           16.06%    🚀 利潤擴張
4979.TWO   華星光        341.50     26.53      193.05            15.95%    🚀 利潤擴張
1593.TWO   祺驊         33.55      7.06       71.25             15.93%    🚀 利潤擴張
5302.TWO   太欣         10.70      0.00       -8.85             15.87%    🚀 利潤擴張
6969.TW    成信實業*-創    28.40      0.00       -8.85             15.79%    🚀 利潤擴張
3234.TWO   光環         82.70      0.00       -41.10            15.79%    🚀 利潤擴張
3711.TW    日月光投控      328.50     15.95      308.85            15.79%    🚀 利潤擴張
1799.TWO   易威         0.00       0.00       0.00              15.71%    🚀 利潤擴張
6124.TWO   業強         28.30      0.00       -49.95            15.65%    🚀 利潤擴張
5289.TWO   宜鼎         847.00     19.44      653.40            15.25%    🚀 利潤擴張
2423.TW    固緯         46.25      6.81       101.85            15.12%    🚀 利潤擴張
6222.TWO   立軒         20.55      0.00       -15.45            15.03%    🧐 疑業外收益
2330.TW    台積電        1760.00    11.26      2344.05           14.81%    🚀 利潤擴張
6509.TWO   聚和         44.40      5.96       111.75            14.71%    🚀 利潤擴張
6722.TW    輝創         39.00      0.00       0.00              14.33%    🧐 疑業外收益
1225.TW    福懋油        31.30      7.98       58.80             14.25%    🧐 疑業外收益
6614.TW    資拓宏宇       0.00       0.00       0.00              14.13%    🧐 疑業外收益
7738.TWO   東聯互動       181.50     0.00       0.00              14.11%    🚀 利潤擴張
1560.TW    中砂         425.50     20.22      315.60            14.08%    🚀 利潤擴張
5864.TWO   致和證        23.30      10.94      31.95             13.94%    🚀 利潤擴張
3703.TW    欣陸         22.10      6.97       47.55             13.89%    🚀 利潤擴張
6225.TW    天瀚         18.80      0.00       -7.20             13.87%    🚀 利潤擴張
5457.TWO   宣德         34.00      5.78       88.20             13.79%    🚀 利潤擴張
