股票代碼,股票名稱,今日狀態,今日收盤,今日RSI,戰術標籤,隔天勝率,五日勝率,五日平均收益,平均洗盤深度,建議買進價,歷史次數,raw_wr5,raw_pnl
5222.TW,全訊,無,127.0,38.46,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
009814.TWO,富邦標普500,無,9.5600004196,25.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6666.TW,羅麗芬-KY,無,39.8499984741,33.67,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2105.TW,正新,無,31.1000003815,68.31,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3035.TW,智原,無,141.0,35.56,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00686R.TW,群益臺灣加權反1,無,1.4600000381,68.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4420.TWO,光明,無,44.0,20.87,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3467.TWO,台灣精材,無,41.0,56.26,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6725.TWO,矽科宏晟,無,248.0,52.08,⚪ 一般監控,0.00%,0.00%,nan%,-14.29%,0.0,1,0.0,
2491.TW,吉祥全,無,15.1000003815,38.04,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00937B.TWO,群益ESG投等債20+,無,14.8699998856,44.54,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4911.TWO,德英,無,34.3499984741,32.99,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2204.TW,中華,無,55.4000015259,41.86,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5871.TW,中租-KY,無,109.5,62.5,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1110.TW,東泥,無,15.3000001907,36.59,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2429.TW,銘旺科,無,39.4500007629,25.97,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6884.TWO,海柏特,無,34.6500015259,45.78,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
7737.TWO,凱鈿,無,38.1500015259,50.98,⚪ 一般監控,0.00%,0.00%,0.00%,-4.80%,0.0,2,0.0,0.0
6560.TWO,欣普羅,無,39.0499992371,38.64,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
009801.TW,中信美國創新科技,無,9.8900003433,17.83,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6243.TW,迅杰,無,28.2000007629,20.75,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3229.TW,晟鈦,無,19.7000007629,44.6,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
9941.TW,裕融,無,77.0,53.66,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2949.TWO,欣新網,無,57.5999984741,37.36,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
912000.TW,晨訊科-DR,無,2.4800000191,20.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4766.TW,南寶,無,308.5,45.95,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5521.TW,工信,無,12.3500003815,27.13,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
8401.TWO,白紗科,無,24.7999992371,25.42,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2421.TW,建準,無,123.0,36.43,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1525.TW,江申,無,62.2000007629,46.94,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4577.TWO,達航科技,無,102.5,56.32,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2886.TW,兆豐金,無,38.4500007629,38.36,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2376.TW,技嘉,無,222.5,42.4,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5706.TW,鳳凰,無,51.0,50.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6283.TW,淳安,無,19.8999996185,34.48,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4113.TWO,聯上,無,17.0,22.22,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4131.TWO,浩泰,無,36.25,40.94,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6462.TWO,神盾,無,97.8000030518,38.52,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4523.TWO,永彰,無,29.2999992371,20.97,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6691.TW,洋基工程,無,555.0,24.46,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00670L.TW,富邦NASDAQ正2,無,130.75,22.2,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2241.TW,艾姆勒,無,28.4500007629,43.33,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1213.TW,大飲,無,9.6099996567,44.58,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3515.TW,華擎,無,202.0,41.67,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6967.TWO,汎瑋材料,無,62.5999984741,50.66,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2237.TWO,華德動能,無,30.4500007629,38.46,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5487.TWO,通泰,無,27.6000003815,52.5,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6692.TWO,進能服,無,30.0499992371,31.3,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1413.TW,宏洲,無,9.6999998093,48.42,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6121.TWO,新普,無,333.0,40.0,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
00886.TWO,永豐美國科技,無,33.0999984741,32.99,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4943.TW,康控-KY,無,11.4499998093,46.07,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
1587.TW,吉茂,無,34.4000015259,26.76,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
6534.TW,正瀚-創,無,86.5,56.93,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
2912.TW,統一超,無,224.5,61.11,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
9110.TW,越南控-DR,無,3.0799999237,42.65,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
3652.TW,精聯,無,26.6499996185,34.29,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
4935.TW,茂林-KY,無,35.9500007629,50.77,⚪ 一般監控,0.00%,0.00%,nan%,-7.11%,0.0,1,0.0,
1436.TW,華友聯,無,53.0,45.36,⚪ 一般監控,0.00%,0.00%,0.00%,0.00%,0.0,0,0.0,0.0
5016.TWO,松和,無,28.5499992371,70.72,⚪ 一般監控,100.00%,0.00%,0.00%,-0.40%,0.0,2,0.0,0.0
