Combination,Impact_Score,Profit_Factor
KDJ_D + OBV_MA,0.0,0.0
KDJ_D + CCI,0.0,0.0
KDJ_D + +DI,0.0,0.0
KDJ_D + -DI,0.0,0.0
KDJ_D + ADX,0.0,0.0
KDJ_D + ADX_5,0.0,0.0
KDJ_D + Vol_MA6,0.0,0.0
KDJ_D + Vol_Ratio,0.0,0.0
KDJ_D + Vol_Spike,0.0,0.0
KDJ_D + BIAS_Short_Col,0.0,0.0
KDJ_D + BIAS_6,0.0,0.0
KDJ_D + BIAS_20,0.0,0.0
KDJ_K + TradeVolumeRate,0.0,0.0
KDJ_K + TotalOversellVolK,0.0,0.0
KDJ_K + TotalOverbuyVolK,0.0,0.0
KDJ_K + LendingSellVolK,0.0,0.0
KDJ_K + ShortBuyVolK,0.0,0.0
KDJ_K + ShortSellVolK,0.0,0.0
KDJ_K + ShortRepayVolK,0.0,0.0
KDJ_K + ShortTotalVolK,0.0,0.0
KDJ_K + ShortLimitVolK,0.0,0.0
KDJ_K + ShortUsageRatio,0.0,0.0
KDJ_K + LendingRepayVolK,0.0,0.0
KDJ_K + TotalDifferenceVolK,0.0,0.0
KDJ_K + LendingTotalVolK,0.0,0.0
KDJ_K + DirSupHoldPercent,0.0,0.0
KDJ_K + EndDate,0.0,0.0
KDJ_K + MainHolderCount,0.0,0.0
KDJ_K + MainHoldPercent,0.0,0.0
KDJ_K + StartDate,0.0,0.0
KDJ_J + ADX,0.0,0.0
KDJ_J + ADX_5,0.0,0.0
KDJ_J + Vol_MA6,0.0,0.0
OBV + ChangePercent,0.0,0.0
OBV + MA_Long,0.0,0.0
OBV + DMA,0.0,0.0
OBV + AMA,0.0,0.0
OBV + DMA_Golden_Cross,0.0,0.0
OBV + DMA_Death_Cross,0.0,0.0
OBV + DMA_Bullish,0.0,0.0
OBV + DMA_Diff,0.0,0.0
OBV + DMA_Momentum_Up,0.0,0.0
OBV + Action,0.0,0.0
OBV + MA200,0.0,0.0
OBV + High_120,0.0,0.0
OBV + MA20,0.0,0.0
OBV + Bias_Ratio,0.0,0.0
OBV + V_MA20,0.0,0.0
OBV + MA_60,0.0,0.0
OBV + MA_Short,0.0,0.0
OBV + Golden_Cross,0.0,0.0
OBV + Bias_Divergence,0.0,0.0
OBV + Vol_MA6,0.0,0.0
OBV + OBV_MA,0.0,0.0
OBV + CCI,0.0,0.0
OBV + +DI,0.0,0.0
OBV + -DI,0.0,0.0
OBV + ADX,0.0,0.0
OBV + ADX_5,0.0,0.0
OBV + Vol_Ratio,0.0,0.0
OBV + Strong_Trend,0.0,0.0
OBV + Vol_Spike,0.0,0.0
OBV + BIAS_Short_Col,0.0,0.0
OBV + BIAS_6,0.0,0.0
OBV + BIAS_20,0.0,0.0
OBV + Bullish_Align,0.0,0.0
OBV + Short_Term_Rebound,0.0,0.0
OBV + ATR_20,0.0,0.0
OBV + DealerBuyVolK,0.0,0.0
KDJ_J + Vol_Ratio,0.0,0.0
OBV + DealerDiffVolK,0.0,0.0
OBV + ShortFinancingPercent,0.0,0.0
OBV + FinancingBuyVolK,0.0,0.0
OBV + FinancingSellVolK,0.0,0.0
OBV + FinancingPaybackVolK,0.0,0.0
OBV + FinancingTotalVolK,0.0,0.0
OBV + FinancingLimitVolK,0.0,0.0
OBV + FinancingUsageRatio,0.0,0.0
OBV + ShortBuyVolK,0.0,0.0
OBV + ShortSellVolK,0.0,0.0
OBV + ShortRepayVolK,0.0,0.0
OBV + ShortTotalVolK,0.0,0.0
OBV + ShortLimitVolK,0.0,0.0
OBV + ShortUsageRatio,0.0,0.0
OBV + LendingSellVolK,0.0,0.0
OBV + LendingRepayVolK,0.0,0.0
OBV + DayTradingVolK,0.0,0.0
OBV + Symbol,0.0,0.0
OBV + Foreign_Hold_Increasing,0.0,0.0
OBV + InvestmentTrustDiffVolK,0.0,0.0
OBV + DealerSellVolK,0.0,0.0
OBV + ForeignBuyVolK,0.0,0.0
OBV + ForeignDiffVolK,0.0,0.0
OBV + ForeignHoldPercent,0.0,0.0
OBV + ForeignSellVolK,0.0,0.0
OBV + InvestmentTrustBuyVolK,0.0,0.0
OBV + InvestmentTrustSellVolK,0.0,0.0
OBV + Foreign_Consecutive_BuyDays,0.0,0.0
OBV + TotalBuyVolK,0.0,0.0
OBV + TotalDiffVolK,0.0,0.0
OBV + TotalSellVolK,0.0,0.0
OBV + FormattedDate,0.0,0.0
OBV + Foreign_VolumeK,0.0,0.0
OBV + Foreign_LayoutScore,0.0,0.0
KDJ_J + Vol_Mom,0.0,0.0
KDJ_J + TradeVolumeRate,0.0,0.0
KDJ_J + TotalOversellVolK,0.0,0.0
KDJ_J + TotalOverbuyVolK,0.0,0.0
KDJ_J + Action,0.0,0.0
KDJ_J + MA200,0.0,0.0
KDJ_J + High_120,0.0,0.0
KDJ_J + MA20,0.0,0.0
KDJ_J + Bias_Ratio,0.0,0.0
KDJ_J + V_MA20,0.0,0.0
KDJ_J + MA_60,0.0,0.0
KDJ_J + ATR_20,0.0,0.0
KDJ_J + ChangePercent,0.0,0.0
KDJ_J + DealerBuyVolK,0.0,0.0
KDJ_J + DealerDiffVolK,0.0,0.0
KDJ_J + DealerSellVolK,0.0,0.0
KDJ_J + ForeignBuyVolK,0.0,0.0
KDJ_J + ForeignDiffVolK,0.0,0.0
KDJ_J + ForeignHoldPercent,0.0,0.0
KDJ_J + DMA_Momentum_Up,0.0,0.0
KDJ_J + DMA_Diff,0.0,0.0
KDJ_J + DMA_Bullish,0.0,0.0
KDJ_J + Strong_Trend,0.0,0.0
KDJ_J + Vol_Spike,0.0,0.0
KDJ_J + BIAS_Short_Col,0.0,0.0
KDJ_J + BIAS_6,0.0,0.0
KDJ_J + BIAS_20,0.0,0.0
KDJ_J + Bullish_Align,0.0,0.0
KDJ_J + Short_Term_Rebound,0.0,0.0
KDJ_J + Bias_Divergence,0.0,0.0
KDJ_J + DMA_Death_Cross,0.0,0.0
KDJ_J + Golden_Cross,0.0,0.0
KDJ_J + MA_Short,0.0,0.0
KDJ_J + MA_Long,0.0,0.0
KDJ_J + DMA,0.0,0.0
KDJ_J + AMA,0.0,0.0
KDJ_J + DMA_Golden_Cross,0.0,0.0
KDJ_J + ForeignSellVolK,0.0,0.0
KDJ_J + InvestmentTrustBuyVolK,0.0,0.0
KDJ_J + InvestmentTrustDiffVolK,0.0,0.0
KDJ_J + LendingRepayVolK,0.0,0.0
KDJ_J + ShortSellVolK,0.0,0.0
KDJ_J + ShortRepayVolK,0.0,0.0
KDJ_J + ShortTotalVolK,0.0,0.0
KDJ_J + ShortLimitVolK,0.0,0.0
KDJ_J + ShortUsageRatio,0.0,0.0
KDJ_J + LendingSellVolK,0.0,0.0
KDJ_J + LendingTotalVolK,0.0,0.0
KDJ_J + FinancingUsageRatio,0.0,0.0
KDJ_J + DirSupHoldPercent,0.0,0.0
KDJ_J + EndDate,0.0,0.0
KDJ_J + MainHolderCount,0.0,0.0
KDJ_J + MainHoldPercent,0.0,0.0
KDJ_J + StartDate,0.0,0.0
KDJ_J + TotalDifferenceVolK,0.0,0.0
KDJ_J + ShortBuyVolK,0.0,0.0
KDJ_J + FinancingLimitVolK,0.0,0.0
KDJ_J + InvestmentTrustSellVolK,0.0,0.0
KDJ_J + Foreign_Consecutive_BuyDays,0.0,0.0
KDJ_J + TotalBuyVolK,0.0,0.0
KDJ_J + TotalDiffVolK,0.0,0.0
KDJ_J + TotalSellVolK,0.0,0.0
KDJ_J + FormattedDate,0.0,0.0
KDJ_J + Foreign_VolumeK,0.0,0.0
KDJ_J + Foreign_LayoutScore,0.0,0.0
KDJ_J + Foreign_Hold_Increasing,0.0,0.0
KDJ_J + FinancingTotalVolK,0.0,0.0
KDJ_J + Symbol,0.0,0.0
KDJ_J + DayTradingVolK,0.0,0.0
KDJ_J + ShortFinancingPercent,0.0,0.0
KDJ_J + FinancingBuyVolK,0.0,0.0
KDJ_J + FinancingSellVolK,0.0,0.0
KDJ_J + FinancingPaybackVolK,0.0,0.0
-DI + Foreign_Hold_Increasing,0.0,0.0
-DI + DayTradingVolK,0.0,0.0
KDJ_K + DMA_Bullish,0.0,0.0
BIAS_Short_Col + MA_Long,0.0,0.0
Vol_Spike + MainHolderCount,0.0,0.0
Vol_Spike + MainHoldPercent,0.0,0.0
Vol_Spike + StartDate,0.0,0.0
Vol_Spike + TotalDifferenceVolK,0.0,0.0
Vol_Spike + TotalOverbuyVolK,0.0,0.0
Vol_Spike + TotalOversellVolK,0.0,0.0
Vol_Spike + TradeVolumeRate,0.0,0.0
Vol_Spike + Vol_Mom,0.0,0.0
BIAS_Short_Col + BIAS_6,0.0,0.0
BIAS_Short_Col + BIAS_20,0.0,0.0
BIAS_Short_Col + Bullish_Align,0.0,0.0
BIAS_Short_Col + Short_Term_Rebound,0.0,0.0
BIAS_Short_Col + Strong_Trend,0.0,0.0
BIAS_Short_Col + Bias_Divergence,0.0,0.0
BIAS_Short_Col + Golden_Cross,0.0,0.0
Vol_Spike + EndDate,0.0,0.0
Vol_Spike + DirSupHoldPercent,0.0,0.0
Vol_Spike + LendingTotalVolK,0.0,0.0
Vol_Spike + FinancingUsageRatio,0.0,0.0
Vol_Spike + ShortFinancingPercent,0.0,0.0
Vol_Spike + FinancingBuyVolK,0.0,0.0
Vol_Spike + FinancingSellVolK,0.0,0.0
Vol_Spike + FinancingPaybackVolK,0.0,0.0
