advice,om,expansion,date,name,gm,prev_eps_yoy,est_price,symbol,status,prev_year,rev_yoy,prev_eps,prev_rev_yoy,eps,pe,eps_yoy,price
💎 強力關注,N/A,39.24,2026-03,漢達,N/A,31.64,172.35,6620.TWO,🚀 利潤擴張,2025,15.93,4.85,108.17,0.46,11.009573542210617,55.17,126.5
⚪ 數據不足,-8.17%,35.860000000000014,2026-03,威盛,20.64%,-93.75,-30.6,2388.TW,🚀 利潤擴張,2025,264.14,0.12,-40.0,0.08,0.0,300.0,70.9000015259
💎 強力關注,14.95%,34.20000000000002,2026-03,禾瑞亞,50.66%,-5.7,81.9,3556.TWO,🏰 高護城河,2025,156.04,2.15,1.24,1.19,10.457875178406592,190.24,57.0999984741
⚪ 數據不足,N/A,32.379999999999995,2026-03,神數,N/A,91.67,0.0,7821.TW,🚀 利潤擴張,2025,10.24,2.99,19.28,0.87,0.0,42.62,37.0499992371
⚪ 數據不足,30.89%,28.590000000000003,2025-12,未知,35.24%,-17.2,0.0,2072.TWO,🚀 利潤擴張,2025,6.33,7.56,15.19,11.94,0.0,34.92,0.0
⚪ 數據不足,N/A,27.259999999999998,2026-03,向榮生技,N/A,-13.21,-70.05,6794.TW,🧐 疑業外收益,2025,-3.86,-1.89,-5.58,-0.36,0.0,23.4,74.1999969482
⚪ 數據不足,1.90%,27.04000000000002,2026-03,南緯,23.39%,-197.83,-28.950000000000003,1467.TW,🔄 轉虧為盈,2025,422.96,-0.45,2.23,0.11,0.0,450.0,8.1499996185
⚪ 數據不足,N/A,26.23,2026-03,頌勝科技,N/A,-27.83,0.0,7768.TW,🚀 利潤擴張,2025,16.63,3.24,3.08,1.62,0.0,42.86,293.5
⚪ 數據不足,N/A,26.23,2026-03,未知,N/A,-27.83,0.0,7768.TWO,🚀 利潤擴張,2025,16.63,3.24,3.08,1.62,0.0,42.86,0.0
⚪ 數據不足,16.93%,25.689999999999998,2026-03,大東電,21.29%,11.37,0.0,1623.TW,🚀 利潤擴張,2025,12.42,13.61,20.5,4.33,0.0,38.11,0.0
💎 強力關注,33.03%,20.689999999999998,2026-03,元大金,80.00%,-1.08,105.6,2885.TW,🏰 高護城河,2025,62.36,2.74,6.4,1.08,10.028408874161933,83.05,70.5999984741
✅ 穩健價值,N/A,19.960000000000004,2026-03,中連,N/A,-66.0,33.45,5604.TWO,🚀 利潤擴張,2025,25.49,0.85,0.36,0.32,13.90134529147982,45.45,31.0
💎 強力關注,N/A,19.539999999999964,2026-03,宏遠證,N/A,-11.63,24.599999999999998,6015.TWO,🚀 利潤擴張,2025,451.29,0.76,0.56,0.89,10.853658071402439,470.83,17.7999992371
⚪ 數據不足,N/A,18.900000000000002,2026-03,力新,N/A,-134.86,-30.900000000000002,5202.TWO,🚀 利潤擴張,2025,26.81,-0.61,-8.35,-0.19,0.0,45.71,14.5
💎 強力關注,45.93%,18.060000000000002,2026-03,華南金,97.25%,13.1,70.8,2880.TW,🏰 高護城河,2025,22.97,1.9,4.06,0.55,9.862287973961866,41.03,46.5499992371
⚠️ 追價風險,8.13%,17.97999999999999,2026-03,博磊,31.93%,35.0,9.75,3581.TWO,🚀 利潤擴張,2025,216.8,0.81,13.9,0.31,155.3846153846154,234.78,101.0
💎 強力關注,32.37%,17.229999999999997,2026-03,高雄銀,89.95%,28.3,25.200000000000003,2836.TW,🏰 高護城河,2025,16.1,0.68,14.52,0.2,7.321428684940476,33.33,12.3000001907
⚠️ 追價風險,N/A,15.160000000000025,2026-03,環宇-KY,N/A,107.11,11.999999999999998,4991.TWO,🚀 利潤擴張,2025,316.27,0.15,25.43,1.67,591.25,331.43,473.0
⚪ 數據不足,N/A,12.35,2026-03,精誠金融,N/A,14.12,0.0,7819.TWO,🧐 疑業外收益,2025,-1.82,2.91,10.14,0.42,0.0,10.53,34.3499984741
💎 強力關注,39.14%,12.0,2026-03,凱基金,78.38%,-10.99,57.14999999999999,2883.TW,🏰 高護城河,2025,22.04,1.74,-12.26,0.69,10.31496042968504,34.04,39.2999992371
⚪ 數據不足,N/A,10.350000000000001,2026-03,華安,N/A,-14.12,-109.2,6657.TW,🚀 利潤擴張,2025,41.94,-2.92,-0.97,-0.53,0.0,52.29,32.9500007629
⚠️ 追價風險,60.64%,9.14,2026-03,力旺,100.00%,4.19,947.7,3529.TWO,🏰 高護城河,2025,19.99,25.6,6.74,7.98,49.224438113327004,29.13,3110.0
⚪ 數據不足,-4.59%,8.629999999999995,2026-03,宏亞,24.77%,-53.57,-14.25,1236.TW,🔄 轉虧為盈,2025,274.7,-0.43,-8.31,0.23,0.0,283.33,25.3500003815
⚪ 數據不足,-13.99%,7.890000000000015,2026-03,岱宇,27.77%,-827.91,-89.10000000000001,1598.TW,🔄 轉虧為盈,2025,145.6,-3.35,-15.19,0.25,0.0,153.49,20.4500007629
