eps,gm,prev_rev_yoy,price,pe,advice,est_price,prev_year,rev_yoy,prev_eps_yoy,eps_yoy,name,status,date,expansion,symbol,prev_eps,om
1.02,N/A,76.4,1750.0,0.0,⚪ 數據不足,0.0,2025,51.84,44.08,121.74,創新服務,🚀 利潤擴張,2026-03,69.89999999999999,7828.TWO,6.33,N/A
0.25,90.85%,4.6,15.3500003815,10.032679987908496,💎 強力關注,22.95,2025,58.58,3.28,127.27,國票金,🏰 高護城河,2026-03,68.69,2889.TW,0.63,38.94%
1.41,82.18%,-4.63,95.5,5.571761960326721,💎 強力關注,257.1,2025,40.15,24.43,107.35,麗豐-KY,🏰 高護城河,2026-03,67.19999999999999,4137.TW,7.13,20.98%
0.06,54.59%,-28.72,7.8299999237,0.0,⚪ 數據不足,-15.3,2025,110.52,-31.03,175.0,研勤,🔄 轉虧為盈,2026-03,64.48,3632.TWO,-0.38,3.73%
0.6,N/A,2.38,43.6500015259,0.0,⚪ 數據不足,0.0,2025,42.91,-24.06,106.9,和迅,🚀 利潤擴張,2026-03,63.99000000000001,6986.TWO,2.43,N/A
0.11,31.44%,-7.78,31.0499992371,0.0,⚪ 數據不足,-38.1,2025,111.03,-184.44,175.0,穎漢,🔄 轉虧為盈,2026-03,63.97,4562.TW,-1.28,-45.46%
-0.27,93.22%,-29.69,19.6000003815,0.0,⚪ 數據不足,-122.4,2025,-1.0,-7120.0,62.5,泰偉,🏰 高護城河,2026-03,63.5,3064.TWO,-3.51,-55.72%
1.34,N/A,12.14,34.8499984741,5.140117769041297,💎 強力關注,101.7,2025,171.79,17.33,235.0,群益證,🚀 利潤擴張,2026-03,63.21000000000001,6005.TW,2.64,N/A
0.84,N/A,19.69,32.5999984741,48.65671414044777,⚠️ 追價風險,10.049999999999997,2025,438.18,152.25,500.0,車王電,🚀 利潤擴張,2026-03,61.81999999999999,1533.TW,0.58,N/A
0.56,20.98%,-4.85,21.25,14.166666666666666,✅ 穩健價值,22.5,2025,538.23,34.55,600.0,正隆,🚀 利潤擴張,2026-03,61.76999999999998,1904.TW,0.74,7.12%
1.9,N/A,-4.59,82.9000015259,10.922266340698286,💎 強力關注,113.85,2025,150.03,-26.32,206.45,日揚,🚀 利潤擴張,2026-03,56.41999999999999,6208.TWO,2.52,N/A
1.46,N/A,-6.81,50.7999992371,10.539418928858922,💎 強力關注,72.30000000000001,2025,148.33,-36.9,204.17,強生,🚀 利潤擴張,2026-03,55.839999999999975,4747.TWO,1.19,N/A
0.13,N/A,2.65,73.9000015259,0.0,⚪ 數據不足,-18.45,2025,189.01,49.15,244.44,九暘,🔄 轉虧為盈,2026-03,55.43000000000001,8040.TWO,-0.6,N/A
2.62,41.95%,-6.28,39.1500015259,2.148737734681669,💎 強力關注,273.29999999999995,2025,185.42,905.92,239.47,晟德,🚀 利潤擴張,2026-03,54.05000000000001,4123.TWO,12.33,-106.23%
-1.43,N/A,-29.22,74.8000030518,0.0,⚪ 數據不足,0.0,2025,-55.48,-48.08,-2.96,心誠鎂,🌑 雙重衰退,2026-03,52.519999999999996,6934.TW,-3.92,N/A
3.29,N/A,6.51,130.0,7.719714964370547,💎 強力關注,252.6,2025,95.63,66.34,147.37,霈方,🚀 利潤擴張,2026-03,51.74000000000001,6574.TWO,6.82,N/A
7.68,N/A,182.72,0.0,0.0,⚪ 數據不足,0.0,2025,91.93,38.44,139.49,永擎,🚀 利潤擴張,2026-03,47.56,7711.TW,13.04,N/A
1.01,N/A,23.54,29.7000007629,14.00943432212264,✅ 穩健價值,31.8,2025,359.48,-36.17,406.06,廣寰科,🚀 利潤擴張,2026-03,46.579999999999984,3287.TWO,1.5,N/A
0.03,N/A,-17.0,23.25,2.3797338792221088,💎 強力關注,146.54999999999998,2025,66.65,544.54,112.5,琉園,🚀 利潤擴張,2026-03,45.849999999999994,9949.TWO,5.29,N/A
0.46,N/A,108.17,89.3000030518,7.771975896588338,💎 強力關注,172.35,2025,15.93,31.64,55.17,漢達,🚀 利潤擴張,2026-03,39.24,6620.TWO,4.85,N/A
0.08,20.64%,-40.0,83.0,0.0,⚪ 數據不足,-30.6,2025,264.14,-93.75,300.0,威盛,🚀 利潤擴張,2026-03,35.860000000000014,2388.TW,0.12,-8.17%
1.19,50.66%,1.24,62.5999984741,11.465201185732601,💎 強力關注,81.9,2025,156.04,-5.7,190.24,禾瑞亞,🏰 高護城河,2026-03,34.20000000000002,3556.TWO,2.15,14.95%
0.87,N/A,19.28,40.0,0.0,⚪ 數據不足,0.0,2025,10.24,91.67,42.62,神數,🚀 利潤擴張,2026-03,32.379999999999995,7821.TW,2.99,N/A
11.94,35.24%,15.19,0.0,0.0,⚪ 數據不足,0.0,2025,6.33,-17.2,34.92,未知,🚀 利潤擴張,2025-12,28.590000000000003,2072.TWO,7.56,30.89%
-0.36,N/A,-5.58,74.3000030518,0.0,⚪ 數據不足,-70.05,2025,-3.86,-13.21,23.4,向榮生技,🧐 疑業外收益,2026-03,27.259999999999998,6794.TW,-1.89,N/A
0.11,23.39%,2.23,9.970000267,0.0,⚪ 數據不足,-28.950000000000003,2025,422.96,-197.83,450.0,南緯,🔄 轉虧為盈,2026-03,27.04000000000002,1467.TW,-0.45,1.90%
1.62,N/A,3.08,262.0,0.0,⚪ 數據不足,0.0,2025,16.63,-27.83,42.86,頌勝科技,🚀 利潤擴張,2026-03,26.23,7768.TW,3.24,N/A
1.62,N/A,3.08,0.0,0.0,⚪ 數據不足,0.0,2025,16.63,-27.83,42.86,未知,🚀 利潤擴張,2026-03,26.23,7768.TWO,3.24,N/A
4.33,21.29%,20.5,0.0,0.0,⚪ 數據不足,0.0,2025,12.42,11.37,38.11,大東電,🚀 利潤擴張,2026-03,25.689999999999998,1623.TW,13.61,16.93%
1.08,80.00%,6.4,69.4000015259,9.857954762201704,💎 強力關注,105.6,2025,62.36,-1.08,83.05,元大金,🏰 高護城河,2026-03,20.689999999999998,2885.TW,2.74,33.03%
0.32,N/A,0.36,30.0499992371,13.475335980762331,✅ 穩健價值,33.45,2025,25.49,-66.0,45.45,中連,🚀 利潤擴張,2026-03,19.960000000000004,5604.TWO,0.85,N/A
0.89,N/A,0.56,15.9499998093,9.725609639817073,💎 強力關注,24.599999999999998,2025,451.29,-11.63,470.83,宏遠證,🚀 利潤擴張,2026-03,19.539999999999964,6015.TWO,0.76,N/A
-0.19,N/A,-8.35,12.5,0.0,⚪ 數據不足,-30.900000000000002,2025,26.81,-134.86,45.71,力新,🚀 利潤擴張,2026-03,18.900000000000002,5202.TWO,-0.61,N/A
0.55,97.25%,4.06,43.7999992371,9.279660855317799,💎 強力關注,70.8,2025,22.97,13.1,41.03,華南金,🏰 高護城河,2026-03,18.060000000000002,2880.TW,1.9,45.93%
0.31,31.93%,13.9,111.5,171.53846153846152,⚠️ 追價風險,9.75,2025,216.8,35.0,234.78,博磊,🚀 利潤擴張,2026-03,17.97999999999999,3581.TWO,0.81,8.13%
0.2,89.95%,14.52,11.8000001907,7.0238096373214285,💎 強力關注,25.200000000000003,2025,16.1,28.3,33.33,高雄銀,🏰 高護城河,2026-03,17.229999999999997,2836.TW,0.68,32.37%
1.67,N/A,25.43,469.0,586.25,⚠️ 追價風險,11.999999999999998,2025,316.27,107.11,331.43,環宇-KY,🚀 利潤擴張,2026-03,15.160000000000025,4991.TWO,0.15,N/A
0.42,N/A,10.14,34.4000015259,0.0,⚪ 數據不足,0.0,2025,-1.82,14.12,10.53,精誠金融,🧐 疑業外收益,2026-03,12.35,7819.TWO,2.91,N/A
0.69,78.38%,-12.26,31.6000003815,8.29396335472441,💎 強力關注,57.14999999999999,2025,22.04,-10.99,34.04,凱基金,🏰 高護城河,2026-03,12.0,2883.TW,1.74,39.14%
-0.53,N/A,-0.97,30.5,0.0,⚪ 數據不足,-109.2,2025,41.94,-14.12,52.29,華安,🚀 利潤擴張,2026-03,10.350000000000001,6657.TW,-2.92,N/A
7.98,100.00%,6.74,2630.0,41.62709718265274,⚠️ 追價風險,947.7,2025,19.99,4.19,29.13,力旺,🏰 高護城河,2026-03,9.14,3529.TWO,25.6,60.64%
0.23,24.77%,-8.31,24.8500003815,0.0,⚪ 數據不足,-14.25,2025,274.7,-53.57,283.33,宏亞,🔄 轉虧為盈,2026-03,8.629999999999995,1236.TW,-0.43,-4.59%
0.25,27.77%,-15.19,20.1499996185,0.0,⚪ 數據不足,-89.10000000000001,2025,145.6,-827.91,153.49,岱宇,🔄 轉虧為盈,2026-03,7.890000000000015,1598.TW,-3.35,-13.99%
0.39,N/A,15.86,64.5999984741,7.122381309162073,✅ 穩健價值,136.05,2025,48.18,24.93,56.0,全景軟體,🚀 利潤擴張,2026-03,7.82,8272.TWO,4.66,N/A
