date,eps_yoy,gm,prev_eps_yoy,rev_yoy,eps,prev_year,symbol,name,price,expansion,om,pe,status,est_price,prev_rev_yoy,advice,prev_eps
2026-03,366.67,N/A,-125.22,214.33,0.28,2025,9934.TW,成霖,10.1000003815,152.34,N/A,144.28571973571414,🔄 轉虧為盈,1.050000000000001,-4.25,⚠️ 追價風險,-0.29
2026-03,323.08,N/A,-77.02,180.76,1.1,2025,2732.TWO,六角,65.0,142.32,N/A,30.232558139534873,🚀 利潤擴張,32.250000000000014,7.13,⚠️ 追價風險,1.09
2026-03,442.11,N/A,-38.68,307.94,1.03,2025,6569.TWO,醫揚,106.0,134.17000000000002,N/A,16.536661466458657,🚀 利潤擴張,96.15,5.8,⚪ 中性觀察,2.88
2026-03,406.45,N/A,921.74,273.28,1.57,2025,6166.TW,凌華,139.5,133.17000000000002,N/A,24.603174603174605,🚀 利潤擴張,85.05,17.09,⚠️ 追價風險,2.35
2026-03,645.65,54.76%,884.75,515.18,3.44,2025,3081.TWO,聯亞,2020.0,130.47000000000003,41.27%,165.5737704918033,🏰 高護城河,183.0,82.29,⚠️ 追價風險,4.66
2026-03,228.49,N/A,-20.59,113.17,2.21,2025,3356.TW,奇偶,62.7000007629,115.32000000000001,N/A,5.466434242624237,🚀 利潤擴張,172.05,-14.96,💎 強力關注,6.21
2026-03,383.33,N/A,-84.51,268.59,0.29,2025,6735.TWO,美達科技,87.0,114.74000000000001,N/A,0.0,🚀 利潤擴張,-7.200000000000001,-4.81,⚪ 數據不足,0.33
2026-03,87.5,102.69%,-365.71,-21.56,-0.02,2025,2601.TW,益航,5.4499998093,109.06,-12.62%,0.0,🏰 高護城河,-33.6,-7.78,⚪ 數據不足,-1.63
2026-03,270.0,N/A,-45.51,161.56,0.37,2025,7730.TW,暉盛-創,188.0,108.44,N/A,55.621301775147934,🚀 利潤擴張,50.699999999999996,-5.33,⚠️ 追價風險,1.73
2026-03,163.46,N/A,152.83,67.27,0.66,2025,2911.TW,麗嬰房,7.1500000954,96.19000000000001,N/A,0.0,🚀 利潤擴張,-40.05,-16.81,⚪ 數據不足,2.15
2026-03,150.0,87.57%,-46.91,57.36,0.3,2025,3083.TWO,網龍,27.8999996185,92.64,12.73%,32.06896507873563,🏰 高護城河,13.05,-7.4,⚠️ 追價風險,0.43
2026-03,1080.0,N/A,104.41,990.52,0.49,2025,6931.TW,青松健康,39.7999992371,89.48000000000002,N/A,13.400673143804713,🚀 利潤擴張,44.550000000000004,14.16,✅ 穩健價值,1.39
2026-03,575.0,16.92%,-169.49,486.21,0.28,2025,1599.TWO,宏佳騰,23.7000007629,88.79000000000002,-21.33%,0.0,🔄 轉虧為盈,-24.299999999999994,-18.58,⚪ 數據不足,-0.84
2026-03,166.67,28.91%,17.57,81.97,0.06,2025,4147.TWO,中裕,65.0,84.69999999999999,-58.34%,0.0,🔄 轉虧為盈,-18.3,0.19,⚪ 數據不足,-0.61
2026-03,186.6,33.66%,-51.9,102.97,2.78,2025,1339.TW,昭輝,44.0,83.63,13.17%,6.748466257668712,🚀 利潤擴張,97.8,-14.02,💎 強力關注,2.41
2026-03,392.86,30.84%,78.06,309.82,0.7,2025,2436.TW,偉詮電,70.8000030518,83.04000000000002,3.76%,12.967033525970697,🚀 利潤擴張,81.9,15.32,✅ 穩健價值,3.02
2026-03,178.26,N/A,-50.67,97.11,0.64,2025,6756.TW,威鋒電子,97.9000015259,81.14999999999999,N/A,32.31023152669967,🚀 利潤擴張,45.449999999999996,-8.83,⚠️ 追價風險,1.11
2026-03,136.36,89.44%,-64.44,62.07,2.34,2025,3546.TWO,宇峻,84.0,74.29000000000002,20.17%,16.153846153846157,🏰 高護城河,77.99999999999999,2.09,⚪ 中性觀察,1.97
2026-03,99.93,N/A,96.29,26.64,-0.15,2025,7823.TW,奧義賽博-KY創,78.9000015259,73.29,N/A,0.0,🚀 利潤擴張,0.0,22.72,⚪ 數據不足,-1.49
2026-03,-25.93,N/A,-99.18,-97.71,-0.68,2025,6169.TWO,昱泉,14.9499998093,71.78,N/A,0.0,🌑 雙重衰退,-96.44999999999999,19.25,⚪ 數據不足,-2.43
2026-03,650.0,N/A,-91.14,578.38,0.3,2025,8354.TWO,冠好,16.1499996185,71.62,N/A,0.0,🚀 利潤擴張,-17.549999999999997,0.63,⚪ 數據不足,0.14
2026-03,386.11,25.49%,-5.15,315.9,1.75,2025,4905.TWO,台聯電,68.0,70.21000000000004,0.20%,14.31578947368421,🚀 利潤擴張,71.25,22.56,✅ 穩健價值,2.76
2026-03,121.74,N/A,44.08,51.84,1.02,2025,7828.TWO,創新服務,2015.0,69.89999999999999,N/A,0.0,🚀 利潤擴張,0.0,76.4,⚪ 數據不足,6.33
2026-03,127.27,90.85%,3.28,58.58,0.25,2025,2889.TW,國票金,14.8500003815,68.69,38.94%,9.70588260228758,🏰 高護城河,22.95,4.6,💎 強力關注,0.63
2026-03,107.35,82.18%,24.43,40.15,1.41,2025,4137.TW,麗豐-KY,109.5,67.19999999999999,20.98%,6.388564760793465,🏰 高護城河,257.1,-4.63,💎 強力關注,7.13
2026-03,175.0,54.59%,-31.03,110.52,0.06,2025,3632.TWO,研勤,7.9299998283,64.48,3.73%,0.0,🔄 轉虧為盈,-15.3,-28.72,⚪ 數據不足,-0.38
