eps,status,date,eps_yoy,advice,symbol,prev_eps_yoy,pe,price,name,rev_yoy,om,gm,expansion,prev_year,est_price,prev_rev_yoy,prev_eps
0.08,🚀 利潤擴張,2026-03,300.0,⚪ 數據不足,2388.TW,-93.75,0.0,71.1999969482,威盛,264.14,-8.17%,20.64%,35.860000000000014,2025,-30.6,-40.0,0.12
1.19,🏰 高護城河,2026-03,190.24,✅ 穩健價值,3556.TWO,-5.7,13.27838827838828,72.5,禾瑞亞,156.04,14.95%,50.66%,34.20000000000002,2025,81.9,1.24,2.15
0.87,🚀 利潤擴張,2026-03,42.62,⚪ 數據不足,7821.TW,91.67,0.0,42.0499992371,神數,10.24,N/A,N/A,32.379999999999995,2025,0.0,19.28,2.99
11.94,🚀 利潤擴張,2025-12,34.92,⚪ 數據不足,2072.TWO,-17.2,0.0,0.0,未知,6.33,30.89%,35.24%,28.590000000000003,2025,0.0,15.19,7.56
-0.36,🧐 疑業外收益,2026-03,23.4,⚪ 數據不足,6794.TW,-13.21,0.0,81.4000015259,向榮生技,-3.86,N/A,N/A,27.259999999999998,2025,-70.05,-5.58,-1.89
0.11,🔄 轉虧為盈,2026-03,450.0,⚪ 數據不足,1467.TW,-197.83,0.0,9.3100004196,南緯,422.96,1.90%,23.39%,27.04000000000002,2025,-28.950000000000003,2.23,-0.45
1.62,🚀 利潤擴張,2026-03,42.86,⚪ 數據不足,7768.TW,-27.83,0.0,370.0,頌勝科技,16.63,N/A,N/A,26.23,2025,0.0,3.08,3.24
1.62,🚀 利潤擴張,2026-03,42.86,⚪ 數據不足,7768.TWO,-27.83,0.0,0.0,未知,16.63,N/A,N/A,26.23,2025,0.0,3.08,3.24
4.33,🚀 利潤擴張,2026-03,38.11,⚪ 數據不足,1623.TW,11.37,0.0,0.0,大東電,12.42,16.93%,21.29%,25.689999999999998,2025,0.0,20.5,13.61
1.08,🏰 高護城河,2026-03,83.05,💎 強力關注,2885.TW,-1.08,9.715909307656249,68.4000015259,元大金,62.36,33.03%,80.00%,20.689999999999998,2025,105.6,6.4,2.74
0.32,🚀 利潤擴張,2026-03,45.45,✅ 穩健價值,5604.TWO,-66.0,13.90134529147982,31.0,中連,25.49,N/A,N/A,19.960000000000004,2025,33.45,0.36,0.85
0.89,🚀 利潤擴張,2026-03,470.83,💎 強力關注,6015.TWO,-11.63,10.94512241640244,17.9500007629,宏遠證,451.29,N/A,N/A,19.539999999999964,2025,24.599999999999998,0.56,0.76
-0.19,🚀 利潤擴張,2026-03,45.71,⚪ 數據不足,5202.TWO,-134.86,0.0,15.1999998093,力新,26.81,N/A,N/A,18.900000000000002,2025,-30.900000000000002,-8.35,-0.61
0.55,🏰 高護城河,2026-03,41.03,💎 強力關注,2880.TW,13.1,8.103813559322035,38.25,華南金,22.97,45.93%,97.25%,18.060000000000002,2025,70.8,4.06,1.9
0.31,🚀 利潤擴張,2026-03,234.78,⚠️ 追價風險,3581.TWO,35.0,215.3846153846154,140.0,博磊,216.8,8.13%,31.93%,17.97999999999999,2025,9.75,13.9,0.81
0.2,🏰 高護城河,2026-03,33.33,💎 強力關注,2836.TW,28.3,7.47023820875,12.5500001907,高雄銀,16.1,32.37%,89.95%,17.229999999999997,2025,25.200000000000003,14.52,0.68
1.67,🚀 利潤擴張,2026-03,331.43,⚠️ 追價風險,4991.TWO,107.11,651.25,521.0,環宇-KY,316.27,N/A,N/A,15.160000000000025,2025,11.999999999999998,25.43,0.15
0.42,🧐 疑業外收益,2026-03,10.53,⚪ 數據不足,7819.TWO,14.12,0.0,38.1500015259,精誠金融,-1.82,N/A,N/A,12.35,2025,0.0,10.14,2.91
0.69,🏰 高護城河,2026-03,34.04,💎 強力關注,2883.TW,-10.99,7.611548556430447,29.0,凱基金,22.04,39.14%,78.38%,12.0,2025,57.14999999999999,-12.26,1.74
-0.53,🚀 利潤擴張,2026-03,52.29,⚪ 數據不足,6657.TW,-14.12,0.0,36.75,華安,41.94,N/A,N/A,10.350000000000001,2025,-109.2,-0.97,-2.92
7.98,🏰 高護城河,2026-03,29.13,⚠️ 追價風險,3529.TWO,4.19,44.39696106362773,2805.0,力旺,19.99,60.64%,100.00%,9.14,2025,947.7,6.74,25.6
0.23,🔄 轉虧為盈,2026-03,283.33,⚪ 數據不足,1236.TW,-53.57,0.0,25.5499992371,宏亞,274.7,-4.59%,24.77%,8.629999999999995,2025,-14.25,-8.31,-0.43
0.25,🔄 轉虧為盈,2026-03,153.49,⚪ 數據不足,1598.TW,-827.91,0.0,19.5,岱宇,145.6,-13.99%,27.77%,7.890000000000015,2025,-89.10000000000001,-15.19,-3.35
0.39,🚀 利潤擴張,2026-03,56.0,✅ 穩健價值,8272.TWO,24.93,7.475193280242558,67.8000030518,全景軟體,48.18,N/A,N/A,7.82,2025,136.05,15.86,4.66
0.11,🏰 高護城河,2026-03,37.5,⚠️ 追價風險,2901.TW,-7.32,26.333334180999998,23.7000007629,欣欣,30.02,20.24%,84.77%,7.48,2025,13.5,-2.15,0.38
-0.19,🌑 雙重衰退,2026-03,-5.56,⚪ 數據不足,4178.TWO,14.95,0.0,0.0,未知,-11.29,N/A,N/A,5.7299999999999995,2025,0.0,-3.6,-0.92
-0.19,🌑 雙重衰退,2026-03,-5.56,⚪ 數據不足,4178.TW,14.95,0.0,18.6000003815,永笙-KY,-11.29,N/A,N/A,5.7299999999999995,2025,0.0,-3.6,-0.92
1.5,🚀 利潤擴張,2026-03,114.29,✅ 穩健價值,6195.TWO,-38.13,6.261792272900943,26.5499992371,詩肯,109.17,N/A,N/A,5.1200000000000045,2025,63.6,-3.57,0.99
0.63,🏰 高護城河,2026-03,16.67,✅ 穩健價值,2886.TW,0.85,7.553017820081568,46.2999992371,兆豐金,12.57,33.61%,83.45%,4.100000000000001,2025,91.94999999999999,-1.77,2.36
0.07,🏰 高護城河,2026-03,16.67,⚠️ 追價風險,3094.TW,41.18,87.5510235222449,42.9000015259,聯傑,12.87,-7.29%,73.82%,3.8000000000000025,2025,7.35,13.2,0.25
0.24,🔄 轉虧為盈,2026-03,300.0,⚪ 數據不足,4939.TWO,-326.32,0.0,63.0,亞電,296.51,N/A,N/A,3.490000000000009,2025,-22.2,-8.05,-0.43
0.73,🚀 利潤擴張,2026-03,5.8,⚪ 數據不足,7839.TWO,18.52,0.0,42.2999992371,達人網,2.45,N/A,N/A,3.3499999999999996,2025,0.0,8.14,2.56
-0.25,🚀 利潤擴張,2026-03,35.9,⚠️ 追價風險,7777.TWO,-16.92,51.543209876543216,41.75,能率亞洲,32.83,N/A,N/A,3.0700000000000003,2025,12.149999999999999,15.88,0.58
0.89,🏰 高護城河,2026-03,71.15,✅ 穩健價值,2941.TWO,-27.47,5.239162815710015,35.0499992371,米斯特,68.9,2.03%,64.17%,2.25,2025,100.35000000000001,12.71,2.35
