prev_eps,status,pe,eps_yoy,rev_yoy,expansion,date,prev_rev_yoy,name,price,eps,gm,om,est_price,advice,prev_year,prev_eps_yoy,symbol
5.29,🚀 利潤擴張,2.784032831412487,112.5,66.65,45.849999999999994,2026-03,-17.0,琉園,27.2000007629,0.03,N/A,N/A,146.54999999999998,💎 強力關注,2025,544.54,9949.TWO
4.85,🚀 利潤擴張,8.581374975987815,55.17,15.93,39.24,2026-03,108.17,漢達,98.5999984741,0.46,N/A,N/A,172.35,💎 強力關注,2025,31.64,6620.TWO
0.12,🚀 利潤擴張,0.0,300.0,264.14,35.860000000000014,2026-03,-40.0,威盛,71.5999984741,0.08,20.64%,-8.17%,-30.6,⚪ 數據不足,2025,-93.75,2388.TW
2.15,🏰 高護城河,13.296703017234433,190.24,156.04,34.20000000000002,2026-03,1.24,禾瑞亞,72.5999984741,1.19,50.66%,14.95%,81.9,✅ 穩健價值,2025,-5.7,3556.TWO
2.99,🚀 利潤擴張,0.0,42.62,10.24,32.379999999999995,2026-03,19.28,神數,41.7999992371,0.87,N/A,N/A,0.0,⚪ 數據不足,2025,91.67,7821.TW
7.56,🚀 利潤擴張,0.0,34.92,6.33,28.590000000000003,2025-12,15.19,未知,0.0,11.94,35.24%,30.89%,0.0,⚪ 數據不足,2025,-17.2,2072.TWO
-1.89,🧐 疑業外收益,0.0,23.4,-3.86,27.259999999999998,2026-03,-5.58,向榮生技,77.5,-0.36,N/A,N/A,-70.05,⚪ 數據不足,2025,-13.21,6794.TW
-0.45,🔄 轉虧為盈,0.0,450.0,422.96,27.04000000000002,2026-03,2.23,南緯,8.8299999237,0.11,23.39%,1.90%,-28.950000000000003,⚪ 數據不足,2025,-197.83,1467.TW
3.24,🚀 利潤擴張,0.0,42.86,16.63,26.23,2026-03,3.08,頌勝科技,344.0,1.62,N/A,N/A,0.0,⚪ 數據不足,2025,-27.83,7768.TW
3.24,🚀 利潤擴張,0.0,42.86,16.63,26.23,2026-03,3.08,未知,0.0,1.62,N/A,N/A,0.0,⚪ 數據不足,2025,-27.83,7768.TWO
13.61,🚀 利潤擴張,0.0,38.11,12.42,25.689999999999998,2026-03,20.5,大東電,0.0,4.33,21.29%,16.93%,0.0,⚪ 數據不足,2025,11.37,1623.TW
2.74,🏰 高護城河,9.346591342585228,83.05,62.36,20.689999999999998,2026-03,6.4,元大金,65.8000030518,1.08,80.00%,33.03%,105.6,💎 強力關注,2025,-1.08,2885.TW
0.85,🚀 利潤擴張,13.811658850717489,45.45,25.49,19.960000000000004,2026-03,0.36,中連,30.7999992371,0.32,N/A,N/A,33.45,✅ 穩健價值,2025,-66.0,5604.TWO
0.76,🚀 利潤擴張,10.51829268292683,470.83,451.29,19.539999999999964,2026-03,0.56,宏遠證,17.25,0.89,N/A,N/A,24.599999999999998,💎 強力關注,2025,-11.63,6015.TWO
-0.61,🚀 利潤擴張,0.0,45.71,26.81,18.900000000000002,2026-03,-8.35,力新,15.8000001907,-0.19,N/A,N/A,-30.900000000000002,⚪ 數據不足,2025,-134.86,5202.TWO
1.9,🏰 高護城河,7.754236964851695,41.03,22.97,18.060000000000002,2026-03,4.06,華南金,36.5999984741,0.55,97.25%,45.93%,70.8,💎 強力關注,2025,13.1,2880.TW
0.81,🚀 利潤擴張,222.3076923076923,234.78,216.8,17.97999999999999,2026-03,13.9,博磊,144.5,0.31,31.93%,8.13%,9.75,⚠️ 追價風險,2025,35.0,3581.TWO
0.68,🏰 高護城河,7.261904648392856,33.33,16.1,17.229999999999997,2026-03,14.52,高雄銀,12.1999998093,0.2,89.95%,32.37%,25.200000000000003,💎 強力關注,2025,28.3,2836.TW
0.15,🚀 利潤擴張,657.5,331.43,316.27,15.160000000000025,2026-03,25.43,環宇-KY,526.0,1.67,N/A,N/A,11.999999999999998,⚠️ 追價風險,2025,107.11,4991.TWO
2.91,🧐 疑業外收益,0.0,10.53,-1.82,12.35,2026-03,10.14,精誠金融,39.2000007629,0.42,N/A,N/A,0.0,⚪ 數據不足,2025,14.12,7819.TWO
1.74,🏰 高護城河,7.322834545538059,34.04,22.04,12.0,2026-03,-12.26,凱基金,27.8999996185,0.69,78.38%,39.14%,57.14999999999999,💎 強力關注,2025,-10.99,2883.TW
-2.92,🚀 利潤擴張,0.0,52.29,41.94,10.350000000000001,2026-03,-0.97,華安,35.4000015259,-0.53,N/A,N/A,-109.2,⚪ 數據不足,2025,-14.12,6657.TW
25.6,🏰 高護城河,47.08768597657487,29.13,19.99,9.14,2026-03,6.74,力旺,2975.0,7.98,100.00%,60.64%,947.7,⚠️ 追價風險,2025,4.19,3529.TWO
-0.43,🔄 轉虧為盈,0.0,283.33,274.7,8.629999999999995,2026-03,-8.31,宏亞,25.5499992371,0.23,24.77%,-4.59%,-14.25,⚪ 數據不足,2025,-53.57,1236.TW
-3.35,🔄 轉虧為盈,0.0,153.49,145.6,7.890000000000015,2026-03,-15.19,岱宇,19.0,0.25,27.77%,-13.99%,-89.10000000000001,⚪ 數據不足,2025,-827.91,1598.TW
4.66,🚀 利潤擴張,7.497243660418963,56.0,48.18,7.82,2026-03,15.86,全景軟體,68.0,0.39,N/A,N/A,136.05,✅ 穩健價值,2025,24.93,8272.TWO
0.38,🏰 高護城河,26.722221374555556,37.5,30.02,7.48,2026-03,-2.15,欣欣,24.0499992371,0.11,84.77%,20.24%,13.5,⚠️ 追價風險,2025,-7.32,2901.TW
-0.92,🌑 雙重衰退,0.0,-5.56,-11.29,5.7299999999999995,2026-03,-3.6,未知,0.0,-0.19,N/A,N/A,0.0,⚪ 數據不足,2025,14.95,4178.TWO
-0.92,🌑 雙重衰退,0.0,-5.56,-11.29,5.7299999999999995,2026-03,-3.6,永笙-KY,17.6499996185,-0.19,N/A,N/A,0.0,⚪ 數據不足,2025,14.95,4178.TW
0.99,🚀 利潤擴張,6.014150943396226,114.29,109.17,5.1200000000000045,2026-03,-3.57,詩肯,25.5,1.5,N/A,N/A,63.6,✅ 穩健價值,2025,-38.13,6195.TWO
2.36,🏰 高護城河,7.504078303425776,16.67,12.57,4.100000000000001,2026-03,-1.77,兆豐金,46.0,0.63,83.45%,33.61%,91.94999999999999,✅ 穩健價值,2025,0.85,2886.TW
0.25,🏰 高護城河,81.42857454265307,16.67,12.87,3.8000000000000025,2026-03,13.2,聯傑,39.9000015259,0.07,73.82%,-7.29%,7.35,⚠️ 追價風險,2025,41.18,3094.TW
-0.43,🔄 轉虧為盈,0.0,300.0,296.51,3.490000000000009,2026-03,-8.05,亞電,61.2999992371,0.24,N/A,N/A,-22.2,⚪ 數據不足,2025,-326.32,4939.TWO
2.56,🚀 利潤擴張,0.0,5.8,2.45,3.3499999999999996,2026-03,8.14,達人網,45.264705658,0.73,N/A,N/A,0.0,⚪ 數據不足,2025,18.52,7839.TWO
