prev_eps,prev_eps_yoy,eps,advice,price,est_price,date,pe,name,status,prev_rev_yoy,symbol,expansion,om,rev_yoy,gm,eps_yoy,prev_year
0.23,-14.81,0.88,⚠️ 追價風險,10.1999998093,5.250000000000002,2025-12,29.142856597999987,中美實,🧐 疑業外收益,-60.26,4702.TWO,113.31,-88.29%,-61.59,35.38%,51.72,2025
10.08,19.56,23.18,💎 強力關注,458.0,592.05,2025-12,11.603749683303775,威剛,🚀 利潤擴張,22.8,3260.TWO,112.57,35.36%,32.13,48.37%,144.7,2025
-0.41,28.07,-0.18,⚪ 數據不足,12.1999998093,-17.700000000000003,2025-12,0.0,千興,🧐 疑業外收益,-15.81,2025.TW,109.96,14.50%,-22.64,-19.82%,87.32,2025
0.02,104.35,0.02,⚪ 數據不足,36.6500015259,-4.95,2025-12,0.0,大拓-KY,🧐 疑業外收益,-7.04,8455.TWO,109.10000000000001,N/A,-6.4,N/A,102.7,2025
-0.37,50.67,0.54,⚪ 數據不足,28.8999996185,-5.399999999999999,2025-12,0.0,佳龍,🔄 轉虧為盈,17.8,9955.TW,108.56,N/A,26.06,N/A,134.62,2025
3.47,-46.86,13.06,⚪ 中性觀察,302.0,279.75000000000006,2025-12,16.19302949061662,十銓,🚀 利潤擴張,-15.55,4967.TW,107.85000000000001,N/A,2.46,N/A,110.31,2025
-0.62,80.0,-0.92,⚪ 數據不足,19.7000007629,-38.4,2025-12,0.0,創業家,🧐 疑業外收益,-51.54,8477.TWO,106.5,N/A,-52.73,N/A,53.77,2025
1.91,127.38,2.83,💎 強力關注,23.5,94.35,2025-12,3.7360890302066774,國建,🚀 利潤擴張,7.39,2501.TW,106.29,17.13%,1.8,26.51%,108.09,2025
-0.75,29.25,0.86,⚪ 數據不足,58.0,-14.549999999999999,2025-12,0.0,威潤,🔄 轉虧為盈,5.09,6465.TWO,104.65,N/A,63.6,N/A,168.25,2025
1.5,-29.03,6.33,⚠️ 追價風險,240.5,131.09999999999997,2025-12,27.517162471395885,凌航,🚀 利潤擴張,34.74,3135.TW,103.75999999999999,16.62%,39.88,19.12%,143.64,2025
1.55,156.36,2.63,✅ 穩健價值,71.4000015259,79.8,2025-12,13.421052918402257,撼訊,🚀 利潤擴張,77.79,6150.TWO,102.95,N/A,61.2,N/A,164.15,2025
0.09,102.43,0.43,⚠️ 追價風險,85.1999969482,19.2,2025-12,66.56249761578124,麗臺,🚀 利潤擴張,32.51,2465.TW,101.99,2.26%,5.42,10.44%,107.41,2025
0.34,241.67,0.54,⚠️ 追價風險,34.9000015259,19.05,2025-12,27.480316162125984,誠品生活,🚀 利潤擴張,2.58,2926.TWO,98.16,-1.48%,1.84,40.82%,100.0,2025
1.32,41.94,2.32,💎 強力關注,22.2000007629,65.7,2025-12,5.068493324863014,錩泰,🚀 利潤擴張,28.08,1541.TW,97.42,7.07%,21.45,19.55%,118.87,2025
0.47,133.57,0.72,💎 強力關注,5.9600000381,29.099999999999998,2025-12,3.072164968092783,虹光,🚀 利潤擴張,9.38,2380.TW,96.7,0.24%,13.61,24.41%,110.31,2025
0.09,103.17,1.65,⚪ 數據不足,676.0,-7.0500000000000025,2025-12,0.0,IET-KY,🚀 利潤擴張,54.63,4971.TWO,96.47999999999999,N/A,50.49,N/A,146.97,2025
0.34,116.43,0.16,⚪ 數據不足,11.0,-7.35,2025-12,0.0,雙喜,🚀 利潤擴張,7.31,5516.TWO,96.02000000000001,N/A,8.41,N/A,104.43,2025
0.37,317.65,0.16,⚠️ 追價風險,840.0,10.65,2025-12,1183.0985915492956,上詮,🚀 利潤擴張,49.52,3363.TWO,95.32,-9.15%,38.72,12.43%,134.04,2025
10.13,167.2,16.13,⚠️ 追價風險,1275.0,520.3499999999999,2025-12,36.75410781204958,竹陞科技,🚀 利潤擴張,94.38,6739.TWO,95.30000000000001,N/A,96.69,N/A,191.99,2025
0.13,123.21,0.1,⚠️ 追價風險,66.5999984741,4.65,2025-12,214.8387047551613,廣運,🚀 利潤擴張,15.42,6125.TWO,94.49000000000001,N/A,23.69,N/A,118.18,2025
