正在分析 1684 檔標的...
     Stock  Best_Period  Win_Rate%  Total_Return%    MDD%  Sharpe  Trades Status Action
   1309.TW          240      47.06         235.04  -27.85    3.58      17   📈 持有     持有
   1215.TW          240      50.00         234.13  -14.58    5.78      18   📈 持有     持有
  6785.TWO          240      11.11         233.39  -23.52    5.03       9   📈 持有 觀察/可賣出
   2460.TW           60      30.19         233.18  -58.75    1.88      53   📈 持有 觀察/可賣出
   4912.TW          240      39.39         232.29  -30.48    5.19      33   📈 持有     持有
   6196.TW           20      37.23         231.87  -45.40    2.65     137   📈 持有     持有
  7781.TWO           10      36.00         231.50  -27.95    3.49      25   ☁ 觀望     持有
  3213.TWO          120      30.30         231.32  -33.31    3.40      33   ☁ 觀望     持有
   2415.TW           20      28.57         231.19  -65.40    2.14     126   📈 持有 觀察/可賣出
  4768.TWO           20      44.87         230.49  -36.63    3.26      78   📈 持有     持有
  4903.TWO           60      35.44         230.22  -46.99    2.47      79   📈 持有     持有
  3552.TWO           20      30.89         229.94 -115.30    1.34     123   📈 持有 觀察/可賣出
  4946.TWO           20      31.65         229.81 -170.52    1.26     139   ☁ 觀望 觀察/可賣出
   3645.TW           10      39.05         229.60  -56.43    1.58     210   📈 持有 觀察/可賣出
   3042.TW          240      34.38         229.28  -12.47    3.18      32   📈 持有     持有
  00757.TW          240      42.86         229.05   -5.05    8.94       7   📈 持有     持有
  2641.TWO           60      35.14         228.64  -57.24    1.41      74   ☁ 觀望 觀察/可賣出
   2365.TW          240      27.03         228.45  -28.01    2.42      37   ☁ 觀望 觀察/可賣出
  3322.TWO           20      35.90         228.40  -41.28    2.59     117   ☁ 觀望     持有
  6584.TWO           10      36.49         228.33  -60.71    1.89     148   📈 持有 觀察/可賣出
  8930.TWO          120      30.00         227.52  -39.53    3.00      50   📈 持有 觀察/可賣出
   1773.TW           60      36.62         227.29  -22.77    3.22      71   📈 持有     持有
   5469.TW          240      42.86         226.92  -17.80    4.25      35   📈 持有     持有
