symbol,prev_year,prev_rev_yoy,gm,eps_yoy,date,pe,om,expansion,prev_eps,est_price,rev_yoy,status,advice,name,price,prev_eps_yoy,eps
1438.TW,2025,-98.23,29.82%,237.01,2025-12,0.0,25.89%,229.07999999999998,-0.9,-2.4000000000000004,7.93,🔄 轉虧為盈,⚪ 數據不足,三地開發,20.9500007629,10.89,1.74
1456.TW,2025,-26.31,46.73%,207.21,2025-12,8.945577971768707,248.16%,227.67000000000002,-0.9,22.050000000000004,-20.46,🔄 轉虧為盈,💎 強力關注,怡華,13.1499996185,15.89,3.41
3530.TW,2025,-5.41,31.94%,230.83,2025-12,32.10526242779905,14.09%,224.23000000000002,0.47,31.349999999999998,6.6,🚀 利潤擴張,⚠️ 追價風險,晶相光,67.0999984741,-50.0,1.74
2034.TW,2025,-4.98,5.45%,200.0,2025-12,21.614583333333336,-1.87%,213.63,0.33,14.399999999999999,-13.63,🧐 疑業外收益,⚪ 中性觀察,允強,20.75,94.12,0.21
4167.TWO,2025,-6.23,30.12%,203.51,2025-12,3.4115522777075813,9.56%,204.79,1.43,83.1,-1.28,🧐 疑業外收益,💎 強力關注,松瑞藥,18.8999996185,237.21,1.72
4744.TWO,2025,14.04,42.43%,216.0,2025-12,7.279909706546276,14.38%,203.79,1.0,66.44999999999999,12.21,🚀 利潤擴張,💎 強力關注,皇將,32.25,400.0,2.51
6902.TW,2025,20.7,N/A,222.58,2025-12,49.04306220095694,N/A,201.66000000000003,0.23,31.349999999999998,20.92,🚀 利潤擴張,⚠️ 追價風險,GOGOLOOK,102.5,119.47,1.58
2316.TW,2025,8.72,5.71%,212.47,2025-12,3.7747920665387076,-7.46%,200.22,10.81,468.90000000000003,12.25,🚀 利潤擴張,💎 強力關注,楠梓電,118.0,260.07,13.38
1796.TWO,2025,36.52,31.84%,229.63,2025-12,27.851850721555557,10.64%,199.70999999999998,0.31,20.249999999999996,29.92,🚀 利潤擴張,⚠️ 追價風險,金穎生技,37.5999984741,150.0,0.7
6840.TWO,2025,5.51,N/A,205.88,2025-12,19.853371539061584,N/A,197.42,1.18,51.15,8.46,🚀 利潤擴張,⚪ 中性觀察,東研信超,67.6999969482,76.12,1.58
3191.TWO,2025,-1.51,29.43%,189.47,2025-12,29.375000794791664,-10.81%,197.22,0.55,7.2,-7.75,🧐 疑業外收益,⚠️ 追價風險,雲嘉南,14.1000003815,219.57,0.51
3048.TW,2025,5.31,3.50%,195.71,2025-12,9.826732862103961,1.71%,193.66,1.14,60.59999999999999,2.05,🚀 利潤擴張,💎 強力關注,益登,39.7000007629,153.27,2.01
6202.TW,2025,31.27,N/A,213.64,2025-12,25.087719632850877,N/A,191.41,0.62,34.199999999999996,22.23,🚀 利潤擴張,⚠️ 追價風險,盛群,57.2000007629,191.04,0.76
2413.TW,2025,8.02,17.05%,193.18,2025-12,0.0,3.38%,189.66,-0.25,-9.6,3.52,🔄 轉虧為盈,⚪ 數據不足,環科,45.2999992371,62.12,0.41
1516.TW,2025,-90.58,5.36%,100.65,2025-12,1089.9999618549991,-14.33%,187.65,0.1,0.30000000000000027,-87.0,🧐 疑業外收益,⚠️ 追價風險,川飛,21.7999992371,-70.59,0.04
6112.TW,2025,20.56,N/A,203.33,2025-12,12.67999979656,N/A,184.49,1.2,56.25,18.84,🚀 利潤擴張,✅ 穩健價值,邁達特,47.5499992371,-3.23,1.82
6246.TWO,2025,11.15,N/A,186.36,2025-12,23.0405395095946,N/A,179.8,-0.04,11.099999999999998,6.56,🔄 轉虧為盈,⚠️ 追價風險,臺龍,17.0499992371,97.79,1.14
4746.TW,2025,4.96,41.59%,180.15,2025-12,0.0,21.37%,177.61,2.44,0.0,2.54,🚀 利潤擴張,⚪ 數據不足,台耀,0.0,39.43,3.67
3609.TWO,2025,27.17,8.05%,248.27,2025-12,2.0688072694587154,-11.23%,177.55,7.31,163.5,70.72,🚀 利潤擴張,💎 強力關注,三一東林,22.5499992371,314.37,6.42
6573.TW,2025,-11.95,N/A,163.4,2025-12,9.420289855072465,N/A,176.83,1.61,20.7,-13.43,🧐 疑業外收益,💎 強力關注,虹揚-KY,13.0,228.8,1.23
6719.TW,2025,22.77,N/A,198.64,2025-12,13.380281690140844,N/A,174.75,4.25,213.00000000000003,23.89,🚀 利潤擴張,✅ 穩健價值,力智,190.0,89.73,6.58
6127.TWO,2025,-0.97,N/A,173.44,2025-12,23.750000000000004,N/A,174.57,0.91,29.999999999999996,-1.13,🧐 疑業外收益,⚠️ 追價風險,九豪,47.5,275.0,0.47
4556.TWO,2025,-8.55,42.07%,170.59,2025-12,23.848483923696968,14.30%,174.34,0.49,24.750000000000004,-3.75,🧐 疑業外收益,⚠️ 追價風險,旭然,39.3499984741,172.22,0.92
5703.TWO,2025,4.04,N/A,178.95,2025-12,15.555555555555555,N/A,173.32999999999998,0.09,13.5,5.62,🚀 利潤擴張,✅ 穩健價值,亞都,14.0,175.0,0.53
6209.TW,2025,39.08,N/A,222.67,2025-12,45.197366413289465,N/A,172.01999999999998,0.49,22.800000000000004,50.65,🚀 利潤擴張,⚠️ 追價風險,今國光,68.6999969482,190.57,0.92
6841.TWO,2025,2.1,N/A,183.87,2025-12,27.647058133076918,N/A,171.64000000000001,0.81,33.150000000000006,12.23,🚀 利潤擴張,⚠️ 追價風險,長佳智能,61.0999984741,1700.0,0.89
7610.TW,2025,-4.54,N/A,194.08,2025-12,0.0,N/A,166.18,1.75,0.0,27.9,🚀 利潤擴張,⚪ 數據不足,聯友金屬-創,0.0,3.33,5.45
1587.TW,2025,19.92,18.05%,188.1,2025-12,47.53623077840581,2.96%,164.99,0.24,10.35,23.11,🚀 利潤擴張,⚠️ 追價風險,吉茂,32.7999992371,155.81,0.37
2486.TW,2025,13.26,15.86%,175.0,2025-12,990.3225806451613,1.35%,164.91,0.16,4.65,10.09,🚀 利潤擴張,⚠️ 追價風險,一詮,307.0,300.0,0.22
6994.TW,2025,21.0,N/A,328.87,2025-12,0.0,N/A,164.37,1.13,0.0,164.5,🚀 利潤擴張,⚪ 數據不足,富威電力,0.0,47.95,6.34
