status,prev_rev_yoy,est_price,pe,expansion,date,om,advice,prev_eps_yoy,eps_yoy,prev_year,eps,symbol,name,prev_eps,gm,price,rev_yoy
🔄 轉虧為盈,-2.43,-6.6,0.0,157.99,2026-03,-2.91%,⚪ 數據不足,-219.05,700.0,2025,0.06,2426.TW,鼎元,-0.25,10.78%,55.7000007629,542.01
🔄 轉虧為盈,2.69,-25.049999999999997,0.0,156.05,2026-03,8.42%,⚪ 數據不足,54.55,264.29,2025,0.28,2417.TW,圓剛,-0.19,56.31%,39.6500015259,108.24
🔄 轉虧為盈,-4.25,1.050000000000001,151.42857687857128,152.34,2026-03,N/A,⚠️ 追價風險,-125.22,366.67,2025,0.28,9934.TW,成霖,-0.29,N/A,10.6000003815,214.33
🚀 利潤擴張,7.13,32.250000000000014,30.372094442697666,142.32,2026-03,N/A,⚠️ 追價風險,-77.02,323.08,2025,1.1,2732.TWO,六角,1.09,N/A,65.3000030518,180.76
🚀 利潤擴張,5.8,96.15,15.288611544461778,134.17000000000002,2026-03,N/A,✅ 穩健價值,-38.68,442.11,2025,1.03,6569.TWO,醫揚,2.88,N/A,98.0,307.94
🚀 利潤擴張,17.09,85.05,21.075837742504408,133.17000000000002,2026-03,N/A,⚪ 中性觀察,921.74,406.45,2025,1.57,6166.TW,凌華,2.35,N/A,119.5,273.28
🏰 高護城河,82.29,183.0,121.31147540983608,130.47000000000003,2026-03,41.27%,⚠️ 追價風險,884.75,645.65,2025,3.44,3081.TWO,聯亞,4.66,54.76%,1480.0,515.18
🚀 利潤擴張,-14.96,172.05,4.899738514638186,115.32000000000001,2026-03,N/A,💎 強力關注,-20.59,228.49,2025,2.21,3356.TW,奇偶,6.21,N/A,56.2000007629,113.17
🚀 利潤擴張,-4.81,-7.200000000000001,0.0,114.74000000000001,2026-03,N/A,⚪ 數據不足,-84.51,383.33,2025,0.29,6735.TWO,美達科技,0.33,N/A,68.5,268.59
🏰 高護城河,-7.78,-33.6,0.0,109.06,2026-03,-12.62%,⚪ 數據不足,-365.71,87.5,2025,-0.02,2601.TW,益航,-1.63,102.69%,6.6999998093,-21.56
🚀 利潤擴張,-5.33,50.699999999999996,49.70414201183432,108.44,2026-03,N/A,⚠️ 追價風險,-45.51,270.0,2025,0.37,7730.TW,暉盛-創,1.73,N/A,168.0,161.56
🚀 利潤擴張,-16.81,-40.05,0.0,96.19000000000001,2026-03,N/A,⚪ 數據不足,152.83,163.46,2025,0.66,2911.TW,麗嬰房,2.15,N/A,7.1300001144,67.27
🏰 高護城河,-7.4,13.05,29.310344827586206,92.64,2026-03,12.73%,⚠️ 追價風險,-46.91,150.0,2025,0.3,3083.TWO,網龍,0.43,87.57%,25.5,57.36
🚀 利潤擴張,14.16,44.550000000000004,13.063972807104378,89.48000000000002,2026-03,N/A,✅ 穩健價值,104.41,1080.0,2025,0.49,6931.TW,青松健康,1.39,N/A,38.7999992371,990.52
🔄 轉虧為盈,-18.58,-24.299999999999994,0.0,88.79000000000002,2026-03,-21.33%,⚪ 數據不足,-169.49,575.0,2025,0.28,1599.TWO,宏佳騰,-0.84,16.92%,23.0,486.21
🔄 轉虧為盈,0.19,-18.3,0.0,84.69999999999999,2026-03,-58.34%,⚪ 數據不足,17.57,166.67,2025,0.06,4147.TWO,中裕,-0.61,28.91%,59.9000015259,81.97
🚀 利潤擴張,-14.02,97.8,6.656441951825154,83.63,2026-03,13.17%,💎 強力關注,-51.9,186.6,2025,2.78,1339.TW,昭輝,2.41,33.66%,43.4000015259,102.97
🚀 利潤擴張,15.32,81.9,10.567765707490842,83.04000000000002,2026-03,3.76%,💎 強力關注,78.06,392.86,2025,0.7,2436.TW,偉詮電,3.02,30.84%,57.7000007629,309.82
🚀 利潤擴張,-8.83,45.449999999999996,30.231022598712876,81.14999999999999,2026-03,N/A,⚠️ 追價風險,-50.67,178.26,2025,0.64,6756.TW,威鋒電子,1.11,N/A,91.5999984741,97.11
🏰 高護城河,2.09,77.99999999999999,13.826923370365385,74.29000000000002,2026-03,20.17%,✅ 穩健價值,-64.44,136.36,2025,2.34,3546.TWO,宇峻,1.97,89.44%,71.9000015259,62.07
🚀 利潤擴張,22.72,0.0,0.0,73.29,2026-03,N/A,⚪ 數據不足,96.29,99.93,2025,-0.15,7823.TW,奧義賽博-KY創,-1.49,N/A,83.9000015259,26.64
🌑 雙重衰退,19.25,-96.44999999999999,0.0,71.78,2026-03,N/A,⚪ 數據不足,-99.18,-25.93,2025,-0.68,6169.TWO,昱泉,-2.43,N/A,14.0,-97.71
🚀 利潤擴張,0.63,-17.549999999999997,0.0,71.62,2026-03,N/A,⚪ 數據不足,-91.14,650.0,2025,0.3,8354.TWO,冠好,0.14,N/A,16.2000007629,578.38
🚀 利潤擴張,22.56,71.25,14.44210494191579,70.21000000000004,2026-03,0.20%,✅ 穩健價值,-5.15,386.11,2025,1.75,4905.TWO,台聯電,2.76,25.49%,68.5999984741,315.9
🚀 利潤擴張,76.4,0.0,0.0,69.89999999999999,2026-03,N/A,⚪ 數據不足,44.08,121.74,2025,1.02,7828.TWO,創新服務,6.33,N/A,1945.0,51.84
🏰 高護城河,4.6,22.95,10.26143778385621,68.69,2026-03,38.94%,💎 強力關注,3.28,127.27,2025,0.25,2889.TW,國票金,0.63,90.85%,15.6999998093,58.58
🏰 高護城河,-4.63,257.1,5.542590431738623,67.19999999999999,2026-03,20.98%,💎 強力關注,24.43,107.35,2025,1.41,4137.TW,麗豐-KY,7.13,82.18%,95.0,40.15
🔄 轉虧為盈,-28.72,-15.3,0.0,64.48,2026-03,3.73%,⚪ 數據不足,-31.03,175.0,2025,0.06,3632.TWO,研勤,-0.38,54.59%,8.3000001907,110.52
🚀 利潤擴張,2.38,0.0,0.0,63.99000000000001,2026-03,N/A,⚪ 數據不足,-24.06,106.9,2025,0.6,6986.TWO,和迅,2.43,N/A,45.25,42.91
🔄 轉虧為盈,-7.78,-38.1,0.0,63.97,2026-03,-45.46%,⚪ 數據不足,-184.44,175.0,2025,0.11,4562.TW,穎漢,-1.28,31.44%,32.0499992371,111.03
🏰 高護城河,-29.69,-122.4,0.0,63.5,2026-03,-55.72%,⚪ 數據不足,-7120.0,62.5,2025,-0.27,3064.TWO,泰偉,-3.51,93.22%,17.8999996185,-1.0
🚀 利潤擴張,12.14,101.7,4.867256637168142,63.21000000000001,2026-03,N/A,💎 強力關注,17.33,235.0,2025,1.34,6005.TW,群益證,2.64,N/A,33.0,171.79
🚀 利潤擴張,19.69,10.049999999999997,49.179105616268664,61.81999999999999,2026-03,N/A,⚠️ 追價風險,152.25,500.0,2025,0.84,1533.TW,車王電,0.58,N/A,32.9500007629,438.18
🚀 利潤擴張,-4.85,22.5,14.599999745666667,61.76999999999998,2026-03,7.12%,✅ 穩健價值,34.55,600.0,2025,0.56,1904.TW,正隆,0.74,20.98%,21.8999996185,538.23
🚀 利潤擴張,-4.59,113.85,10.935441370223979,56.41999999999999,2026-03,N/A,💎 強力關注,-26.32,206.45,2025,1.9,6208.TWO,日揚,2.52,N/A,83.0,150.03
🚀 利潤擴張,-6.81,72.30000000000001,9.95850622406639,55.839999999999975,2026-03,N/A,💎 強力關注,-36.9,204.17,2025,1.46,4747.TWO,強生,1.19,N/A,48.0,148.33
🔄 轉虧為盈,2.65,-18.45,0.0,55.43000000000001,2026-03,N/A,⚪ 數據不足,49.15,244.44,2025,0.13,8040.TWO,九暘,-0.6,N/A,75.4000015259,189.01
🚀 利潤擴張,-6.28,273.29999999999995,2.030735455543359,54.05000000000001,2026-03,-106.23%,💎 強力關注,905.92,239.47,2025,2.62,4123.TWO,晟德,12.33,41.95%,37.0,185.42
