eps,gm,pe,prev_rev_yoy,status,name,rev_yoy,est_price,eps_yoy,advice,date,price,prev_eps,prev_year,om,symbol,prev_eps_yoy,expansion
0.2,3.78%,28.592591815555554,-43.41,🌑 雙重衰退,三商壽,-28.43,4.050000000000001,-47.37,❌ 暫避觀望,2025-12,7.7199997902,0.16,2025,0.03%,2867.TW,-68.0,-18.939999999999998
24.76,N/A,10.895211658570435,54.5,⚠️ 獲利稀釋,洋基工程,47.13,864.6000000000001,28.04,⚪ 中性觀察,2025-12,628.0,16.64,2025,N/A,6691.TW,27.98,-19.090000000000003
3.3,27.76%,4.247512627599503,4.82,📉 獲利侵蝕,國產,3.75,120.6,-15.42,⚪ 中性觀察,2025-12,34.1500015259,2.45,2025,22.79%,2504.TW,-20.71,-19.17
4.16,N/A,11.158594491927825,19.53,📉 獲利侵蝕,虎門科技,19.26,157.95,0.0,⚪ 中性觀察,2025-12,117.5,3.37,2025,N/A,6791.TWO,-2.88,-19.26
-2.43,N/A,0.0,-8.87,🌑 雙重衰退,康那香,-9.24,-63.3,-28.57,⚪ 數據不足,2025-12,14.0,-1.49,2025,N/A,9919.TW,-0.68,-19.33
3.77,N/A,11.246575133438355,11.06,📉 獲利侵蝕,迎廣,11.78,109.50000000000001,-7.65,⚪ 中性觀察,2025-12,82.0999984741,2.21,2025,N/A,6117.TW,-26.01,-19.43
5.11,N/A,6.020066889632107,7.39,📉 獲利侵蝕,博弘,11.23,179.4,-8.26,⚪ 中性觀察,2025-12,72.0,3.18,2025,N/A,6997.TWO,-38.85,-19.490000000000002
41.98,N/A,34.617896799477464,7.55,⚠️ 獲利稀釋,群聯,23.29,1148.25,3.78,❌ 暫避觀望,2025-12,2650.0,19.9,2025,N/A,8299.TWO,-27.04,-19.509999999999998
2.3,45.13%,14.48888821071111,-10.95,🌑 雙重衰退,精湛,-2.97,67.5,-22.56,⚪ 中性觀察,2025-12,65.1999969482,1.25,2025,17.87%,2070.TWO,-44.93,-19.59
10.75,18.77%,6.6899958830794555,16.0,⚠️ 獲利稀釋,潤弘,19.99,364.35,0.37,⚪ 中性觀察,2025-12,162.5,7.25,2025,15.81%,2597.TW,7.57,-19.619999999999997
6.18,N/A,7.6558265582655824,9.06,📉 獲利侵蝕,博大,15.04,221.4,-4.63,⚪ 中性觀察,2025-12,113.0,4.41,2025,N/A,8109.TWO,-14.37,-19.669999999999998
3.18,N/A,11.087248117328858,-9.94,🌑 雙重衰退,晶焱,-10.51,111.75000000000001,-30.29,⚪ 中性觀察,2025-12,82.5999984741,2.46,2025,N/A,6411.TWO,-25.46,-19.78
3.59,N/A,6.9595376604508665,24.69,⚠️ 獲利稀釋,創為精密,27.05,129.75,7.23,⚪ 中性觀察,2025-12,60.2000007629,2.65,2025,N/A,6899.TWO,6.94,-19.82
4.1,N/A,2.5742574257425743,-3.47,🌑 雙重衰退,寶成,-4.71,151.5,-24.63,⚪ 中性觀察,2025-12,26.0,3.03,2025,N/A,9904.TW,-35.26,-19.919999999999998
13.02,N/A,5.02123786407767,8.16,📉 獲利侵蝕,來億-KY,5.05,494.40000000000003,-14.96,⚪ 中性觀察,2025-12,165.5,9.16,2025,N/A,6890.TW,-12.51,-20.01
20.1,30.19%,6.948424068767908,5.39,📉 獲利侵蝕,儒鴻,3.15,732.9,-16.94,⚪ 中性觀察,2025-12,339.5,14.33,2025,19.16%,1476.TW,-20.3,-20.09
1.54,31.33%,32.51533742331288,8.42,📉 獲利侵蝕,達邁,5.64,48.900000000000006,-14.53,❌ 暫避觀望,2025-12,106.0,0.94,2025,12.18%,3645.TW,-42.24,-20.169999999999998
11.21,23.92%,2.914375371099764,-11.06,🌑 雙重衰退,萬海,-13.25,381.90000000000003,-33.63,⚪ 中性觀察,2025-12,74.1999969482,7.64,2025,18.94%,2615.TW,-38.09,-20.380000000000003
7.78,N/A,4.831130540783161,-0.64,🌑 雙重衰退,達爾膚,-5.92,306.45000000000005,-26.4,⚪ 中性觀察,2025-12,98.6999969482,5.84,2025,N/A,6523.TWO,-21.61,-20.479999999999997
2.15,18.10%,15.975820379965457,10.26,📉 獲利侵蝕,利機,10.54,86.85,-10.04,❌ 暫避觀望,2025-12,92.5,1.64,2025,4.42%,3444.TWO,3.14,-20.58
10.18,N/A,8.60677783754707,-6.88,🌑 雙重衰退,裕慶-KY,-4.74,278.85,-25.35,⚪ 中性觀察,2025-12,160.0,5.41,2025,N/A,6957.TW,-29.25,-20.61
1.18,N/A,28.22525493112628,3.67,📉 獲利侵蝕,艾華,0.36,43.949999999999996,-20.27,❌ 暫避觀望,2025-12,82.6999969482,0.98,2025,N/A,6204.TWO,-8.41,-20.63
-1.51,1.54%,0.0,42.64,⚠️ 獲利稀釋,位速,27.53,-59.7,6.88,⚪ 數據不足,2025-12,19.5499992371,-1.14,2025,-34.06%,3508.TWO,18.25,-20.650000000000002
7.48,N/A,14.674556213017754,-4.79,📉 獲利侵蝕,力成,2.2,253.49999999999997,-18.46,⚪ 中性觀察,2025-12,248.0,4.96,2025,N/A,6239.TW,-30.26,-20.66
-2.16,-18.95%,0.0,-36.93,🌑 雙重衰退,隆銘綠能,-45.66,-81.14999999999999,-66.41,⚪ 數據不足,2025-12,9.9600000381,-2.36,2025,-73.69%,3018.TW,-161.36,-20.75
159.41,47.97%,9.24187144543406,6.5,📉 獲利侵蝕,大立光,2.84,5591.4,-17.91,⚪ 中性觀察,2025-12,3445.0,109.06,2025,36.75%,3008.TW,-15.56,-20.75
5.77,28.71%,5.067669287661653,11.19,📉 獲利侵蝕,友輝,2.41,199.5,-18.35,⚪ 中性觀察,2025-12,67.4000015259,3.81,2025,12.48%,4933.TWO,-26.64,-20.76
12.25,N/A,4.984994998332778,-7.59,🌑 雙重衰退,豐祥-KY,-6.57,449.85,-27.39,⚪ 中性觀察,2025-12,149.5,8.74,2025,N/A,5288.TW,-18.99,-20.82
6.33,N/A,8.794674141555712,55.99,⚠️ 獲利稀釋,創泓科技,45.1,214.04999999999998,24.26,⚪ 中性觀察,2025-12,125.5,4.34,2025,N/A,7714.TWO,60.59,-20.84
72.7,N/A,8.404574861367838,60.07,⚠️ 獲利稀釋,祥碩,66.0,2596.8,45.15,⚪ 中性觀察,2025-12,1455.0,52.62,2025,N/A,5269.TW,40.25,-20.85
3.81,44.64%,5.10978051525948,-12.22,🌑 雙重衰退,曜亞,-11.82,150.3,-32.69,⚪ 中性觀察,2025-12,51.2000007629,2.89,2025,12.42%,4138.TWO,-27.93,-20.869999999999997
5.28,32.18%,11.017597551644988,7.28,📉 獲利侵蝕,晶技,5.34,196.05,-15.57,⚪ 中性觀察,2025-12,144.0,3.95,2025,14.07%,3042.TW,-13.57,-20.91
0.7,28.61%,35.80246913580247,-24.68,🌑 雙重衰退,微端,-19.66,12.15,-40.68,❌ 暫避觀望,2025-12,29.0,0.32,2025,8.69%,3285.TWO,-56.16,-21.02
6.71,N/A,9.797768479776847,-1.72,🌑 雙重衰退,中美晶,-1.89,215.10000000000002,-23.02,⚪ 中性觀察,2025-12,140.5,4.07,2025,N/A,5483.TWO,18.54,-21.13
2.27,N/A,6.319796696125212,1.46,📉 獲利侵蝕,志超,3.73,88.64999999999999,-17.45,⚪ 中性觀察,2025-12,37.3499984741,1.77,2025,N/A,8213.TW,-8.29,-21.18
4.99,32.82%,25.645756457564577,-1.5,📉 獲利侵蝕,精材,2.53,162.6,-18.86,❌ 暫避觀望,2025-12,278.0,3.09,2025,27.31%,3374.TWO,-30.87,-21.39
9.05,16.76%,5.061475409836065,-3.53,🌑 雙重衰退,群光,-5.73,366.00000000000006,-27.23,⚪ 中性觀察,2025-12,123.5,8.01,2025,6.72%,2385.TW,-12.04,-21.5
4.18,N/A,9.259980377224927,22.78,📉 獲利侵蝕,三聯,21.03,154.04999999999998,-0.48,⚪ 中性觀察,2025-12,95.0999984741,3.44,2025,N/A,5493.TWO,3.3,-21.51
2.13,19.71%,3.926605434587156,-8.33,🌑 雙重衰退,美亞,-9.51,81.75,-31.07,⚪ 中性觀察,2025-12,21.3999996185,1.66,2025,12.02%,2020.TW,-41.75,-21.560000000000002
2.52,N/A,15.816165301394614,-6.36,🌑 雙重衰退,日揚,-4.59,94.64999999999999,-26.32,❌ 暫避觀望,2025-12,99.8000030518,1.78,2025,N/A,6208.TWO,-28.8,-21.73
1.56,12.48%,12.47549057007353,4.37,🌑 雙重衰退,廣宇,-0.23,61.2,-22.0,⚪ 中性觀察,2025-12,50.9000015259,1.22,2025,4.05%,2328.TW,-13.48,-21.77
2.73,N/A,10.89722725151713,-1.49,🌑 雙重衰退,正基,-1.73,91.95,-23.53,⚪ 中性觀察,2025-12,66.8000030518,1.72,2025,N/A,6546.TWO,-32.02,-21.8
2.48,N/A,16.316915834732335,-37.61,🌑 雙重衰退,榮田,-31.16,70.05,-52.99,❌ 暫避觀望,2025-12,76.1999969482,0.91,2025,N/A,7709.TWO,-75.62,-21.830000000000002
-0.96,12.86%,0.0,10.72,📉 獲利侵蝕,建舜電,6.3,-39.300000000000004,-15.66,⚪ 數據不足,2025-12,12.8999996185,-0.75,2025,-5.35%,3322.TWO,-2.74,-21.96
4.31,27.05%,37.63183125599233,-1.42,🌑 雙重衰退,上銀,-0.53,156.45,-22.62,❌ 暫避觀望,2025-12,392.5,3.01,2025,4.85%,2049.TW,-35.13,-22.09
32.84,34.25%,8.07027175404886,0.68,📉 獲利侵蝕,玉晶光,7.77,1092.9,-14.37,⚪ 中性觀察,2025-12,588.0,22.41,2025,20.51%,3406.TW,-27.07,-22.14
-7.24,N/A,0.0,41.35,⚠️ 獲利稀釋,益安,43.24,-281.84999999999997,21.08,⚪ 數據不足,2025-12,83.5999984741,-5.76,2025,N/A,6499.TWO,10.97,-22.160000000000004
1.44,N/A,0.0,28.6,⚠️ 獲利稀釋,宏�砦C戲-創,28.36,0.0,5.88,⚪ 數據不足,2025-12,0.0,1.05,2025,N/A,6908.TW,41.89,-22.48
15.29,N/A,19.955030916245082,-0.4,🌑 雙重衰退,環球晶,-3.24,533.6999999999999,-25.74,❌ 暫避觀望,2025-12,710.0,10.68,2025,N/A,6488.TWO,-45.48,-22.5
2.35,N/A,10.483870967741936,1.48,📉 獲利侵蝕,諾貝兒,1.36,93.0,-21.14,⚪ 中性觀察,2025-12,65.0,1.44,2025,N/A,6844.TWO,-32.39,-22.5
5.42,N/A,12.337133550488598,-6.32,🌑 雙重衰退,博盛半導體,-6.13,184.20000000000002,-28.68,⚪ 中性觀察,2025-12,151.5,3.57,2025,N/A,7712.TWO,-47.73,-22.55
8.29,N/A,7.777777777777778,7.33,📉 獲利侵蝕,三集瑞-KY,2.98,310.5,-19.59,⚪ 中性觀察,2025-12,161.0,6.02,2025,N/A,6862.TW,-29.18,-22.57
2.18,N/A,11.402549813132968,-1.21,🌑 雙重衰退,華宏,-5.0,82.35000000000001,-27.57,⚪ 中性觀察,2025-12,62.5999984741,1.54,2025,N/A,8240.TWO,-45.77,-22.57
3.92,N/A,15.168539325842696,1.29,📉 獲利侵蝕,科定,3.86,133.5,-18.72,❌ 暫避觀望,2025-12,135.0,2.48,2025,N/A,6655.TW,-33.88,-22.58
-2.15,19.82%,0.0,-48.42,🌑 雙重衰退,鴻華先進-創,-51.34,-66.3,-73.98,⚪ 數據不足,2025-12,27.3999996185,-1.29,2025,-262.93%,2258.TW,-74.32,-22.64
2.0,N/A,15.088409243968567,-0.59,🌑 雙重衰退,詮欣,-3.02,76.35,-25.66,❌ 暫避觀望,2025-12,76.8000030518,1.51,2025,N/A,6205.TW,-32.58,-22.64
6.9,N/A,10.33824331696672,24.0,📉 獲利侵蝕,宸曜,13.67,274.95000000000005,-8.99,⚪ 中性觀察,2025-12,189.5,5.79,2025,N/A,6922.TWO,-0.69,-22.66
3.71,23.43%,6.92395005675369,-5.97,🌑 雙重衰退,富林-KY,-7.95,132.14999999999998,-30.65,⚪ 中性觀察,2025-12,61.0,2.32,2025,12.74%,1341.TW,-36.61,-22.7
2.97,37.27%,52.79823269513991,-3.9,📉 獲利侵蝕,全新,4.29,101.85,-18.46,❌ 暫避觀望,2025-12,358.5,1.92,2025,21.78%,2455.TW,-34.36,-22.75
2.51,N/A,18.929110105580694,-28.87,🌑 雙重衰退,全訊,-26.68,99.45,-49.48,❌ 暫避觀望,2025-12,125.5,1.89,2025,N/A,5222.TW,-50.93,-22.799999999999997
4.2,N/A,5.451923150278845,17.25,📉 獲利侵蝕,展�眥篕�,14.84,156.0,-8.03,⚪ 中性觀察,2025-12,56.7000007629,3.18,2025,N/A,6776.TW,2.91,-22.869999999999997
32.29,N/A,12.152824820485028,60.19,⚠️ 獲利稀釋,兆聯實業,64.2,1107.15,41.25,⚪ 中性觀察,2025-12,897.0,22.26,2025,N/A,6944.TW,39.26,-22.950000000000003
