advice,prev_eps,est_price,date,om,prev_year,eps,status,pe,prev_eps_yoy,symbol,name,eps_yoy,gm,prev_rev_yoy,expansion,price,rev_yoy
⚪ 數據不足,-0.84,-24.299999999999994,2026-03,-21.33%,2025,0.28,🔄 轉虧為盈,0.0,-169.49,1599.TWO,宏佳騰,575.0,16.92%,-18.58,88.79000000000002,22.9500007629,486.21
⚪ 數據不足,-0.61,-18.3,2026-03,-58.34%,2025,0.06,🔄 轉虧為盈,0.0,17.57,4147.TWO,中裕,166.67,28.91%,0.19,84.69999999999999,58.4000015259,81.97
💎 強力關注,2.41,97.8,2026-03,13.17%,2025,2.78,🚀 利潤擴張,6.932515454432515,-51.9,1339.TW,昭輝,186.6,33.66%,-14.02,83.63,45.2000007629,102.97
💎 強力關注,3.02,81.9,2026-03,3.76%,2025,0.7,🚀 利潤擴張,11.227106087380953,78.06,2436.TW,偉詮電,392.86,30.84%,15.32,83.04000000000002,61.2999992371,309.82
⚠️ 追價風險,1.11,45.449999999999996,2026-03,N/A,2025,0.64,🚀 利潤擴張,31.61716272336634,-50.67,6756.TW,威鋒電子,178.26,N/A,-8.83,81.14999999999999,95.8000030518,97.11
✅ 穩健價值,1.97,77.99999999999999,2026-03,20.17%,2025,2.34,🏰 高護城河,13.961538168096157,-64.44,3546.TWO,宇峻,136.36,89.44%,2.09,74.29000000000002,72.5999984741,62.07
⚪ 數據不足,-1.49,0.0,2026-03,N/A,2025,-0.15,🚀 利潤擴張,0.0,96.29,7823.TW,奧義賽博-KY創,99.93,N/A,22.72,73.29,83.0999984741,26.64
⚪ 數據不足,-2.43,-96.44999999999999,2026-03,N/A,2025,-0.68,🌑 雙重衰退,0.0,-99.18,6169.TWO,昱泉,-25.93,N/A,19.25,71.78,14.1999998093,-97.71
⚪ 數據不足,0.14,-17.549999999999997,2026-03,N/A,2025,0.3,🚀 利潤擴張,0.0,-91.14,8354.TWO,冠好,650.0,N/A,0.63,71.62,15.8999996185,578.38
✅ 穩健價值,2.76,71.25,2026-03,0.20%,2025,1.75,🚀 利潤擴張,14.189474005452631,-5.15,4905.TWO,台聯電,386.11,25.49%,22.56,70.21000000000004,67.4000015259,315.9
⚪ 數據不足,6.33,0.0,2026-03,N/A,2025,1.02,🚀 利潤擴張,0.0,44.08,7828.TWO,創新服務,121.74,N/A,76.4,69.89999999999999,1910.0,51.84
💎 強力關注,0.63,22.95,2026-03,38.94%,2025,0.25,🏰 高護城河,10.26143778385621,3.28,2889.TW,國票金,127.27,90.85%,4.6,68.69,15.6999998093,58.58
💎 強力關注,7.13,257.1,2026-03,20.98%,2025,1.41,🏰 高護城河,5.525087336534422,24.43,4137.TW,麗豐-KY,107.35,82.18%,-4.63,67.19999999999999,94.6999969482,40.15
⚪ 數據不足,-0.38,-15.3,2026-03,3.73%,2025,0.06,🔄 轉虧為盈,0.0,-31.03,3632.TWO,研勤,175.0,54.59%,-28.72,64.48,7.9099998474,110.52
⚪ 數據不足,2.43,0.0,2026-03,N/A,2025,0.6,🚀 利潤擴張,0.0,-24.06,6986.TWO,和迅,106.9,N/A,2.38,63.99000000000001,44.4000015259,42.91
⚪ 數據不足,-1.28,-38.1,2026-03,-45.46%,2025,0.11,🔄 轉虧為盈,0.0,-184.44,4562.TW,穎漢,175.0,31.44%,-7.78,63.97,32.2000007629,111.03
⚪ 數據不足,-3.51,-122.4,2026-03,-55.72%,2025,-0.27,🏰 高護城河,0.0,-7120.0,3064.TWO,泰偉,62.5,93.22%,-29.69,63.5,18.0,-1.0
💎 強力關注,2.64,101.7,2026-03,N/A,2025,1.34,🚀 利潤擴張,5.03687338140118,17.33,6005.TW,群益證,235.0,N/A,12.14,63.21000000000001,34.1500015259,171.79
⚠️ 追價風險,0.58,10.049999999999997,2026-03,N/A,2025,0.84,🚀 利潤擴張,50.29850860134329,152.25,1533.TW,車王電,500.0,N/A,19.69,61.81999999999999,33.7000007629,438.18
✅ 穩健價值,0.74,22.5,2026-03,7.12%,2025,0.56,🚀 利潤擴張,14.3000005086,34.55,1904.TW,正隆,600.0,20.98%,-4.85,61.76999999999998,21.4500007629,538.23
💎 強力關注,2.52,113.85,2026-03,N/A,2025,1.9,🚀 利潤擴張,11.172595922503294,-26.32,6208.TWO,日揚,206.45,N/A,-4.59,56.41999999999999,84.8000030518,150.03
💎 強力關注,1.19,72.30000000000001,2026-03,N/A,2025,1.46,🚀 利潤擴張,10.145228532344397,-36.9,4747.TWO,強生,204.17,N/A,-6.81,55.839999999999975,48.9000015259,148.33
⚪ 數據不足,-0.6,-18.45,2026-03,N/A,2025,0.13,🔄 轉虧為盈,0.0,49.15,8040.TWO,九暘,244.44,N/A,2.65,55.43000000000001,77.1999969482,189.01
💎 強力關注,12.33,273.29999999999995,2026-03,-106.23%,2025,2.62,🚀 利潤擴張,2.104829773551043,905.92,4123.TWO,晟德,239.47,41.95%,-6.28,54.05000000000001,38.3499984741,185.42
⚪ 數據不足,-3.92,0.0,2026-03,N/A,2025,-1.43,🌑 雙重衰退,0.0,-48.08,6934.TW,心誠鎂,-2.96,N/A,-29.22,52.519999999999996,78.0,-55.48
💎 強力關注,6.82,252.6,2026-03,N/A,2025,3.29,🚀 利潤擴張,7.541567695961995,66.34,6574.TWO,霈方,147.37,N/A,6.51,51.74000000000001,127.0,95.63
⚪ 數據不足,13.04,0.0,2026-03,N/A,2025,7.68,🚀 利潤擴張,0.0,38.44,7711.TW,永擎,139.49,N/A,182.72,47.56,0.0,91.93
✅ 穩健價值,1.5,31.8,2026-03,N/A,2025,1.01,🚀 利潤擴張,13.797169811320755,-36.17,3287.TWO,廣寰科,406.06,N/A,23.54,46.579999999999984,29.25,359.48
💎 強力關注,5.29,146.54999999999998,2026-03,N/A,2025,0.03,🚀 利潤擴張,2.430910951893552,544.54,9949.TWO,琉園,112.5,N/A,-17.0,45.849999999999994,23.75,66.65
💎 強力關注,4.85,172.35,2026-03,N/A,2025,0.46,🚀 利潤擴張,7.5630984791906,31.64,6620.TWO,漢達,55.17,N/A,108.17,39.24,86.9000015259,15.93
⚪ 數據不足,0.12,-30.6,2026-03,-8.17%,2025,0.08,🚀 利潤擴張,0.0,-93.75,2388.TW,威盛,300.0,20.64%,-40.0,35.860000000000014,74.9000015259,264.14
💎 強力關注,2.15,81.9,2026-03,14.95%,2025,1.19,🏰 高護城河,11.63003663003663,-5.7,3556.TWO,禾瑞亞,190.24,50.66%,1.24,34.20000000000002,63.5,156.04
⚪ 數據不足,2.99,0.0,2026-03,N/A,2025,0.87,🚀 利潤擴張,0.0,91.67,7821.TW,神數,42.62,N/A,19.28,32.379999999999995,40.5,10.24
⚪ 數據不足,7.56,0.0,2025-12,30.89%,2025,11.94,🚀 利潤擴張,0.0,-17.2,2072.TWO,未知,34.92,35.24%,15.19,28.590000000000003,0.0,6.33
⚪ 數據不足,-1.89,-70.05,2026-03,N/A,2025,-0.36,🧐 疑業外收益,0.0,-13.21,6794.TW,向榮生技,23.4,N/A,-5.58,27.259999999999998,77.9000015259,-3.86
