扣抵值 DMA 回測報告 (20260309)
==========================================================================================

=== 6831.TW (Best Period: 5) ===
買: 2025-07-18 @ 11.38 | 賣: 2025-08-05 @ 11.24 | 損益: -0.14 (-1.23%)
小計: -3.28，交易次數: 15

=== 4961.TW (Best Period: 60) ===
買: 2014-08-04 @ 40.53 | 賣: 2014-08-21 @ 42.53 | 損益: 2.00 (4.93%)
買: 2015-01-30 @ 51.13 | 賣: 2015-02-02 @ 49.29 | 損益: -1.84 (-3.60%)
買: 2015-02-03 @ 49.59 | 賣: 2015-02-10 @ 48.00 | 損益: -1.59 (-3.21%)
買: 2015-02-11 @ 46.98 | 賣: 2015-03-12 @ 44.95 | 損益: -2.03 (-4.32%)
買: 2015-03-13 @ 45.11 | 賣: 2015-04-10 @ 43.60 | 損益: -1.51 (-3.35%)
買: 2015-04-13 @ 42.77 | 賣: 2015-05-05 @ 40.43 | 損益: -2.34 (-5.47%)
買: 2015-05-06 @ 40.49 | 賣: 2015-05-26 @ 42.74 | 損益: 2.25 (5.56%)
買: 2015-11-24 @ 43.22 | 賣: 2015-11-25 @ 41.20 | 損益: -2.02 (-4.67%)
買: 2015-11-26 @ 42.20 | 賣: 2015-12-18 @ 40.30 | 損益: -1.90 (-4.50%)
買: 2015-12-21 @ 42.24 | 賣: 2016-01-05 @ 40.04 | 損益: -2.20 (-5.21%)
買: 2016-01-06 @ 39.18 | 賣: 2016-01-07 @ 36.88 | 損益: -2.30 (-5.87%)
買: 2016-01-08 @ 37.84 | 賣: 2016-01-11 @ 36.50 | 損益: -1.34 (-3.54%)
買: 2016-01-12 @ 36.41 | 賣: 2016-03-23 @ 41.14 | 損益: 4.73 (12.99%)
買: 2016-09-28 @ 35.56 | 賣: 2016-10-12 @ 34.42 | 損益: -1.14 (-3.21%)
買: 2016-10-13 @ 34.67 | 賣: 2016-11-09 @ 31.99 | 損益: -2.68 (-7.73%)
買: 2016-11-10 @ 32.69 | 賣: 2016-11-11 @ 31.20 | 損益: -1.49 (-4.56%)
買: 2016-11-14 @ 31.09 | 賣: 2016-12-30 @ 30.01 | 損益: -1.08 (-3.47%)
買: 2017-08-18 @ 31.50 | 賣: 2017-10-17 @ 30.15 | 損益: -1.35 (-4.29%)
買: 2017-10-18 @ 30.26 | 賣: 2017-11-09 @ 28.77 | 損益: -1.49 (-4.92%)
買: 2017-11-10 @ 28.65 | 賣: 2017-11-16 @ 27.77 | 損益: -0.88 (-3.07%)
買: 2017-11-17 @ 27.74 | 賣: 2017-11-27 @ 28.97 | 損益: 1.23 (4.43%)
買: 2018-05-29 @ 36.47 | 賣: 2018-11-16 @ 37.13 | 損益: 0.66 (1.81%)
買: 2019-03-25 @ 49.68 | 賣: 2019-03-27 @ 47.87 | 損益: -1.81 (-3.64%)
買: 2019-03-28 @ 46.36 | 賣: 2019-05-08 @ 44.60 | 損益: -1.76 (-3.80%)
買: 2019-05-09 @ 43.05 | 賣: 2019-05-13 @ 40.97 | 損益: -2.08 (-4.83%)
買: 2019-05-14 @ 40.56 | 賣: 2019-05-21 @ 38.90 | 損益: -1.66 (-4.09%)
買: 2019-05-22 @ 38.90 | 賣: 2019-05-24 @ 37.55 | 損益: -1.35 (-3.47%)
買: 2019-05-27 @ 37.76 | 賣: 2019-07-08 @ 41.39 | 損益: 3.63 (9.61%)
買: 2019-10-29 @ 42.22 | 賣: 2019-11-11 @ 39.11 | 損益: -3.11 (-7.37%)
買: 2019-11-12 @ 39.86 | 賣: 2020-01-30 @ 36.64 | 損益: -3.22 (-8.08%)
買: 2020-01-31 @ 36.27 | 賣: 2020-02-03 @ 34.39 | 損益: -1.88 (-5.18%)
