📅 掃描日期: 20260309 | 區間: 20260101 至今
股票代碼         名稱              收盤價    信心%        勝率%        報酬%         外資5日 形態建議                
4542.TWO     科嶠            156.0     80      56.76      71.43          344 ✅ 趕緊買入 (上升旗形)       
2492.TW      華新科           134.0     80      48.65       7.63        -3009 ✅ 趕緊買入 (上升旗形)       
8027.TWO     鈦昇             94.0     80      37.84     -16.81          681 ✅ 趕緊買入 (上升旗形)       
6451.TW      訊芯-KY         190.0     80      43.24       15.5         -218 ✅ 趕緊買入 (上升旗形)       
1432.TW      大魯閣            17.2     80      35.14      -5.49         -477 ⚠️ 趕快賣出 (下跌旗形)      
3715.TW      定穎投控          153.5     80      45.95      20.87         5647 ✅ 趕緊買入 (上升旗形)       
2755.TWO     揚秦            140.0     80      45.95      19.66          -46 ✅ 趕緊買入 (上升旗形)       
8102.TWO     傑霖科技           49.5     80       20.0     -22.41            1 ⚠️ 趕快賣出 (下跌旗形)      
4130.TWO     健亞             34.6     80      62.16      25.14          254 ✅ 趕緊買入 (上升旗形)       
2314.TW      台揚            19.05     80      27.03     -15.52          -28 ⚠️ 趕快賣出 (下跌旗形)      
8046.TW      南電            469.5     80      67.57       98.1         3204 ✅ 趕緊買入 (上升旗形)       
6230.TW      尼得科超眾         182.5     80      54.05      56.65          -75 ✅ 趕緊買入 (上升旗形)       
1815.TWO     富喬            106.0     80      45.95      16.87       -10734 ✅ 趕緊買入 (上升旗形)       
2067.TWO     嘉鋼              9.1     80      37.84      -8.82          -14 ⚠️ 趕快賣出 (下跌旗形)      
3481.TW      群創             27.5     80      51.35      51.93       -42475 ✅ 趕緊買入 (上升旗形)       
3430.TWO     奇鈦科            71.9     80      48.65       6.68          127 ✅ 趕緊買入 (上升旗形)       
3028.TW      增你強            54.4     80      56.76      42.78         3078 ✅ 趕緊買入 (上升旗形)       
4577.TWO     達航科技           93.5     80      48.65      62.05          630 ✅ 趕緊買入 (上升旗形)       
1805.TW      寶徠             10.9     80      35.14      -8.79          -16 ⚠️ 趕快賣出 (下跌旗形)      
1307.TW      三芳            35.25     80      45.95      13.16        -1848 ✅ 趕緊買入 (上升旗形)       
6531.TW      愛普*           434.5     80      37.84      -5.23          116 ✅ 趕緊買入 (上升旗形)       
4960.TW      誠美材            17.8     80      43.24      33.33         1894 ✅ 趕緊買入 (上升旗形)       
6683.TWO     雍智科技          907.0     80      59.46     116.21           10 ✅ 趕緊買入 (上升旗形)       
2515.TW      中工             16.7     80      51.35      29.46        -7140 ✅ 趕緊買入 (上升旗形)       
3049.TW      精金             14.7     80      56.76     140.98         7015 ✅ 趕緊買入 (上升旗形)       
1312.TW      國喬            14.05     80      51.35      24.34         2104 ✅ 趕緊買入 (上升旗形)       
3290.TWO     東浦             43.9     80      54.05       1.15         -251 ⚠️ 趕快賣出 (下跌旗形)      
6669.TW      緯穎           4215.0     80      48.65      -5.92         -173 ✅ 趕緊買入 (上升旗形)       
4949.TW      有成精密           49.5     80      45.95      33.78         -303 ✅ 趕緊買入 (上升旗形)       
3645.TW      達邁             69.0     80      48.65      30.19        -2476 ✅ 趕緊買入 (上升旗形)       
3504.TW      揚明光            60.5     80      45.95      16.35         -467 ✅ 趕緊買入 (上升旗形)       
1589.TW      永冠-KY          7.38     80      32.43     -57.34          412 ⚠️ 趕快賣出 (下跌旗形)      
2485.TW      兆赫             56.2     80      62.16     119.96        21778 ✅ 趕緊買入 (上升旗形)       
7740.TW      熙特爾-創         196.0     80      40.54      22.12         -266 ✅ 趕緊買入 (上升旗形)       
3708.TW      上緯投控          117.5     80      45.95       5.38         1978 ✅ 趕緊買入 (上升旗形)       
4749.TWO     新應材          1015.0     80      48.65       7.98         3022 ✅ 趕緊買入 (上升旗形)       
00673R.TW    期元大S&P原油反1     20.3     80      32.43     -28.45        -2535 ⚠️ 趕快賣出 (下跌旗形)      
2383.TW      台光電          2360.0     80      59.46      48.43        -1206 ✅ 趕緊買入 (上升旗形)       
6830.TW      汎銓            397.5     80      67.57     122.07        -1673 ✅ 趕緊買入 (上升旗形)       
2458.TW      義隆            131.5     80      48.65      11.91         5868 ✅ 趕緊買入 (上升旗形)       
4534.TWO     慶騰             29.0     80      59.46      99.31           51 ✅ 趕緊買入 (上升旗形)       
1294.TWO     漢田生技           87.2     80      40.54      10.66           54 ✅ 趕緊買入 (上升旗形)       
2432.TW      倚天酷��-創       25.85     80      37.84       0.19           42 ✅ 趕緊買入 (上升旗形)       
2489.TW      瑞軒            43.65     80      70.27     183.44        -3473 ✅ 趕緊買入 (上升旗形)       
6509.TWO     聚和            40.25     80      56.76      24.42          349 ✅ 趕緊買入 (上升旗形)       
3545.TW      敦泰             45.5     80      35.14     -10.96        -1903 ⚠️ 趕快賣出 (下跌旗形)      
8039.TW      台虹            103.0     80      51.35      15.47           89 ✅ 趕緊買入 (上升旗形)       
3105.TWO     穩懋            298.5     80      59.46      66.76         -302 ✅ 趕緊買入 (上升旗形)       
7744.TWO     崴寶            449.0     80      51.35      40.31            7 ✅ 趕緊買入 (上升旗形)       
3147.TWO     大綜            187.5     80      54.05      13.29         -202 ✅ 趕緊買入 (上升旗形)       
4523.TWO     永彰            33.85     80      51.35      18.15          110 ✅ 趕緊買入 (上升旗形)       
3550.TW      聯穎             16.5     80      51.35        0.0          237 ⚠️ 趕快賣出 (下跌旗形)      
1711.TW      永光            27.45     80      56.76      35.22         2841 ✅ 趕緊買入 (上升旗形)       
6691.TW      洋基工程          635.0     80      59.46      14.62           83 ✅ 趕緊買入 (上升旗形)       
7750.TW      新代           1295.0     80      45.95      47.16          101 ✅ 趕緊買入 (上升旗形)       
1439.TW      雋揚             27.9     80      37.84      -4.94          -42 ⚠️ 趕快賣出 (下跌旗形)      
1735.TW      日勝化            20.8     80      40.54      13.35         -252 ✅ 趕緊買入 (上升旗形)       
6196.TW      帆宣            280.5     80      48.65       1.63        -1146 ✅ 趕緊買入 (上升旗形)       
4989.TW      榮科             68.2     80      43.24       25.6         2813 ✅ 趕緊買入 (上升旗形)       
3289.TWO     宜特            131.5     80      51.35       4.82        -1895 ✅ 趕緊買入 (上升旗形)       
2355.TW      敬鵬            43.45     80      64.86      35.78         3844 ✅ 趕緊買入 (上升旗形)       
5321.TWO     美而快            24.9     80      29.73      -32.7           22 ⚠️ 趕快賣出 (下跌旗形)      
2108.TW      南帝            25.75     80      43.24      10.99         -199 ✅ 趕緊買入 (上升旗形)       
6859.TWO     伯特光           120.5     80      40.54       5.24           15 ✅ 趕緊買入 (上升旗形)       
6903.TWO     巨漢            314.0     80      45.95      27.64          401 ✅ 趕緊買入 (上升旗形)       
6788.TWO     華景電           332.0     80      45.95     -11.47         -847 ✅ 趕緊買入 (上升旗形)       
