expansion,eps,gm,advice,om,price,prev_eps,prev_year,prev_eps_yoy,eps_yoy,date,prev_rev_yoy,name,rev_yoy,pe,symbol,est_price,status
179.8,1.14,N/A,⚪ 中性觀察,N/A,15.3000001907,-0.04,2025,97.79,186.36,2025-12,11.15,臺龍,6.56,20.675675933378383,6246.TWO,11.099999999999998,🔄 轉虧為盈
177.61,3.67,41.59%,💎 強力關注,21.37%,52.2000007629,2.44,2025,39.43,180.15,2025-12,4.96,台耀,2.54,7.6093295572740525,4746.TW,102.89999999999999,🚀 利潤擴張
177.55,6.42,8.05%,💎 強力關注,-11.23%,27.1000003815,7.31,2025,314.37,248.27,2025-12,27.17,三一東林,70.72,2.4862385671100915,3609.TWO,163.5,🚀 利潤擴張
176.83,1.23,N/A,💎 強力關注,N/A,14.75,1.61,2025,228.8,163.4,2025-12,-11.95,虹揚-KY,-13.43,10.68840579710145,6573.TW,20.7,🧐 疑業外收益
174.75,6.58,N/A,⚪ 中性觀察,N/A,237.0,4.25,2025,89.73,198.64,2025-12,22.77,力智,23.89,16.69014084507042,6719.TW,213.00000000000003,🚀 利潤擴張
174.57,0.47,N/A,⚠️ 追價風險,N/A,80.5999984741,0.91,2025,275.0,173.44,2025-12,-0.97,九豪,-1.13,40.29999923705001,6127.TWO,29.999999999999996,🧐 疑業外收益
174.34,0.92,42.07%,⚠️ 追價風險,14.30%,73.0999984741,0.49,2025,172.22,170.59,2025-12,-8.55,旭然,-3.75,44.30302937824242,4556.TWO,24.750000000000004,🧐 疑業外收益
173.32999999999998,0.53,N/A,✅ 穩健價值,N/A,13.8000001907,0.09,2025,175.0,178.95,2025-12,4.04,亞都,5.62,15.333333545222223,5703.TWO,13.5,🚀 利潤擴張
172.01999999999998,0.92,N/A,⚠️ 追價風險,N/A,95.6999969482,0.49,2025,190.57,222.67,2025-12,39.08,今國光,50.65,62.9605243080263,6209.TW,22.800000000000004,🚀 利潤擴張
171.64000000000001,0.89,N/A,⚠️ 追價風險,N/A,60.5999984741,0.81,2025,1700.0,183.87,2025-12,2.1,長佳智能,12.23,27.420813789185516,6841.TWO,33.150000000000006,🚀 利潤擴張
166.18,5.45,N/A,⚠️ 追價風險,N/A,2105.0,1.75,2025,3.33,194.08,2025-12,-4.54,聯友金屬-創,27.9,294.81792717086836,7610.TW,107.1,🚀 利潤擴張
164.99,0.37,18.05%,⚠️ 追價風險,2.96%,28.0499992371,0.24,2025,155.81,188.1,2025-12,19.92,吉茂,23.11,40.65217280739131,1587.TW,10.35,🚀 利潤擴張
164.91,0.22,15.86%,⚠️ 追價風險,1.35%,251.5,0.16,2025,300.0,175.0,2025-12,13.26,一詮,10.09,811.2903225806451,2486.TW,4.65,🚀 利潤擴張
164.37,6.34,N/A,⚪ 數據不足,N/A,0.0,1.13,2025,47.95,328.87,2025-12,21.0,富威電力,164.5,0.0,6994.TW,0.0,🚀 利潤擴張
164.31,18.83,N/A,💎 強力關注,N/A,94.3000030518,17.41,2025,241.37,242.99,2025-12,97.52,寬宏藝術,78.68,2.0384782328534374,6596.TWO,693.9,🚀 利潤擴張
160.96,0.68,N/A,⚪ 數據不足,N/A,57.2000007629,-0.24,2025,-271.43,223.81,2025-12,25.19,方土昶,62.85,0.0,6265.TWO,-11.25,🔄 轉虧為盈
160.61999999999998,13.74,N/A,💎 強力關注,N/A,323.5,9.52,2025,280.8,291.45,2025-12,130.37,高技,130.83,11.151327128576353,5439.TWO,435.15,🚀 利潤擴張
159.73000000000002,-0.09,10.14%,⚪ 數據不足,3.61%,22.9500007629,-0.13,2025,23.53,89.89,2025-12,-54.34,森寶,-69.84,0.0,3489.TWO,-4.95,🧐 疑業外收益
157.18,1.81,7.66%,💎 強力關注,-21.47%,38.7000007629,2.61,2025,271.05,150.56,2025-12,-1.22,東台,-6.62,5.435393365575842,4526.TW,106.8,🧐 疑業外收益
153.81,1.86,4.18%,💎 強力關注,-22.27%,35.2999992371,2.19,2025,219.44,173.02,2025-12,18.28,新鉅科,19.21,5.815485871021418,3630.TWO,91.05,🚀 利潤擴張
152.56,1.57,N/A,💎 強力關注,N/A,50.0999984741,3.24,2025,203.85,137.2,2025-12,-15.66,安格,-15.36,3.9604741876758887,6684.TWO,189.75000000000003,🧐 疑業外收益
