gm,eps,om,price,prev_year,status,date,name,prev_eps,eps_yoy,pe,rev_yoy,est_price,advice,prev_rev_yoy,symbol,expansion,prev_eps_yoy
N/A,0.47,N/A,47.4500007629,2025,🧐 疑業外收益,2025-12,九豪,0.91,173.44,23.725000381450002,-1.13,29.999999999999996,⚠️ 追價風險,-0.97,6127.TWO,174.57,275.0
42.07%,0.92,14.30%,38.2999992371,2025,🧐 疑業外收益,2025-12,旭然,0.49,170.59,23.212120749757577,-3.75,24.750000000000004,⚠️ 追價風險,-8.55,4556.TWO,174.34,172.22
N/A,0.53,N/A,14.0,2025,🚀 利潤擴張,2025-12,亞都,0.09,178.95,15.555555555555555,5.62,13.5,✅ 穩健價值,4.04,5703.TWO,173.32999999999998,175.0
N/A,0.92,N/A,71.8000030518,2025,🚀 利潤擴張,2025-12,今國光,0.49,222.67,47.23684411302631,50.65,22.800000000000004,⚠️ 追價風險,39.08,6209.TW,172.01999999999998,190.57
N/A,0.89,N/A,59.4000015259,2025,🚀 利潤擴張,2025-12,長佳智能,0.81,183.87,26.877828744751127,12.23,33.150000000000006,⚠️ 追價風險,2.1,6841.TWO,171.64000000000001,1700.0
N/A,5.45,N/A,0.0,2025,🚀 利潤擴張,2025-12,聯友金屬-創,1.75,194.08,0.0,27.9,0.0,⚪ 數據不足,-4.54,7610.TW,166.18,3.33
18.05%,0.37,2.96%,28.25,2025,🚀 利潤擴張,2025-12,吉茂,0.24,188.1,40.94202898550725,23.11,10.35,⚠️ 追價風險,19.92,1587.TW,164.99,155.81
15.86%,0.22,1.35%,251.5,2025,🚀 利潤擴張,2025-12,一詮,0.16,175.0,811.2903225806451,10.09,4.65,⚠️ 追價風險,13.26,2486.TW,164.91,300.0
N/A,6.34,N/A,0.0,2025,🚀 利潤擴張,2025-12,富威電力,1.13,328.87,0.0,164.5,0.0,⚪ 數據不足,21.0,6994.TW,164.37,47.95
N/A,18.83,N/A,96.8000030518,2025,🚀 利潤擴張,2025-12,寬宏藝術,17.41,242.99,2.0925206020709037,78.68,693.9,💎 強力關注,97.52,6596.TWO,164.31,241.37
N/A,0.68,N/A,42.5,2025,🔄 轉虧為盈,2025-12,方土昶,-0.24,223.81,0.0,62.85,-11.25,⚪ 數據不足,25.19,6265.TWO,160.96,-271.43
N/A,13.74,N/A,379.0,2025,🚀 利潤擴張,2025-12,高技,9.52,291.45,13.06446053085143,130.83,435.15,✅ 穩健價值,130.37,5439.TWO,160.61999999999998,280.8
10.14%,-0.09,3.61%,22.0,2025,🧐 疑業外收益,2025-12,森寶,-0.13,89.89,0.0,-69.84,-4.95,⚪ 數據不足,-54.34,3489.TWO,159.73000000000002,23.53
7.66%,1.81,-21.47%,37.4000015259,2025,🧐 疑業外收益,2025-12,東台,2.61,150.56,5.252809203075843,-6.62,106.8,💎 強力關注,-1.22,4526.TW,157.18,271.05
4.18%,1.86,-22.27%,26.0499992371,2025,🚀 利潤擴張,2025-12,新鉅科,2.19,173.02,4.29159789738056,19.21,91.05,💎 強力關注,18.28,3630.TWO,153.81,219.44
N/A,1.57,N/A,44.2999992371,2025,🧐 疑業外收益,2025-12,安格,3.24,137.2,3.5019762242766794,-15.36,189.75000000000003,💎 強力關注,-15.66,6684.TWO,152.56,203.85
N/A,-0.55,N/A,26.0499992371,2025,🧐 疑業外收益,2025-12,台新藥,-0.24,58.65,0.0,-93.38,-13.5,⚪ 數據不足,-95.44,6838.TW,152.03,77.78
98.33%,0.06,81.17%,9.1999998093,2025,🔄 轉虧為盈,2025-12,太景*-KY,-0.22,220.0,0.0,72.24,-5.8500000000000005,⚪ 數據不足,-79.84,4157.TWO,147.76,-1000.0
43.11%,0.13,22.84%,17.75,2025,🔄 轉虧為盈,2025-12,海灣,-0.1,141.94,110.9375,-3.71,2.4,⚠️ 追價風險,-4.86,3252.TWO,145.65,54.55
11.59%,1.7,1.68%,87.1999969482,2025,🚀 利潤擴張,2025-12,精確,1.25,209.26,19.507829294899324,65.48,67.05000000000001,⚪ 中性觀察,89.71,3162.TWO,143.77999999999997,292.31
5.83%,2.71,-0.68%,75.4000015259,2025,🧐 疑業外收益,2025-12,TPK-KY,2.56,133.62,10.560224303347338,-8.77,107.1,💎 強力關注,-8.66,3673.TW,142.39000000000001,55.15
N/A,0.08,N/A,19.0499992371,2025,🧐 疑業外收益,2025-12,中湛,0.05,119.51,70.55555272999999,-20.68,4.050000000000001,⚠️ 追價風險,-18.24,6236.TWO,140.19,111.11
N/A,0.25,N/A,40.0,2025,🚀 利潤擴張,2025-12,天擎,0.05,180.65,93.0232558139535,42.33,6.449999999999999,⚠️ 追價風險,48.16,6708.TWO,138.32,119.23
N/A,0.17,N/A,25.5,2025,🧐 疑業外收益,2025-12,立凱-KY,2.99,104.91,40.47619047619045,-32.24,9.450000000000005,⚠️ 追價風險,-19.06,5227.TWO,137.15,199.67
N/A,0.71,N/A,107.0,2025,🔄 轉虧為盈,2025-12,點序,-0.32,152.21,84.92063492063492,16.84,18.9,⚠️ 追價風險,14.7,6485.TWO,135.37,70.64
49.05%,2.13,39.15%,274.5,2025,🔄 轉虧為盈,2025-12,南亞科,-1.45,229.88,0.0,95.09,-28.5,⚪ 數據不足,32.43,2408.TW,134.79,-28.32
8.09%,7.11,5.14%,78.9000015259,2025,🚀 利潤擴張,2025-12,鑫聯大投控,3.61,178.19,5.759124198970802,44.32,205.50000000000003,💎 強力關注,55.41,3709.TWO,133.87,167.46
-8.98%,-1.11,-223.66%,36.2999992371,2025,🧐 疑業外收益,2025-12,德晉,-0.81,58.98,0.0,-72.48,-57.45,⚪ 數據不足,-68.41,3466.TWO,131.46,65.77
54.76%,3.44,41.27%,2490.0,2025,🏰 高護城河,2026-03,聯亞,4.66,645.65,204.0983606557377,515.18,183.0,⚠️ 追價風險,82.29,3081.TWO,130.47000000000003,884.75
-156.07%,-0.95,-456.27%,17.0,2025,🧐 疑業外收益,2025-12,太極,-0.67,54.11,0.0,-75.71,-35.85,⚪ 數據不足,-81.44,4934.TW,129.82,16.25
18.52%,3.56,6.32%,47.5,2025,🧐 疑業外收益,2025-12,榮運,2.72,108.46,5.466052934407365,-19.52,130.35,💎 強力關注,-19.69,2607.TW,127.97999999999999,139.38
N/A,8.61,N/A,420.0,2025,🚀 利潤擴張,2025-12,青雲,3.03,159.21,27.450980392156865,32.59,229.49999999999997,⚠️ 追價風險,12.38,5386.TWO,126.62,103.38
N/A,3.76,N/A,30.8999996185,2025,🚀 利潤擴張,2025-12,美好證,2.46,161.27,6.9751692141083526,35.14,66.44999999999999,💎 強力關注,13.11,6021.TWO,126.13000000000001,128.3
27.46%,0.74,-3.44%,0.0,2025,🚀 利潤擴張,2025-12,曜越,0.47,155.22,0.0,29.09,0.0,⚪ 數據不足,30.74,3540.TWO,126.13,147.47
N/A,2.55,N/A,36.1500015259,2025,🚀 利潤擴張,2025-12,山林水,2.05,177.17,5.14224772772404,51.31,105.44999999999999,💎 強力關注,62.88,8473.TW,125.85999999999999,130.34
31.80%,4.0,13.87%,456.5,2025,🧐 疑業外收益,2025-12,穩懋,1.57,120.99,98.17204301075267,-4.69,69.75,⚠️ 追價風險,-13.87,3105.TWO,125.67999999999999,-40.53
N/A,0.92,N/A,28.1000003815,2025,🚀 利潤擴張,2025-12,安鈦克,0.66,142.59,9.656357519415806,20.19,43.650000000000006,💎 強力關注,28.81,6276.TWO,122.4,128.33
