eps,prev_year,gm,price,prev_eps,eps_yoy,expansion,date,om,advice,rev_yoy,prev_eps_yoy,status,prev_rev_yoy,name,pe,symbol,est_price
1.14,2025,N/A,14.9499998093,-0.04,186.36,179.8,2025-12,N/A,⚪ 中性觀察,6.56,97.79,🔄 轉虧為盈,11.15,臺龍,20.202702445000003,6246.TWO,11.099999999999998
3.67,2025,41.59%,0.0,2.44,180.15,177.61,2025-12,21.37%,⚪ 數據不足,2.54,39.43,🚀 利潤擴張,4.96,台耀,0.0,4746.TW,0.0
6.42,2025,8.05%,23.2000007629,7.31,248.27,177.55,2025-12,-11.23%,💎 強力關注,70.72,314.37,🚀 利潤擴張,27.17,三一東林,2.1284404369633028,3609.TWO,163.5
1.23,2025,N/A,12.75,1.61,163.4,176.83,2025-12,N/A,💎 強力關注,-13.43,228.8,🧐 疑業外收益,-11.95,虹揚-KY,9.23913043478261,6573.TW,20.7
6.58,2025,N/A,171.5,4.25,198.64,174.75,2025-12,N/A,✅ 穩健價值,23.89,89.73,🚀 利潤擴張,22.77,力智,12.077464788732394,6719.TW,213.00000000000003
0.47,2025,N/A,46.0,0.91,173.44,174.57,2025-12,N/A,⚠️ 追價風險,-1.13,275.0,🧐 疑業外收益,-0.97,九豪,23.000000000000004,6127.TWO,29.999999999999996
0.92,2025,42.07%,37.4000015259,0.49,170.59,174.34,2025-12,14.30%,⚠️ 追價風險,-3.75,172.22,🧐 疑業外收益,-8.55,旭然,22.666667591454544,4556.TWO,24.750000000000004
0.53,2025,N/A,14.0,0.09,178.95,173.32999999999998,2025-12,N/A,✅ 穩健價值,5.62,175.0,🚀 利潤擴張,4.04,亞都,15.555555555555555,5703.TWO,13.5
0.92,2025,N/A,62.9000015259,0.49,222.67,172.01999999999998,2025-12,N/A,⚠️ 追價風險,50.65,190.57,🚀 利潤擴張,39.08,今國光,41.381579951249996,6209.TW,22.800000000000004
0.89,2025,N/A,58.4000015259,0.81,183.87,171.64000000000001,2025-12,N/A,⚠️ 追價風險,12.23,1700.0,🚀 利潤擴張,2.1,長佳智能,26.425340056968324,6841.TWO,33.150000000000006
5.45,2025,N/A,0.0,1.75,194.08,166.18,2025-12,N/A,⚪ 數據不足,27.9,3.33,🚀 利潤擴張,-4.54,聯友金屬-創,0.0,7610.TW,0.0
0.37,2025,18.05%,32.2999992371,0.24,188.1,164.99,2025-12,2.96%,⚠️ 追價風險,23.11,155.81,🚀 利潤擴張,19.92,吉茂,46.81159309724639,1587.TW,10.35
0.22,2025,15.86%,253.5,0.16,175.0,164.91,2025-12,1.35%,⚠️ 追價風險,10.09,300.0,🚀 利潤擴張,13.26,一詮,817.741935483871,2486.TW,4.65
6.34,2025,N/A,0.0,1.13,328.87,164.37,2025-12,N/A,⚪ 數據不足,164.5,47.95,🚀 利潤擴張,21.0,富威電力,0.0,6994.TW,0.0
18.83,2025,N/A,101.0,17.41,242.99,164.31,2025-12,N/A,💎 強力關注,78.68,241.37,🚀 利潤擴張,97.52,寬宏藝術,2.1833117163856466,6596.TWO,693.9
0.68,2025,N/A,43.4500007629,-0.24,223.81,160.96,2025-12,N/A,⚪ 數據不足,62.85,-271.43,🔄 轉虧為盈,25.19,方土昶,0.0,6265.TWO,-11.25
13.74,2025,N/A,386.5,9.52,291.45,160.61999999999998,2025-12,N/A,✅ 穩健價值,130.83,280.8,🚀 利潤擴張,130.37,高技,13.322992071699415,5439.TWO,435.15
-0.09,2025,10.14%,22.2999992371,-0.13,89.89,159.73000000000002,2025-12,3.61%,⚪ 數據不足,-69.84,23.53,🧐 疑業外收益,-54.34,森寶,0.0,3489.TWO,-4.95
1.81,2025,7.66%,34.2999992371,2.61,150.56,157.18,2025-12,-21.47%,💎 強力關注,-6.62,271.05,🧐 疑業外收益,-1.22,東台,4.817415623188203,4526.TW,106.8
1.86,2025,4.18%,27.5,2.19,173.02,153.81,2025-12,-22.27%,💎 強力關注,19.21,219.44,🚀 利潤擴張,18.28,新鉅科,4.530477759472817,3630.TWO,91.05
1.57,2025,N/A,47.9000015259,3.24,137.2,152.56,2025-12,N/A,💎 強力關注,-15.36,203.85,🧐 疑業外收益,-15.66,安格,3.78656138544664,6684.TWO,189.75000000000003
-0.55,2025,N/A,27.7999992371,-0.24,58.65,152.03,2025-12,N/A,⚪ 數據不足,-93.38,77.78,🧐 疑業外收益,-95.44,台新藥,0.0,6838.TW,-13.5
0.06,2025,98.33%,10.1499996185,-0.22,220.0,147.76,2025-12,81.17%,⚪ 數據不足,72.24,-1000.0,🔄 轉虧為盈,-79.84,太景*-KY,0.0,4157.TWO,-5.8500000000000005
0.13,2025,43.11%,19.3500003815,-0.1,141.94,145.65,2025-12,22.84%,⚠️ 追價風險,-3.71,54.55,🔄 轉虧為盈,-4.86,海灣,120.937502384375,3252.TWO,2.4
1.7,2025,11.59%,78.0,1.25,209.26,143.77999999999997,2025-12,1.68%,⚪ 中性觀察,65.48,292.31,🚀 利潤擴張,89.71,精確,17.4496644295302,3162.TWO,67.05000000000001
2.71,2025,5.83%,60.2999992371,2.56,133.62,142.39000000000001,2025-12,-0.68%,💎 強力關注,-8.77,55.15,🧐 疑業外收益,-8.66,TPK-KY,8.445378044411765,3673.TW,107.1
0.08,2025,N/A,19.0499992371,0.05,119.51,140.19,2025-12,N/A,⚠️ 追價風險,-20.68,111.11,🧐 疑業外收益,-18.24,中湛,70.55555272999999,6236.TWO,4.050000000000001
0.25,2025,N/A,41.5,0.05,180.65,138.32,2025-12,N/A,⚠️ 追價風險,42.33,119.23,🚀 利潤擴張,48.16,天擎,96.51162790697676,6708.TWO,6.449999999999999
0.17,2025,N/A,22.3999996185,2.99,104.91,137.15,2025-12,N/A,⚠️ 追價風險,-32.24,199.67,🧐 疑業外收益,-19.06,立凱-KY,35.55555494999998,5227.TWO,9.450000000000005
0.71,2025,N/A,79.6999969482,-0.32,152.21,135.37,2025-12,N/A,⚠️ 追價風險,16.84,70.64,🔄 轉虧為盈,14.7,點序,63.25396583190476,6485.TWO,18.9
2.13,2025,49.05%,235.0,-1.45,229.88,134.79,2025-12,39.15%,⚪ 數據不足,95.09,-28.32,🔄 轉虧為盈,32.43,南亞科,0.0,2408.TW,-28.5
7.11,2025,8.09%,79.1999969482,3.61,178.19,133.87,2025-12,5.14%,💎 強力關注,44.32,167.46,🚀 利潤擴張,55.41,鑫聯大投控,5.781021675051094,3709.TWO,205.50000000000003
-1.11,2025,-8.98%,38.4500007629,-0.81,58.98,131.46,2025-12,-223.66%,⚪ 數據不足,-72.48,65.77,🧐 疑業外收益,-68.41,德晉,0.0,3466.TWO,-57.45
3.44,2025,54.76%,2445.0,4.66,645.65,130.47000000000003,2026-03,41.27%,⚠️ 追價風險,515.18,884.75,🏰 高護城河,82.29,聯亞,200.40983606557378,3081.TWO,183.0
-0.95,2025,-156.07%,15.6499996185,-0.67,54.11,129.82,2025-12,-456.27%,⚪ 數據不足,-75.71,16.25,🧐 疑業外收益,-81.44,太極,0.0,4934.TW,-35.85
3.56,2025,18.52%,48.3499984741,2.72,108.46,127.97999999999999,2025-12,6.32%,💎 強力關注,-19.52,139.38,🧐 疑業外收益,-19.69,榮運,5.563866337640967,2607.TW,130.35
8.61,2025,N/A,375.5,3.03,159.21,126.62,2025-12,N/A,⚠️ 追價風險,32.59,103.38,🚀 利潤擴張,12.38,青雲,24.54248366013072,5386.TWO,229.49999999999997
3.76,2025,N/A,33.0499992371,2.46,161.27,126.13000000000001,2025-12,N/A,💎 強力關注,35.14,128.3,🚀 利潤擴張,13.11,美好證,7.460496441783297,6021.TWO,66.44999999999999
0.74,2025,27.46%,0.0,0.47,155.22,126.13,2025-12,-3.44%,⚪ 數據不足,29.09,147.47,🚀 利潤擴張,30.74,曜越,0.0,3540.TWO,0.0
2.55,2025,N/A,36.2999992371,2.05,177.17,125.85999999999999,2025-12,N/A,💎 強力關注,51.31,130.34,🚀 利潤擴張,62.88,山林水,5.163584528748223,8473.TW,105.44999999999999
