eps_yoy,gm,pe,est_price,status,advice,rev_yoy,prev_eps,date,prev_year,om,prev_eps_yoy,name,price,prev_rev_yoy,symbol,eps,expansion
33.33,89.95%,7.738095238095237,25.200000000000003,🏰 高護城河,💎 強力關注,16.1,0.68,2026-03,2025,32.37%,28.3,高雄銀,13.0,14.52,2836.TW,0.2,17.229999999999997
331.43,N/A,495.00000000000006,11.999999999999998,🚀 利潤擴張,⚠️ 追價風險,316.27,0.15,2026-03,2025,N/A,107.11,環宇-KY,396.0,25.43,4991.TWO,1.67,15.160000000000025
10.53,N/A,0.0,0.0,🧐 疑業外收益,⚪ 數據不足,-1.82,2.91,2026-03,2025,N/A,14.12,精誠金融,35.1500015259,10.14,7819.TWO,0.42,12.35
34.04,78.38%,7.76902897152231,57.14999999999999,🏰 高護城河,💎 強力關注,22.04,1.74,2026-03,2025,39.14%,-10.99,凱基金,29.6000003815,-12.26,2883.TW,0.69,12.0
52.29,N/A,0.0,-109.2,🚀 利潤擴張,⚪ 數據不足,41.94,-2.92,2026-03,2025,N/A,-14.12,華安,31.7999992371,-0.97,6657.TW,-0.53,10.350000000000001
29.13,100.00%,34.821145932257046,947.7,🏰 高護城河,⚠️ 追價風險,19.99,25.6,2026-03,2025,60.64%,4.19,力旺,2200.0,6.74,3529.TWO,7.98,9.14
283.33,24.77%,0.0,-14.25,🔄 轉虧為盈,⚪ 數據不足,274.7,-0.43,2026-03,2025,-4.59%,-53.57,宏亞,23.5,-8.31,1236.TW,0.23,8.629999999999995
153.49,27.77%,0.0,-89.10000000000001,🔄 轉虧為盈,⚪ 數據不足,145.6,-3.35,2026-03,2025,-13.99%,-827.91,岱宇,19.75,-15.19,1598.TW,0.25,7.890000000000015
56.0,N/A,7.541345261951488,136.05,🚀 利潤擴張,✅ 穩健價值,48.18,4.66,2026-03,2025,N/A,24.93,全景軟體,68.4000015259,15.86,8272.TWO,0.39,7.82
37.5,84.77%,26.833332909444444,13.5,🏰 高護城河,⚠️ 追價風險,30.02,0.38,2026-03,2025,20.24%,-7.32,欣欣,24.1499996185,-2.15,2901.TW,0.11,7.48
-5.56,N/A,0.0,0.0,🌑 雙重衰退,⚪ 數據不足,-11.29,-0.92,2026-03,2025,N/A,14.95,未知,0.0,-3.6,4178.TWO,-0.19,5.7299999999999995
-5.56,N/A,0.0,0.0,🌑 雙重衰退,⚪ 數據不足,-11.29,-0.92,2026-03,2025,N/A,14.95,永笙-KY,17.7999992371,-3.6,4178.TW,-0.19,5.7299999999999995
114.29,N/A,6.356132255400943,63.6,🚀 利潤擴張,✅ 穩健價值,109.17,0.99,2026-03,2025,N/A,-38.13,詩肯,26.9500007629,-3.57,6195.TWO,1.5,5.1200000000000045
16.67,83.45%,8.066884300636216,91.94999999999999,🏰 高護城河,✅ 穩健價值,12.57,2.36,2026-03,2025,33.61%,0.85,兆豐金,49.4500007629,-1.77,2886.TW,0.63,4.100000000000001
16.67,73.82%,66.93877395326531,7.35,🏰 高護城河,⚠️ 追價風險,12.87,0.25,2026-03,2025,-7.29%,41.18,聯傑,32.7999992371,13.2,3094.TW,0.07,3.8000000000000025
300.0,N/A,0.0,-22.2,🔄 轉虧為盈,⚪ 數據不足,296.51,-0.43,2026-03,2025,N/A,-326.32,亞電,55.5,-8.05,4939.TWO,0.24,3.490000000000009
5.8,N/A,0.0,0.0,🚀 利潤擴張,⚪ 數據不足,2.45,2.56,2026-03,2025,N/A,18.52,達人網,45.2999992371,8.14,7839.TWO,0.73,3.3499999999999996
35.9,N/A,45.740739798888896,12.149999999999999,🚀 利潤擴張,⚠️ 追價風險,32.83,0.58,2026-03,2025,N/A,-16.92,能率亞洲,37.0499992371,15.88,7777.TWO,-0.25,3.0700000000000003
71.15,64.17%,4.910313673258594,100.35000000000001,🏰 高護城河,✅ 穩健價值,68.9,2.35,2026-03,2025,2.03%,-27.47,米斯特,32.8499984741,12.71,2941.TWO,0.89,2.25
