eps_yoy,est_price,advice,expansion,prev_eps,rev_yoy,symbol,name,eps,gm,prev_rev_yoy,pe,price,date,prev_eps_yoy,status,prev_year,om
1037.5,40.8,⚠️ 追價風險,390.63,0.88,646.87,2344.TW,華邦電,2.25,41.86%,9.55,63.235294117647065,172.0,2026-03,576.92,🚀 利潤擴張,2025,15.37%
387.5,0.0,⚪ 數據不足,381.05,1.44,6.45,6908.TW,宏�砦C戲-創,0.41,N/A,28.36,0.0,36.0499992371,2026-03,5.88,🚀 利潤擴張,2025,N/A
715.79,81.60000000000001,⚪ 中性觀察,356.01,2.19,359.78,6716.TWO,應廣,1.59,N/A,-15.3,16.378676190091912,89.0999984741,2026-03,-49.65,🚀 利潤擴張,2025,N/A
380.0,19.499999999999996,⚠️ 追價風險,342.59000000000003,0.73,37.41,5210.TWO,寶碩,0.24,N/A,9.95,24.19230827915385,31.4500007629,2026-03,207.35,🚀 利潤擴張,2025,N/A
1090.0,-8.4,⚪ 數據不足,339.47,-0.2,750.53,5228.TWO,鈺鎧,0.99,N/A,25.85,0.0,48.3499984741,2026-03,90.52,🔄 轉虧為盈,2025,N/A
517.65,92.55,💎 強力關注,338.21999999999997,2.35,179.43,2754.TWO,亞洲藏壽司,1.42,N/A,5.96,11.150729830113454,68.8000030518,2026-03,1.73,🚀 利潤擴張,2025,N/A
550.0,26.4,⚠️ 追價風險,312.59000000000003,0.92,237.41,4556.TWO,旭然,0.13,42.07%,-3.75,66.19318181818181,116.5,2026-03,170.59,🚀 利潤擴張,2025,14.30%
650.0,25.95,✅ 穩健價值,306.68,0.57,343.32,3071.TWO,協禧,0.15,30.11%,-5.82,15.895953757225433,27.5,2026-03,-29.63,🚀 利潤擴張,2025,7.94%
1143.3,2097.2999999999997,✅ 穩健價值,293.43999999999994,41.98,849.86,8299.TWO,群聯,68.8,N/A,23.29,14.1610642254327,1980.0,2026-03,3.78,🚀 利潤擴張,2025,N/A
546.67,-2.2499999999999996,⚪ 數據不足,276.36999999999995,-0.43,270.3,6615.TWO,慧智,0.67,N/A,-14.91,0.0,34.8499984741,2026-03,-150.59,🔄 轉虧為盈,2025,N/A
640.0,-9.150000000000002,⚪ 數據不足,268.97,0.18,371.03,6282.TW,康舒,0.27,N/A,0.1,0.0,53.0,2026-03,550.0,🚀 利潤擴張,2025,N/A
445.45,-20.1,⚪ 數據不足,258.58,-0.76,186.87,8489.TWO,三貝德,0.38,N/A,5.03,0.0,24.1499996185,2026-03,55.83,🔄 轉虧為盈,2025,N/A
701.79,120.3,✅ 穩健價值,228.27999999999997,1.77,473.51,4916.TW,事欣科,4.49,18.73%,0.89,13.778054862842893,110.5,2026-03,8050.0,🚀 利潤擴張,2025,8.07%
518.75,44.1,💎 強力關注,226.35000000000002,0.88,292.4,4432.TWO,銘旺實,2.97,N/A,-3.15,5.595238354727892,16.4500007629,2026-03,-66.67,🚀 利潤擴張,2025,N/A
350.0,14.700000000000001,💎 強力關注,217.69,0.88,132.31,4702.TWO,中美實,0.45,35.38%,-61.59,9.928570961428571,9.7299995422,2026-03,51.72,🚀 利潤擴張,2025,-88.29%
512.9,493.65000000000003,💎 強力關注,215.22999999999996,13.25,297.67,8478.TW,東哥遊艇,3.8,N/A,5.83,4.725007596475235,155.5,2026-03,33.97,🚀 利潤擴張,2025,N/A
925.0,76.65,💎 強力關注,211.49,1.65,713.51,1609.TW,大亞,0.66,13.61%,3.39,7.553815748356164,38.5999984741,2026-03,-21.15,🚀 利潤擴張,2025,8.70%
213.33,0.0,⚪ 數據不足,186.79000000000002,0.08,26.54,3717.TW,聯嘉投控,0.47,19.34%,3.55,0.0,24.1000003815,2026-03,-80.0,🚀 利潤擴張,2025,7.12%
266.67,-43.199999999999996,⚪ 數據不足,185.94,-1.82,80.73,8084.TWO,巨虹,0.33,N/A,-10.9,0.0,46.0,2026-03,-280.2,🔄 轉虧為盈,2025,N/A
728.13,94.05,💎 強力關注,185.43999999999994,2.02,542.69,3290.TWO,東浦,2.65,30.40%,18.23,10.845295055821373,68.0,2026-03,25.64,🚀 利潤擴張,2025,14.85%
550.0,-7.95,⚪ 數據不足,164.05,-0.17,385.95,5460.TWO,同協,0.09,N/A,-15.68,0.0,17.25,2026-03,-177.27,🔄 轉虧為盈,2025,N/A
276.67,0.0,⚪ 數據不足,160.65000000000003,1.54,116.02,4582.TWO,未知,0.53,N/A,32.98,0.0,0.0,2026-03,1640.0,🚀 利潤擴張,2025,N/A
276.67,0.0,⚪ 數據不足,160.65000000000003,1.54,116.02,4582.TW,聚恆-創,0.53,N/A,32.98,0.0,28.0,2026-03,1640.0,🚀 利潤擴張,2025,N/A
700.0,-6.6,⚪ 數據不足,157.99,-0.25,542.01,2426.TW,鼎元,0.06,10.78%,-2.43,0.0,61.7999992371,2026-03,-219.05,🔄 轉虧為盈,2025,-2.91%
264.29,-25.049999999999997,⚪ 數據不足,156.05,-0.19,108.24,2417.TW,圓剛,0.28,56.31%,2.69,0.0,42.1500015259,2026-03,54.55,🔄 轉虧為盈,2025,8.42%
366.67,1.050000000000001,⚠️ 追價風險,152.34,-0.29,214.33,9934.TW,成霖,0.28,N/A,-4.25,154.28571700999987,10.8000001907,2026-03,-125.22,🔄 轉虧為盈,2025,N/A
323.08,32.250000000000014,⚠️ 追價風險,142.32,1.09,180.76,2732.TWO,六角,1.1,N/A,7.13,30.232558139534873,65.0,2026-03,-77.02,🚀 利潤擴張,2025,N/A
442.11,96.15,✅ 穩健價值,134.17000000000002,2.88,307.94,6569.TWO,醫揚,1.03,N/A,5.8,15.678627145085803,100.5,2026-03,-38.68,🚀 利潤擴張,2025,N/A
406.45,85.05,⚠️ 追價風險,133.17000000000002,2.35,273.28,6166.TW,凌華,1.57,N/A,17.09,22.57495590828924,128.0,2026-03,921.74,🚀 利潤擴張,2025,N/A
645.65,183.0,⚠️ 追價風險,130.47000000000003,4.66,515.18,3081.TWO,聯亞,3.44,54.76%,82.29,132.78688524590166,1620.0,2026-03,884.75,🏰 高護城河,2025,41.27%
228.49,172.05,💎 強力關注,115.32000000000001,6.21,113.17,3356.TW,奇偶,2.21,N/A,-14.96,5.196163772807323,59.5999984741,2026-03,-20.59,🚀 利潤擴張,2025,N/A
383.33,-7.200000000000001,⚪ 數據不足,114.74000000000001,0.33,268.59,6735.TWO,美達科技,0.29,N/A,-4.81,0.0,73.5999984741,2026-03,-84.51,🚀 利潤擴張,2025,N/A
87.5,-33.6,⚪ 數據不足,109.06,-1.63,-21.56,2601.TW,益航,-0.02,102.69%,-7.78,0.0,6.9600000381,2026-03,-365.71,🏰 高護城河,2025,-12.62%
270.0,50.699999999999996,⚠️ 追價風險,108.44,1.73,161.56,7730.TW,暉盛-創,0.37,N/A,-5.33,53.25443786982249,180.0,2026-03,-45.51,🚀 利潤擴張,2025,N/A
163.46,-40.05,⚪ 數據不足,96.19000000000001,2.15,67.27,2911.TW,麗嬰房,0.66,N/A,-16.81,0.0,7.5,2026-03,152.83,🚀 利潤擴張,2025,N/A
150.0,13.05,⚠️ 追價風險,92.64,0.43,57.36,3083.TWO,網龍,0.3,87.57%,-7.4,30.689656049310344,26.7000007629,2026-03,-46.91,🏰 高護城河,2025,12.73%
1080.0,44.550000000000004,✅ 穩健價值,89.48000000000002,1.39,990.52,6931.TW,青松健康,0.49,N/A,14.16,13.333332819562289,39.5999984741,2026-03,104.41,🚀 利潤擴張,2025,N/A
575.0,-24.299999999999994,⚪ 數據不足,88.79000000000002,-0.84,486.21,1599.TWO,宏佳騰,0.28,16.92%,-18.58,0.0,23.4500007629,2026-03,-169.49,🔄 轉虧為盈,2025,-21.33%
166.67,-18.3,⚪ 數據不足,84.69999999999999,-0.61,81.97,4147.TWO,中裕,0.06,28.91%,0.19,0.0,66.0,2026-03,17.57,🔄 轉虧為盈,2025,-58.34%
186.6,97.8,💎 強力關注,83.63,2.41,102.97,1339.TW,昭輝,2.78,33.66%,-14.02,6.786809815950921,44.25,2026-03,-51.9,🚀 利潤擴張,2025,13.17%
392.86,81.9,💎 強力關注,83.04000000000002,3.02,309.82,2436.TW,偉詮電,0.7,30.84%,15.32,11.208791348516483,61.2000007629,2026-03,78.06,🚀 利潤擴張,2025,3.76%
178.26,45.449999999999996,⚠️ 追價風險,81.14999999999999,1.11,97.11,6756.TW,威鋒電子,0.64,N/A,-8.83,31.683168316831686,96.0,2026-03,-50.67,🚀 利潤擴張,2025,N/A
136.36,77.99999999999999,✅ 穩健價值,74.29000000000002,1.97,62.07,3546.TWO,宇峻,2.34,89.44%,2.09,14.000000586884617,72.8000030518,2026-03,-64.44,🏰 高護城河,2025,20.17%
99.93,0.0,⚪ 數據不足,73.29,-1.49,26.64,7823.TW,奧義賽博-KY創,-0.15,N/A,22.72,0.0,84.9000015259,2026-03,96.29,🚀 利潤擴張,2025,N/A
-25.93,-96.44999999999999,⚪ 數據不足,71.78,-2.43,-97.71,6169.TWO,昱泉,-0.68,N/A,19.25,0.0,14.5500001907,2026-03,-99.18,🌑 雙重衰退,2025,N/A
650.0,-17.549999999999997,⚪ 數據不足,71.62,0.14,578.38,8354.TWO,冠好,0.3,N/A,0.63,0.0,16.3500003815,2026-03,-91.14,🚀 利潤擴張,2025,N/A
386.11,71.25,✅ 穩健價值,70.21000000000004,2.76,315.9,4905.TWO,台聯電,1.75,25.49%,22.56,14.694737484589474,69.8000030518,2026-03,-5.15,🚀 利潤擴張,2025,0.20%
121.74,0.0,⚪ 數據不足,69.89999999999999,6.33,51.84,7828.TWO,創新服務,1.02,N/A,76.4,0.0,2160.0,2026-03,44.08,🚀 利潤擴張,2025,N/A
127.27,22.95,💎 強力關注,68.69,0.63,58.58,2889.TW,國票金,0.25,90.85%,4.6,10.359477373529412,15.8500003815,2026-03,3.28,🏰 高護城河,2025,38.94%
107.35,257.1,💎 強力關注,67.19999999999999,7.13,40.15,4137.TW,麗豐-KY,1.41,82.18%,-4.63,5.641773450886814,96.6999969482,2026-03,24.43,🏰 高護城河,2025,20.98%
175.0,-15.3,⚪ 數據不足,64.48,-0.38,110.52,3632.TWO,研勤,0.06,54.59%,-28.72,0.0,8.2899999619,2026-03,-31.03,🔄 轉虧為盈,2025,3.73%
106.9,0.0,⚪ 數據不足,63.99000000000001,2.43,42.91,6986.TWO,和迅,0.6,N/A,2.38,0.0,46.0,2026-03,-24.06,🚀 利潤擴張,2025,N/A
175.0,-38.1,⚪ 數據不足,63.97,-1.28,111.03,4562.TW,穎漢,0.11,31.44%,-7.78,0.0,33.2999992371,2026-03,-184.44,🔄 轉虧為盈,2025,-45.46%
62.5,-122.4,⚪ 數據不足,63.5,-3.51,-1.0,3064.TWO,泰偉,-0.27,93.22%,-29.69,0.0,19.2000007629,2026-03,-7120.0,🏰 高護城河,2025,-55.72%
235.0,101.7,💎 強力關注,63.21000000000001,2.64,171.79,6005.TW,群益證,1.34,N/A,12.14,5.110619694085546,34.6500015259,2026-03,17.33,🚀 利潤擴張,2025,N/A
500.0,10.049999999999997,⚠️ 追價風險,61.81999999999999,0.58,438.18,1533.TW,車王電,0.84,N/A,19.69,50.74626865671643,34.0,2026-03,152.25,🚀 利潤擴張,2025,N/A
600.0,22.5,✅ 穩健價值,61.76999999999998,0.74,538.23,1904.TW,正隆,0.56,20.98%,-4.85,14.933333079,22.3999996185,2026-03,34.55,🚀 利潤擴張,2025,7.12%
206.45,113.85,💎 強力關注,56.41999999999999,2.52,150.03,6208.TWO,日揚,1.9,N/A,-4.59,11.633728992332017,88.3000030518,2026-03,-26.32,🚀 利潤擴張,2025,N/A
204.17,72.30000000000001,💎 強力關注,55.839999999999975,1.19,148.33,4747.TWO,強生,1.46,N/A,-6.81,10.05186737819502,48.4500007629,2026-03,-36.9,🚀 利潤擴張,2025,N/A
244.44,-18.45,⚪ 數據不足,55.43000000000001,-0.6,189.01,8040.TWO,九暘,0.13,N/A,2.65,0.0,82.5,2026-03,49.15,🔄 轉虧為盈,2025,N/A
239.47,273.29999999999995,💎 強力關注,54.05000000000001,12.33,185.42,4123.TWO,晟德,2.62,41.95%,-6.28,2.0856201975850714,38.0,2026-03,905.92,🚀 利潤擴張,2025,-106.23%
-2.96,0.0,⚪ 數據不足,52.519999999999996,-3.92,-55.48,6934.TW,心誠鎂,-1.43,N/A,-29.22,0.0,81.0,2026-03,-48.08,🌑 雙重衰退,2025,N/A
147.37,252.6,💎 強力關注,51.74000000000001,6.82,95.63,6574.TWO,霈方,3.29,N/A,6.51,7.957244655581948,134.0,2026-03,66.34,🚀 利潤擴張,2025,N/A
139.49,0.0,⚪ 數據不足,47.56,13.04,91.93,7711.TW,永擎,7.68,N/A,182.72,0.0,0.0,2026-03,38.44,🚀 利潤擴張,2025,N/A
406.06,31.8,✅ 穩健價值,46.579999999999984,1.5,359.48,3287.TWO,廣寰科,1.01,N/A,23.54,14.1981133875,30.1000003815,2026-03,-36.17,🚀 利潤擴張,2025,N/A
112.5,146.54999999999998,💎 強力關注,45.849999999999994,5.29,66.65,9949.TWO,琉園,0.03,N/A,-17.0,2.553736004390993,24.9500007629,2026-03,544.54,🚀 利潤擴張,2025,N/A
55.17,172.35,💎 強力關注,39.24,4.85,15.93,6620.TWO,漢達,0.46,N/A,108.17,7.780678983977371,89.4000015259,2026-03,31.64,🚀 利潤擴張,2025,N/A
300.0,-30.6,⚪ 數據不足,35.860000000000014,0.12,264.14,2388.TW,威盛,0.08,20.64%,-40.0,0.0,72.5999984741,2026-03,-93.75,🚀 利潤擴張,2025,-8.17%
190.24,81.9,✅ 穩健價值,34.20000000000002,2.15,156.04,3556.TWO,禾瑞亞,1.19,50.66%,1.24,12.545787545787546,68.5,2026-03,-5.7,🏰 高護城河,2025,14.95%
42.62,0.0,⚪ 數據不足,32.379999999999995,2.99,10.24,7821.TW,神數,0.87,N/A,19.28,0.0,41.5999984741,2026-03,91.67,🚀 利潤擴張,2025,N/A
34.92,0.0,⚪ 數據不足,28.590000000000003,7.56,6.33,2072.TWO,未知,11.94,35.24%,15.19,0.0,0.0,2025-12,-17.2,🚀 利潤擴張,2025,30.89%
23.4,-70.05,⚪ 數據不足,27.259999999999998,-1.89,-3.86,6794.TW,向榮生技,-0.36,N/A,-5.58,0.0,78.3000030518,2026-03,-13.21,🧐 疑業外收益,2025,N/A
450.0,-28.950000000000003,⚪ 數據不足,27.04000000000002,-0.45,422.96,1467.TW,南緯,0.11,23.39%,2.23,0.0,8.9499998093,2026-03,-197.83,🔄 轉虧為盈,2025,1.90%
42.86,0.0,⚪ 數據不足,26.23,3.24,16.63,7768.TW,頌勝科技,1.62,N/A,3.08,0.0,321.5,2026-03,-27.83,🚀 利潤擴張,2025,N/A
42.86,0.0,⚪ 數據不足,26.23,3.24,16.63,7768.TWO,未知,1.62,N/A,3.08,0.0,0.0,2026-03,-27.83,🚀 利潤擴張,2025,N/A
38.11,0.0,⚪ 數據不足,25.689999999999998,13.61,12.42,1623.TW,大東電,4.33,21.29%,20.5,0.0,0.0,2026-03,11.37,🚀 利潤擴張,2025,16.93%
83.05,105.6,💎 強力關注,20.689999999999998,2.74,62.36,2885.TW,元大金,1.08,80.00%,6.4,9.474431384687499,66.6999969482,2026-03,-1.08,🏰 高護城河,2025,33.03%
45.45,33.45,✅ 穩健價值,19.960000000000004,0.85,25.49,5604.TWO,中連,0.32,N/A,0.36,13.766816485605382,30.7000007629,2026-03,-66.0,🚀 利潤擴張,2025,N/A
470.83,24.599999999999998,💎 強力關注,19.539999999999964,0.76,451.29,6015.TWO,宏遠證,0.89,N/A,0.56,10.548780022621951,17.2999992371,2026-03,-11.63,🚀 利潤擴張,2025,N/A
45.71,-30.900000000000002,⚪ 數據不足,18.900000000000002,-0.61,26.81,5202.TWO,力新,-0.19,N/A,-8.35,0.0,13.8500003815,2026-03,-134.86,🚀 利潤擴張,2025,N/A
41.03,70.8,💎 強力關注,18.060000000000002,1.9,22.97,2880.TW,華南金,0.55,97.25%,4.06,8.347457950402543,39.4000015259,2026-03,13.1,🏰 高護城河,2025,45.93%
234.78,9.75,⚠️ 追價風險,17.97999999999999,0.81,216.8,3581.TWO,博磊,0.31,31.93%,13.9,190.0,123.5,2026-03,35.0,🚀 利潤擴張,2025,8.13%
33.33,25.200000000000003,💎 強力關注,17.229999999999997,0.68,16.1,2836.TW,高雄銀,0.2,89.95%,14.52,7.559523696011904,12.6999998093,2026-03,28.3,🏰 高護城河,2025,32.37%
331.43,11.999999999999998,⚠️ 追價風險,15.160000000000025,0.15,316.27,4991.TWO,環宇-KY,1.67,N/A,25.43,500.00000000000006,400.0,2026-03,107.11,🚀 利潤擴張,2025,N/A
10.53,0.0,⚪ 數據不足,12.35,2.91,-1.82,7819.TWO,精誠金融,0.42,N/A,10.14,0.0,37.6500015259,2026-03,14.12,🧐 疑業外收益,2025,N/A
34.04,57.14999999999999,💎 強力關注,12.0,1.74,22.04,2883.TW,凱基金,0.69,78.38%,-12.26,8.018372503175854,30.5499992371,2026-03,-10.99,🏰 高護城河,2025,39.14%
52.29,-109.2,⚪ 數據不足,10.350000000000001,-2.92,41.94,6657.TW,華安,-0.53,N/A,-0.97,0.0,35.9500007629,2026-03,-14.12,🚀 利潤擴張,2025,N/A
29.13,947.7,⚠️ 追價風險,9.14,25.6,19.99,3529.TWO,力旺,7.98,100.00%,6.74,40.0443178220956,2530.0,2026-03,4.19,🏰 高護城河,2025,60.64%
283.33,-14.25,⚪ 數據不足,8.629999999999995,-0.43,274.7,1236.TW,宏亞,0.23,24.77%,-8.31,0.0,23.1499996185,2026-03,-53.57,🔄 轉虧為盈,2025,-4.59%
153.49,-89.10000000000001,⚪ 數據不足,7.890000000000015,-3.35,145.6,1598.TW,岱宇,0.25,27.77%,-15.19,0.0,20.2999992371,2026-03,-827.91,🔄 轉虧為盈,2025,-13.99%
56.0,136.05,✅ 穩健價值,7.82,4.66,48.18,8272.TWO,全景軟體,0.39,N/A,15.86,7.375964887089305,66.9000015259,2026-03,24.93,🚀 利潤擴張,2025,N/A
37.5,13.5,⚠️ 追價風險,7.48,0.38,30.02,2901.TW,欣欣,0.11,84.77%,-2.15,26.777778201666663,24.1000003815,2026-03,-7.32,🏰 高護城河,2025,20.24%
-5.56,0.0,⚪ 數據不足,5.7299999999999995,-0.92,-11.29,4178.TWO,未知,-0.19,N/A,-3.6,0.0,0.0,2026-03,14.95,🌑 雙重衰退,2025,N/A
-5.56,0.0,⚪ 數據不足,5.7299999999999995,-0.92,-11.29,4178.TW,永笙-KY,-0.19,N/A,-3.6,0.0,18.5,2026-03,14.95,🌑 雙重衰退,2025,N/A
114.29,63.6,✅ 穩健價值,5.1200000000000045,0.99,109.17,6195.TWO,詩肯,1.5,N/A,-3.57,6.226415004363208,26.3999996185,2026-03,-38.13,🚀 利潤擴張,2025,N/A
16.67,91.94999999999999,✅ 穩健價值,4.100000000000001,2.36,12.57,2886.TW,兆豐金,0.63,83.45%,-1.77,7.601957336721045,46.5999984741,2026-03,0.85,🏰 高護城河,2025,33.61%
16.67,7.35,⚠️ 追價風險,3.8000000000000025,0.25,12.87,3094.TW,聯傑,0.07,73.82%,13.2,83.57143012836734,40.9500007629,2026-03,41.18,🏰 高護城河,2025,-7.29%
300.0,-22.2,⚪ 數據不足,3.490000000000009,-0.43,296.51,4939.TWO,亞電,0.24,N/A,-8.05,0.0,66.8000030518,2026-03,-326.32,🔄 轉虧為盈,2025,N/A
5.8,0.0,⚪ 數據不足,3.3499999999999996,2.56,2.45,7839.TWO,達人網,0.73,N/A,8.14,0.0,44.5,2026-03,18.52,🚀 利潤擴張,2025,N/A
35.9,12.149999999999999,⚠️ 追價風險,3.0700000000000003,0.58,32.83,7777.TWO,能率亞洲,-0.25,N/A,15.88,51.60493732975309,41.7999992371,2026-03,-16.92,🚀 利潤擴張,2025,N/A
71.15,100.35000000000001,✅ 穩健價值,2.25,2.35,68.9,2941.TWO,米斯特,0.89,64.17%,12.71,5.074738529581464,33.9500007629,2026-03,-27.47,🏰 高護城河,2025,2.03%
