price,expansion,gm,eps,prev_eps,prev_eps_yoy,symbol,advice,pe,date,om,status,prev_year,est_price,eps_yoy,rev_yoy,name,prev_rev_yoy
42.4000015259,156.05,56.31%,0.28,-0.19,54.55,2417.TW,⚪ 數據不足,0.0,2026-03,8.42%,🔄 轉虧為盈,2025,-25.049999999999997,264.29,108.24,圓剛,2.69
11.1000003815,152.34,N/A,0.28,-0.29,-125.22,9934.TW,⚠️ 追價風險,158.57143402142842,2026-03,N/A,🔄 轉虧為盈,2025,1.050000000000001,366.67,214.33,成霖,-4.25
63.2000007629,142.32,N/A,1.1,1.09,-77.02,2732.TWO,⚠️ 追價風險,29.3953491920465,2026-03,N/A,🚀 利潤擴張,2025,32.250000000000014,323.08,180.76,六角,7.13
91.8000030518,134.17000000000002,N/A,1.03,2.88,-38.68,6569.TWO,✅ 穩健價值,14.32137333101404,2026-03,N/A,🚀 利潤擴張,2025,96.15,442.11,307.94,醫揚,5.8
121.5,133.17000000000002,N/A,1.57,2.35,921.74,6166.TW,⚪ 中性觀察,21.42857142857143,2026-03,N/A,🚀 利潤擴張,2025,85.05,406.45,273.28,凌華,17.09
3170.0,130.47000000000003,54.76%,3.44,4.66,884.75,3081.TWO,⚠️ 追價風險,259.8360655737705,2026-03,41.27%,🏰 高護城河,2025,183.0,645.65,515.18,聯亞,82.29
61.2999992371,115.32000000000001,N/A,2.21,6.21,-20.59,3356.TW,💎 強力關注,5.344376568186574,2026-03,N/A,🚀 利潤擴張,2025,172.05,228.49,113.17,奇偶,-14.96
63.2999992371,114.74000000000001,N/A,0.29,0.33,-84.51,6735.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-7.200000000000001,383.33,268.59,美達科技,-4.81
6.7899999619,109.06,102.69%,-0.02,-1.63,-365.71,2601.TW,⚪ 數據不足,0.0,2026-03,-12.62%,🏰 高護城河,2025,-33.6,87.5,-21.56,益航,-7.78
186.5,108.44,N/A,0.37,1.73,-45.51,7730.TW,⚠️ 追價風險,55.17751479289941,2026-03,N/A,🚀 利潤擴張,2025,50.699999999999996,270.0,161.56,暉盛-創,-5.33
6.4200000763,96.19000000000001,N/A,0.66,2.15,152.83,2911.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-40.05,163.46,67.27,麗嬰房,-16.81
22.8999996185,92.64,87.57%,0.3,0.43,-46.91,3083.TWO,⚠️ 追價風險,26.321838641954024,2026-03,12.73%,🏰 高護城河,2025,13.05,150.0,57.36,網龍,-7.4
41.0,89.48000000000002,N/A,0.49,1.39,104.41,6931.TW,✅ 穩健價值,13.804713804713804,2026-03,N/A,🚀 利潤擴張,2025,44.550000000000004,1080.0,990.52,青松健康,14.16
22.8999996185,88.79000000000002,16.92%,0.28,-0.84,-169.49,1599.TWO,⚪ 數據不足,0.0,2026-03,-21.33%,🔄 轉虧為盈,2025,-24.299999999999994,575.0,486.21,宏佳騰,-18.58
63.5999984741,84.69999999999999,28.91%,0.06,-0.61,17.57,4147.TWO,⚪ 數據不足,0.0,2026-03,-58.34%,🔄 轉虧為盈,2025,-18.3,166.67,81.97,中裕,0.19
43.0,83.63,33.66%,2.78,2.41,-51.9,1339.TW,💎 強力關注,6.595092024539878,2026-03,13.17%,🚀 利潤擴張,2025,97.8,186.6,102.97,昭輝,-14.02
65.1999969482,83.04000000000002,30.84%,0.7,3.02,78.06,2436.TW,💎 強力關注,11.941391382454212,2026-03,3.76%,🚀 利潤擴張,2025,81.9,392.86,309.82,偉詮電,15.32
101.5,81.14999999999999,N/A,0.64,1.11,-50.67,6756.TW,⚠️ 追價風險,33.4983498349835,2026-03,N/A,🚀 利潤擴張,2025,45.449999999999996,178.26,97.11,威鋒電子,-8.83
71.5,74.29000000000002,89.44%,2.34,1.97,-64.44,3546.TWO,✅ 穩健價值,13.750000000000002,2026-03,20.17%,🏰 高護城河,2025,77.99999999999999,136.36,62.07,宇峻,2.09
83.0,73.29,N/A,-0.15,-1.49,96.29,7823.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,99.93,26.64,奧義賽博-KY創,22.72
12.1499996185,71.78,N/A,-0.68,-2.43,-99.18,6169.TWO,⚪ 數據不足,0.0,2026-03,N/A,🌑 雙重衰退,2025,-96.44999999999999,-25.93,-97.71,昱泉,19.25
17.8500003815,71.62,N/A,0.3,0.14,-91.14,8354.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-17.549999999999997,650.0,578.38,冠好,0.63
85.9000015259,70.21000000000004,25.49%,1.75,2.76,-5.15,4905.TWO,⚪ 中性觀察,18.084210847557895,2026-03,0.20%,🚀 利潤擴張,2025,71.25,386.11,315.9,台聯電,22.56
1930.0,69.89999999999999,N/A,1.02,6.33,44.08,7828.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,121.74,51.84,創新服務,76.4
16.6000003815,68.69,90.85%,0.25,0.63,3.28,2889.TW,💎 強力關注,10.849673451960784,2026-03,38.94%,🏰 高護城河,2025,22.95,127.27,58.58,國票金,4.6
79.3000030518,67.19999999999999,82.18%,1.41,7.13,24.43,4137.TW,💎 強力關注,4.626604612123687,2026-03,20.98%,🏰 高護城河,2025,257.1,107.35,40.15,麗豐-KY,-4.63
0.0,64.48,54.59%,0.06,-0.38,-31.03,3632.TWO,⚪ 數據不足,0.0,2026-03,3.73%,🔄 轉虧為盈,2025,0.0,175.0,110.52,研勤,-28.72
41.7999992371,63.99000000000001,N/A,0.6,2.43,-24.06,6986.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,106.9,42.91,和迅,2.38
30.3500003815,63.97,31.44%,0.11,-1.28,-184.44,4562.TW,⚪ 數據不足,0.0,2026-03,-45.46%,🔄 轉虧為盈,2025,-38.1,175.0,111.03,穎漢,-7.78
0.0,63.5,93.22%,-0.27,-3.51,-7120.0,3064.TWO,⚪ 數據不足,0.0,2026-03,-55.72%,🏰 高護城河,2025,0.0,62.5,-1.0,泰偉,-29.69
32.75,63.21000000000001,N/A,1.34,2.64,17.33,6005.TW,💎 強力關注,4.830383480825959,2026-03,N/A,🚀 利潤擴張,2025,101.7,235.0,171.79,群益證,12.14
30.9500007629,61.81999999999999,N/A,0.84,0.58,152.25,1533.TW,⚠️ 追價風險,46.194030989403,2026-03,N/A,🚀 利潤擴張,2025,10.049999999999997,500.0,438.18,車王電,19.69
24.7999992371,61.76999999999998,20.98%,0.56,0.74,34.55,1904.TW,⚪ 中性觀察,16.533332824733332,2026-03,7.12%,🚀 利潤擴張,2025,22.5,600.0,538.23,正隆,-4.85
74.1999969482,56.41999999999999,N/A,1.9,2.52,-26.32,6208.TWO,💎 強力關注,9.77602067828722,2026-03,N/A,🚀 利潤擴張,2025,113.85,206.45,150.03,日揚,-4.59
24.8500003815,55.839999999999975,N/A,1.46,1.19,-36.9,4747.TWO,💎 強力關注,5.1556017389004145,2026-03,N/A,🚀 利潤擴張,2025,72.30000000000001,204.17,148.33,強生,-6.81
75.0,55.43000000000001,N/A,0.13,-0.6,49.15,8040.TWO,⚪ 數據不足,0.0,2026-03,N/A,🔄 轉虧為盈,2025,-18.45,244.44,189.01,九暘,2.65
30.1499996185,54.05000000000001,41.95%,2.62,12.33,905.92,4123.TWO,💎 強力關注,1.6547749516191,2026-03,-106.23%,🚀 利潤擴張,2025,273.29999999999995,239.47,185.42,晟德,-6.28
72.5999984741,52.519999999999996,N/A,-1.43,-3.92,-48.08,6934.TW,⚪ 數據不足,0.0,2026-03,N/A,🌑 雙重衰退,2025,0.0,-2.96,-55.48,心誠鎂,-29.22
118.5,51.74000000000001,N/A,3.29,6.82,66.34,6574.TWO,💎 強力關注,7.036817102137768,2026-03,N/A,🚀 利潤擴張,2025,252.6,147.37,95.63,霈方,6.51
0.0,47.56,N/A,7.68,13.04,38.44,7711.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,139.49,91.93,永擎,182.72
36.5999984741,46.579999999999984,N/A,1.01,1.5,-36.17,3287.TWO,⚪ 中性觀察,17.264150223632072,2026-03,N/A,🚀 利潤擴張,2025,31.8,406.06,359.48,廣寰科,23.54
23.9500007629,45.849999999999994,N/A,0.03,5.29,544.54,9949.TWO,💎 強力關注,2.4513818590481065,2026-03,N/A,🚀 利潤擴張,2025,146.54999999999998,112.5,66.65,琉園,-17.0
107.5,39.24,N/A,0.46,4.85,31.64,6620.TWO,💎 強力關注,9.355961705831158,2026-03,N/A,🚀 利潤擴張,2025,172.35,55.17,15.93,漢達,108.17
81.4000015259,35.860000000000014,20.64%,0.08,0.12,-93.75,2388.TW,⚪ 數據不足,0.0,2026-03,-8.17%,🚀 利潤擴張,2025,-30.6,300.0,264.14,威盛,-40.0
58.0999984741,34.20000000000002,50.66%,1.19,2.15,-5.7,3556.TWO,💎 強力關注,10.641025361556776,2026-03,14.95%,🏰 高護城河,2025,81.9,190.24,156.04,禾瑞亞,1.24
39.5499992371,32.379999999999995,N/A,0.87,2.99,91.67,7821.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,42.62,10.24,神數,19.28
0.0,28.590000000000003,35.24%,11.94,7.56,-17.2,2072.TWO,⚪ 數據不足,0.0,2025-12,30.89%,🚀 利潤擴張,2025,0.0,34.92,6.33,未知,15.19
73.6999969482,27.259999999999998,N/A,-0.36,-1.89,-13.21,6794.TW,⚪ 數據不足,0.0,2026-03,N/A,🧐 疑業外收益,2025,-70.05,23.4,-3.86,向榮生技,-5.58
8.1899995804,27.04000000000002,23.39%,0.11,-0.45,-197.83,1467.TW,⚪ 數據不足,0.0,2026-03,1.90%,🔄 轉虧為盈,2025,-28.950000000000003,450.0,422.96,南緯,2.23
282.5,26.23,N/A,1.62,3.24,-27.83,7768.TW,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,42.86,16.63,頌勝科技,3.08
0.0,26.23,N/A,1.62,3.24,-27.83,7768.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,0.0,42.86,16.63,未知,3.08
0.0,25.689999999999998,21.29%,4.33,13.61,11.37,1623.TW,⚪ 數據不足,0.0,2026-03,16.93%,🚀 利潤擴張,2025,0.0,38.11,12.42,大東電,20.5
69.8000030518,20.689999999999998,80.00%,1.08,2.74,-1.08,2885.TW,💎 強力關注,9.914773160767046,2026-03,33.03%,🏰 高護城河,2025,105.6,83.05,62.36,元大金,6.4
31.3500003815,19.960000000000004,N/A,0.32,0.85,-66.0,5604.TWO,✅ 穩健價值,14.058296135201793,2026-03,N/A,🚀 利潤擴張,2025,33.45,45.45,25.49,中連,0.36
16.7999992371,19.539999999999964,N/A,0.89,0.76,-11.63,6015.TWO,💎 強力關注,10.243901973841464,2026-03,N/A,🚀 利潤擴張,2025,24.599999999999998,470.83,451.29,宏遠證,0.56
11.8000001907,18.900000000000002,N/A,-0.19,-0.61,-134.86,5202.TWO,⚪ 數據不足,0.0,2026-03,N/A,🚀 利潤擴張,2025,-30.900000000000002,45.71,26.81,力新,-8.35
44.0,18.060000000000002,97.25%,0.55,1.9,13.1,2880.TW,💎 強力關注,9.322033898305085,2026-03,45.93%,🏰 高護城河,2025,70.8,41.03,22.97,華南金,4.06
111.5,17.97999999999999,31.93%,0.31,0.81,35.0,3581.TWO,⚠️ 追價風險,171.53846153846152,2026-03,8.13%,🚀 利潤擴張,2025,9.75,234.78,216.8,博磊,13.9
12.25,17.229999999999997,89.95%,0.2,0.68,28.3,2836.TW,💎 強力關注,7.291666666666666,2026-03,32.37%,🏰 高護城河,2025,25.200000000000003,33.33,16.1,高雄銀,14.52
497.0,15.160000000000025,N/A,1.67,0.15,107.11,4991.TWO,⚠️ 追價風險,621.25,2026-03,N/A,🚀 利潤擴張,2025,11.999999999999998,331.43,316.27,環宇-KY,25.43
35.2000007629,12.35,N/A,0.42,2.91,14.12,7819.TWO,⚪ 數據不足,0.0,2026-03,N/A,🧐 疑業外收益,2025,0.0,10.53,-1.82,精誠金融,10.14
