eps,om,prev_eps,prev_eps_yoy,gm,prev_year,symbol,name,date,rev_yoy,eps_yoy,prev_rev_yoy,est_price,price,status,expansion,pe,advice
1.03,N/A,2.88,-38.68,N/A,2025,6569.TWO,醫揚,2026-03,307.94,442.11,5.8,96.15,90.3000030518,🚀 利潤擴張,134.17000000000002,14.087363970639625,✅ 穩健價值
1.57,N/A,2.35,921.74,N/A,2025,6166.TW,凌華,2026-03,273.28,406.45,17.09,85.05,112.0,🚀 利潤擴張,133.17000000000002,19.753086419753085,⚪ 中性觀察
3.44,41.27%,4.66,884.75,54.76%,2025,3081.TWO,聯亞,2026-03,515.18,645.65,82.29,183.0,2720.0,🏰 高護城河,130.47000000000003,222.95081967213116,⚠️ 追價風險
2.21,N/A,6.21,-20.59,N/A,2025,3356.TW,奇偶,2026-03,113.17,228.49,-14.96,172.05,69.7906036377,🚀 利潤擴張,115.32000000000001,6.084621066931125,💎 強力關注
0.29,N/A,0.33,-84.51,N/A,2025,6735.TWO,美達科技,2026-03,268.59,383.33,-4.81,-7.200000000000001,60.5,🚀 利潤擴張,114.74000000000001,0.0,⚪ 數據不足
-0.02,-12.62%,-1.63,-365.71,102.69%,2025,2601.TW,益航,2026-03,-21.56,87.5,-7.78,-33.6,6.3000001907,🏰 高護城河,109.06,0.0,⚪ 數據不足
0.37,N/A,1.73,-45.51,N/A,2025,7730.TW,暉盛-創,2026-03,161.56,270.0,-5.33,50.699999999999996,175.5,🚀 利潤擴張,108.44,51.92307692307693,⚠️ 追價風險
0.66,N/A,2.15,152.83,N/A,2025,2911.TW,麗嬰房,2026-03,67.27,163.46,-16.81,-40.05,6.3200001717,🚀 利潤擴張,96.19000000000001,0.0,⚪ 數據不足
0.3,12.73%,0.43,-46.91,87.57%,2025,3083.TWO,網龍,2026-03,57.36,150.0,-7.4,13.05,22.1499996185,🏰 高護城河,92.64,25.459769676436782,⚠️ 追價風險
0.49,N/A,1.39,104.41,N/A,2025,6931.TW,青松健康,2026-03,990.52,1080.0,14.16,44.550000000000004,39.2999992371,🚀 利潤擴張,89.48000000000002,13.232322975454545,✅ 穩健價值
0.28,-21.33%,-0.84,-169.49,16.92%,2025,1599.TWO,宏佳騰,2026-03,486.21,575.0,-18.58,-24.299999999999994,23.1000003815,🔄 轉虧為盈,88.79000000000002,0.0,⚪ 數據不足
0.06,-58.34%,-0.61,17.57,28.91%,2025,4147.TWO,中裕,2026-03,81.97,166.67,0.19,-18.3,62.5,🔄 轉虧為盈,84.69999999999999,0.0,⚪ 數據不足
2.78,13.17%,2.41,-51.9,33.66%,2025,1339.TW,昭輝,2026-03,102.97,186.6,-14.02,97.8,43.2000007629,🚀 利潤擴張,83.63,6.625766988174846,💎 強力關注
0.7,3.76%,3.02,78.06,30.84%,2025,2436.TW,偉詮電,2026-03,309.82,392.86,15.32,81.9,67.5999984741,🚀 利潤擴張,83.04000000000002,12.380952101483517,✅ 穩健價值
0.64,N/A,1.11,-50.67,N/A,2025,6756.TW,威鋒電子,2026-03,97.11,178.26,-8.83,45.449999999999996,95.6999969482,🚀 利潤擴張,81.14999999999999,31.584157408646867,⚠️ 追價風險
2.34,20.17%,1.97,-64.44,89.44%,2025,3546.TWO,宇峻,2026-03,62.07,136.36,2.09,77.99999999999999,71.9000015259,🏰 高護城河,74.29000000000002,13.826923370365385,✅ 穩健價值
-0.15,N/A,-1.49,96.29,N/A,2025,7823.TW,奧義賽博-KY創,2026-03,26.64,99.93,22.72,0.0,80.5,🚀 利潤擴張,73.29,0.0,⚪ 數據不足
-0.68,N/A,-2.43,-99.18,N/A,2025,6169.TWO,昱泉,2026-03,-97.71,-25.93,19.25,-96.44999999999999,12.3000001907,🌑 雙重衰退,71.78,0.0,⚪ 數據不足
0.3,N/A,0.14,-91.14,N/A,2025,8354.TWO,冠好,2026-03,578.38,650.0,0.63,-17.549999999999997,17.0499992371,🚀 利潤擴張,71.62,0.0,⚪ 數據不足
1.75,0.20%,2.76,-5.15,25.49%,2025,4905.TWO,台聯電,2026-03,315.9,386.11,22.56,71.25,79.1999969482,🚀 利潤擴張,70.21000000000004,16.673683568042104,⚪ 中性觀察
1.02,N/A,6.33,44.08,N/A,2025,7828.TWO,創新服務,2026-03,51.84,121.74,76.4,0.0,1935.0,🚀 利潤擴張,69.89999999999999,0.0,⚪ 數據不足
0.25,38.94%,0.63,3.28,90.85%,2025,2889.TW,國票金,2026-03,58.58,127.27,4.6,22.95,17.2999992371,🏰 高護城河,68.69,11.307189043856209,💎 強力關注
