expansion,date,price,pe,symbol,rev_yoy,prev_eps,gm,advice,prev_eps_yoy,prev_year,est_price,name,status,prev_rev_yoy,eps,om,eps_yoy
63.99000000000001,2026-03,43.0,0.0,6986.TWO,42.91,2.43,N/A,⚪ 數據不足,-24.06,2025,0.0,和迅,🚀 利潤擴張,2.38,0.6,N/A,106.9
63.97,2026-03,31.1499996185,0.0,4562.TW,111.03,-1.28,31.44%,⚪ 數據不足,-184.44,2025,-38.1,穎漢,🔄 轉虧為盈,-7.78,0.11,-45.46%,175.0
63.5,2026-03,0.0,0.0,3064.TWO,-1.0,-3.51,93.22%,⚪ 數據不足,-7120.0,2025,0.0,泰偉,🏰 高護城河,-29.69,-0.27,-55.72%,62.5
63.21000000000001,2026-03,30.6499996185,4.520648911283185,6005.TW,171.79,2.64,N/A,💎 強力關注,17.33,2025,101.7,群益證,🚀 利潤擴張,12.14,1.34,N/A,235.0
61.81999999999999,2026-03,31.7000007629,47.313433974477626,1533.TW,438.18,0.58,N/A,⚠️ 追價風險,152.25,2025,10.049999999999997,車王電,🚀 利潤擴張,19.69,0.84,N/A,500.0
61.76999999999998,2026-03,25.7000007629,17.133333841933332,1904.TW,538.23,0.74,20.98%,⚪ 中性觀察,34.55,2025,22.5,正隆,🚀 利潤擴張,-4.85,0.56,7.12%,600.0
56.41999999999999,2026-03,81.5,10.737812911725955,6208.TWO,150.03,2.52,N/A,💎 強力關注,-26.32,2025,113.85,日揚,🚀 利潤擴張,-4.59,1.9,N/A,206.45
55.839999999999975,2026-03,0.0,0.0,4747.TWO,148.33,1.19,N/A,⚪ 數據不足,-36.9,2025,0.0,強生,🚀 利潤擴張,-6.81,1.46,N/A,204.17
55.43000000000001,2026-03,69.5999984741,0.0,8040.TWO,189.01,-0.6,N/A,⚪ 數據不足,49.15,2025,-18.45,九暘,🔄 轉虧為盈,2.65,0.13,N/A,244.44
54.05000000000001,2026-03,32.9500007629,1.8084522921459933,4123.TWO,185.42,12.33,41.95%,💎 強力關注,905.92,2025,273.29999999999995,晟德,🚀 利潤擴張,-6.28,2.62,-106.23%,239.47
52.519999999999996,2026-03,72.0,0.0,6934.TW,-55.48,-3.92,N/A,⚪ 數據不足,-48.08,2025,0.0,心誠鎂,🌑 雙重衰退,-29.22,-1.43,N/A,-2.96
51.74000000000001,2026-03,118.5,7.036817102137768,6574.TWO,95.63,6.82,N/A,💎 強力關注,66.34,2025,252.6,霈方,🚀 利潤擴張,6.51,3.29,N/A,147.37
47.56,2026-03,0.0,0.0,7711.TW,91.93,13.04,N/A,⚪ 數據不足,38.44,2025,0.0,永擎,🚀 利潤擴張,182.72,7.68,N/A,139.49
46.579999999999984,2026-03,37.75,17.806603773584904,3287.TWO,359.48,1.5,N/A,⚪ 中性觀察,-36.17,2025,31.8,廣寰科,🚀 利潤擴張,23.54,1.01,N/A,406.06
45.849999999999994,2026-03,23.2999992371,2.3848515084032753,9949.TWO,66.65,5.29,N/A,💎 強力關注,544.54,2025,146.54999999999998,琉園,🚀 利潤擴張,-17.0,0.03,N/A,112.5
39.24,2026-03,75.0,6.527415143603133,6620.TWO,15.93,4.85,N/A,💎 強力關注,31.64,2025,172.35,漢達,🚀 利潤擴張,108.17,0.46,N/A,55.17
35.860000000000014,2026-03,73.9000015259,0.0,2388.TW,264.14,0.12,20.64%,⚪ 數據不足,-93.75,2025,-30.6,威盛,🚀 利潤擴張,-40.0,0.08,-8.17%,300.0
34.20000000000002,2026-03,63.2999992371,11.59340645368132,3556.TWO,156.04,2.15,50.66%,💎 強力關注,-5.7,2025,81.9,禾瑞亞,🏰 高護城河,1.24,1.19,14.95%,190.24
32.379999999999995,2026-03,39.4000015259,0.0,7821.TW,10.24,2.99,N/A,⚪ 數據不足,91.67,2025,0.0,神數,🚀 利潤擴張,19.28,0.87,N/A,42.62
28.590000000000003,2025-12,0.0,0.0,2072.TWO,6.33,7.56,35.24%,⚪ 數據不足,-17.2,2025,0.0,未知,🚀 利潤擴張,15.19,11.94,30.89%,34.92
27.259999999999998,2026-03,71.8000030518,0.0,6794.TW,-3.86,-1.89,N/A,⚪ 數據不足,-13.21,2025,-70.05,向榮生技,🧐 疑業外收益,-5.58,-0.36,N/A,23.4
27.04000000000002,2026-03,8.6499996185,0.0,1467.TW,422.96,-0.45,23.39%,⚪ 數據不足,-197.83,2025,-28.950000000000003,南緯,🔄 轉虧為盈,2.23,0.11,1.90%,450.0
26.23,2026-03,310.0,0.0,7768.TW,16.63,3.24,N/A,⚪ 數據不足,-27.83,2025,0.0,頌勝科技,🚀 利潤擴張,3.08,1.62,N/A,42.86
26.23,2026-03,0.0,0.0,7768.TWO,16.63,3.24,N/A,⚪ 數據不足,-27.83,2025,0.0,未知,🚀 利潤擴張,3.08,1.62,N/A,42.86
25.689999999999998,2026-03,0.0,0.0,1623.TW,12.42,13.61,21.29%,⚪ 數據不足,11.37,2025,0.0,大東電,🚀 利潤擴張,20.5,4.33,16.93%,38.11
20.689999999999998,2026-03,64.0,9.090909090909092,2885.TW,62.36,2.74,80.00%,💎 強力關注,-1.08,2025,105.6,元大金,🏰 高護城河,6.4,1.08,33.03%,83.05
19.960000000000004,2026-03,30.7999992371,13.811658850717489,5604.TWO,25.49,0.85,N/A,✅ 穩健價值,-66.0,2025,33.45,中連,🚀 利潤擴張,0.36,0.32,N/A,45.45
19.539999999999964,2026-03,15.8999996185,9.695121718597562,6015.TWO,451.29,0.76,N/A,💎 強力關注,-11.63,2025,24.599999999999998,宏遠證,🚀 利潤擴張,0.56,0.89,N/A,470.83
18.900000000000002,2026-03,11.8999996185,0.0,5202.TWO,26.81,-0.61,N/A,⚪ 數據不足,-134.86,2025,-30.900000000000002,力新,🚀 利潤擴張,-8.35,-0.19,N/A,45.71
18.060000000000002,2026-03,39.5999984741,8.389830185190679,2880.TW,22.97,1.9,97.25%,💎 強力關注,13.1,2025,70.8,華南金,🏰 高護城河,4.06,0.55,45.93%,41.03
17.97999999999999,2026-03,103.5,159.23076923076923,3581.TWO,216.8,0.81,31.93%,⚠️ 追價風險,35.0,2025,9.75,博磊,🚀 利潤擴張,13.9,0.31,8.13%,234.78
17.229999999999997,2026-03,12.1000003815,7.202381179464284,2836.TW,16.1,0.68,89.95%,💎 強力關注,28.3,2025,25.200000000000003,高雄銀,🏰 高護城河,14.52,0.2,32.37%,33.33
15.160000000000025,2026-03,481.0,601.25,4991.TWO,316.27,0.15,N/A,⚠️ 追價風險,107.11,2025,11.999999999999998,環宇-KY,🚀 利潤擴張,25.43,1.67,N/A,331.43
12.35,2026-03,35.2999992371,0.0,7819.TWO,-1.82,2.91,N/A,⚪ 數據不足,14.12,2025,0.0,精誠金融,🧐 疑業外收益,10.14,0.42,N/A,10.53
12.0,2026-03,31.5499992371,8.280839694776903,2883.TW,22.04,1.74,78.38%,💎 強力關注,-10.99,2025,57.14999999999999,凱基金,🏰 高護城河,-12.26,0.69,39.14%,34.04
10.350000000000001,2026-03,30.6000003815,0.0,6657.TW,41.94,-2.92,N/A,⚪ 數據不足,-14.12,2025,-109.2,華安,🚀 利潤擴張,-0.97,-0.53,N/A,52.29
9.14,2026-03,2155.0,34.10889522000633,3529.TWO,19.99,25.6,100.00%,⚠️ 追價風險,4.19,2025,947.7,力旺,🏰 高護城河,6.74,7.98,60.64%,29.13
8.629999999999995,2026-03,25.5499992371,0.0,1236.TW,274.7,-0.43,24.77%,⚪ 數據不足,-53.57,2025,-14.25,宏亞,🔄 轉虧為盈,-8.31,0.23,-4.59%,283.33
7.890000000000015,2026-03,20.2999992371,0.0,1598.TW,145.6,-3.35,27.77%,⚪ 數據不足,-827.91,2025,-89.10000000000001,岱宇,🔄 轉虧為盈,-15.19,0.25,-13.99%,153.49
7.82,2026-03,62.7000007629,6.9128997533517085,8272.TWO,48.18,4.66,N/A,✅ 穩健價值,24.93,2025,136.05,全景軟體,🚀 利潤擴張,15.86,0.39,N/A,56.0
7.48,2026-03,24.0,26.666666666666664,2901.TW,30.02,0.38,84.77%,⚠️ 追價風險,-7.32,2025,13.5,欣欣,🏰 高護城河,-2.15,0.11,20.24%,37.5
5.7299999999999995,2026-03,0.0,0.0,4178.TWO,-11.29,-0.92,N/A,⚪ 數據不足,14.95,2025,0.0,未知,🌑 雙重衰退,-3.6,-0.19,N/A,-5.56
5.7299999999999995,2026-03,17.5499992371,0.0,4178.TW,-11.29,-0.92,N/A,⚪ 數據不足,14.95,2025,0.0,永笙-KY,🌑 雙重衰退,-3.6,-0.19,N/A,-5.56
5.1200000000000045,2026-03,27.9500007629,6.591981312004717,6195.TWO,109.17,0.99,N/A,✅ 穩健價值,-38.13,2025,63.6,詩肯,🚀 利潤擴張,-3.57,1.5,N/A,114.29
4.100000000000001,2026-03,46.9500007629,7.6590539580587285,2886.TW,12.57,2.36,83.45%,✅ 穩健價值,0.85,2025,91.94999999999999,兆豐金,🏰 高護城河,-1.77,0.63,33.61%,16.67
3.8000000000000025,2026-03,35.75,72.95918367346938,3094.TW,12.87,0.25,73.82%,⚠️ 追價風險,41.18,2025,7.35,聯傑,🏰 高護城河,13.2,0.07,-7.29%,16.67
3.490000000000009,2026-03,66.5,0.0,4939.TWO,296.51,-0.43,N/A,⚪ 數據不足,-326.32,2025,-22.2,亞電,🔄 轉虧為盈,-8.05,0.24,N/A,300.0
3.3499999999999996,2026-03,45.2000007629,0.0,7839.TWO,2.45,2.56,N/A,⚪ 數據不足,18.52,2025,0.0,達人網,🚀 利潤擴張,8.14,0.73,N/A,5.8
3.0700000000000003,2026-03,40.9000015259,50.493829044321,7777.TWO,32.83,0.58,N/A,⚠️ 追價風險,-16.92,2025,12.149999999999999,能率亞洲,🚀 利潤擴張,15.88,-0.25,N/A,35.9
2.25,2026-03,29.7999992371,4.454409452481315,2941.TWO,68.9,2.35,64.17%,✅ 穩健價值,-27.47,2025,100.35000000000001,米斯特,🏰 高護城河,12.71,0.89,2.03%,71.15
