prev_eps_yoy,date,est_price,name,prev_eps,pe,advice,gm,eps_yoy,symbol,expansion,status,om,prev_year,price,eps,rev_yoy,prev_rev_yoy
23.53,2025-12,-4.95,森寶,-0.13,0.0,⚪ 數據不足,10.14%,89.89,3489.TWO,159.73000000000002,🧐 疑業外收益,3.61%,2025,22.5499992371,-0.09,-69.84,-54.34
271.05,2025-12,106.8,東台,2.61,4.49438202247191,💎 強力關注,7.66%,150.56,4526.TW,157.18,🧐 疑業外收益,-21.47%,2025,32.0,1.81,-6.62,-1.22
219.44,2025-12,91.05,新鉅科,2.19,4.70345951187809,💎 強力關注,4.18%,173.02,3630.TWO,153.81,🚀 利潤擴張,-22.27%,2025,28.5499992371,1.86,19.21,18.28
203.85,2025-12,189.75000000000003,安格,3.24,3.8418971125770742,💎 強力關注,N/A,137.2,6684.TWO,152.56,🧐 疑業外收益,N/A,2025,48.5999984741,1.57,-15.36,-15.66
77.78,2025-12,-13.5,台新藥,-0.24,0.0,⚪ 數據不足,N/A,58.65,6838.TW,152.03,🧐 疑業外收益,N/A,2025,27.9500007629,-0.55,-93.38,-95.44
-1000.0,2025-12,-5.8500000000000005,太景*-KY,-0.22,0.0,⚪ 數據不足,98.33%,220.0,4157.TWO,147.76,🔄 轉虧為盈,81.17%,2025,10.0,0.06,72.24,-79.84
54.55,2025-12,2.4,海灣,-0.1,120.937502384375,⚠️ 追價風險,43.11%,141.94,3252.TWO,145.65,🔄 轉虧為盈,22.84%,2025,19.3500003815,0.13,-3.71,-4.86
292.31,2025-12,67.05000000000001,精確,1.25,18.769575285436236,⚪ 中性觀察,11.59%,209.26,3162.TWO,143.77999999999997,🚀 利潤擴張,1.68%,2025,83.9000015259,1.7,65.48,89.71
55.15,2025-12,107.1,TPK-KY,2.56,8.641456689481792,💎 強力關注,5.83%,133.62,3673.TW,142.39000000000001,🧐 疑業外收益,-0.68%,2025,61.7000007629,2.71,-8.77,-8.66
111.11,2025-12,4.050000000000001,中湛,0.05,70.55555272999999,⚠️ 追價風險,N/A,119.51,6236.TWO,140.19,🧐 疑業外收益,N/A,2025,19.0499992371,0.08,-20.68,-18.24
119.23,2025-12,6.449999999999999,天擎,0.05,101.16279069767444,⚠️ 追價風險,N/A,180.65,6708.TWO,138.32,🚀 利潤擴張,N/A,2025,43.5,0.25,42.33,48.16
199.67,2025-12,9.450000000000005,立凱-KY,2.99,33.571427965873,⚠️ 追價風險,N/A,104.91,5227.TWO,137.15,🧐 疑業外收益,N/A,2025,21.1499996185,0.17,-32.24,-19.06
70.64,2025-12,18.9,點序,-0.32,61.34920877126984,⚠️ 追價風險,N/A,152.21,6485.TWO,135.37,🔄 轉虧為盈,N/A,2025,77.3000030518,0.71,16.84,14.7
-28.32,2025-12,-28.5,南亞科,-1.45,0.0,⚪ 數據不足,49.05%,229.88,2408.TW,134.79,🔄 轉虧為盈,39.15%,2025,208.0,2.13,95.09,32.43
167.46,2025-12,205.50000000000003,鑫聯大投控,3.61,5.832116899700729,💎 強力關注,8.09%,178.19,3709.TWO,133.87,🚀 利潤擴張,5.14%,2025,79.9000015259,7.11,44.32,55.41
65.77,2025-12,-57.45,德晉,-0.81,0.0,⚪ 數據不足,-8.98%,58.98,3466.TWO,131.46,🧐 疑業外收益,-223.66%,2025,40.0,-1.11,-72.48,-68.41
884.75,2026-03,183.0,聯亞,4.66,247.5409836065574,⚠️ 追價風險,54.76%,645.65,3081.TWO,130.47000000000003,🏰 高護城河,41.27%,2025,3020.0,3.44,515.18,82.29
16.25,2025-12,-35.85,太極,-0.67,0.0,⚪ 數據不足,-156.07%,54.11,4934.TW,129.82,🧐 疑業外收益,-456.27%,2025,16.2000007629,-0.95,-75.71,-81.44
139.38,2025-12,130.35,榮運,2.72,5.621403736950518,💎 強力關注,18.52%,108.46,2607.TW,127.97999999999999,🧐 疑業外收益,6.32%,2025,48.8499984741,3.56,-19.52,-19.69
103.38,2025-12,229.49999999999997,青雲,3.03,22.54901960784314,⚠️ 追價風險,N/A,159.21,5386.TWO,126.62,🚀 利潤擴張,N/A,2025,345.0,8.61,32.59,12.38
147.47,2025-12,0.0,曜越,0.47,0.0,⚪ 數據不足,27.46%,155.22,3540.TWO,126.13,🚀 利潤擴張,-3.44%,2025,0.0,0.74,29.09,30.74
