prev_rev_yoy,rev_yoy,pe,prev_year,est_price,expansion,prev_eps,price,date,status,prev_eps_yoy,gm,name,symbol,eps_yoy,om,eps,advice
-5.58,-3.86,0.0,2025,-70.05,27.259999999999998,-1.89,78.9000015259,2026-03,🧐 疑業外收益,-13.21,N/A,向榮生技,6794.TW,23.4,N/A,-0.36,⚪ 數據不足
2.23,422.96,0.0,2025,-28.950000000000003,27.04000000000002,-0.45,7.0999999046,2026-03,🔄 轉虧為盈,-197.83,23.39%,南緯,1467.TW,450.0,1.90%,0.11,⚪ 數據不足
3.08,16.63,0.0,2025,0.0,26.23,3.24,347.5,2026-03,🚀 利潤擴張,-27.83,N/A,頌勝科技,7768.TW,42.86,N/A,1.62,⚪ 數據不足
3.08,16.63,0.0,2025,0.0,26.23,3.24,0.0,2026-03,🚀 利潤擴張,-27.83,N/A,未知,7768.TWO,42.86,N/A,1.62,⚪ 數據不足
20.5,12.42,0.0,2025,0.0,25.689999999999998,13.61,0.0,2026-03,🚀 利潤擴張,11.37,21.29%,大東電,1623.TW,38.11,16.93%,4.33,⚪ 數據不足
6.4,62.36,9.389204328707388,2025,105.6,20.689999999999998,2.74,66.0999984741,2026-03,🏰 高護城河,-1.08,80.00%,元大金,2885.TW,83.05,33.03%,1.08,💎 強力關注
0.36,25.49,13.968609694394619,2025,33.45,19.960000000000004,0.85,31.1499996185,2026-03,🚀 利潤擴張,-66.0,N/A,中連,5604.TWO,45.45,N/A,0.32,✅ 穩健價值
0.56,451.29,11.158536120182927,2025,24.599999999999998,19.539999999999964,0.76,18.2999992371,2026-03,🚀 利潤擴張,-11.63,N/A,宏遠證,6015.TWO,470.83,N/A,0.89,💎 強力關注
-8.35,26.81,0.0,2025,-30.900000000000002,18.900000000000002,-0.61,15.25,2026-03,🚀 利潤擴張,-134.86,N/A,力新,5202.TWO,45.71,N/A,-0.19,⚪ 數據不足
4.06,22.97,7.838983050847458,2025,70.8,18.060000000000002,1.9,37.0,2026-03,🏰 高護城河,13.1,97.25%,華南金,2880.TW,41.03,45.93%,0.55,💎 強力關注
13.9,216.8,235.3846153846154,2025,9.75,17.97999999999999,0.81,153.0,2026-03,🚀 利潤擴張,35.0,31.93%,博磊,3581.TWO,234.78,8.13%,0.31,⚠️ 追價風險
14.52,16.1,7.291666666666666,2025,25.200000000000003,17.229999999999997,0.68,12.25,2026-03,🏰 高護城河,28.3,89.95%,高雄銀,2836.TW,33.33,32.37%,0.2,💎 強力關注
25.43,316.27,703.7500000000001,2025,11.999999999999998,15.160000000000025,0.15,563.0,2026-03,🚀 利潤擴張,107.11,N/A,環宇-KY,4991.TWO,331.43,N/A,1.67,⚠️ 追價風險
