prev_eps_yoy,status,price,advice,date,om,prev_rev_yoy,name,pe,eps,symbol,rev_yoy,expansion,eps_yoy,est_price,prev_year,prev_eps,gm
1640.0,🚀 利潤擴張,27.3500003815,⚪ 數據不足,2026-03,N/A,32.98,聚恆-創,0.0,0.53,4582.TW,116.02,160.65000000000003,276.67,0.0,2025,1.54,N/A
-219.05,🔄 轉虧為盈,50.2999992371,⚪ 數據不足,2026-03,-2.91%,-2.43,鼎元,0.0,0.06,2426.TW,542.01,157.99,700.0,-6.6,2025,-0.25,10.78%
54.55,🔄 轉虧為盈,39.2999992371,⚪ 數據不足,2026-03,8.42%,2.69,圓剛,0.0,0.28,2417.TW,108.24,156.05,264.29,-25.049999999999997,2025,-0.19,56.31%
-125.22,🔄 轉虧為盈,10.5,⚠️ 追價風險,2026-03,N/A,-4.25,成霖,149.99999999999986,0.28,9934.TW,214.33,152.34,366.67,1.050000000000001,2025,-0.29,N/A
-77.02,🚀 利潤擴張,64.1999969482,⚠️ 追價風險,2026-03,N/A,7.13,六角,29.860463696837197,1.1,2732.TWO,180.76,142.32,323.08,32.250000000000014,2025,1.09,N/A
-38.68,🚀 利潤擴張,97.1999969482,✅ 穩健價值,2026-03,N/A,5.8,醫揚,15.163806076162246,1.03,6569.TWO,307.94,134.17000000000002,442.11,96.15,2025,2.88,N/A
921.74,🚀 利潤擴張,113.0,⚪ 中性觀察,2026-03,N/A,17.09,凌華,19.929453262786595,1.57,6166.TW,273.28,133.17000000000002,406.45,85.05,2025,2.35,N/A
884.75,🏰 高護城河,1630.0,⚠️ 追價風險,2026-03,41.27%,82.29,聯亞,133.6065573770492,3.44,3081.TWO,515.18,130.47000000000003,645.65,183.0,2025,4.66,54.76%
-20.59,🚀 利潤擴張,57.7000007629,💎 強力關注,2026-03,N/A,-14.96,奇偶,5.030514451865736,2.21,3356.TW,113.17,115.32000000000001,228.49,172.05,2025,6.21,N/A
-84.51,🚀 利潤擴張,62.2000007629,⚪ 數據不足,2026-03,N/A,-4.81,美達科技,0.0,0.29,6735.TWO,268.59,114.74000000000001,383.33,-7.200000000000001,2025,0.33,N/A
-365.71,🏰 高護城河,6.1599998474,⚪ 數據不足,2026-03,-12.62%,-7.78,益航,0.0,-0.02,2601.TW,-21.56,109.06,87.5,-33.6,2025,-1.63,102.69%
-45.51,🚀 利潤擴張,151.0,⚠️ 追價風險,2026-03,N/A,-5.33,暉盛-創,44.67455621301775,0.37,7730.TW,161.56,108.44,270.0,50.699999999999996,2025,1.73,N/A
152.83,🚀 利潤擴張,6.75,⚪ 數據不足,2026-03,N/A,-16.81,麗嬰房,0.0,0.66,2911.TW,67.27,96.19000000000001,163.46,-40.05,2025,2.15,N/A
-46.91,🏰 高護城河,25.2000007629,⚠️ 追價風險,2026-03,12.73%,-7.4,網龍,28.965518118275863,0.3,3083.TWO,57.36,92.64,150.0,13.05,2025,0.43,87.57%
104.41,🚀 利潤擴張,37.5,✅ 穩健價值,2026-03,N/A,14.16,青松健康,12.626262626262626,0.49,6931.TW,990.52,89.48000000000002,1080.0,44.550000000000004,2025,1.39,N/A
