rev_yoy,pe,date,est_price,prev_eps,name,price,gm,om,advice,status,prev_year,prev_eps_yoy,eps_yoy,prev_rev_yoy,symbol,expansion,eps
359.78,19.20955882352941,2026-03,81.60000000000001,2.19,應廣,104.5,N/A,N/A,⚪ 中性觀察,🚀 利潤擴張,2025,-49.65,715.79,-15.3,6716.TWO,356.01,1.59
37.41,21.96153787469231,2026-03,19.499999999999996,0.73,寶碩,28.5499992371,N/A,N/A,⚪ 中性觀察,🚀 利潤擴張,2025,207.35,380.0,9.95,5210.TWO,342.59000000000003,0.24
750.53,0.0,2026-03,-8.4,-0.2,鈺鎧,41.8499984741,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,90.52,1090.0,25.85,5228.TWO,339.47,0.99
179.43,11.7341979782658,2026-03,92.55,2.35,亞洲藏壽司,72.4000015259,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,1.73,517.65,5.96,2754.TWO,338.21999999999997,1.42
237.41,52.32954458755682,2026-03,26.4,0.92,旭然,92.0999984741,42.07%,14.30%,⚠️ 追價風險,🚀 利潤擴張,2025,170.59,550.0,-3.75,4556.TWO,312.59000000000003,0.13
343.32,14.421965758901734,2026-03,25.95,0.57,協禧,24.9500007629,30.11%,7.94%,✅ 穩健價值,🚀 利潤擴張,2025,-29.63,650.0,-5.82,3071.TWO,306.68,0.15
849.86,14.947790015734517,2026-03,2097.2999999999997,41.98,群聯,2090.0,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,3.78,1143.3,23.29,8299.TWO,293.43999999999994,68.8
270.3,0.0,2026-03,-2.2499999999999996,-0.43,慧智,34.5999984741,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,-150.59,546.67,-14.91,6615.TWO,276.36999999999995,0.67
371.03,0.0,2026-03,-9.150000000000002,0.18,康舒,49.8499984741,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,550.0,640.0,0.1,6282.TW,268.97,0.27
186.87,0.0,2026-03,-20.1,-0.76,三貝德,22.9500007629,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,55.83,445.45,5.03,8489.TWO,258.58,0.38
473.51,13.02992518703242,2026-03,120.3,1.77,事欣科,104.5,18.73%,8.07%,✅ 穩健價值,🚀 利潤擴張,2025,8050.0,701.79,0.89,4916.TW,228.27999999999997,4.49
292.4,5.442176870748299,2026-03,44.1,0.88,銘旺實,16.0,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,-66.67,518.75,-3.15,4432.TWO,226.35000000000002,2.97
132.31,9.867347016632651,2026-03,14.700000000000001,0.88,中美實,9.6700000763,35.38%,-88.29%,💎 強力關注,🚀 利潤擴張,2025,51.72,350.0,-61.59,4702.TWO,217.69,0.45
297.67,4.46672743846855,2026-03,493.65000000000003,13.25,東哥遊艇,147.0,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,33.97,512.9,5.83,8478.TW,215.22999999999996,3.8
713.51,7.2700590070254405,2026-03,76.65,1.65,大亞,37.1500015259,13.61%,8.70%,💎 強力關注,🚀 利潤擴張,2025,-21.15,925.0,3.39,1609.TW,211.49,0.66
26.54,0.0,2026-03,0.0,0.08,聯嘉投控,22.8999996185,19.34%,7.12%,⚪ 數據不足,🚀 利潤擴張,2025,-80.0,213.33,3.55,3717.TW,186.79000000000002,0.47
80.73,0.0,2026-03,-43.199999999999996,-1.82,巨虹,52.7999992371,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,-280.2,266.67,-10.9,8084.TWO,185.94,0.33
542.69,8.787878544513557,2026-03,94.05,2.02,東浦,55.0999984741,30.40%,14.85%,💎 強力關注,🚀 利潤擴張,2025,25.64,728.13,18.23,3290.TWO,185.43999999999994,2.65
385.95,0.0,2026-03,-7.95,-0.17,同協,16.0499992371,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,-177.27,550.0,-15.68,5460.TWO,164.05,0.09
116.02,0.0,2026-03,0.0,1.54,未知,0.0,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,1640.0,276.67,32.98,4582.TWO,160.65000000000003,0.53
116.02,0.0,2026-03,0.0,1.54,聚恆-創,27.2000007629,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,1640.0,276.67,32.98,4582.TW,160.65000000000003,0.53
542.01,0.0,2026-03,-6.6,-0.25,鼎元,64.6999969482,10.78%,-2.91%,⚪ 數據不足,🔄 轉虧為盈,2025,-219.05,700.0,-2.43,2426.TW,157.99,0.06
108.24,0.0,2026-03,-25.049999999999997,-0.19,圓剛,43.7999992371,56.31%,8.42%,⚪ 數據不足,🔄 轉虧為盈,2025,54.55,264.29,2.69,2417.TW,156.05,0.28
214.33,162.85713740714272,2026-03,1.050000000000001,-0.29,成霖,11.3999996185,N/A,N/A,⚠️ 追價風險,🔄 轉虧為盈,2025,-125.22,366.67,-4.25,9934.TW,152.34,0.28
180.76,29.72093094227906,2026-03,32.250000000000014,1.09,六角,63.9000015259,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,-77.02,323.08,7.13,2732.TWO,142.32,1.1
307.94,14.820592823712948,2026-03,96.15,2.88,醫揚,95.0,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,-38.68,442.11,5.8,6569.TWO,134.17000000000002,1.03
273.28,23.98589065255732,2026-03,85.05,2.35,凌華,136.0,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,921.74,406.45,17.09,6166.TW,133.17000000000002,1.57
515.18,203.27868852459017,2026-03,183.0,4.66,聯亞,2480.0,54.76%,41.27%,⚠️ 追價風險,🏰 高護城河,2025,884.75,645.65,82.29,3081.TWO,130.47000000000003,3.44
113.17,5.108979814655623,2026-03,172.05,6.21,奇偶,58.5999984741,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,-20.59,228.49,-14.96,3356.TW,115.32000000000001,2.21
268.59,0.0,2026-03,-7.200000000000001,0.33,美達科技,64.5,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-84.51,383.33,-4.81,6735.TWO,114.74000000000001,0.29
-21.56,0.0,2026-03,-33.6,-1.63,益航,6.2300000191,102.69%,-12.62%,⚪ 數據不足,🏰 高護城河,2025,-365.71,87.5,-7.78,2601.TW,109.06,-0.02
161.56,48.22485207100592,2026-03,50.699999999999996,1.73,暉盛-創,163.0,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,-45.51,270.0,-5.33,7730.TW,108.44,0.37
67.27,0.0,2026-03,-40.05,2.15,麗嬰房,6.9699997902,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,152.83,163.46,-16.81,2911.TW,96.19000000000001,0.66
57.36,28.21838992770115,2026-03,13.05,0.43,網龍,24.5499992371,87.57%,12.73%,⚠️ 追價風險,🏰 高護城河,2025,-46.91,150.0,-7.4,3083.TWO,92.64,0.3
990.52,13.2996632996633,2026-03,44.550000000000004,1.39,青松健康,39.5,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,104.41,1080.0,14.16,6931.TW,89.48000000000002,0.49
486.21,0.0,2026-03,-24.299999999999994,-0.84,宏佳騰,23.8500003815,16.92%,-21.33%,⚪ 數據不足,🔄 轉虧為盈,2025,-169.49,575.0,-18.58,1599.TWO,88.79000000000002,0.28
81.97,0.0,2026-03,-18.3,-0.61,中裕,63.5,28.91%,-58.34%,⚪ 數據不足,🔄 轉虧為盈,2025,17.57,166.67,0.19,4147.TWO,84.69999999999999,0.06
102.97,6.963190418082823,2026-03,97.8,2.41,昭輝,45.4000015259,33.66%,13.17%,💎 強力關注,🚀 利潤擴張,2025,-51.9,186.6,-14.02,1339.TW,83.63,2.78
309.82,12.271062271062272,2026-03,81.9,3.02,偉詮電,67.0,30.84%,3.76%,✅ 穩健價值,🚀 利潤擴張,2025,78.06,392.86,15.32,2436.TW,83.04000000000002,0.7
97.11,32.97029753330033,2026-03,45.449999999999996,1.11,威鋒電子,99.9000015259,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,-50.67,178.26,-8.83,6756.TW,81.14999999999999,0.64
62.07,14.21153875498077,2026-03,77.99999999999999,1.97,宇峻,73.9000015259,89.44%,20.17%,✅ 穩健價值,🏰 高護城河,2025,-64.44,136.36,2.09,3546.TWO,74.29000000000002,2.34
26.64,0.0,2026-03,0.0,-1.49,奧義賽博-KY創,84.5,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,96.29,99.93,22.72,7823.TW,73.29,-0.15
-97.71,0.0,2026-03,-96.44999999999999,-2.43,昱泉,12.6999998093,N/A,N/A,⚪ 數據不足,🌑 雙重衰退,2025,-99.18,-25.93,19.25,6169.TWO,71.78,-0.68
578.38,0.0,2026-03,-17.549999999999997,0.14,冠好,17.9500007629,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-91.14,650.0,0.63,8354.TWO,71.62,0.3
315.9,14.589474326694738,2026-03,71.25,2.76,台聯電,69.3000030518,25.49%,0.20%,✅ 穩健價值,🚀 利潤擴張,2025,-5.15,386.11,22.56,4905.TWO,70.21000000000004,1.75
51.84,0.0,2026-03,0.0,6.33,創新服務,1605.0,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,44.08,121.74,76.4,7828.TWO,69.89999999999999,1.02
58.58,9.934640398235294,2026-03,22.95,0.63,國票金,15.1999998093,90.85%,38.94%,💎 強力關注,🏰 高護城河,2025,3.28,127.27,4.6,2889.TW,68.69,0.25
40.15,5.600933488914819,2026-03,257.1,7.13,麗豐-KY,96.0,82.18%,20.98%,💎 強力關注,🏰 高護城河,2025,24.43,107.35,-4.63,4137.TW,67.19999999999999,1.41
110.52,0.0,2026-03,-15.3,-0.38,研勤,8.0,54.59%,3.73%,⚪ 數據不足,🔄 轉虧為盈,2025,-31.03,175.0,-28.72,3632.TWO,64.48,0.06
42.91,0.0,2026-03,0.0,2.43,和迅,44.3499984741,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-24.06,106.9,2.38,6986.TWO,63.99000000000001,0.6
111.03,0.0,2026-03,-38.1,-1.28,穎漢,32.0,31.44%,-45.46%,⚪ 數據不足,🔄 轉虧為盈,2025,-184.44,175.0,-7.78,4562.TW,63.97,0.11
-1.0,0.0,2026-03,-122.4,-3.51,泰偉,19.6000003815,93.22%,-55.72%,⚪ 數據不足,🏰 高護城河,2025,-7120.0,62.5,-29.69,3064.TWO,63.5,-0.27
171.79,4.424778761061947,2026-03,101.7,2.64,群益證,30.0,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,17.33,235.0,12.14,6005.TW,63.21000000000001,1.34
438.18,47.91044548373135,2026-03,10.049999999999997,0.58,車王電,32.0999984741,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,152.25,500.0,19.69,1533.TW,61.81999999999999,0.84
538.23,16.333333333333332,2026-03,22.5,0.74,正隆,24.5,20.98%,7.12%,⚪ 中性觀察,🚀 利潤擴張,2025,34.55,600.0,-4.85,1904.TW,61.76999999999998,0.56
150.03,10.790514035032938,2026-03,113.85,2.52,日揚,81.9000015259,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,-26.32,206.45,-4.59,6208.TWO,56.41999999999999,1.9
148.33,11.639003832800828,2026-03,72.30000000000001,1.19,強生,56.0999984741,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,-36.9,204.17,-6.81,4747.TWO,55.839999999999975,1.46
189.01,0.0,2026-03,-18.45,-0.6,九暘,74.6999969482,N/A,N/A,⚪ 數據不足,🔄 轉虧為盈,2025,49.15,244.44,2.65,8040.TWO,55.43000000000001,0.13
185.42,2.140504939626784,2026-03,273.29999999999995,12.33,晟德,39.0,41.95%,-106.23%,💎 強力關注,🚀 利潤擴張,2025,905.92,239.47,-6.28,4123.TWO,54.05000000000001,2.62
-55.48,0.0,2026-03,0.0,-3.92,心誠鎂,72.5,N/A,N/A,⚪ 數據不足,🌑 雙重衰退,2025,-48.08,-2.96,-29.22,6934.TW,52.519999999999996,-1.43
95.63,8.2541567695962,2026-03,252.6,6.82,霈方,139.0,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,66.34,147.37,6.51,6574.TWO,51.74000000000001,3.29
91.93,0.0,2026-03,0.0,13.04,永擎,0.0,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,38.44,139.49,182.72,7711.TW,47.56,7.68
359.48,15.212264150943396,2026-03,31.8,1.5,廣寰科,32.25,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,-36.17,406.06,23.54,3287.TWO,46.579999999999984,1.01
66.65,2.4564994882292734,2026-03,146.54999999999998,5.29,琉園,24.0,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,544.54,112.5,-17.0,9949.TWO,45.849999999999994,0.03
15.93,6.675369621253263,2026-03,172.35,4.85,漢達,76.6999969482,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,31.64,55.17,108.17,6620.TWO,39.24,0.46
264.14,0.0,2026-03,-30.6,0.12,威盛,79.1999969482,20.64%,-8.17%,⚪ 數據不足,🚀 利潤擴張,2025,-93.75,300.0,-40.0,2388.TW,35.860000000000014,0.08
156.04,11.684981545256411,2026-03,81.9,2.15,禾瑞亞,63.7999992371,50.66%,14.95%,💎 強力關注,🏰 高護城河,2025,-5.7,190.24,1.24,3556.TWO,34.20000000000002,1.19
10.24,0.0,2026-03,0.0,2.99,神數,39.7000007629,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,91.67,42.62,19.28,7821.TW,32.379999999999995,0.87
6.33,0.0,2025-12,0.0,7.56,未知,0.0,35.24%,30.89%,⚪ 數據不足,🚀 利潤擴張,2025,-17.2,34.92,15.19,2072.TWO,28.590000000000003,11.94
-3.86,0.0,2026-03,-70.05,-1.89,向榮生技,74.6999969482,N/A,N/A,⚪ 數據不足,🧐 疑業外收益,2025,-13.21,23.4,-5.58,6794.TW,27.259999999999998,-0.36
422.96,0.0,2026-03,-28.950000000000003,-0.45,南緯,9.1700000763,23.39%,1.90%,⚪ 數據不足,🔄 轉虧為盈,2025,-197.83,450.0,2.23,1467.TW,27.04000000000002,0.11
16.63,0.0,2026-03,0.0,3.24,頌勝科技,256.5,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-27.83,42.86,3.08,7768.TW,26.23,1.62
16.63,0.0,2026-03,0.0,3.24,未知,0.0,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-27.83,42.86,3.08,7768.TWO,26.23,1.62
12.42,0.0,2026-03,0.0,13.61,大東電,0.0,21.29%,16.93%,⚪ 數據不足,🚀 利潤擴張,2025,11.37,38.11,20.5,1623.TW,25.689999999999998,4.33
62.36,9.715909307656249,2026-03,105.6,2.74,元大金,68.4000015259,80.00%,33.03%,💎 強力關注,🏰 高護城河,2025,-1.08,83.05,6.4,2885.TW,20.689999999999998,1.08
25.49,13.721973265246637,2026-03,33.45,0.85,中連,30.6000003815,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,-66.0,45.45,0.36,5604.TWO,19.960000000000004,0.32
451.29,9.207317305792683,2026-03,24.599999999999998,0.76,宏遠證,15.1000003815,N/A,N/A,💎 強力關注,🚀 利潤擴張,2025,-11.63,470.83,0.56,6015.TWO,19.539999999999964,0.89
26.81,0.0,2026-03,-30.900000000000002,-0.61,力新,12.3000001907,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-134.86,45.71,-8.35,5202.TWO,18.900000000000002,-0.19
22.97,9.247881679216103,2026-03,70.8,1.9,華南金,43.6500015259,97.25%,45.93%,💎 強力關注,🏰 高護城河,2025,13.1,41.03,4.06,2880.TW,18.060000000000002,0.55
216.8,176.9230769230769,2026-03,9.75,0.81,博磊,115.0,31.93%,8.13%,⚠️ 追價風險,🚀 利潤擴張,2025,35.0,234.78,13.9,3581.TWO,17.97999999999999,0.31
16.1,7.0535716556547605,2026-03,25.200000000000003,0.68,高雄銀,11.8500003815,89.95%,32.37%,💎 強力關注,🏰 高護城河,2025,28.3,33.33,14.52,2836.TW,17.229999999999997,0.2
316.27,601.25,2026-03,11.999999999999998,0.15,環宇-KY,481.0,N/A,N/A,⚠️ 追價風險,🚀 利潤擴張,2025,107.11,331.43,25.43,4991.TWO,15.160000000000025,1.67
-1.82,0.0,2026-03,0.0,2.91,精誠金融,34.0999984741,N/A,N/A,⚪ 數據不足,🧐 疑業外收益,2025,14.12,10.53,10.14,7819.TWO,12.35,0.42
22.04,8.14960609897638,2026-03,57.14999999999999,1.74,凱基金,31.0499992371,78.38%,39.14%,💎 強力關注,🏰 高護城河,2025,-10.99,34.04,-12.26,2883.TW,12.0,0.69
41.94,0.0,2026-03,-109.2,-2.92,華安,30.3500003815,N/A,N/A,⚪ 數據不足,🚀 利潤擴張,2025,-14.12,52.29,-0.97,6657.TW,10.350000000000001,-0.53
19.99,42.10193099081988,2026-03,947.7,25.6,力旺,2660.0,100.00%,60.64%,⚠️ 追價風險,🏰 高護城河,2025,4.19,29.13,6.74,3529.TWO,9.14,7.98
274.7,0.0,2026-03,-14.25,-0.43,宏亞,25.2000007629,24.77%,-4.59%,⚪ 數據不足,🔄 轉虧為盈,2025,-53.57,283.33,-8.31,1236.TW,8.629999999999995,0.23
145.6,0.0,2026-03,-89.10000000000001,-3.35,岱宇,20.6000003815,27.77%,-13.99%,⚪ 數據不足,🔄 轉虧為盈,2025,-827.91,153.49,-15.19,1598.TW,7.890000000000015,0.25
48.18,7.155457720606394,2026-03,136.05,4.66,全景軟體,64.9000015259,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,24.93,56.0,15.86,8272.TWO,7.82,0.39
30.02,26.38888888888889,2026-03,13.5,0.38,欣欣,23.75,84.77%,20.24%,⚠️ 追價風險,🏰 高護城河,2025,-7.32,37.5,-2.15,2901.TW,7.48,0.11
-11.29,0.0,2026-03,0.0,-0.92,未知,0.0,N/A,N/A,⚪ 數據不足,🌑 雙重衰退,2025,14.95,-5.56,-3.6,4178.TWO,5.7299999999999995,-0.19
-11.29,0.0,2026-03,0.0,-0.92,永笙-KY,18.0,N/A,N/A,⚪ 數據不足,🌑 雙重衰退,2025,14.95,-5.56,-3.6,4178.TW,5.7299999999999995,-0.19
109.17,6.8042453729952825,2026-03,63.6,0.99,詩肯,28.8500003815,N/A,N/A,✅ 穩健價值,🚀 利潤擴張,2025,-38.13,114.29,-3.57,6195.TWO,5.1200000000000045,1.5
12.57,8.058727818254487,2026-03,91.94999999999999,2.36,兆豐金,49.4000015259,83.45%,33.61%,✅ 穩健價值,🏰 高護城河,2025,0.85,16.67,-1.77,2886.TW,4.100000000000001,0.63
