eps,prev_year,om,status,symbol,date,expansion,gm,advice,prev_rev_yoy,prev_eps_yoy,est_price,rev_yoy,prev_eps,name,pe,eps_yoy,price
-0.15,2025,N/A,🚀 利潤擴張,7823.TW,2026-03,73.29,N/A,⚪ 數據不足,22.72,96.29,0.0,26.64,-1.49,奧義賽博-KY創,0.0,99.93,83.5999984741
-0.68,2025,N/A,🌑 雙重衰退,6169.TWO,2026-03,71.78,N/A,⚪ 數據不足,19.25,-99.18,-96.44999999999999,-97.71,-2.43,昱泉,0.0,-25.93,12.4499998093
0.3,2025,N/A,🚀 利潤擴張,8354.TWO,2026-03,71.62,N/A,⚪ 數據不足,0.63,-91.14,-17.549999999999997,578.38,0.14,冠好,0.0,650.0,17.7000007629
1.75,2025,0.20%,🚀 利潤擴張,4905.TWO,2026-03,70.21000000000004,25.49%,⚪ 中性觀察,22.56,-5.15,71.25,315.9,2.76,台聯電,18.715789794926316,386.11,88.9000015259
1.02,2025,N/A,🚀 利潤擴張,7828.TWO,2026-03,69.89999999999999,N/A,⚪ 數據不足,76.4,44.08,0.0,51.84,6.33,創新服務,0.0,121.74,1760.0
0.25,2025,38.94%,🏰 高護城河,2889.TW,2026-03,68.69,90.85%,💎 強力關注,4.6,3.28,22.95,58.58,0.63,國票金,10.457516339869281,127.27,16.0
1.41,2025,20.98%,🏰 高護城河,4137.TW,2026-03,67.19999999999999,82.18%,💎 強力關注,-4.63,24.43,257.1,40.15,7.13,麗豐-KY,4.743290726476079,107.35,81.3000030518
0.06,2025,3.73%,🔄 轉虧為盈,3632.TWO,2026-03,64.48,54.59%,⚪ 數據不足,-28.72,-31.03,-15.3,110.52,-0.38,研勤,0.0,175.0,7.3499999046
0.6,2025,N/A,🚀 利潤擴張,6986.TWO,2026-03,63.99000000000001,N/A,⚪ 數據不足,2.38,-24.06,0.0,42.91,2.43,和迅,0.0,106.9,42.5
0.11,2025,-45.46%,🔄 轉虧為盈,4562.TW,2026-03,63.97,31.44%,⚪ 數據不足,-7.78,-184.44,-38.1,111.03,-1.28,穎漢,0.0,175.0,31.1000003815
-0.27,2025,-55.72%,🏰 高護城河,3064.TWO,2026-03,63.5,93.22%,⚪ 數據不足,-29.69,-7120.0,-122.4,-1.0,-3.51,泰偉,0.0,62.5,18.9500007629
1.34,2025,N/A,🚀 利潤擴張,6005.TW,2026-03,63.21000000000001,N/A,💎 強力關注,12.14,17.33,101.7,171.79,2.64,群益證,4.71976401179941,235.0,32.0
0.84,2025,N/A,🚀 利潤擴張,1533.TW,2026-03,61.81999999999999,N/A,⚠️ 追價風險,19.69,152.25,10.049999999999997,438.18,0.58,車王電,46.417911017164194,500.0,31.1000003815
0.56,2025,7.12%,🚀 利潤擴張,1904.TW,2026-03,61.76999999999998,20.98%,⚪ 中性觀察,-4.85,34.55,22.5,538.23,0.74,正隆,16.366666158066668,600.0,24.5499992371
1.9,2025,N/A,🚀 利潤擴張,6208.TWO,2026-03,56.41999999999999,N/A,💎 強力關注,-4.59,-26.32,113.85,150.03,2.52,日揚,10.698286817944664,206.45,81.1999969482
1.46,2025,N/A,🚀 利潤擴張,4747.TWO,2026-03,55.839999999999975,N/A,💎 強力關注,-6.81,-36.9,72.30000000000001,148.33,1.19,強生,5.103734518983402,204.17,24.6000003815
0.13,2025,N/A,🔄 轉虧為盈,8040.TWO,2026-03,55.43000000000001,N/A,⚪ 數據不足,2.65,49.15,-18.45,189.01,-0.6,九暘,0.0,244.44,82.9000015259
2.62,2025,-106.23%,🚀 利潤擴張,4123.TWO,2026-03,54.05000000000001,41.95%,💎 強力關注,-6.28,905.92,273.29999999999995,185.42,12.33,晟德,1.6931943129253568,239.47,30.8500003815
-1.43,2025,N/A,🌑 雙重衰退,6934.TW,2026-03,52.519999999999996,N/A,⚪ 數據不足,-29.22,-48.08,0.0,-55.48,-3.92,心誠鎂,0.0,-2.96,76.0999984741
3.29,2025,N/A,🚀 利潤擴張,6574.TWO,2026-03,51.74000000000001,N/A,💎 強力關注,6.51,66.34,252.6,95.63,6.82,霈方,7.1258907363420425,147.37,120.0
7.68,2025,N/A,🚀 利潤擴張,7711.TW,2026-03,47.56,N/A,⚪ 數據不足,182.72,38.44,0.0,91.93,13.04,永擎,0.0,139.49,0.0
1.01,2025,N/A,🚀 利潤擴張,3287.TWO,2026-03,46.579999999999984,N/A,⚪ 中性觀察,23.54,-36.17,31.8,359.48,1.5,廣寰科,17.73584833683962,406.06,37.5999984741
0.03,2025,N/A,🚀 利潤擴張,9949.TWO,2026-03,45.849999999999994,N/A,💎 強力關注,-17.0,544.54,146.54999999999998,66.65,5.29,琉園,2.4616171174104404,112.5,24.0499992371
0.46,2025,N/A,🚀 利潤擴張,6620.TWO,2026-03,39.24,N/A,💎 強力關注,108.17,31.64,172.35,15.93,4.85,漢達,8.302872195465621,55.17,95.4000015259
0.08,2025,-8.17%,🚀 利潤擴張,2388.TW,2026-03,35.860000000000014,20.64%,⚪ 數據不足,-40.0,-93.75,-30.6,264.14,0.12,威盛,0.0,300.0,76.4000015259
1.19,2025,14.95%,🏰 高護城河,3556.TWO,2026-03,34.20000000000002,50.66%,💎 強力關注,1.24,-5.7,81.9,156.04,2.15,禾瑞亞,11.538461538461538,190.24,63.0
0.87,2025,N/A,🚀 利潤擴張,7821.TW,2026-03,32.379999999999995,N/A,⚪ 數據不足,19.28,91.67,0.0,10.24,2.99,神數,0.0,42.62,39.7000007629
11.94,2025,30.89%,🚀 利潤擴張,2072.TWO,2025-12,28.590000000000003,35.24%,⚪ 數據不足,15.19,-17.2,0.0,6.33,7.56,未知,0.0,34.92,0.0
-0.36,2025,N/A,🧐 疑業外收益,6794.TW,2026-03,27.259999999999998,N/A,⚪ 數據不足,-5.58,-13.21,-70.05,-3.86,-1.89,向榮生技,0.0,23.4,75.0
0.11,2025,1.90%,🔄 轉虧為盈,1467.TW,2026-03,27.04000000000002,23.39%,⚪ 數據不足,2.23,-197.83,-28.950000000000003,422.96,-0.45,南緯,0.0,450.0,8.279999733
1.62,2025,N/A,🚀 利潤擴張,7768.TW,2026-03,26.23,N/A,⚪ 數據不足,3.08,-27.83,0.0,16.63,3.24,頌勝科技,0.0,42.86,286.0
1.62,2025,N/A,🚀 利潤擴張,7768.TWO,2026-03,26.23,N/A,⚪ 數據不足,3.08,-27.83,0.0,16.63,3.24,未知,0.0,42.86,0.0
4.33,2025,16.93%,🚀 利潤擴張,1623.TW,2026-03,25.689999999999998,21.29%,⚪ 數據不足,20.5,11.37,0.0,12.42,13.61,大東電,0.0,38.11,0.0
1.08,2025,33.03%,🏰 高護城河,2885.TW,2026-03,20.689999999999998,80.00%,💎 強力關注,6.4,-1.08,105.6,62.36,2.74,元大金,9.474431384687499,83.05,66.6999969482
0.32,2025,N/A,🚀 利潤擴張,5604.TWO,2026-03,19.960000000000004,N/A,✅ 穩健價值,0.36,-66.0,33.45,25.49,0.85,中連,13.856502071076234,45.45,30.8999996185
0.89,2025,N/A,🚀 利潤擴張,6015.TWO,2026-03,19.539999999999964,N/A,💎 強力關注,0.56,-11.63,24.599999999999998,451.29,0.76,宏遠證,9.939023925060976,470.83,16.2999992371
-0.19,2025,N/A,🚀 利潤擴張,5202.TWO,2026-03,18.900000000000002,N/A,⚪ 數據不足,-8.35,-134.86,-30.900000000000002,26.81,-0.61,力新,0.0,45.71,12.0
0.55,2025,45.93%,🏰 高護城河,2880.TW,2026-03,18.060000000000002,97.25%,💎 強力關注,4.06,13.1,70.8,22.97,1.9,華南金,9.110169491525424,41.03,43.0
0.31,2025,8.13%,🚀 利潤擴張,3581.TWO,2026-03,17.97999999999999,31.93%,⚠️ 追價風險,13.9,35.0,9.75,216.8,0.81,博磊,171.53846153846152,234.78,111.5
0.2,2025,32.37%,🏰 高護城河,2836.TW,2026-03,17.229999999999997,89.95%,💎 強力關注,14.52,28.3,25.200000000000003,16.1,0.68,高雄銀,7.232142630059523,33.33,12.1499996185
1.67,2025,N/A,🚀 利潤擴張,4991.TWO,2026-03,15.160000000000025,N/A,⚠️ 追價風險,25.43,107.11,11.999999999999998,316.27,0.15,環宇-KY,662.5,331.43,530.0
0.42,2025,N/A,🧐 疑業外收益,7819.TWO,2026-03,12.35,N/A,⚪ 數據不足,10.14,14.12,0.0,-1.82,2.91,精誠金融,0.0,10.53,36.4000015259
0.69,2025,39.14%,🏰 高護城河,2883.TW,2026-03,12.0,78.38%,💎 強力關注,-12.26,-10.99,57.14999999999999,22.04,1.74,凱基金,9.317585301837271,34.04,35.5
-0.53,2025,N/A,🚀 利潤擴張,6657.TW,2026-03,10.350000000000001,N/A,⚪ 數據不足,-0.97,-14.12,-109.2,41.94,-2.92,華安,0.0,52.29,30.75
7.98,2025,60.64%,🏰 高護城河,3529.TWO,2026-03,9.14,100.00%,⚠️ 追價風險,6.74,4.19,947.7,19.99,25.6,力旺,37.907565685343464,29.13,2395.0
0.23,2025,-4.59%,🔄 轉虧為盈,1236.TW,2026-03,8.629999999999995,24.77%,⚪ 數據不足,-8.31,-53.57,-14.25,274.7,-0.43,宏亞,0.0,283.33,25.9500007629
0.25,2025,-13.99%,🔄 轉虧為盈,1598.TW,2026-03,7.890000000000015,27.77%,⚪ 數據不足,-15.19,-827.91,-89.10000000000001,145.6,-3.35,岱宇,0.0,153.49,20.1499996185
0.39,2025,N/A,🚀 利潤擴張,8272.TWO,2026-03,7.82,N/A,✅ 穩健價值,15.86,24.93,136.05,48.18,4.66,全景軟體,7.2546861137596474,56.0,65.8000030518
0.11,2025,20.24%,🏰 高護城河,2901.TW,2026-03,7.48,84.77%,⚠️ 追價風險,-2.15,-7.32,13.5,30.02,0.38,欣欣,26.166665819,37.5,23.5499992371
-0.19,2025,N/A,🌑 雙重衰退,4178.TWO,2026-03,5.7299999999999995,N/A,⚪ 數據不足,-3.6,14.95,0.0,-11.29,-0.92,未知,0.0,-5.56,0.0
-0.19,2025,N/A,🌑 雙重衰退,4178.TW,2026-03,5.7299999999999995,N/A,⚪ 數據不足,-3.6,14.95,0.0,-11.29,-0.92,永笙-KY,0.0,-5.56,16.8999996185
1.5,2025,N/A,🚀 利潤擴張,6195.TWO,2026-03,5.1200000000000045,N/A,✅ 穩健價值,-3.57,-38.13,63.6,109.17,0.99,詩肯,6.55660359365566,114.29,27.7999992371
0.63,2025,33.61%,🏰 高護城河,2886.TW,2026-03,4.100000000000001,83.45%,✅ 穩健價值,-1.77,0.85,91.94999999999999,12.57,2.36,兆豐金,7.9934747145187615,16.67,49.0
0.07,2025,-7.29%,🏰 高護城河,3094.TW,2026-03,3.8000000000000025,73.82%,⚠️ 追價風險,13.2,41.18,7.35,12.87,0.25,聯傑,84.08163420999999,16.67,41.2000007629
0.24,2025,N/A,🔄 轉虧為盈,4939.TWO,2026-03,3.490000000000009,N/A,⚪ 數據不足,-8.05,-326.32,-22.2,296.51,-0.43,亞電,0.0,300.0,88.9000015259
0.73,2025,N/A,🚀 利潤擴張,7839.TWO,2026-03,3.3499999999999996,N/A,⚪ 數據不足,8.14,18.52,0.0,2.45,2.56,達人網,0.0,5.8,44.2000007629
-0.25,2025,N/A,🚀 利潤擴張,7777.TWO,2026-03,3.0700000000000003,N/A,⚠️ 追價風險,15.88,-16.92,12.149999999999999,32.83,0.58,能率亞洲,48.3333352171605,35.9,39.1500015259
0.89,2025,2.03%,🏰 高護城河,2941.TWO,2026-03,2.25,64.17%,✅ 穩健價值,12.71,-27.47,100.35000000000001,68.9,2.35,米斯特,4.753363114663677,71.15,31.7999992371
