om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
N/A,173.44,0.47,九豪,47.5,⚠️ 追價風險,6127.TWO,N/A,0.91,-0.97,2025,-1.13,🧐 疑業外收益,2025-12,23.750000000000004,174.57,29.999999999999996,275.0
14.30%,170.59,0.92,旭然,45.5499992371,⚠️ 追價風險,4556.TWO,42.07%,0.49,-8.55,2025,-3.75,🧐 疑業外收益,2025-12,27.60606014369697,174.34,24.750000000000004,172.22
N/A,178.95,0.53,亞都,13.8999996185,✅ 穩健價值,5703.TWO,N/A,0.09,4.04,2025,5.62,🚀 利潤擴張,2025-12,15.444444020555556,173.32999999999998,13.5,175.0
N/A,222.67,0.92,今國光,65.8000030518,⚠️ 追價風險,6209.TW,N/A,0.49,39.08,2025,50.65,🚀 利潤擴張,2025-12,43.28947569197368,172.01999999999998,22.800000000000004,190.57
N/A,183.87,0.89,長佳智能,60.4000015259,⚠️ 追價風險,6841.TWO,N/A,0.81,2.1,2025,12.23,🚀 利潤擴張,2025-12,27.33031743253393,171.64000000000001,33.150000000000006,1700.0
N/A,194.08,5.45,聯友金屬-創,0.0,⚪ 數據不足,7610.TW,N/A,1.75,-4.54,2025,27.9,🚀 利潤擴張,2025-12,0.0,166.18,0.0,3.33
2.96%,188.1,0.37,吉茂,29.8999996185,⚠️ 追價風險,1587.TW,18.05%,0.24,19.92,2025,23.11,🚀 利潤擴張,2025-12,43.33333278043479,164.99,10.35,155.81
1.35%,175.0,0.22,一詮,281.5,⚠️ 追價風險,2486.TW,15.86%,0.16,13.26,2025,10.09,🚀 利潤擴張,2025-12,908.0645161290323,164.91,4.65,300.0
N/A,328.87,6.34,富威電力,0.0,⚪ 數據不足,6994.TW,N/A,1.13,21.0,2025,164.5,🚀 利潤擴張,2025-12,0.0,164.37,0.0,47.95
N/A,242.99,18.83,寬宏藝術,104.0,💎 強力關注,6596.TWO,N/A,17.41,97.52,2025,78.68,🚀 利潤擴張,2025-12,2.248162559446606,164.31,693.9,241.37
N/A,223.81,0.68,方土昶,45.4000015259,⚪ 數據不足,6265.TWO,N/A,-0.24,25.19,2025,62.85,🔄 轉虧為盈,2025-12,0.0,160.96,-11.25,-271.43
N/A,291.45,13.74,高技,391.0,✅ 穩健價值,5439.TWO,N/A,9.52,130.37,2025,130.83,🚀 利潤擴張,2025-12,13.478110996208205,160.61999999999998,435.15,280.8
3.61%,89.89,-0.09,森寶,22.3999996185,⚪ 數據不足,3489.TWO,10.14%,-0.13,-54.34,2025,-69.84,🧐 疑業外收益,2025-12,0.0,159.73000000000002,-4.95,23.53
-21.47%,150.56,1.81,東台,35.25,💎 強力關注,4526.TW,7.66%,2.61,-1.22,2025,-6.62,🧐 疑業外收益,2025-12,4.950842696629214,157.18,106.8,271.05
-22.27%,173.02,1.86,新鉅科,26.5499992371,💎 強力關注,3630.TWO,4.18%,2.19,18.28,2025,19.21,🚀 利潤擴張,2025-12,4.373970220280066,153.81,91.05,219.44
N/A,137.2,1.57,安格,48.5,💎 強力關注,6684.TWO,N/A,3.24,-15.66,2025,-15.36,🧐 疑業外收益,2025-12,3.8339920948616593,152.56,189.75000000000003,203.85
N/A,58.65,-0.55,台新藥,26.8999996185,⚪ 數據不足,6838.TW,N/A,-0.24,-95.44,2025,-93.38,🧐 疑業外收益,2025-12,0.0,152.03,-13.5,77.78
