om,eps_yoy,eps,name,price,advice,symbol,gm,prev_eps,prev_rev_yoy,prev_year,rev_yoy,status,date,pe,expansion,est_price,prev_eps_yoy
38.48%,60.92,4.2,台特化,317.5,❌ 暫避觀望,4772.TWO,48.92%,2.69,81.35,2025,127.87,⚠️ 獲利稀釋,2025-12,34.96696035242291,-66.95,136.2,174.49
-4.33%,-76.19,-1.92,加百裕,36.2999992371,⚪ 數據不足,3323.TWO,11.17%,-1.58,-6.05,2025,-9.18,🌑 雙重衰退,2025-12,0.0,-67.00999999999999,-79.35,-112.5
N/A,-54.79,1.02,長華*,48.25,⚪ 中性觀察,8070.TW,N/A,1.49,11.79,2025,12.31,📉 獲利侵蝕,2025-12,13.365650969529089,-67.1,54.14999999999999,-18.99
N/A,-56.06,-17.51,神盾,129.5,⚪ 數據不足,6462.TWO,N/A,-12.5,16.32,2025,11.11,📉 獲利侵蝕,2025-12,0.0,-67.17,-585.7500000000001,-126.04
N/A,-63.86,1.44,廣積,47.5999984741,⚪ 中性觀察,8050.TWO,N/A,1.33,15.23,2025,3.42,📉 獲利侵蝕,2025-12,10.917430842683485,-67.28,65.4,-57.66
N/A,-69.96,0.67,聚鼎,75.6999969482,❌ 暫避觀望,6224.TW,N/A,0.98,0.32,2025,-2.5,🌑 雙重衰退,2025-12,25.924656489109587,-67.46,43.8,-42.6
3.21%,-85.43,0.29,泓瀚,61.5999984741,❌ 暫避觀望,4741.TWO,33.55%,-0.01,-19.51,2025,-17.82,🔄 轉虧為盈,2025-12,219.99999455035714,-67.61000000000001,4.199999999999999,-100.71
N/A,-45.45,0.12,萬旭,33.5499992371,⚪ 數據不足,6134.TWO,N/A,0.14,18.87,2025,22.25,📉 獲利侵蝕,2025-12,0.0,-67.7,-1.5,-58.82
-4.97%,-77.5,1.34,世德,47.0,⚪ 中性觀察,2066.TWO,19.80%,1.33,-7.86,2025,-9.64,🌑 雙重衰退,2025-12,8.851224105461394,-67.86,79.64999999999999,-77.02
12.04%,-79.87,0.9,旭富,44.2999992371,❌ 暫避觀望,4119.TW,28.02%,0.57,-11.91,2025,-11.81,🌑 雙重衰退,2025-12,20.13636328959091,-68.06,33.0,-86.03
N/A,29.56,2.06,巨有科技,226.0,❌ 暫避觀望,8227.TWO,N/A,1.4,93.9,2025,97.77,⚠️ 獲利稀釋,2025-12,59.78835978835979,-68.21,56.699999999999996,53.85
0.82%,-73.65,0.47,哲固,28.6499996185,❌ 暫避觀望,3434.TWO,17.99%,0.3,-2.33,2025,-5.05,🌑 雙重衰退,2025-12,16.371428353428573,-68.60000000000001,26.25,-77.78
N/A,-37.72,-3.19,安國,103.5,⚪ 數據不足,8054.TWO,N/A,-2.42,26.01,2025,30.97,📉 獲利侵蝕,2025-12,0.0,-68.69,-115.05,-129.13
N/A,-95.24,0.05,高僑,54.0,⚪ 數據不足,6234.TWO,N/A,-0.37,-31.56,2025,-26.42,🔄 轉虧為盈,2025-12,0.0,-68.82,-11.850000000000001,-144.58
-4.04%,-91.07,-1.07,台達化,16.8999996185,⚪ 數據不足,1309.TW,3.28%,-0.93,-17.56,2025,-22.22,🌑 雙重衰退,2025-12,0.0,-68.85,-43.35,-55.0
N/A,-64.1,0.7,南茂,91.0,❌ 暫避觀望,8150.TW,N/A,-0.01,0.67,2025,5.45,🔄 轉虧為盈,2025-12,211.6279069767442,-69.55,6.449999999999999,-100.61
N/A,-130.23,-2.97,國邑*,34.25,⚪ 數據不足,6875.TWO,N/A,-2.11,-61.06,2025,-59.86,🌑 雙重衰退,2025-12,0.0,-70.36999999999999,-113.39999999999999,-35.26
-6.17%,-108.06,-1.29,中鴻,18.1000003815,⚪ 數據不足,2014.TW,-3.67%,-1.1,-36.55,2025,-37.56,🌑 雙重衰退,2025-12,0.0,-70.5,-49.05,-92.98
N/A,-74.77,0.27,惠光,24.4500007629,❌ 暫避觀望,6508.TWO,N/A,0.27,-1.96,2025,-4.08,🌑 雙重衰退,2025-12,22.638889595277778,-70.69,16.200000000000003,-73.79
-7.54%,-80.37,0.43,加捷生醫,11.4499998093,⚪ 中性觀察,4109.TWO,24.70%,0.2,-13.54,2025,-9.62,🌑 雙重衰退,2025-12,13.313953266627907,-70.75,12.9,-91.88
-4.13%,-81.13,0.57,台南,20.7999992371,⚪ 中性觀察,1473.TW,13.69%,0.77,-5.85,2025,-10.32,🌑 雙重衰退,2025-12,5.942856924885715,-70.81,52.5,-69.8
-2289.99%,-77.68,-15.61,浩鼎,33.3499984741,⚪ 數據不足,4174.TWO,-76.10%,-6.21,-26.19,2025,-6.55,🌑 雙重衰退,2025-12,0.0,-71.13000000000001,-423.0,10.0
4.48%,-95.68,0.24,龍鋒,41.0,❌ 暫避觀望,3226.TWO,15.90%,-0.34,-23.4,2025,-24.52,🔄 轉虧為盈,2025-12,51.25000000000001,-71.16000000000001,11.999999999999998,-107.89
6.05%,-74.48,0.99,健和興,59.0999984741,❌ 暫避觀望,3003.TW,21.28%,0.5,-3.86,2025,-3.28,🌑 雙重衰退,2025-12,31.105262354789474,-71.2,28.5,-82.94
N/A,-80.53,0.22,南良,12.6999998093,❌ 暫避觀望,5450.TWO,N/A,0.04,-8.5,2025,-8.96,🌑 雙重衰退,2025-12,43.793102790689645,-71.57,4.3500000000000005,-94.81
2.02%,-81.05,0.2,春雨,15.1000003815,❌ 暫避觀望,2012.TW,13.55%,0.25,-3.32,2025,-9.36,🌑 雙重衰退,2025-12,22.537314002238805,-71.69,10.05,-73.26
N/A,-77.08,1.16,關中,44.5,⚪ 中性觀察,8941.TWO,N/A,0.48,-4.94,2025,-5.35,🌑 雙重衰退,2025-12,12.158469945355192,-71.73,54.900000000000006,-88.89
N/A,-77.05,0.14,茂迪,29.8999996185,❌ 暫避觀望,6244.TWO,N/A,0.28,-5.87,2025,-5.05,🌑 雙重衰退,2025-12,38.83116833571428,-72.0,11.550000000000002,-46.15
1.84%,-74.46,2.23,兆利,0.0,⚪ 數據不足,3548.TWO,10.77%,0.73,8.05,2025,-1.8,🌑 雙重衰退,2025-12,0.0,-72.66,0.0,-87.97
0.74%,-47.66,4.13,六方科-KY,163.5,❌ 暫避觀望,4569.TW,15.14%,3.23,28.81,2025,25.19,📉 獲利侵蝕,2025-12,15.468306527909176,-72.85,158.55,-51.13
N/A,-114.96,-0.76,富旺,12.8999996185,⚪ 數據不足,6219.TWO,N/A,-2.47,-99.58,2025,-41.94,🌑 雙重衰退,2025-12,0.0,-73.02,-87.75,-255.35
-80.56%,-44.44,-0.13,郡都開發,13.75,⚪ 數據不足,4402.TWO,15.04%,-0.11,17.54,2025,28.81,📉 獲利侵蝕,2025-12,0.0,-73.25,-5.1,63.33
N/A,50.0,-0.16,欣普羅,39.3499984741,⚪ 數據不足,6560.TWO,N/A,-0.88,137.08,2025,123.75,⚠️ 獲利稀釋,2025-12,0.0,-73.75,-31.049999999999997,-41.94
25.42%,-0.7,1.91,台新新光金,23.4500007629,⚪ 中性觀察,2887.TW,60.04%,1.3,35.48,2025,73.85,🏰 高護城河,2025-12,5.5176472383294115,-74.55,63.75,-27.12
-176.58%,-85.71,0.02,統懋,31.2000007629,❌ 暫避觀望,2434.TW,-37.47%,0.32,-8.66,2025,-10.18,🌑 雙重衰退,2025-12,53.79310476362068,-75.53,8.700000000000001,-58.97
7.11%,-74.4,0.53,萬在,0.0,⚪ 數據不足,4543.TWO,25.17%,-0.09,-3.85,2025,1.33,🔄 轉虧為盈,2025-12,0.0,-75.73,0.0,-105.39
N/A,-69.73,0.57,金利食安,20.0,❌ 暫避觀望,7743.TWO,N/A,0.58,17.91,2025,6.19,📉 獲利侵蝕,2025-12,15.384615384615387,-75.92,19.499999999999996,-48.15
-15.74%,-84.27,-1.64,旭品,12.75,⚪ 數據不足,3325.TWO,2.22%,-1.08,-11.73,2025,-8.3,🌑 雙重衰退,2025-12,0.0,-75.97,-58.05,-74.19
N/A,31.64,4.85,漢達,70.1999969482,⚪ 數據不足,6620.TWO,N/A,3.76,122.44,2025,108.17,⚠️ 獲利稀釋,2025-12,0.0,-76.53,0.0,39.62
50.09%,-92.76,6.1,材料*-KY,41.9500007629,⚪ 中性觀察,4763.TW,57.83%,4.94,-6.43,2025,-15.8,🏰 高護城河,2025-12,1.186704406305516,-76.96000000000001,530.25,-91.36
N/A,-79.59,0.51,弘凱,40.7000007629,❌ 暫避觀望,5244.TW,N/A,0.64,-2.61,2025,-1.9,🌑 雙重衰退,2025-12,22.611111534944445,-77.69,26.999999999999996,-62.57
N/A,160.13,0.92,長園科,42.8499984741,❌ 暫避觀望,8038.TWO,N/A,0.81,372.94,2025,237.84,⚠️ 獲利稀釋,2025-12,25.65868172101796,-77.71000000000001,25.05,164.8
N/A,-95.77,-1.39,愛地雅,5.8200001717,⚪ 數據不足,8933.TWO,N/A,-1.1,0.33,2025,-17.19,🌑 雙重衰退,2025-12,0.0,-78.58,-51.45,-266.67
24.28%,-69.45,11.51,國巨*,391.5,⚪ 中性觀察,2327.TW,37.30%,8.22,5.78,2025,9.26,📉 獲利侵蝕,2025-12,7.674965693001371,-78.71000000000001,765.1500000000001,-73.12
N/A,-90.28,0.14,伍豐,24.6499996185,❌ 暫避觀望,8076.TWO,N/A,0.01,-17.3,2025,-11.54,🌑 雙重衰退,2025-12,46.50943324245283,-78.74000000000001,7.95,-99.59
4.98%,-77.63,0.69,愛山林,51.5,❌ 暫避觀望,2540.TW,20.31%,0.68,25.99,2025,1.31,📉 獲利侵蝕,2025-12,20.682730923694777,-78.94,37.35,-73.93
-116.55%,-122.76,-2.75,駿吉-KY,0.0,⚪ 數據不足,1591.TWO,-25.13%,-2.09,-47.7,2025,-43.59,🌑 雙重衰退,2025-12,0.0,-79.17,0.0,-44.76
-27.07%,-87.21,0.12,佳和,14.1999998093,❌ 暫避觀望,1449.TW,0.84%,-0.28,-18.87,2025,-7.88,🔄 轉虧為盈,2025-12,354.9999952325004,-79.33,0.5999999999999993,-128.57
N/A,-84.51,0.33,美達科技,125.0,⚪ 數據不足,6735.TWO,N/A,-0.54,-23.64,2025,-4.81,🔄 轉虧為盈,2025-12,0.0,-79.7,-10.649999999999999,-131.03
N/A,-81.97,0.44,加高,37.4000015259,❌ 暫避觀望,8182.TWO,N/A,0.04,-3.51,2025,-2.15,🌑 雙重衰退,2025-12,52.676058487183106,-79.82,10.649999999999999,-97.71
N/A,-35.0,0.26,訊芯-KY,455.5,⚪ 數據不足,6451.TW,N/A,-0.64,56.34,2025,45.18,🔄 轉虧為盈,2025-12,0.0,-80.18,-46.050000000000004,-672.73
N/A,-87.79,1.29,可寧衛*,27.9500007629,⚪ 中性觀察,8422.TW,N/A,10.47,-2.24,2025,-7.53,🌑 雙重衰退,2025-12,1.177833997593763,-80.26,355.95,40.9
9.53%,-70.28,1.98,聯德控股-KY,95.0999984741,⚪ 中性觀察,4912.TW,22.10%,2.73,2.6,2025,10.44,📉 獲利侵蝕,2025-12,12.579364877526457,-80.72,113.39999999999999,-45.51
-1.55%,-116.56,-0.25,正文,40.2999992371,⚪ 數據不足,4906.TW,14.16%,-0.45,-33.96,2025,-35.66,🌑 雙重衰退,2025-12,0.0,-80.9,-20.55,-140.91
-14.81%,-101.09,-4.88,光罩,50.0,⚪ 數據不足,2338.TW,5.40%,-3.56,-17.29,2025,-20.15,🌑 雙重衰退,2025-12,0.0,-80.94,-190.34999999999997,-394.25
N/A,-71.34,0.48,今展科,48.5999984741,❌ 暫避觀望,6432.TWO,N/A,0.11,10.79,2025,10.3,📉 獲利侵蝕,2025-12,73.63636132439395,-81.64,9.899999999999999,-90.83
N/A,-92.31,-0.25,亞矽,24.5,⚪ 數據不足,6113.TWO,N/A,-0.13,-14.19,2025,-10.01,🌑 雙重衰退,2025-12,0.0,-82.3,-5.1000000000000005,31.58
0.14%,-61.33,1.72,堤維西,31.6000003815,⚪ 中性觀察,1522.TW,15.03%,1.17,6.94,2025,21.35,📉 獲利侵蝕,2025-12,7.214611959246575,-82.68,65.7,-73.56
7.12%,-80.0,0.08,聯嘉投控,23.2999992371,⚪ 數據不足,3717.TW,19.34%,-0.29,0.43,2025,3.55,🔄 轉虧為盈,2025-12,0.0,-83.55,0.0,-182.86
N/A,-55.26,0.35,嘉雨思-創,82.4000015259,⚪ 數據不足,6921.TW,N/A,0.21,51.06,2025,28.45,📉 獲利侵蝕,2025-12,0.0,-83.71,0.0,-25.0
N/A,-64.17,0.67,達亞,144.0,❌ 暫避觀望,6762.TWO,N/A,0.68,32.38,2025,19.58,📉 獲利侵蝕,2025-12,66.66666666666666,-83.75,32.400000000000006,-4.23
N/A,-91.2,0.11,禾昌,18.3500003815,⚪ 中性觀察,6158.TWO,N/A,0.62,-6.12,2025,-6.07,🌑 雙重衰退,2025-12,13.796992768045113,-85.13,19.95,-51.97
11.05%,-94.0,0.03,中電,11.8000001907,❌ 暫避觀望,1611.TW,37.93%,0.1,-5.31,2025,-8.17,🌑 雙重衰退,2025-12,51.304348655217396,-85.83,3.4499999999999997,-76.74
-16.08%,-84.96,-2.24,州巧,38.5999984741,⚪ 數據不足,3543.TW,5.62%,-1.16,2.18,2025,1.1,📉 獲利侵蝕,2025-12,0.0,-86.05999999999999,-55.95,-43.75
N/A,-54.81,1.09,奈米醫材,67.8000030518,❌ 暫避觀望,6612.TWO,N/A,0.7,37.74,2025,31.54,📉 獲利侵蝕,2025-12,18.781164280277007,-86.35,54.150000000000006,-59.52
-0.08%,-92.0,0.04,中華化,76.3000030518,❌ 暫避觀望,1727.TW,11.85%,0.03,-6.15,2025,-5.46,🌑 雙重衰退,2025-12,2543.3334350600003,-86.54,0.44999999999999996,-93.18
-25.24%,-95.74,-3.69,富采,67.9000015259,⚪ 數據不足,3714.TW,-2.65%,-2.62,-10.09,2025,-9.04,🌑 雙重衰退,2025-12,0.0,-86.69999999999999,-130.50000000000003,-154.37
4.89%,-92.39,0.07,嘉晶,128.5,⚪ 數據不足,3016.TW,11.81%,-0.09,-9.76,2025,-5.25,🔄 轉虧為盈,2025-12,0.0,-87.14,-2.25,-110.98
-22.36%,-96.23,-1.13,新晶投控,14.1999998093,⚪ 數據不足,3713.TWO,0.24%,-0.55,-14.16,2025,-8.18,🌑 雙重衰退,2025-12,0.0,-88.05000000000001,-27.9,-13.64
26.68%,-14.16,0.97,亞信,116.5,⚪ 中性觀察,3169.TWO,54.20%,3.67,9.02,2025,73.94,🏰 高護城河,2026-03,12.621885157096424,-88.1,138.45000000000002,7.31
6.52%,-92.45,-1.02,元創精密,30.0,⚪ 數據不足,3685.TWO,22.32%,-0.62,-11.44,2025,-4.04,🌑 雙重衰退,2025-12,0.0,-88.41,-36.9,-63.16
-16.80%,-96.99,0.05,單井,30.75,⚪ 數據不足,3490.TWO,19.24%,0.43,-4.45,2025,-8.56,🌑 雙重衰退,2025-12,0.0,-88.42999999999999,-2.850000000000001,-80.0
-0.43%,-93.16,0.08,台榮,12.3500003815,❌ 暫避觀望,1220.TW,8.16%,0.13,-0.15,2025,-4.37,🌑 雙重衰退,2025-12,8.899113138583821e+17,-88.78999999999999,2.0816681711721685e-16,-87.62
-3.10%,-91.3,0.01,慶騰,23.0499992371,⚪ 數據不足,4534.TWO,15.20%,-0.53,-3.65,2025,-2.4,🔄 轉虧為盈,2025-12,0.0,-88.89999999999999,-18.3,-630.0
1.48%,-90.0,0.13,建大,17.3500003815,❌ 暫避觀望,2106.TW,20.30%,0.06,-1.02,2025,-0.7,🌑 雙重衰退,2025-12,72.29166825624999,-89.3,3.6,-94.5
N/A,-141.41,-0.41,申豐,31.4500007629,⚪ 數據不足,6582.TW,N/A,-0.19,-44.17,2025,-51.86,🌑 雙重衰退,2025-12,0.0,-89.55,-23.249999999999996,-117.59
N/A,-121.74,-2.55,佑華,12.3000001907,⚪ 數據不足,8024.TWO,N/A,-1.97,-30.69,2025,-31.37,🌑 雙重衰退,2025-12,0.0,-90.36999999999999,-97.19999999999999,-103.09
8.41%,-74.05,0.34,映興,28.2000007629,❌ 暫避觀望,3597.TWO,25.04%,0.12,27.0,2025,16.57,📉 獲利侵蝕,2025-12,53.20754860924528,-90.62,7.95,-84.21
-39.20%,-70.0,-0.34,桂田文創,10.9499998093,⚪ 數據不足,4806.TWO,46.90%,-0.24,46.84,2025,20.96,📉 獲利侵蝕,2025-12,0.0,-90.96000000000001,-12.600000000000001,-4.35
N/A,-106.78,-0.29,鑫創電子,54.0,⚪ 數據不足,6680.TWO,N/A,-1.03,-20.75,2025,-15.41,🌑 雙重衰退,2025-12,0.0,-91.37,-36.449999999999996,-148.8
N/A,-91.14,0.14,冠好,15.8500003815,⚪ 數據不足,8354.TWO,N/A,-0.43,-0.47,2025,0.63,🔄 轉虧為盈,2025-12,0.0,-91.77,-21.45,-136.75
2.86%,-29.75,2.81,智原,195.5,❌ 暫避觀望,3035.TW,42.16%,2.01,87.19,2025,62.61,📉 獲利侵蝕,2025-12,25.79155672823219,-92.36,113.7,-34.95
N/A,-97.61,0.06,華祺,22.5,⚪ 數據不足,5015.TWO,N/A,-0.35,3.65,2025,-4.99,🔄 轉虧為盈,2025-12,0.0,-92.62,-10.2,-128.23
10.21%,-63.43,0.49,磐儀,56.0,⚪ 數據不足,3594.TWO,41.27%,-0.05,40.54,2025,29.3,🔄 轉虧為盈,2025-12,0.0,-92.73,-2.6999999999999993,-107.04
7.26%,-96.0,0.01,寶隆,10.9499998093,⚪ 數據不足,1906.TW,12.71%,-0.15,-6.91,2025,-3.11,🔄 轉虧為盈,2025-12,0.0,-92.89,-7.95,-650.0
N/A,-112.99,-1.53,橘子,39.4000015259,❌ 暫避觀望,6180.TWO,N/A,0.44,-21.78,2025,-19.95,🌑 雙重衰退,2025-12,96.0975646973171,-93.03999999999999,6.149999999999999,-96.54
-18.44%,-114.55,-4.72,唐榮,28.3500003815,⚪ 數據不足,2035.TWO,-14.72%,-3.6,-14.97,2025,-21.22,🌑 雙重衰退,2025-12,0.0,-93.33,-181.2,-181.25
-1.07%,-92.73,0.04,鈺德,12.3500003815,⚪ 數據不足,3050.TW,27.89%,0.02,-0.77,2025,0.72,📉 獲利侵蝕,2025-12,0.0,-93.45,-0.30000000000000027,-96.92
5.75%,-29.4,8.43,大綜,181.0,⚪ 中性觀察,3147.TWO,13.87%,5.92,80.92,2025,64.32,📉 獲利侵蝕,2025-12,8.257299270072993,-93.72,328.79999999999995,10.24
4.08%,-91.75,0.08,台嘉碩,43.7999992371,⚪ 數據不足,3221.TWO,22.57%,-0.22,0.54,2025,2.36,🔄 轉虧為盈,2025-12,0.0,-94.11,-1.6500000000000001,-130.14
-1.26%,-92.04,-2.24,廣華-KY,16.4500007629,⚪ 數據不足,1338.TW,22.76%,-2.0,5.73,2025,2.83,📉 獲利侵蝕,2025-12,0.0,-94.87,-97.5,-254.55
N/A,-72.78,0.89,擎亞,98.3000030518,❌ 暫避觀望,8096.TWO,N/A,0.58,25.43,2025,22.83,📉 獲利侵蝕,2025-12,31.40575177373802,-95.61,46.949999999999996,-80.2
N/A,-93.2,0.1,邑錡,114.5,❌ 暫避觀望,7402.TWO,N/A,0.05,5.67,2025,2.56,📉 獲利侵蝕,2025-12,279.2682926829268,-95.76,6.15,-95.69
2.54%,-111.9,-0.15,燦星旅,26.1499996185,⚪ 數據不足,2719.TWO,7.41%,-0.47,-14.79,2025,-14.15,🌑 雙重衰退,2025-12,0.0,-97.75,-11.1,-124.87
N/A,-97.61,0.06,大井泵浦,53.0999984741,❌ 暫避觀望,6982.TWO,N/A,0.64,-1.08,2025,0.3,📉 獲利侵蝕,2025-12,22.789698915922745,-97.91,34.95,-75.94
-4.87%,-87.1,0.2,協易機,31.75,❌ 暫避觀望,4533.TWO,23.68%,0.04,13.39,2025,12.02,📉 獲利侵蝕,2025-12,93.38235294117648,-99.11999999999999,5.1,-96.64
-2.95%,-94.87,0.04,進泰電子,27.8999996185,❌ 暫避觀望,3465.TWO,20.16%,-0.1,17.21,2025,5.68,🔄 轉虧為盈,2025-12,111.59999847400003,-100.55000000000001,3.749999999999999,37.5
N/A,-108.77,-1.19,欣技,16.1000003815,⚪ 數據不足,6160.TWO,N/A,-0.55,0.11,2025,-7.95,🌑 雙重衰退,2025-12,0.0,-100.82,-33.300000000000004,12.7
-2.06%,-96.3,0.03,群創,32.2999992371,❌ 暫避觀望,3481.TW,9.08%,0.03,4.39,2025,4.72,📉 獲利侵蝕,2025-12,153.8095201766667,-101.02,3.15,109.38
N/A,-122.06,-0.15,有益,9.6099996567,⚪ 數據不足,9962.TWO,N/A,-0.23,-20.17,2025,-21.01,🌑 雙重衰退,2025-12,0.0,-101.05,-6.15,-141.07
N/A,-72.63,-1.65,旭暉應材,31.2000007629,⚪ 數據不足,6698.TW,N/A,-1.45,31.33,2025,29.86,📉 獲利侵蝕,2025-12,0.0,-102.49,-67.35000000000001,-51.58
N/A,63.58,-3.15,華冠,12.6000003815,⚪ 數據不足,8101.TW,N/A,-2.53,300.12,2025,166.89,⚠️ 獲利稀釋,2025-12,0.0,-103.30999999999999,-136.64999999999998,66.4
1.56%,-79.55,0.09,星宇航空,20.5,❌ 暫避觀望,2646.TW,13.18%,0.16,26.11,2025,23.93,📉 獲利侵蝕,2025-12,23.83720930232558,-103.47999999999999,12.900000000000002,-73.33
N/A,-93.62,-0.93,鈦昇,223.0,⚪ 數據不足,8027.TWO,N/A,-1.59,-10.4,2025,10.0,📉 獲利侵蝕,2025-12,0.0,-103.62,-72.00000000000001,-355.88
N/A,-90.0,0.04,泰藝,49.9500007629,⚪ 數據不足,8289.TWO,N/A,-0.24,15.96,2025,16.02,🔄 轉虧為盈,2025-12,0.0,-106.02,-7.800000000000001,-196.0
N/A,-109.86,-1.49,正能量智能,15.0,⚪ 數據不足,5348.TWO,N/A,-1.02,-2.76,2025,-3.8,🌑 雙重衰退,2025-12,0.0,-106.06,-55.949999999999996,-15.91
4.95%,-86.55,0.39,晶呈科技,488.5,❌ 暫避觀望,4768.TWO,16.79%,-0.09,-22.96,2025,20.89,🔄 轉虧為盈,2025-12,1480.30303030303,-107.44,4.950000000000001,-103.78
9.33%,-106.38,-0.67,永新-KY,50.7999992371,⚪ 中性觀察,4557.TW,28.78%,-2.24,10.25,2025,1.42,📉 獲利侵蝕,2025-12,12.182254013693047,-107.8,62.55,-129.31
N/A,-129.33,-1.72,上亞科技,23.6499996185,⚪ 數據不足,6130.TWO,N/A,-1.06,-23.23,2025,-20.79,🌑 雙重衰退,2025-12,0.0,-108.54000000000002,-58.35,-1077.78
N/A,-126.47,-0.27,萬國通,10.6999998093,⚪ 數據不足,9950.TWO,N/A,-0.44,-20.28,2025,-17.71,🌑 雙重衰退,2025-12,0.0,-108.75999999999999,-13.35,-150.0
N/A,-99.01,0.02,隆中,47.2000007629,⚪ 數據不足,6542.TWO,N/A,-0.46,2.29,2025,10.22,🔄 轉虧為盈,2025-12,0.0,-109.23,-8.25,-120.18
N/A,-90.74,0.05,研通,29.3500003815,⚪ 數據不足,6229.TWO,N/A,-0.02,23.03,2025,19.77,🔄 轉虧為盈,2025-12,0.0,-110.50999999999999,-2.399999999999999,-103.57
-23.08%,-106.61,-5.61,濱川,55.7999992371,⚪ 數據不足,1569.TWO,-3.81%,-4.54,11.56,2025,5.02,📉 獲利侵蝕,2025-12,0.0,-111.63,-226.35,-163.13
-29.19%,-106.98,-2.86,正達,50.5,⚪ 數據不足,3149.TW,-12.37%,-2.24,0.72,2025,5.53,📉 獲利侵蝕,2025-12,0.0,-112.51,-111.9,-272.73
30.40%,-14.42,3.56,台灣精銳,783.0,❌ 暫避觀望,4583.TW,51.18%,12.0,1.32,2025,98.42,🏰 高護城河,2026-03,26.76008202323992,-112.84,438.9,-15.13
8.05%,-44.71,2.3,安馳,82.5,❌ 暫避觀望,3528.TW,12.45%,0.27,54.47,2025,69.32,📉 獲利侵蝕,2025-12,25.152439024390244,-114.03,49.199999999999996,-91.89
2.17%,-8.3,2.32,鴻準,61.5999984741,⚪ 中性觀察,2354.TW,4.22%,1.68,166.67,2025,105.83,📉 獲利侵蝕,2025-12,10.750436033874344,-114.13,85.95,-11.58
N/A,-102.22,-0.06,凱衛,30.5499992371,⚪ 數據不足,5201.TWO,N/A,-0.13,8.86,2025,12.63,📉 獲利侵蝕,2025-12,0.0,-114.85,-17.700000000000003,-115.29
N/A,-76.4,0.51,大研生醫*,18.5,⚪ 中性觀察,7780.TW,N/A,3.44,51.38,2025,39.1,📉 獲利侵蝕,2025-12,2.2839506172839505,-115.5,121.5,209.41
-6.88%,-117.65,-3.0,建通,33.0,⚪ 數據不足,2460.TW,3.88%,-2.59,-3.42,2025,-0.51,🌑 雙重衰退,2025-12,0.0,-117.14,-108.3,-247.95
N/A,-122.86,-0.78,星雲,53.5999984741,⚪ 數據不足,8047.TWO,N/A,-0.36,-6.79,2025,-5.47,🌑 雙重衰退,2025-12,0.0,-117.39,-20.25,-140.0
10.37%,12.42,3.65,皇普,22.2999992371,⚪ 中性觀察,2528.TW,15.63%,3.39,44251.78,2025,130.3,⚠️ 獲利稀釋,2025-12,2.2479837940625,-117.88000000000001,148.8,525.0
-42.60%,-131.88,-0.22,鈺寶-創,19.5499992371,❌ 暫避觀望,3150.TW,40.07%,0.19,-11.3,2025,-12.58,🌑 雙重衰退,2025-12,75.19230475807692,-119.3,3.9000000000000004,-73.61
-2.27%,-129.63,-1.85,燁輝,13.9499998093,⚪ 數據不足,2023.TW,7.45%,-1.4,-6.3,2025,-8.68,🌑 雙重衰退,2025-12,0.0,-120.94999999999999,-64.05000000000001,-243.9
-8.09%,-118.67,-1.05,泰茂,31.3500003815,⚪ 數據不足,2230.TWO,2.81%,-0.19,26.14,2025,2.29,📉 獲利侵蝕,2025-12,0.0,-120.96000000000001,-18.75,-103.85
-10.66%,-128.03,-0.45,大東,9.8999996185,⚪ 數據不足,1441.TW,-0.79%,-0.26,-3.74,2025,-6.83,🌑 雙重衰退,2025-12,0.0,-121.2,-0.8999999999999991,-110.79
N/A,-140.21,-0.81,美吉吉-KY,15.5,❌ 暫避觀望,8466.TW,N/A,0.0,-11.54,2025,-18.09,🌑 雙重衰退,2025-12,193.75000000000009,-122.12,1.1999999999999993,-100.0
-2.51%,-132.32,-0.34,艾笛森,0.0,⚪ 數據不足,3591.TW,21.48%,-0.21,-6.81,2025,-9.81,🌑 雙重衰退,2025-12,0.0,-122.50999999999999,0.0,-127.78
3.08%,-125.0,-0.36,仲琦,30.0,⚪ 數據不足,2419.TW,21.56%,-0.17,-2.54,2025,-2.29,🌑 雙重衰退,2025-12,0.0,-122.71,-12.750000000000002,-325.0
-24.47%,-150.77,-0.33,偉全,12.1499996185,⚪ 數據不足,1465.TW,-4.05%,-0.51,-25.38,2025,-27.73,🌑 雙重衰退,2025-12,0.0,-123.04,-18.3,-221.43
N/A,-135.36,-0.93,九齊,58.5,⚪ 數據不足,6494.TWO,N/A,-1.8,-18.16,2025,-11.74,🌑 雙重衰退,2025-12,0.0,-123.62000000000002,-74.4,-174.07
-79.87%,-147.06,-0.84,律勝,35.0,⚪ 數據不足,3354.TWO,18.97%,-0.71,-25.84,2025,-22.74,🌑 雙重衰退,2025-12,0.0,-124.32000000000001,-35.699999999999996,-102.86
-0.74%,-117.39,-0.08,鑫科,67.9000015259,⚪ 數據不足,3663.TWO,2.83%,-0.07,2.32,2025,8.52,📉 獲利侵蝕,2025-12,0.0,-125.91,-1.2000000000000002,-128.0
N/A,-134.86,-0.61,力新,13.0500001907,⚪ 數據不足,5202.TWO,N/A,-0.57,1.12,2025,-8.35,🌑 雙重衰退,2025-12,0.0,-126.51000000000002,-33.3,-126.76
-15.73%,-148.96,-1.63,為升,109.0,⚪ 數據不足,2231.TW,23.65%,-0.06,-18.65,2025,-21.77,🌑 雙重衰退,2025-12,0.0,-127.19000000000001,-19.8,-103.64
