date,eps,advice,prev_year,prev_eps,symbol,status,name,expansion,est_price,prev_rev_yoy,gm,price,prev_eps_yoy,pe,rev_yoy,om,eps_yoy
2026-03,2.78,💎 強力關注,2025,2.41,1339.TW,🚀 利潤擴張,昭輝,83.63,97.8,-14.02,33.66%,42.7999992371,-51.9,6.564417060904909,102.97,13.17%,186.6
2026-03,0.7,✅ 穩健價值,2025,3.02,2436.TW,🚀 利潤擴張,偉詮電,83.04000000000002,81.9,15.32,30.84%,65.6999969482,78.06,12.032966474029303,309.82,3.76%,392.86
2026-03,0.64,⚠️ 追價風險,2025,1.11,6756.TW,🚀 利潤擴張,威鋒電子,81.14999999999999,45.449999999999996,-8.83,N/A,100.5,-50.67,33.16831683168317,97.11,N/A,178.26
2026-03,2.34,✅ 穩健價值,2025,1.97,3546.TWO,🏰 高護城河,宇峻,74.29000000000002,77.99999999999999,2.09,89.44%,71.0999984741,-64.44,13.673076629634618,62.07,20.17%,136.36
2026-03,-0.15,⚪ 數據不足,2025,-1.49,7823.TW,🚀 利潤擴張,奧義賽博-KY創,73.29,0.0,22.72,N/A,82.9000015259,96.29,0.0,26.64,N/A,99.93
2026-03,-0.68,⚪ 數據不足,2025,-2.43,6169.TWO,🌑 雙重衰退,昱泉,71.78,-96.44999999999999,19.25,N/A,12.3999996185,-99.18,0.0,-97.71,N/A,-25.93
2026-03,0.3,⚪ 數據不足,2025,0.14,8354.TWO,🚀 利潤擴張,冠好,71.62,-17.549999999999997,0.63,N/A,17.2000007629,-91.14,0.0,578.38,N/A,650.0
2026-03,1.75,⚪ 中性觀察,2025,2.76,4905.TWO,🚀 利潤擴張,台聯電,70.21000000000004,71.25,22.56,25.49%,90.3000030518,-5.15,19.010526958273687,315.9,0.20%,386.11
2026-03,1.02,⚪ 數據不足,2025,6.33,7828.TWO,🚀 利潤擴張,創新服務,69.89999999999999,0.0,76.4,N/A,1765.0,44.08,0.0,51.84,N/A,121.74
2026-03,0.25,💎 強力關注,2025,0.63,2889.TW,🏰 高護城河,國票金,68.69,22.95,4.6,90.85%,15.309296608,3.28,10.006076214379085,58.58,38.94%,127.27
2026-03,1.41,💎 強力關注,2025,7.13,4137.TW,🏰 高護城河,麗豐-KY,67.19999999999999,257.1,-4.63,82.18%,84.1999969482,24.43,4.912485236184364,40.15,20.98%,107.35
2026-03,0.06,⚪ 數據不足,2025,-0.38,3632.TWO,🔄 轉虧為盈,研勤,64.48,-15.3,-28.72,54.59%,7.4899997711,-31.03,0.0,110.52,3.73%,175.0
2026-03,0.6,⚪ 數據不足,2025,2.43,6986.TWO,🚀 利潤擴張,和迅,63.99000000000001,0.0,2.38,N/A,42.9000015259,-24.06,0.0,42.91,N/A,106.9
2026-03,0.11,⚪ 數據不足,2025,-1.28,4562.TW,🔄 轉虧為盈,穎漢,63.97,-38.1,-7.78,31.44%,30.8999996185,-184.44,0.0,111.03,-45.46%,175.0
2026-03,-0.27,⚪ 數據不足,2025,-3.51,3064.TWO,🏰 高護城河,泰偉,63.5,-122.4,-29.69,93.22%,18.9500007629,-7120.0,0.0,-1.0,-55.72%,62.5
2026-03,1.34,💎 強力關注,2025,2.64,6005.TW,🚀 利潤擴張,群益證,63.21000000000001,101.7,12.14,N/A,31.0,17.33,4.572271386430678,171.79,N/A,235.0
2026-03,0.84,⚠️ 追價風險,2025,0.58,1533.TW,🚀 利潤擴張,車王電,61.81999999999999,10.049999999999997,19.69,N/A,31.2000007629,152.25,46.56716531776121,438.18,N/A,500.0
2026-03,0.56,⚪ 中性觀察,2025,0.74,1904.TW,🚀 利潤擴張,正隆,61.76999999999998,22.5,-4.85,20.98%,25.2000007629,34.55,16.8000005086,538.23,7.12%,600.0
2026-03,1.9,💎 強力關注,2025,2.52,6208.TWO,🚀 利潤擴張,日揚,56.41999999999999,113.85,-4.59,N/A,81.6999969482,-26.32,10.764162970777338,150.03,N/A,206.45
2026-03,1.46,💎 強力關注,2025,1.19,4747.TWO,🚀 利潤擴張,強生,55.839999999999975,72.30000000000001,-6.81,N/A,27.3500003815,-36.9,5.674273938070539,148.33,N/A,204.17
2026-03,0.13,⚪ 數據不足,2025,-0.6,8040.TWO,🔄 轉虧為盈,九暘,55.43000000000001,-18.45,2.65,N/A,68.5999984741,49.15,0.0,189.01,N/A,244.44
2026-03,2.62,💎 強力關注,2025,12.33,4123.TWO,🚀 利潤擴張,晟德,54.05000000000001,273.29999999999995,-6.28,41.95%,31.25,905.92,1.7151481888035127,185.42,-106.23%,239.47
2026-03,-1.43,⚪ 數據不足,2025,-3.92,6934.TW,🌑 雙重衰退,心誠鎂,52.519999999999996,0.0,-29.22,N/A,74.3000030518,-48.08,0.0,-55.48,N/A,-2.96
