prev_eps,advice,om,status,symbol,eps_yoy,prev_rev_yoy,name,expansion,gm,prev_eps_yoy,pe,price,est_price,eps,rev_yoy,date,prev_year
0.81,⚠️ 追價風險,N/A,🚀 利潤擴張,6841.TWO,183.87,2.1,長佳智能,171.64000000000001,N/A,1700.0,26.01809954751131,57.5,33.150000000000006,0.89,12.23,2025-12,2025
1.75,⚪ 數據不足,N/A,🚀 利潤擴張,7610.TW,194.08,-4.54,聯友金屬-創,166.18,N/A,3.33,0.0,0.0,0.0,5.45,27.9,2025-12,2025
0.24,⚠️ 追價風險,2.96%,🚀 利潤擴張,1587.TW,188.1,19.92,吉茂,164.99,18.05%,155.81,40.94202898550725,28.25,10.35,0.37,23.11,2025-12,2025
0.16,⚠️ 追價風險,1.35%,🚀 利潤擴張,2486.TW,175.0,13.26,一詮,164.91,15.86%,300.0,932.258064516129,289.0,4.65,0.22,10.09,2025-12,2025
1.13,⚪ 數據不足,N/A,🚀 利潤擴張,6994.TW,328.87,21.0,富威電力,164.37,N/A,47.95,0.0,0.0,0.0,6.34,164.5,2025-12,2025
17.41,💎 強力關注,N/A,🚀 利潤擴張,6596.TWO,242.99,97.52,寬宏藝術,164.31,N/A,241.37,2.1119757230479896,97.6999969482,693.9,18.83,78.68,2025-12,2025
-0.24,⚪ 數據不足,N/A,🔄 轉虧為盈,6265.TWO,223.81,25.19,方土昶,160.96,N/A,-271.43,0.0,52.9000015259,-11.25,0.68,62.85,2025-12,2025
9.52,✅ 穩健價值,N/A,🚀 利潤擴張,5439.TWO,291.45,130.37,高技,160.61999999999998,N/A,280.8,13.478110996208205,391.0,435.15,13.74,130.83,2025-12,2025
-0.13,⚪ 數據不足,3.61%,🧐 疑業外收益,3489.TWO,89.89,-54.34,森寶,159.73000000000002,10.14%,23.53,0.0,21.8999996185,-4.95,-0.09,-69.84,2025-12,2025
2.61,💎 強力關注,-21.47%,🧐 疑業外收益,4526.TW,150.56,-1.22,東台,157.18,7.66%,271.05,6.228932369957865,44.3499984741,106.8,1.81,-6.62,2025-12,2025
2.19,💎 強力關注,-22.27%,🚀 利潤擴張,3630.TWO,173.02,18.28,新鉅科,153.81,4.18%,219.44,4.448105436573312,27.0,91.05,1.86,19.21,2025-12,2025
3.24,💎 強力關注,N/A,🧐 疑業外收益,6684.TWO,137.2,-15.66,安格,152.56,N/A,203.85,3.739130374474308,47.2999992371,189.75000000000003,1.57,-15.36,2025-12,2025
-0.24,⚪ 數據不足,N/A,🧐 疑業外收益,6838.TW,58.65,-95.44,台新藥,152.03,N/A,77.78,0.0,25.5499992371,-13.5,-0.55,-93.38,2025-12,2025
-0.22,⚪ 數據不足,81.17%,🔄 轉虧為盈,4157.TWO,220.0,-79.84,太景*-KY,147.76,98.33%,-1000.0,0.0,9.029999733,-5.8500000000000005,0.06,72.24,2025-12,2025
-0.1,⚠️ 追價風險,22.84%,🔄 轉虧為盈,3252.TWO,141.94,-4.86,海灣,145.65,43.11%,54.55,114.0625,18.25,2.4,0.13,-3.71,2025-12,2025
1.25,⚪ 中性觀察,1.68%,🚀 利潤擴張,3162.TWO,209.26,89.71,精確,143.77999999999997,11.59%,292.31,20.156599211208054,90.0999984741,67.05000000000001,1.7,65.48,2025-12,2025
2.56,✅ 穩健價值,-0.68%,🧐 疑業外收益,3673.TW,133.62,-8.66,TPK-KY,142.39000000000001,5.83%,55.15,12.240896572254902,87.4000015259,107.1,2.71,-8.77,2025-12,2025
0.05,⚠️ 追價風險,N/A,🧐 疑業外收益,6236.TWO,119.51,-18.24,中湛,140.19,N/A,111.11,74.07407407407408,20.0,4.050000000000001,0.08,-20.68,2025-12,2025
0.05,⚠️ 追價風險,N/A,🚀 利潤擴張,6708.TWO,180.65,48.16,天擎,138.32,N/A,119.23,94.18604651162792,40.5,6.449999999999999,0.25,42.33,2025-12,2025
2.99,⚠️ 追價風險,N/A,🧐 疑業外收益,5227.TWO,104.91,-19.06,立凱-KY,137.15,N/A,199.67,39.04761965317458,24.6000003815,9.450000000000005,0.17,-32.24,2025-12,2025
-0.32,⚠️ 追價風險,N/A,🔄 轉虧為盈,6485.TWO,152.21,14.7,點序,135.37,N/A,70.64,89.28571428571429,112.5,18.9,0.71,16.84,2025-12,2025
-1.45,⚪ 數據不足,39.15%,🔄 轉虧為盈,2408.TW,229.88,32.43,南亞科,134.79,49.05%,-28.32,0.0,303.5,-28.5,2.13,95.09,2025-12,2025
3.61,💎 強力關注,5.14%,🚀 利潤擴張,3709.TWO,178.19,55.41,鑫聯大投控,133.87,8.09%,167.46,6.525547556635035,89.4000015259,205.50000000000003,7.11,44.32,2025-12,2025
-0.81,⚪ 數據不足,-223.66%,🧐 疑業外收益,3466.TWO,58.98,-68.41,德晉,131.46,-8.98%,65.77,0.0,33.6500015259,-57.45,-1.11,-72.48,2025-12,2025
4.66,⚠️ 追價風險,41.27%,🏰 高護城河,3081.TWO,645.65,82.29,聯亞,130.47000000000003,54.76%,884.75,259.016393442623,3160.0,183.0,3.44,515.18,2026-03,2025
-0.67,⚪ 數據不足,-456.27%,🧐 疑業外收益,4934.TW,54.11,-81.44,太極,129.82,-156.07%,16.25,0.0,17.6499996185,-35.85,-0.95,-75.71,2025-12,2025
2.72,💎 強力關注,6.32%,🧐 疑業外收益,2607.TW,108.46,-19.69,榮運,127.97999999999999,18.52%,139.38,5.523590333716916,48.0,130.35,3.56,-19.52,2025-12,2025
