股票代號,前第5天,前第4天,前第3天,前第2天,前第1天,後第1天,後第2天,後第3+天,後第4天,後第5天
6488.TWO,+0.22%,+2.26%,+0.21%,+1.68%,+0.00%,-0.52%,+1.87%,+0.20%,-0.10%,+1.53%
4147.TWO,+1.43%,+4.23%,+0.90%,+0.45%,-4.89%,+4.21%,+0.90%,+0.44%,-3.10%,-2.74%
3191.TWO,+0.58%,+4.48%,-0.55%,+0.44%,+0.44%,-0.77%,+1.55%,-1.09%,-0.99%,-0.11%
6547.TWO,-2.50%,+0.17%,+0.85%,+0.17%,-0.68%,+2.72%,+5.30%,+0.94%,-1.09%,-1.73%
6434.TWO,+1.48%,+0.16%,-0.81%,-0.65%,-0.49%,-0.16%,+0.17%,-0.16%,-0.17%,+0.33%
4166.TWO,-0.46%,+0.93%,-1.38%,+2.10%,-0.69%,+0.00%,+0.00%,-0.23%,+0.00%,-0.46%
6101.TWO,-7.26%,+7.10%,+1.49%,-0.53%,-1.61%,+0.00%,+0.00%,-1.91%,-3.06%,-0.86%
2596.TWO,-0.23%,+0.91%,+0.45%,-0.22%,+0.68%,+1.34%,+1.32%,+0.00%,+0.00%,-0.65%
8917.TWO,+0.15%,+0.29%,+1.02%,+0.14%,+0.58%,+2.16%,+0.00%,+0.00%,-2.68%,-0.72%
6527.TWO,-3.25%,+0.39%,+2.70%,-1.63%,-2.55%,+2.09%,+1.41%,-0.25%,+7.72%,-4.58%
3684.TWO,-0.83%,+0.34%,+2.51%,+0.98%,-0.97%,-0.98%,+0.83%,+1.31%,-1.13%,-0.33%
6222.TWO,+3.08%,-1.66%,+5.74%,-1.92%,+0.98%,-2.90%,+4.32%,+0.64%,+0.00%,+0.00%
3227.TWO,-4.17%,+0.97%,+0.96%,+1.90%,-0.93%,+2.35%,+0.00%,+0.92%,-1.36%,+0.00%
6621.TWO,-0.58%,-1.46%,-0.30%,-2.08%,-2.42%,+0.62%,-0.93%,+1.87%,-1.22%,+6.19%
