expansion,est_price,price,date,prev_rev_yoy,prev_eps,status,om,rev_yoy,prev_eps_yoy,advice,prev_year,name,eps_yoy,eps,pe,gm,symbol
12.0,57.14999999999999,29.7000007629,2026-03,-12.26,1.74,🏰 高護城河,39.14%,22.04,-10.99,💎 強力關注,2025,凱基金,34.04,0.69,7.795275790787403,78.38%,2883.TW
10.350000000000001,-109.2,36.0999984741,2026-03,-0.97,-2.92,🚀 利潤擴張,N/A,41.94,-14.12,⚪ 數據不足,2025,華安,52.29,-0.53,0.0,N/A,6657.TW
9.14,947.7,2365.0,2026-03,6.74,25.6,🏰 高護城河,60.64%,19.99,4.19,⚠️ 追價風險,2025,力旺,29.13,7.98,37.43273187717632,100.00%,3529.TWO
8.629999999999995,-14.25,23.7000007629,2026-03,-8.31,-0.43,🔄 轉虧為盈,-4.59%,274.7,-53.57,⚪ 數據不足,2025,宏亞,283.33,0.23,0.0,24.77%,1236.TW
7.890000000000015,-89.10000000000001,20.1000003815,2026-03,-15.19,-3.35,🔄 轉虧為盈,-13.99%,145.6,-827.91,⚪ 數據不足,2025,岱宇,153.49,0.25,0.0,27.77%,1598.TW
7.82,136.05,66.3000030518,2026-03,15.86,4.66,🚀 利潤擴張,N/A,48.18,24.93,✅ 穩健價值,2025,全景軟體,56.0,0.39,7.309812905380375,N/A,8272.TWO
7.48,13.5,23.9500007629,2026-03,-2.15,0.38,🏰 高護城河,20.24%,30.02,-7.32,⚠️ 追價風險,2025,欣欣,37.5,0.11,26.611111958777776,84.77%,2901.TW
5.7299999999999995,0.0,0.0,2026-03,-3.6,-0.92,🌑 雙重衰退,N/A,-11.29,14.95,⚪ 數據不足,2025,未知,-5.56,-0.19,0.0,N/A,4178.TWO
5.7299999999999995,0.0,19.2999992371,2026-03,-3.6,-0.92,🌑 雙重衰退,N/A,-11.29,14.95,⚪ 數據不足,2025,永笙-KY,-5.56,-0.19,0.0,N/A,4178.TW
5.1200000000000045,63.6,26.8999996185,2026-03,-3.57,0.99,🚀 利潤擴張,N/A,109.17,-38.13,✅ 穩健價值,2025,詩肯,114.29,1.5,6.344339532665094,N/A,6195.TWO
4.100000000000001,91.94999999999999,48.5999984741,2026-03,-1.77,2.36,🏰 高護城河,33.61%,12.57,0.85,✅ 穩健價值,2025,兆豐金,16.67,0.63,7.9282216107830354,83.45%,2886.TW
3.8000000000000025,7.35,38.6500015259,2026-03,13.2,0.25,🏰 高護城河,-7.29%,12.87,41.18,⚠️ 追價風險,2025,聯傑,16.67,0.07,78.8775541344898,73.82%,3094.TW
3.490000000000009,-22.2,72.8000030518,2026-03,-8.05,-0.43,🔄 轉虧為盈,N/A,296.51,-326.32,⚪ 數據不足,2025,亞電,300.0,0.24,0.0,N/A,4939.TWO
3.3499999999999996,0.0,45.0,2026-03,8.14,2.56,🚀 利潤擴張,N/A,2.45,18.52,⚪ 數據不足,2025,達人網,5.8,0.73,0.0,N/A,7839.TWO
3.0700000000000003,12.149999999999999,39.5,2026-03,15.88,0.58,🚀 利潤擴張,N/A,32.83,-16.92,⚠️ 追價風險,2025,能率亞洲,35.9,-0.25,48.76543209876544,N/A,7777.TWO
2.25,100.35000000000001,32.0,2026-03,12.71,2.35,🏰 高護城河,2.03%,68.9,-27.47,✅ 穩健價值,2025,米斯特,71.15,0.89,4.783258594917787,64.17%,2941.TWO
