date,gm,eps,prev_eps,prev_eps_yoy,prev_rev_yoy,est_price,prev_year,price,name,expansion,symbol,status,advice,om,rev_yoy,pe,eps_yoy
2025-12,N/A,0.92,0.66,128.33,28.81,43.650000000000006,2025,30.2999992371,安鈦克,122.4,6276.TWO,🚀 利潤擴張,💎 強力關注,N/A,20.19,10.41237087185567,142.59
2025-12,28.43%,0.19,0.04,111.76,2.64,3.75,2025,7.3499999046,瑞利,119.85,1512.TW,🚀 利潤擴張,⚠️ 追價風險,-3.62%,8.09,29.3999996184,127.94
2025-12,32.97%,1.86,1.04,425.0,217.33,67.5,2025,28.6499996185,綠意,117.96000000000001,2596.TWO,🚀 利潤擴張,💎 強力關注,26.41%,59.65,6.3666665818888895,177.61
2025-12,N/A,0.12,0.2,190.91,34.06,10.350000000000001,2025,29.6499996185,泰霖,116.91,8080.TWO,🚀 利潤擴張,⚠️ 追價風險,N/A,22.38,42.97101393985507,139.29
2025-12,31.93%,0.19,-0.02,97.22,8.77,0.6000000000000001,2025,42.4000015259,氣立,114.62,4555.TW,🔄 轉虧為盈,⚠️ 追價風險,2.93%,7.47,1060.0000381475,122.09
2025-12,N/A,-0.23,-0.12,55.56,-92.7,-7.5,2025,22.0,瑞築,113.42999999999999,6198.TWO,🧐 疑業外收益,⚪ 數據不足,N/A,-90.1,0.0,23.33
2025-12,35.38%,0.88,0.23,-14.81,-60.26,5.250000000000002,2025,9.7100000381,中美實,113.31,4702.TWO,🧐 疑業外收益,⚠️ 追價風險,-88.29%,-61.59,27.742857251714277,51.72
2025-12,48.37%,23.18,10.08,19.56,22.8,592.05,2025,461.5,威剛,112.57,3260.TWO,🚀 利潤擴張,💎 強力關注,35.36%,32.13,11.692424626298456,144.7
2025-12,-19.82%,-0.18,-0.41,28.07,-15.81,-17.700000000000003,2025,10.8999996185,千興,109.96,2025.TW,🧐 疑業外收益,⚪ 數據不足,14.50%,-22.64,0.0,87.32
2025-12,N/A,0.02,0.02,104.35,-7.04,-4.95,2025,26.1000003815,大拓-KY,109.10000000000001,8455.TWO,🧐 疑業外收益,⚪ 數據不足,N/A,-6.4,0.0,102.7
2025-12,N/A,0.54,-0.37,50.67,17.8,-5.399999999999999,2025,29.6000003815,佳龍,108.56,9955.TW,🔄 轉虧為盈,⚪ 數據不足,N/A,26.06,0.0,134.62
2025-12,N/A,13.06,3.47,-46.86,-15.55,279.75000000000006,2025,298.0,十銓,107.85000000000001,4967.TW,🚀 利潤擴張,✅ 穩健價值,N/A,2.46,15.978552278820374,110.31
