advice,price,est_price,prev_eps,eps,prev_year,pe,om,name,rev_yoy,symbol,date,prev_eps_yoy,eps_yoy,status,gm,expansion,prev_rev_yoy
💎 強力關注,110.0,257.1,7.13,1.41,2025,6.417736289381564,20.98%,麗豐-KY,40.15,4137.TW,2026-03,24.43,107.35,🏰 高護城河,82.18%,67.19999999999999,-4.63
⚪ 數據不足,7.9000000954,-15.3,-0.38,0.06,2025,0.0,3.73%,研勤,110.52,3632.TWO,2026-03,-31.03,175.0,🔄 轉虧為盈,54.59%,64.48,-28.72
⚪ 數據不足,34.5499992371,-38.1,-1.28,0.11,2025,0.0,-45.46%,穎漢,111.03,4562.TW,2026-03,-184.44,175.0,🔄 轉虧為盈,31.44%,63.97,-7.78
⚪ 數據不足,20.0,-122.4,-3.51,-0.27,2025,0.0,-55.72%,泰偉,-1.0,3064.TWO,2026-03,-7120.0,62.5,🏰 高護城河,93.22%,63.5,-29.69
💎 強力關注,38.7999992371,101.7,2.64,1.34,2025,5.722713751784661,N/A,群益證,171.79,6005.TW,2026-03,17.33,235.0,🚀 利潤擴張,N/A,63.21000000000001,12.14
⚠️ 追價風險,36.9500007629,10.049999999999997,0.58,0.84,2025,55.14925487000001,N/A,車王電,438.18,1533.TW,2026-03,152.25,500.0,🚀 利潤擴張,N/A,61.81999999999999,19.69
✅ 穩健價值,21.75,22.5,0.74,0.56,2025,14.5,7.12%,正隆,538.23,1904.TW,2026-03,34.55,600.0,🚀 利潤擴張,20.98%,61.76999999999998,-4.85
✅ 穩健價值,105.0,113.85,2.52,1.9,2025,13.83399209486166,N/A,日揚,150.03,6208.TWO,2026-03,-26.32,206.45,🚀 利潤擴張,N/A,56.41999999999999,-4.59
💎 強力關注,49.5499992371,72.30000000000001,1.19,1.46,2025,10.280082829273859,N/A,強生,148.33,4747.TWO,2026-03,-36.9,204.17,🚀 利潤擴張,N/A,55.839999999999975,-6.81
⚪ 數據不足,116.5,-18.45,-0.6,0.13,2025,0.0,N/A,九暘,189.01,8040.TWO,2026-03,49.15,244.44,🔄 轉虧為盈,N/A,55.43000000000001,2.65
💎 強力關注,37.8499984741,273.29999999999995,12.33,2.62,2025,2.077387402530187,-106.23%,晟德,185.42,4123.TWO,2026-03,905.92,239.47,🚀 利潤擴張,41.95%,54.05000000000001,-6.28
⚪ 數據不足,66.9000015259,0.0,-3.92,-1.43,2025,0.0,N/A,心誠鎂,-55.48,6934.TW,2026-03,-48.08,-2.96,🌑 雙重衰退,N/A,52.519999999999996,-29.22
💎 強力關注,113.0,252.6,6.82,3.29,2025,6.710213776722091,N/A,霈方,95.63,6574.TWO,2026-03,66.34,147.37,🚀 利潤擴張,N/A,51.74000000000001,6.51
⚪ 數據不足,0.0,0.0,13.04,7.68,2025,0.0,N/A,永擎,91.93,7711.TW,2026-03,38.44,139.49,🚀 利潤擴張,N/A,47.56,182.72
✅ 穩健價值,33.1500015259,31.8,1.5,1.01,2025,15.63679317259434,N/A,廣寰科,359.48,3287.TWO,2026-03,-36.17,406.06,🚀 利潤擴張,N/A,46.579999999999984,23.54
💎 強力關注,25.8999996185,146.54999999999998,5.29,0.03,2025,2.6509723253326514,N/A,琉園,66.65,9949.TWO,2026-03,544.54,112.5,🚀 利潤擴張,N/A,45.849999999999994,-17.0
💎 強力關注,98.8000030518,172.35,4.85,0.46,2025,8.598781814778068,N/A,漢達,15.93,6620.TWO,2026-03,31.64,55.17,🚀 利潤擴張,N/A,39.24,108.17
⚪ 數據不足,75.8000030518,-30.6,0.12,0.08,2025,0.0,-8.17%,威盛,264.14,2388.TW,2026-03,-93.75,300.0,🚀 利潤擴張,20.64%,35.860000000000014,-40.0
✅ 穩健價值,72.4000015259,81.9,2.15,1.19,2025,13.260073539542123,14.95%,禾瑞亞,156.04,3556.TWO,2026-03,-5.7,190.24,🏰 高護城河,50.66%,34.20000000000002,1.24
⚪ 數據不足,43.0,0.0,2.99,0.87,2025,0.0,N/A,神數,10.24,7821.TW,2026-03,91.67,42.62,🚀 利潤擴張,N/A,32.379999999999995,19.28
⚪ 數據不足,0.0,0.0,7.56,11.94,2025,0.0,30.89%,未知,6.33,2072.TWO,2025-12,-17.2,34.92,🚀 利潤擴張,35.24%,28.590000000000003,15.19
⚪ 數據不足,78.4000015259,-70.05,-1.89,-0.36,2025,0.0,N/A,向榮生技,-3.86,6794.TW,2026-03,-13.21,23.4,🧐 疑業外收益,N/A,27.259999999999998,-5.58
⚪ 數據不足,7.0700001717,-28.950000000000003,-0.45,0.11,2025,0.0,1.90%,南緯,422.96,1467.TW,2026-03,-197.83,450.0,🔄 轉虧為盈,23.39%,27.04000000000002,2.23
⚪ 數據不足,338.5,0.0,3.24,1.62,2025,0.0,N/A,頌勝科技,16.63,7768.TW,2026-03,-27.83,42.86,🚀 利潤擴張,N/A,26.23,3.08
⚪ 數據不足,0.0,0.0,3.24,1.62,2025,0.0,N/A,未知,16.63,7768.TWO,2026-03,-27.83,42.86,🚀 利潤擴張,N/A,26.23,3.08
⚪ 數據不足,0.0,0.0,13.61,4.33,2025,0.0,16.93%,大東電,12.42,1623.TW,2026-03,11.37,38.11,🚀 利潤擴張,21.29%,25.689999999999998,20.5
💎 強力關注,66.6999969482,105.6,2.74,1.08,2025,9.474431384687499,33.03%,元大金,62.36,2885.TW,2026-03,-1.08,83.05,🏰 高護城河,80.00%,20.689999999999998,6.4
✅ 穩健價值,31.0499992371,33.45,0.85,0.32,2025,13.923766474035874,N/A,中連,25.49,5604.TWO,2026-03,-66.0,45.45,🚀 利潤擴張,N/A,19.960000000000004,0.36
💎 強力關注,18.0499992371,24.599999999999998,0.76,0.89,2025,11.006097095792683,N/A,宏遠證,451.29,6015.TWO,2026-03,-11.63,470.83,🚀 利潤擴張,N/A,19.539999999999964,0.56
⚪ 數據不足,14.8999996185,-30.900000000000002,-0.61,-0.19,2025,0.0,N/A,力新,26.81,5202.TWO,2026-03,-134.86,45.71,🚀 利潤擴張,N/A,18.900000000000002,-8.35
💎 強力關注,38.0,70.8,1.9,0.55,2025,8.05084745762712,45.93%,華南金,22.97,2880.TW,2026-03,13.1,41.03,🏰 高護城河,97.25%,18.060000000000002,4.06
⚠️ 追價風險,156.5,9.75,0.81,0.31,2025,240.76923076923077,8.13%,博磊,216.8,3581.TWO,2026-03,35.0,234.78,🚀 利潤擴張,31.93%,17.97999999999999,13.9
💎 強力關注,12.3000001907,25.200000000000003,0.68,0.2,2025,7.321428684940476,32.37%,高雄銀,16.1,2836.TW,2026-03,28.3,33.33,🏰 高護城河,89.95%,17.229999999999997,14.52
⚠️ 追價風險,562.0,11.999999999999998,0.15,1.67,2025,702.5000000000001,N/A,環宇-KY,316.27,4991.TWO,2026-03,107.11,331.43,🚀 利潤擴張,N/A,15.160000000000025,25.43
⚪ 數據不足,41.0999984741,0.0,2.91,0.42,2025,0.0,N/A,精誠金融,-1.82,7819.TWO,2026-03,14.12,10.53,🧐 疑業外收益,N/A,12.35,10.14
💎 強力關注,30.5,57.14999999999999,1.74,0.69,2025,8.005249343832022,39.14%,凱基金,22.04,2883.TW,2026-03,-10.99,34.04,🏰 高護城河,78.38%,12.0,-12.26
⚪ 數據不足,35.9500007629,-109.2,-2.92,-0.53,2025,0.0,N/A,華安,41.94,6657.TW,2026-03,-14.12,52.29,🚀 利潤擴張,N/A,10.350000000000001,-0.97
⚠️ 追價風險,3245.0,947.7,25.6,7.98,2025,51.36119025007914,60.64%,力旺,19.99,3529.TWO,2026-03,4.19,29.13,🏰 高護城河,100.00%,9.14,6.74
⚪ 數據不足,25.8500003815,-14.25,-0.43,0.23,2025,0.0,-4.59%,宏亞,274.7,1236.TW,2026-03,-53.57,283.33,🔄 轉虧為盈,24.77%,8.629999999999995,-8.31
⚪ 數據不足,19.4500007629,-89.10000000000001,-3.35,0.25,2025,0.0,-13.99%,岱宇,145.6,1598.TW,2026-03,-827.91,153.49,🔄 轉虧為盈,27.77%,7.890000000000015,-15.19
✅ 穩健價值,70.3000030518,136.05,4.66,0.39,2025,7.750827238346196,N/A,全景軟體,48.18,8272.TWO,2026-03,24.93,56.0,🚀 利潤擴張,N/A,7.82,15.86
⚠️ 追價風險,23.7999992371,13.5,0.38,0.11,2025,26.444443596777777,20.24%,欣欣,30.02,2901.TW,2026-03,-7.32,37.5,🏰 高護城河,84.77%,7.48,-2.15
