name,prev_eps_yoy,eps,advice,prev_year,price,est_price,pe,status,expansion,gm,eps_yoy,om,rev_yoy,prev_rev_yoy,prev_eps,date,symbol
聯亞,884.75,3.44,⚠️ 追價風險,2025,2830.0,183.0,231.96721311475412,🏰 高護城河,130.47000000000003,54.76%,645.65,41.27%,515.18,82.29,4.66,2026-03,3081.TWO
奇偶,-20.59,2.21,💎 強力關注,2025,68.3017807007,172.05,5.954819590296425,🚀 利潤擴張,115.32000000000001,N/A,228.49,N/A,113.17,-14.96,6.21,2026-03,3356.TW
美達科技,-84.51,0.29,⚪ 數據不足,2025,61.0,-7.200000000000001,0.0,🚀 利潤擴張,114.74000000000001,N/A,383.33,N/A,268.59,-4.81,0.33,2026-03,6735.TWO
益航,-365.71,-0.02,⚪ 數據不足,2025,6.6599998474,-33.6,0.0,🏰 高護城河,109.06,102.69%,87.5,-12.62%,-21.56,-7.78,-1.63,2026-03,2601.TW
暉盛-創,-45.51,0.37,⚠️ 追價風險,2025,173.0,50.699999999999996,51.18343195266272,🚀 利潤擴張,108.44,N/A,270.0,N/A,161.56,-5.33,1.73,2026-03,7730.TW
麗嬰房,152.83,0.66,⚪ 數據不足,2025,6.4299998283,-40.05,0.0,🚀 利潤擴張,96.19000000000001,N/A,163.46,N/A,67.27,-16.81,2.15,2026-03,2911.TW
網龍,-46.91,0.3,⚠️ 追價風險,2025,22.75,13.05,26.149425287356323,🏰 高護城河,92.64,87.57%,150.0,12.73%,57.36,-7.4,0.43,2026-03,3083.TWO
青松健康,104.41,0.49,✅ 穩健價值,2025,39.4000015259,44.550000000000004,13.26599377976431,🚀 利潤擴張,89.48000000000002,N/A,1080.0,N/A,990.52,14.16,1.39,2026-03,6931.TW
宏佳騰,-169.49,0.28,⚪ 數據不足,2025,23.25,-24.299999999999994,0.0,🔄 轉虧為盈,88.79000000000002,16.92%,575.0,-21.33%,486.21,-18.58,-0.84,2026-03,1599.TWO
中裕,17.57,0.06,⚪ 數據不足,2025,61.5999984741,-18.3,0.0,🔄 轉虧為盈,84.69999999999999,28.91%,166.67,-58.34%,81.97,0.19,-0.61,2026-03,4147.TWO
昭輝,-51.9,2.78,💎 強力關注,2025,43.0999984741,97.8,6.610429213819018,🚀 利潤擴張,83.63,33.66%,186.6,13.17%,102.97,-14.02,2.41,2026-03,1339.TW
偉詮電,78.06,0.7,✅ 穩健價值,2025,68.1999969482,81.9,12.490841931904761,🚀 利潤擴張,83.04000000000002,30.84%,392.86,3.76%,309.82,15.32,3.02,2026-03,2436.TW
威鋒電子,-50.67,0.64,⚠️ 追價風險,2025,97.9000015259,45.449999999999996,32.31023152669967,🚀 利潤擴張,81.14999999999999,N/A,178.26,N/A,97.11,-8.83,1.11,2026-03,6756.TW
宇峻,-64.44,2.34,✅ 穩健價值,2025,73.9000015259,77.99999999999999,14.21153875498077,🏰 高護城河,74.29000000000002,89.44%,136.36,20.17%,62.07,2.09,1.97,2026-03,3546.TWO
奧義賽博-KY創,96.29,-0.15,⚪ 數據不足,2025,79.0999984741,0.0,0.0,🚀 利潤擴張,73.29,N/A,99.93,N/A,26.64,22.72,-1.49,2026-03,7823.TW
昱泉,-99.18,-0.68,⚪ 數據不足,2025,12.1499996185,-96.44999999999999,0.0,🌑 雙重衰退,71.78,N/A,-25.93,N/A,-97.71,19.25,-2.43,2026-03,6169.TWO
冠好,-91.14,0.3,⚪ 數據不足,2025,17.25,-17.549999999999997,0.0,🚀 利潤擴張,71.62,N/A,650.0,N/A,578.38,0.63,0.14,2026-03,8354.TWO
台聯電,-5.15,1.75,⚪ 中性觀察,2025,84.4000015259,71.25,17.768421373873682,🚀 利潤擴張,70.21000000000004,25.49%,386.11,0.20%,315.9,22.56,2.76,2026-03,4905.TWO
創新服務,44.08,1.02,⚪ 數據不足,2025,2055.0,0.0,0.0,🚀 利潤擴張,69.89999999999999,N/A,121.74,N/A,51.84,76.4,6.33,2026-03,7828.TWO
國票金,3.28,0.25,💎 強力關注,2025,16.5499992371,22.95,10.816992965424836,🏰 高護城河,68.69,90.85%,127.27,38.94%,58.58,4.6,0.63,2026-03,2889.TW
麗豐-KY,24.43,1.41,💎 強力關注,2025,76.3000030518,257.1,4.451575440595099,🏰 高護城河,67.19999999999999,82.18%,107.35,20.98%,40.15,-4.63,7.13,2026-03,4137.TW
研勤,-31.03,0.06,⚪ 數據不足,2025,0.0,0.0,0.0,🔄 轉虧為盈,64.48,54.59%,175.0,3.73%,110.52,-28.72,-0.38,2026-03,3632.TWO
和迅,-24.06,0.6,⚪ 數據不足,2025,40.6500015259,0.0,0.0,🚀 利潤擴張,63.99000000000001,N/A,106.9,N/A,42.91,2.38,2.43,2026-03,6986.TWO
穎漢,-184.44,0.11,⚪ 數據不足,2025,29.6499996185,-38.1,0.0,🔄 轉虧為盈,63.97,31.44%,175.0,-45.46%,111.03,-7.78,-1.28,2026-03,4562.TW
