gm,symbol,prev_year,prev_rev_yoy,rev_yoy,prev_eps,est_price,eps_yoy,pe,om,date,advice,price,prev_eps_yoy,status,eps,name,expansion
30.84%,2436.TW,2025,15.32,309.82,3.02,81.9,392.86,13.04029248135531,3.76%,2026-03,✅ 穩健價值,71.1999969482,78.06,🚀 利潤擴張,0.7,偉詮電,83.04000000000002
N/A,6756.TW,2025,-8.83,97.11,1.11,45.449999999999996,178.26,32.97029753330033,N/A,2026-03,⚠️ 追價風險,99.9000015259,-50.67,🚀 利潤擴張,0.64,威鋒電子,81.14999999999999
89.44%,3546.TWO,2025,2.09,62.07,1.97,77.99999999999999,136.36,14.153845860403848,20.17%,2026-03,✅ 穩健價值,73.5999984741,-64.44,🏰 高護城河,2.34,宇峻,74.29000000000002
N/A,7823.TW,2025,22.72,26.64,-1.49,0.0,99.93,0.0,N/A,2026-03,⚪ 數據不足,85.3000030518,96.29,🚀 利潤擴張,-0.15,奧義賽博-KY創,73.29
N/A,6169.TWO,2025,19.25,-97.71,-2.43,-96.44999999999999,-25.93,0.0,N/A,2026-03,⚪ 數據不足,12.8000001907,-99.18,🌑 雙重衰退,-0.68,昱泉,71.78
N/A,8354.TWO,2025,0.63,578.38,0.14,-17.549999999999997,650.0,0.0,N/A,2026-03,⚪ 數據不足,17.7999992371,-91.14,🚀 利潤擴張,0.3,冠好,71.62
25.49%,4905.TWO,2025,22.56,315.9,2.76,71.25,386.11,16.210526315789473,0.20%,2026-03,⚪ 中性觀察,77.0,-5.15,🚀 利潤擴張,1.75,台聯電,70.21000000000004
N/A,7828.TWO,2025,76.4,51.84,6.33,0.0,121.74,0.0,N/A,2026-03,⚪ 數據不足,1875.0,44.08,🚀 利潤擴張,1.02,創新服務,69.89999999999999
90.85%,2889.TW,2025,4.6,58.58,0.63,22.95,127.27,10.16339881745098,38.94%,2026-03,💎 強力關注,15.5500001907,3.28,🏰 高護城河,0.25,國票金,68.69
82.18%,4137.TW,2025,-4.63,40.15,7.13,257.1,107.35,5.466744279358226,20.98%,2026-03,💎 強力關注,93.6999969482,24.43,🏰 高護城河,1.41,麗豐-KY,67.19999999999999
54.59%,3632.TWO,2025,-28.72,110.52,-0.38,-15.3,175.0,0.0,3.73%,2026-03,⚪ 數據不足,7.5599999428,-31.03,🔄 轉虧為盈,0.06,研勤,64.48
N/A,6986.TWO,2025,2.38,42.91,2.43,0.0,106.9,0.0,N/A,2026-03,⚪ 數據不足,43.2000007629,-24.06,🚀 利潤擴張,0.6,和迅,63.99000000000001
31.44%,4562.TW,2025,-7.78,111.03,-1.28,-38.1,175.0,0.0,-45.46%,2026-03,⚪ 數據不足,33.0499992371,-184.44,🔄 轉虧為盈,0.11,穎漢,63.97
93.22%,3064.TWO,2025,-29.69,-1.0,-3.51,-122.4,62.5,0.0,-55.72%,2026-03,⚪ 數據不足,19.6000003815,-7120.0,🏰 高護城河,-0.27,泰偉,63.5
N/A,6005.TW,2025,12.14,171.79,2.64,101.7,235.0,4.513274392551622,N/A,2026-03,💎 強力關注,30.6000003815,17.33,🚀 利潤擴張,1.34,群益證,63.21000000000001
N/A,1533.TW,2025,19.69,438.18,0.58,10.049999999999997,500.0,47.83581975686569,N/A,2026-03,⚠️ 追價風險,32.0499992371,152.25,🚀 利潤擴張,0.84,車王電,61.81999999999999
20.98%,1904.TW,2025,-4.85,538.23,0.74,22.5,600.0,16.433333079,7.12%,2026-03,⚪ 中性觀察,24.6499996185,34.55,🚀 利潤擴張,0.56,正隆,61.76999999999998
N/A,6208.TWO,2025,-4.59,150.03,2.52,113.85,206.45,10.737812911725955,N/A,2026-03,💎 強力關注,81.5,-26.32,🚀 利潤擴張,1.9,日揚,56.41999999999999
N/A,4747.TWO,2025,-6.81,148.33,1.19,72.30000000000001,204.17,11.57676332719917,N/A,2026-03,💎 強力關注,55.7999992371,-36.9,🚀 利潤擴張,1.46,強生,55.839999999999975
N/A,8040.TWO,2025,2.65,189.01,-0.6,-18.45,244.44,0.0,N/A,2026-03,⚪ 數據不足,74.1999969482,49.15,🔄 轉虧為盈,0.13,九暘,55.43000000000001
41.95%,4123.TWO,2025,-6.28,185.42,12.33,273.29999999999995,239.47,1.90450059071899,-106.23%,2026-03,💎 強力關注,34.7000007629,905.92,🚀 利潤擴張,2.62,晟德,54.05000000000001
N/A,6934.TW,2025,-29.22,-55.48,-3.92,0.0,-2.96,0.0,N/A,2026-03,⚪ 數據不足,72.4000015259,-48.08,🌑 雙重衰退,-1.43,心誠鎂,52.519999999999996
N/A,6574.TWO,2025,6.51,95.63,6.82,252.6,147.37,7.719714964370547,N/A,2026-03,💎 強力關注,130.0,66.34,🚀 利潤擴張,3.29,霈方,51.74000000000001
N/A,7711.TW,2025,182.72,91.93,13.04,0.0,139.49,0.0,N/A,2026-03,⚪ 數據不足,0.0,38.44,🚀 利潤擴張,7.68,永擎,47.56
N/A,3287.TWO,2025,23.54,359.48,1.5,31.8,406.06,16.839623001367922,N/A,2026-03,⚪ 中性觀察,35.7000007629,-36.17,🚀 利潤擴張,1.01,廣寰科,46.579999999999984
N/A,9949.TWO,2025,-17.0,66.65,5.29,146.54999999999998,112.5,2.4718525709826,N/A,2026-03,💎 強力關注,24.1499996185,544.54,🚀 利潤擴張,0.03,琉園,45.849999999999994
N/A,6620.TWO,2025,108.17,15.93,4.85,172.35,55.17,7.032202180313316,N/A,2026-03,💎 強力關注,80.8000030518,31.64,🚀 利潤擴張,0.46,漢達,39.24
20.64%,2388.TW,2025,-40.0,264.14,0.12,-30.6,300.0,0.0,-8.17%,2026-03,⚪ 數據不足,76.0999984741,-93.75,🚀 利潤擴張,0.08,威盛,35.860000000000014
50.66%,3556.TWO,2025,1.24,156.04,2.15,81.9,190.24,11.886447165915751,14.95%,2026-03,💎 強力關注,64.9000015259,-5.7,🏰 高護城河,1.19,禾瑞亞,34.20000000000002
N/A,7821.TW,2025,19.28,10.24,2.99,0.0,42.62,0.0,N/A,2026-03,⚪ 數據不足,39.4000015259,91.67,🚀 利潤擴張,0.87,神數,32.379999999999995
35.24%,2072.TWO,2025,15.19,6.33,7.56,0.0,34.92,0.0,30.89%,2025-12,⚪ 數據不足,0.0,-17.2,🚀 利潤擴張,11.94,未知,28.590000000000003
N/A,6794.TW,2025,-5.58,-3.86,-1.89,-70.05,23.4,0.0,N/A,2026-03,⚪ 數據不足,71.0,-13.21,🧐 疑業外收益,-0.36,向榮生技,27.259999999999998
23.39%,1467.TW,2025,2.23,422.96,-0.45,-28.950000000000003,450.0,0.0,1.90%,2026-03,⚪ 數據不足,8.7600002289,-197.83,🔄 轉虧為盈,0.11,南緯,27.04000000000002
N/A,7768.TW,2025,3.08,16.63,3.24,0.0,42.86,0.0,N/A,2026-03,⚪ 數據不足,280.0,-27.83,🚀 利潤擴張,1.62,頌勝科技,26.23
N/A,7768.TWO,2025,3.08,16.63,3.24,0.0,42.86,0.0,N/A,2026-03,⚪ 數據不足,0.0,-27.83,🚀 利潤擴張,1.62,未知,26.23
21.29%,1623.TW,2025,20.5,12.42,13.61,0.0,38.11,0.0,16.93%,2026-03,⚪ 數據不足,0.0,11.37,🚀 利潤擴張,4.33,大東電,25.689999999999998
