🚀 V3 策略績效篩選中... | 門檻: 10.0% | 起始日: 2025-11-11
====================================================================================================

🏆 【V3 策略 - 英雄榜】(累積損益 > 10.0%)
----------------------------------------------------------------------------------------------------
✅ 2408.TW    | 總收益:   27.40% | 交易筆數:  1 | 勝率: 100.0%
✅ 6492.TWO   | 總收益:   27.25% | 交易筆數:  2 | 勝率:  50.0%
✅ 4745.TWO   | 總收益:   27.18% | 交易筆數:  2 | 勝率:  50.0%
✅ 2236.TW    | 總收益:   26.86% | 交易筆數:  1 | 勝率: 100.0%
✅ 6015.TWO   | 總收益:   26.64% | 交易筆數:  1 | 勝率: 100.0%
✅ 1560.TW    | 總收益:   26.48% | 交易筆數:  2 | 勝率:  50.0%
✅ 00985A.TW  | 總收益:   26.27% | 交易筆數:  1 | 勝率: 100.0%
✅ 2740.TWO   | 總收益:   25.99% | 交易筆數:  3 | 勝率:  66.7%
✅ 3066.TWO   | 總收益:   25.79% | 交易筆數:  2 | 勝率:  50.0%
✅ 4563.TWO   | 總收益:   25.60% | 交易筆數:  1 | 勝率: 100.0%
✅ 3017.TW    | 總收益:   25.59% | 交易筆數:  2 | 勝率:  50.0%
✅ 6187.TWO   | 總收益:   25.40% | 交易筆數:  2 | 勝率:  50.0%
✅ 3322.TWO   | 總收益:   25.38% | 交易筆數:  1 | 勝率: 100.0%
✅ 6446.TW    | 總收益:   25.23% | 交易筆數:  1 | 勝率: 100.0%
✅ 3138.TW    | 總收益:   25.02% | 交易筆數:  3 | 勝率:  66.7%
✅ 6532.TWO   | 總收益:   25.00% | 交易筆數:  3 | 勝率:  33.3%
✅ 6116.TW    | 總收益:   24.68% | 交易筆數:  2 | 勝率:  50.0%
✅ 6103.TWO   | 總收益:   24.62% | 交易筆數:  1 | 勝率: 100.0%
✅ 8068.TWO   | 總收益:   24.59% | 交易筆數:  1 | 勝率: 100.0%
✅ 2491.TW    | 總收益:   24.57% | 交易筆數:  1 | 勝率: 100.0%
✅ 1717.TW    | 總收益:   24.54% | 交易筆數:  2 | 勝率:  50.0%
✅ 3363.TWO   | 總收益:   24.41% | 交易筆數:  2 | 勝率:  50.0%
✅ 5347.TWO   | 總收益:   24.16% | 交易筆數:  2 | 勝率: 100.0%
✅ 8131.TW    | 總收益:   24.16% | 交易筆數:  1 | 勝率: 100.0%
✅ 2883.TW    | 總收益:   24.15% | 交易筆數:  1 | 勝率: 100.0%
✅ 2497.TW    | 總收益:   24.14% | 交易筆數:  1 | 勝率: 100.0%
✅ 6016.TWO   | 總收益:   23.97% | 交易筆數:  2 | 勝率:  50.0%
✅ 6485.TWO   | 總收益:   23.78% | 交易筆數:  1 | 勝率: 100.0%
✅ 4903.TWO   | 總收益:   23.60% | 交易筆數:  2 | 勝率:  50.0%
✅ 1708.TW    | 總收益:   23.39% | 交易筆數:  2 | 勝率:  50.0%
✅ 4157.TWO   | 總收益:   23.38% | 交易筆數:  2 | 勝率:  50.0%
✅ 6874.TWO   | 總收益:   23.36% | 交易筆數:  1 | 勝率: 100.0%
✅ 6230.TW    | 總收益:   23.27% | 交易筆數:  2 | 勝率:  50.0%
✅ 00954.TW   | 總收益:   23.19% | 交易筆數:  1 | 勝率: 100.0%
✅ 4952.TW    | 總收益:   23.18% | 交易筆數:  1 | 勝率: 100.0%
✅ 1304.TW    | 總收益:   23.17% | 交易筆數:  2 | 勝率:  50.0%
✅ 4720.TW    | 總收益:   23.16% | 交易筆數:  1 | 勝率: 100.0%
✅ 5432.TWO   | 總收益:   23.16% | 交易筆數:  1 | 勝率: 100.0%
✅ 5471.TW    | 總收益:   23.04% | 交易筆數:  1 | 勝率: 100.0%
✅ 6552.TW    | 總收益:   22.97% | 交易筆數:  1 | 勝率: 100.0%
✅ 7704.TWO   | 總收益:   22.90% | 交易筆數:  2 | 勝率: 100.0%
✅ 5302.TWO   | 總收益:   22.89% | 交易筆數:  1 | 勝率: 100.0%
✅ 3030.TW    | 總收益:   22.80% | 交易筆數:  2 | 勝率: 100.0%
✅ 9918.TW    | 總收益:   22.65% | 交易筆數:  3 | 勝率:  66.7%
✅ 6547.TWO   | 總收益:   22.51% | 交易筆數:  2 | 勝率:  50.0%
✅ 2891.TW    | 總收益:   22.40% | 交易筆數:  2 | 勝率: 100.0%
✅ 4130.TWO   | 總收益:   22.08% | 交易筆數:  2 | 勝率: 100.0%
✅ 3529.TWO   | 總收益:   22.02% | 交易筆數:  1 | 勝率: 100.0%
✅ 2069.TW    | 總收益:   21.90% | 交易筆數:  1 | 勝率: 100.0%
✅ 00941.TW   | 總收益:   21.87% | 交易筆數:  1 | 勝率: 100.0%
✅ 2233.TW    | 總收益:   21.84% | 交易筆數:  1 | 勝率: 100.0%
✅ 6182.TWO   | 總收益:   21.84% | 交易筆數:  1 | 勝率: 100.0%
✅ 6924.TW    | 總收益:   21.79% | 交易筆數:  1 | 勝率: 100.0%
✅ 4131.TWO   | 總收益:   21.59% | 交易筆數:  1 | 勝率: 100.0%
✅ 6840.TWO   | 總收益:   21.56% | 交易筆數:  1 | 勝率: 100.0%
✅ 4916.TW    | 總收益:   21.42% | 交易筆數:  1 | 勝率: 100.0%
✅ 3122.TWO   | 總收益:   21.40% | 交易筆數:  1 | 勝率: 100.0%
✅ 8390.TWO   | 總收益:   21.24% | 交易筆數:  1 | 勝率: 100.0%
✅ 3550.TW    | 總收益:   20.91% | 交易筆數:  2 | 勝率:  50.0%
✅ 0052.TW    | 總收益:   20.88% | 交易筆數:  1 | 勝率: 100.0%
✅ 4989.TW    | 總收益:   20.79% | 交易筆數:  1 | 勝率: 100.0%
✅ 00947.TW   | 總收益:   20.65% | 交易筆數:  2 | 勝率:  50.0%
✅ 6231.TWO   | 總收益:   20.60% | 交易筆數:  2 | 勝率:  50.0%
✅ 5016.TWO   | 總收益:   20.36% | 交易筆數:  3 | 勝率:  66.7%
✅ 00955.TWO  | 總收益:   20.24% | 交易筆數:  3 | 勝率:  33.3%
✅ 6192.TW    | 總收益:   20.20% | 交易筆數:  1 | 勝率: 100.0%
✅ 00927.TW   | 總收益:   20.08% | 交易筆數:  1 | 勝率: 100.0%
✅ 4127.TWO   | 總收益:   20.07% | 交易筆數:  1 | 勝率: 100.0%
✅ 7730.TW    | 總收益:   20.07% | 交易筆數:  1 | 勝率: 100.0%
✅ 3006.TW    | 總收益:   19.91% | 交易筆數:  3 | 勝率:  33.3%
✅ 6494.TWO   | 總收益:   19.71% | 交易筆數:  1 | 勝率: 100.0%
✅ 6530.TWO   | 總收益:   19.65% | 交易筆數:  1 | 勝率: 100.0%
✅ 2441.TW    | 總收益:   19.33% | 交易筆數:  1 | 勝率: 100.0%
✅ 2030.TW    | 總收益:   19.30% | 交易筆數:  1 | 勝率: 100.0%
✅ 6739.TWO   | 總收益:   19.30% | 交易筆數:  2 | 勝率:  50.0%
✅ 00951.TW   | 總收益:   19.21% | 交易筆數:  2 | 勝率:  50.0%
✅ 3691.TWO   | 總收益:   19.08% | 交易筆數:  2 | 勝率: 100.0%
✅ 1310.TW    | 總收益:   19.02% | 交易筆數:  2 | 勝率:  50.0%
✅ 00876.TW   | 總收益:   18.99% | 交易筆數:  2 | 勝率:  50.0%
✅ 00738U.TW  | 總收益:   18.92% | 交易筆數:  2 | 勝率:  50.0%
✅ 3308.TW    | 總收益:   18.88% | 交易筆數:  2 | 勝率:  50.0%
✅ TXF.TW     | 總收益:   18.85% | 交易筆數:  1 | 勝率: 100.0%
✅ 009805.TW  | 總收益:   18.73% | 交易筆數:  2 | 勝率:  50.0%
✅ 8996.TW    | 總收益:   18.70% | 交易筆數:  1 | 勝率: 100.0%
✅ 9931.TW    | 總收益:   18.65% | 交易筆數:  3 | 勝率:  66.7%
✅ 00935.TW   | 總收益:   18.59% | 交易筆數:  2 | 勝率:  50.0%
✅ 00984A.TW  | 總收益:   18.57% | 交易筆數:  1 | 勝率: 100.0%
✅ 2330.TW    | 總收益:   18.33% | 交易筆數:  2 | 勝率:  50.0%
✅ 1590.TW    | 總收益:   18.32% | 交易筆數:  1 | 勝率: 100.0%
✅ 6152.TW    | 總收益:   18.23% | 交易筆數:  1 | 勝率: 100.0%
✅ 1466.TW    | 總收益:   18.12% | 交易筆數:  1 | 勝率: 100.0%
✅ 1323.TW    | 總收益:   18.11% | 交易筆數:  1 | 勝率: 100.0%
✅ 6944.TW    | 總收益:   18.02% | 交易筆數:  1 | 勝率: 100.0%
✅ 1529.TW    | 總收益:   17.90% | 交易筆數:  3 | 勝率:  33.3%
✅ 2402.TW    | 總收益:   17.88% | 交易筆數:  1 | 勝率: 100.0%
✅ 00881.TW   | 總收益:   17.83% | 交易筆數:  2 | 勝率:  50.0%
✅ 3499.TWO   | 總收益:   17.82% | 交易筆數:  2 | 勝率:  50.0%
✅ 3055.TW    | 總收益:   17.66% | 交易筆數:  1 | 勝率: 100.0%
✅ 00708L.TW  | 總收益:   17.63% | 交易筆數:  1 | 勝率: 100.0%
✅ 4946.TWO   | 總收益:   17.57% | 交易筆數:  1 | 勝率: 100.0%
✅ 5515.TW    | 總收益:   17.56% | 交易筆數:  1 | 勝率: 100.0%
✅ 6290.TWO   | 總收益:   17.55% | 交易筆數:  1 | 勝率: 100.0%
✅ 009802.TW  | 總收益:   17.30% | 交易筆數:  1 | 勝率: 100.0%
✅ 4934.TW    | 總收益:   17.27% | 交易筆數:  2 | 勝率:  50.0%
✅ 3707.TWO   | 總收益:   17.18% | 交易筆數:  1 | 勝率: 100.0%
✅ 8499.TW    | 總收益:   17.06% | 交易筆數:  1 | 勝率: 100.0%
✅ 6202.TW    | 總收益:   17.01% | 交易筆數:  1 | 勝率: 100.0%
✅ 3236.TWO   | 總收益:   16.90% | 交易筆數:  1 | 勝率: 100.0%
✅ 0050.TW    | 總收益:   16.87% | 交易筆數:  2 | 勝率:  50.0%
✅ 8043.TWO   | 總收益:   16.81% | 交易筆數:  2 | 勝率:  50.0%
✅ 3362.TWO   | 總收益:   16.79% | 交易筆數:  1 | 勝率: 100.0%
✅ 6435.TWO   | 總收益:   16.79% | 交易筆數:  2 | 勝率: 100.0%
✅ 4540.TW    | 總收益:   16.31% | 交易筆數:  2 | 勝率:  50.0%
✅ 3057.TW    | 總收益:   16.30% | 交易筆數:  2 | 勝率:  50.0%
✅ 3167.TW    | 總收益:   16.16% | 交易筆數:  1 | 勝率: 100.0%
✅ 3684.TWO   | 總收益:   16.08% | 交易筆數:  1 | 勝率: 100.0%
✅ 009803.TW  | 總收益:   16.07% | 交易筆數:  2 | 勝率:  50.0%
✅ 3036.TW    | 總收益:   16.04% | 交易筆數:  2 | 勝率:  50.0%
✅ 3532.TW    | 總收益:   15.91% | 交易筆數:  2 | 勝率:  50.0%
✅ 4806.TWO   | 總收益:   15.89% | 交易筆數:  1 | 勝率: 100.0%
✅ 7769.TW    | 總收益:   15.71% | 交易筆數:  2 | 勝率:  50.0%
✅ 6805.TW    | 總收益:   15.58% | 交易筆數:  1 | 勝率: 100.0%
✅ 3016.TW    | 總收益:   15.56% | 交易筆數:  2 | 勝率:  50.0%
✅ 3481.TW    | 總收益:   15.56% | 交易筆數:  3 | 勝率:  33.3%
✅ 1460.TW    | 總收益:   15.46% | 交易筆數:  2 | 勝率:  50.0%
✅ 2436.TW    | 總收益:   15.37% | 交易筆數:  2 | 勝率:  50.0%
✅ 2360.TW    | 總收益:   15.30% | 交易筆數:  2 | 勝率: 100.0%
✅ 2355.TW    | 總收益:   15.29% | 交易筆數:  3 | 勝率:  33.3%
✅ 5340.TWO   | 總收益:   15.26% | 交易筆數:  3 | 勝率:  66.7%
✅ 6584.TWO   | 總收益:   15.26% | 交易筆數:  3 | 勝率:  66.7%
✅ 3714.TW    | 總收益:   15.23% | 交易筆數:  3 | 勝率:  33.3%
✅ 8064.TWO   | 總收益:   15.17% | 交易筆數:  3 | 勝率:  33.3%
✅ 6720.TWO   | 總收益:   15.10% | 交易筆數:  1 | 勝率: 100.0%
✅ 6257.TW    | 總收益:   15.07% | 交易筆數:  1 | 勝率: 100.0%
✅ 1326.TW    | 總收益:   14.97% | 交易筆數:  1 | 勝率: 100.0%
✅ 6234.TWO   | 總收益:   14.93% | 交易筆數:  2 | 勝率:  50.0%
✅ 6789.TW    | 總收益:   14.66% | 交易筆數:  2 | 勝率:  50.0%
✅ 6909.TW    | 總收益:   14.55% | 交易筆數:  2 | 勝率:  50.0%
