Stock_ID,Stock_Name,Date,Type,Price_Entry,Stop_Loss,Take_Profit,Status,Action,Vol_Spike,RSI,Validation_Date,Priority,Is_New
3363.TWO,上詮,2026-04-08,看漲 FVG,704.0,656.7,739.2,⏳ 待回測,⚡結構突破 ⚠️過熱,1,60.42,-,4,False
3380.TW,明泰,2026-04-08,看漲 FVG,40.3,38.31,42.31,⏳ 待回測,⚡結構突破 ⚠️過熱,1,62.64,-,4,False
3437.TW,榮創,2026-03-26,看跌 FVG,21.6,22.56,20.52,💰 已達標,獲利點,0,68.09,2026-03-30,4,False
3455.TWO,由田,2026-04-08,看漲 FVG,171.5,151.74,180.08,⏳ 待回測,⚡結構突破 ⚠️過熱,0,78.62,-,4,False
3508.TWO,位速,2026-04-08,看跌 FVG,26.35,32.61,25.03,⏳ 待回測,⚡結構突破 ⚠️過熱,0,35.19,-,4,False
3523.TWO,迎輝,2026-04-07,看跌 FVG,13.25,13.57,12.59,⏳ 待回測,⚡結構突破 ⚠️過熱,1,27.78,-,4,False
3533.TW,嘉澤,2026-04-08,看漲 FVG,2265.0,2109.4,2378.25,⏳ 待回測,監控中 ⚠️過熱,0,66.27,-,4,False
3552.TWO,同致,2026-04-02,看跌 FVG,56.4,58.39,53.58,💰 已達標,獲利點,0,65.02,-,4,False
3563.TW,牧德,2026-04-08,看漲 FVG,849.0,820.88,891.45,⏳ 待回測,監控中 ⚠️過熱,0,64.05,-,4,False
3577.TWO,泓格,2026-04-07,看漲 FVG,74.6,71.94,78.33,⏳ 待回測,監控中 ⚠️過熱,0,77.82,-,4,False
3587.TWO,閎康,2026-04-08,看漲 FVG,256.0,235.81,268.8,⏳ 待回測,監控中 ⚠️過熱,1,70.5,-,4,False
3664.TWO,安瑞-KY,2026-04-08,看漲 FVG,8.7,8.48,9.13,⏳ 待回測,監控中 🧹 ⚠️過熱,0,0.91,-,4,False
3673.TW,TPK-KY,2026-04-08,看漲 FVG,50.2,48.46,52.71,⏳ 待回測,⚡結構突破 ⚠️過熱,1,79.49,-,4,False
3693.TWO,營邦,2026-04-08,看漲 FVG,534.0,507.45,560.7,⏳ 待回測,⚡結構突破 ⚠️過熱,1,57.32,-,4,False
3707.TWO,漢磊,2026-03-31,看跌 FVG,51.3,51.76,48.73,💰 已達標,獲利點,0,36.44,-,4,False
3712.TW,永崴投控,2026-04-07,看跌 FVG,18.55,19.8,17.62,💰 已達標,獲利點,0,18.56,-,4,False
3713.TWO,新晶投控,2026-04-02,看跌 FVG,14.25,14.87,13.54,⏳ 待回測,⚡結構突破 ⚠️過熱,1,26.71,-,4,False
3717.TW,聯嘉投控,2026-04-08,看漲 FVG,22.9,22.74,24.04,⏳ 待回測,⚡結構突破 ⚠️過熱,1,75.63,-,4,False
4121.TWO,優盛,2026-04-02,看跌 FVG,15.8,16.08,15.01,⏳ 待回測,⚡結構突破 ⚠️過熱,1,9.09,-,4,False
4154.TWO,樂威科-KY,2026-04-08,看漲 FVG,14.45,14.08,15.17,⏳ 待回測,監控中 ⚠️過熱,0,82.44,-,4,False
4534.TWO,慶騰,2026-03-31,看跌 FVG,24.3,24.77,23.09,💰 已達標,獲利點,0,31.32,-,4,False
4576.TW,大銀微系統,2026-04-08,看漲 FVG,153.0,136.31,160.65,⏳ 待回測,⚡結構突破 ⚠️過熱,0,75.89,-,4,False
4737.TW,華廣,2026-04-01,看漲 FVG,69.2,67.86,72.66,✅ 已站穩,🟢 買進,1,91.08,2026-04-08,4,False
4741.TWO,泓瀚,2026-04-07,看漲 FVG,43.05,40.5,45.2,💰 已達標,獲利點,0,90.02,-,4,False
4760.TWO,勤凱,2026-04-08,看漲 FVG,232.0,205.97,243.6,⏳ 待回測,⚡結構突破 🧹 ⚠️過熱,0,65.37,-,4,False
4906.TW,正文,2026-04-01,看漲 FVG,39.0,37.81,40.95,❌ 已失效,實體破中線,1,73.71,-,4,False
4934.TW,太極,2026-04-02,看跌 FVG,16.5,16.68,15.67,⚠️ 壓力確認,🔴 放空,0,33.54,2026-04-08,4,False
4946.TWO,辣椒,2026-03-30,看跌 FVG,112.0,115.57,106.4,💰 已達標,獲利點,0,12.17,2026-04-01,4,False
4960.TW,誠美材,2026-04-02,看跌 FVG,21.25,22.01,20.19,💰 已達標,獲利點,0,42.44,-,4,False
4971.TWO,IET-KY,2026-04-08,看漲 FVG,621.0,603.97,652.05,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.94,-,4,False
4991.TWO,環宇-KY,2026-04-08,看漲 FVG,507.0,476.11,532.35,⏳ 待回測,⚡結構突破 ⚠️過熱,0,74.97,-,4,False
5222.TW,全訊,2026-04-07,看跌 FVG,117.0,122.61,111.15,⚠️ 壓力確認,🔴 放空,1,23.82,2026-04-09,4,True
5243.TW,乙盛-KY,2026-04-08,看漲 FVG,108.5,100.0,113.93,⏳ 待回測,⚡結構突破 ⚠️過熱,0,85.38,-,4,False
5274.TWO,信驊,2026-04-08,看漲 FVG,12310.0,12089.25,12925.5,⏳ 待回測,⚡結構突破 ⚠️過熱,0,60.25,-,4,False
5347.TWO,世界,2026-04-08,看漲 FVG,128.5,120.39,134.93,⏳ 待回測,⚡結構突破 🧹 ⚠️過熱,1,59.26,-,4,False
5475.TWO,德宏,2026-04-08,看漲 FVG,275.0,269.64,288.75,⏳ 待回測,⚡結構突破 ⚠️過熱,0,78.86,-,4,False
5521.TW,工信,2026-03-27,看跌 FVG,13.1,13.42,12.44,💰 已達標,獲利點,0,18.82,2026-03-31,4,False
6028.TWO,公勝保經,2026-04-02,看跌 FVG,82.24,83.59,78.13,❌ 已失效,實體過中線,0,20.13,-,4,False
6140.TWO,訊達,2026-04-07,看跌 FVG,18.25,18.74,17.34,⏳ 待回測,⚡結構突破 ⚠️過熱,1,21.32,-,4,False
6151.TWO,晉倫,2026-04-01,看漲 FVG,32.45,31.14,34.07,💰 已達標,獲利點,1,80.91,2026-04-07,4,False
6187.TWO,萬潤,2026-04-07,看漲 FVG,940.0,925.35,987.0,❌ 已失效,實體破中線,0,64.73,-,4,False
6208.TWO,日揚,2026-04-07,看漲 FVG,55.1,52.14,57.86,✅ 已站穩,🟢 買進,1,84.9,2026-04-09,4,True
6217.TWO,中探針,2026-04-07,看漲 FVG,195.0,191.54,204.75,💰 已達標,獲利點,1,67.62,2026-04-09,4,False
6218.TWO,豪勉,2026-04-08,看漲 FVG,32.65,28.81,34.28,⏳ 待回測,⚡結構突破 ⚠️過熱,1,75.75,-,4,False
6231.TWO,系微,2026-03-30,看跌 FVG,268.5,272.35,255.07,⚠️ 壓力確認,🔴 放空,0,77.33,2026-04-01,4,False
6236.TWO,中湛,2026-02-26,看跌 FVG,21.6,24.12,20.52,⚠️ 壓力確認,🔴 放空,1,19.31,2026-03-03,4,False
6244.TWO,茂迪,2026-04-02,看跌 FVG,26.25,26.58,24.94,❌ 已失效,實體過中線,0,25.35,-,4,False
6261.TWO,久元,2026-04-07,看漲 FVG,78.2,75.12,82.11,⏳ 待回測,⚡結構突破 ⚠️過熱,1,73.49,-,4,False
6274.TWO,台燿,2026-04-08,看漲 FVG,731.0,679.59,767.55,⏳ 待回測,⚡結構突破 ⚠️過熱,0,75.58,-,4,False
6277.TW,宏正,2026-03-27,看漲 FVG,68.9,65.07,72.35,💰 已達標,獲利點,1,89.14,2026-03-31,4,False
6405.TW,悅城,2026-04-02,看漲 FVG,36.15,33.63,37.96,💰 已達標,獲利點,0,72.34,-,4,False
6409.TW,旭隼,2026-03-19,看跌 FVG,762.0,774.85,723.9,💰 已達標,獲利點,1,23.12,2026-03-23,4,False
6426.TW,統新,2026-04-07,看漲 FVG,175.0,161.19,183.75,💰 已達標,獲利點,1,55.38,2026-04-09,4,False
6443.TW,元晶,2026-04-02,看跌 FVG,40.15,41.26,38.14,💰 已達標,獲利點,0,21.5,2026-04-08,4,False
6456.TW,GIS-KY,2026-03-31,看跌 FVG,55.5,56.78,52.72,⚠️ 壓力確認,🔴 放空,1,29.0,2026-04-02,4,False
6465.TWO,威潤,2026-03-25,看漲 FVG,46.0,43.78,48.3,❌ 已失效,實體破中線,0,64.65,2026-03-27,4,False
6530.TWO,創威,2026-04-08,看漲 FVG,96.0,95.22,100.8,⏳ 待回測,監控中 ⚠️過熱,1,69.05,-,4,False
6547.TWO,高端疫苗,2026-03-30,看漲 FVG,56.5,55.12,59.33,💰 已達標,獲利點,0,80.99,-,4,False
6550.TW,北極星藥業-KY,2026-04-07,看跌 FVG,19.5,19.9,18.52,⏳ 待回測,監控中 ⚠️過熱,0,38.46,-,4,False
6565.TWO,物聯,2026-04-01,看漲 FVG,17.4,16.42,18.27,💰 已達標,獲利點,0,60.07,2026-04-07,4,False
6568.TWO,宏觀,2026-03-19,看漲 FVG,202.0,199.5,212.1,💰 已達標,獲利點,0,65.66,-,4,False
6584.TWO,南俊國際,2026-04-07,看漲 FVG,633.0,601.98,664.65,❌ 已失效,實體破中線,0,74.94,-,4,False
6585.TW,鼎基,2026-03-26,看漲 FVG,98.1,94.03,103.0,💰 已達標,獲利點,1,66.38,2026-03-30,4,False
6588.TWO,東典光電,2026-03-31,看漲 FVG,132.5,128.85,139.12,💰 已達標,獲利點,1,71.72,2026-04-02,4,False
6596.TWO,寬宏藝術,2026-04-02,看跌 FVG,98.4,99.7,93.48,⏳ 待回測,⚡結構突破 ⚠️過熱,0,3.77,-,4,False
6672.TW,騰輝電子-KY,2026-04-08,看漲 FVG,146.0,132.83,153.3,⏳ 待回測,⚡結構突破 ⚠️過熱,0,79.1,-,4,False
6683.TWO,雍智科技,2026-03-26,看漲 FVG,1215.0,1203.95,1275.75,💰 已達標,獲利點,1,69.33,-,4,False
6693.TWO,廣閎科,2026-04-08,看漲 FVG,134.5,117.91,141.22,⏳ 待回測,⚡結構突破 ⚠️過熱,0,82.65,-,4,False
6715.TW,嘉基,2026-04-08,看漲 FVG,398.5,341.29,418.43,⏳ 待回測,⚡結構突破 ⚠️過熱,1,60.48,-,4,False
6725.TWO,矽科宏晟,2026-04-08,看漲 FVG,274.0,272.13,287.7,⏳ 待回測,監控中 ⚠️過熱,0,65.59,-,4,False
6739.TWO,竹陞科技,2026-04-08,看漲 FVG,1475.0,1407.92,1548.75,⏳ 待回測,⚡結構突破 ⚠️過熱,0,73.03,-,4,False
6806.TW,森崴能源,2026-04-08,看跌 FVG,25.4,31.46,24.13,⏳ 待回測,⚡結構突破 ⚠️過熱,1,14.47,-,4,False
