prev_eps_yoy,om,expansion,symbol,status,price,name,prev_eps,rev_yoy,eps_yoy,est_price,eps,prev_year,pe,gm,advice,date,prev_rev_yoy
54.55,8.42%,156.05,2417.TW,🔄 轉虧為盈,0.0,圓剛,-0.19,108.24,264.29,0.0,0.28,2025,0.0,56.31%,⚪ 數據不足,2026-03,2.69
-125.22,N/A,152.34,9934.TW,🔄 轉虧為盈,0.0,成霖,-0.29,214.33,366.67,0.0,0.28,2025,0.0,N/A,⚪ 數據不足,2026-03,-4.25
-77.02,N/A,142.32,2732.TWO,🚀 利潤擴張,0.0,六角,1.09,180.76,323.08,0.0,1.1,2025,0.0,N/A,⚪ 數據不足,2026-03,7.13
-38.68,N/A,134.17000000000002,6569.TWO,🚀 利潤擴張,0.0,醫揚,2.88,307.94,442.11,0.0,1.03,2025,0.0,N/A,⚪ 數據不足,2026-03,5.8
921.74,N/A,133.17000000000002,6166.TW,🚀 利潤擴張,0.0,凌華,2.35,273.28,406.45,0.0,1.57,2025,0.0,N/A,⚪ 數據不足,2026-03,17.09
884.75,41.27%,130.47000000000003,3081.TWO,🏰 高護城河,0.0,聯亞,4.66,515.18,645.65,0.0,3.44,2025,0.0,54.76%,⚪ 數據不足,2026-03,82.29
-20.59,N/A,115.32000000000001,3356.TW,🚀 利潤擴張,0.0,奇偶,6.21,113.17,228.49,0.0,2.21,2025,0.0,N/A,⚪ 數據不足,2026-03,-14.96
-84.51,N/A,114.74000000000001,6735.TWO,🚀 利潤擴張,0.0,美達科技,0.33,268.59,383.33,0.0,0.29,2025,0.0,N/A,⚪ 數據不足,2026-03,-4.81
-365.71,-12.62%,109.06,2601.TW,🏰 高護城河,0.0,益航,-1.63,-21.56,87.5,0.0,-0.02,2025,0.0,102.69%,⚪ 數據不足,2026-03,-7.78
-45.51,N/A,108.44,7730.TW,🚀 利潤擴張,0.0,暉盛-創,1.73,161.56,270.0,0.0,0.37,2025,0.0,N/A,⚪ 數據不足,2026-03,-5.33
152.83,N/A,96.19000000000001,2911.TW,🚀 利潤擴張,0.0,麗嬰房,2.15,67.27,163.46,0.0,0.66,2025,0.0,N/A,⚪ 數據不足,2026-03,-16.81
-46.91,12.73%,92.64,3083.TWO,🏰 高護城河,0.0,網龍,0.43,57.36,150.0,0.0,0.3,2025,0.0,87.57%,⚪ 數據不足,2026-03,-7.4
104.41,N/A,89.48000000000002,6931.TW,🚀 利潤擴張,0.0,青松健康,1.39,990.52,1080.0,0.0,0.49,2025,0.0,N/A,⚪ 數據不足,2026-03,14.16
