=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
6548.TWO   |    MA60    |    30.1% |    411.72% |       73
5314.TWO   |    MA60    |    31.1% |    845.11% |      103
00713.TW   |    MA60    |    31.1% |     79.89% |       45
4764.TW    |    MA20    |    30.4% |     -6.56% |      135
2887I.TW   |    MA60    |    25.0% |     -1.35% |        4
6472.TW    |    MA60    |    32.9% |    475.79% |       82
6863.TW    |    MA20    |    25.0% |     12.88% |       28
2365.TW    |    MA5     |    28.1% |    108.11% |      302
2425.TW    |    MA20    |    31.0% |    116.42% |      113
3594.TWO   |    MA20    |    30.1% |    -12.16% |      136
4561.TWO   |    MA60    |    28.2% |    117.84% |       39
6128.TW    |    MA60    |    36.2% |     19.09% |       69
3008.TW    |    MA10    |    35.4% |     -6.11% |      226
2313.TW    |    MA10    |    33.2% |    186.87% |      205
5321.TWO   |    MA60    |    32.9% |    423.38% |       73
3379.TWO   |    MA10    |    26.7% |    134.15% |      243
2723.TW    |    MA60    |    37.5% |     54.90% |       72
3625.TWO   |    MA60    |    31.5% |    180.71% |       73
3141.TWO   |    MA60    |    27.4% |    568.77% |       62
7740.TW    |    MA10    |    45.5% |    -14.52% |       11
6708.TWO   |    MA10    |    27.4% |     45.31% |      124
1589.TW    |    MA10    |    30.0% |    -76.38% |      217
1435.TW    |    MA60    |    33.7% |    219.52% |       92
6291.TWO   |    MA20    |    37.4% |    233.83% |      206
9945.TW    |    MA60    |    23.2% |     72.05% |       82
9904.TW    |    MA60    |    34.0% |    -33.71% |       97
6140.TWO   |    MA60    |    26.0% |     -7.91% |      123
4949.TW    |    MA20    |    23.8% |    124.71% |       21
6282.TW    |    MA60    |    23.9% |      8.31% |       92
1312.TW    |    MA60    |    27.8% |    -48.78% |       90
3049.TW    |    MA20    |    27.2% |     39.02% |      136
1537.TW    |    MA10    |    24.6% |    -82.85% |      252
2515.TW    |    MA10    |    26.9% |     82.04% |      212
1723.TW    |    MA5     |    22.6% |   -199.27% |      297
6179.TWO   |    MA10    |    29.9% |    -41.99% |      224
5493.TWO   |    MA60    |    34.7% |     34.97% |       98
00951.TW   |    MA20    |    16.7% |     31.90% |       24
6531.TW    |    MA20    |    40.0% |    557.25% |       80
6264.TWO   |    MA60    |    27.3% |    -10.61% |       66
2457.TW    |    MA60    |    20.8% |    302.33% |       72
6203.TWO   |    MA60    |    29.3% |    109.74% |       82
8926.TW    |    MA60    |    22.7% |     80.20% |       88
3028.TW    |    MA60    |    32.7% |    131.65% |       55
3430.TWO   |    MA10    |    35.7% |    171.00% |      199
3265.TWO   |    MA20    |    34.1% |    152.28% |      129
3481.TW    |    MA10    |    30.5% |    152.05% |      200
2941.TWO   |    MA60    |    16.0% |     89.50% |       25
6841.TWO   |    MA5     |    27.7% |    -46.84% |      101
2067.TWO   |    MA60    |    34.6% |    -61.17% |      130
2409.TW    |    MA60    |    18.5% |     21.93% |       92
00942B.TWO |    MA20    |    33.3% |     -1.10% |       18
3236.TWO   |    MA20    |    27.9% |     89.27% |      136
00722B.TWO |    MA20    |    26.7% |    -13.13% |       86
3289.TWO   |    MA20    |    34.3% |     17.18% |      137
00970B.TWO |    MA60    |    50.0% |      3.96% |        4
0050.TW    |    MA10    |    35.3% |    112.18% |      190
3710.TWO   |    MA20    |    25.0% |    -13.34% |      136
4526.TW    |    MA10    |    27.7% |    -24.86% |      231
3090.TW    |    MA60    |    36.1% |    176.99% |       83
5309.TWO   |    MA10    |    33.2% |    236.02% |      214
6719.TW    |    MA60    |    12.1% |    -47.94% |       33
3556.TWO   |    MA10    |    27.6% |     12.97% |      203
2301.TW    |    MA60    |    32.5% |     84.84% |       83
00679B.TWO |    MA60    |    24.6% |    -24.63% |       69
2382.TW    |    MA60    |    36.6% |    198.82% |       71
1711.TW    |    MA20    |    25.6% |    -54.74% |      164
1102.TW    |    MA20    |    31.5% |    -19.08% |      146
6762.TWO   |    MA20    |    26.7% |     20.60% |       90
7782.TWO   |    MA60    |    28.6% |     -5.49% |        7
TXF.TW     |    MA10    |    39.4% |     52.34% |      188
3088.TWO   |    MA10    |    29.7% |    -26.33% |      229
7744.TWO   |    MA5     |    39.5% |    107.49% |       43
6191.TW    |    MA60    |    31.6% |    298.19% |       76
8422.TW    |    MA60    |    28.7% |     21.90% |       80
3701.TW    |    MA20    |    28.8% |    256.22% |      208
5508.TWO   |    MA60    |    32.8% |    370.45% |       67
