正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
  6186.TWO          240      24.24         237.57      33   ☁ 觀望
   6196.TW          240      30.00         236.00      30   📈 持有
   5469.TW           20      37.72         235.92     114   ☁ 觀望
   2365.TW          120      19.72         235.66      71   ☁ 觀望
   2388.TW           10      25.43         235.25     232   ☁ 觀望
  3689.TWO           10      39.31         233.80     173   ☁ 觀望
  6785.TWO          240      11.11         233.39       9   📈 持有
   2460.TW           60      30.19         233.18      53   📈 持有
   2316.TW           20      36.05         233.07     147   ☁ 觀望
   4912.TW          240      39.39         232.29      33   ☁ 觀望
   1773.TW           60      37.14         231.87      70   📈 持有
   4919.TW          120      31.71         231.70      41   📈 持有
   6515.TW          120      40.00         231.60      35   📈 持有
   3042.TW          240      35.48         231.38      31   ☁ 觀望
  3213.TWO          120      30.30         231.32      33   ☁ 觀望
   1309.TW          240      43.75         230.46      16   ☁ 觀望
  8930.TWO          120      28.30         230.45      53   📈 持有
   3706.TW           10      37.10         230.21     186   📈 持有
  6535.TWO          240      37.21         230.15      43   ☁ 觀望
  3552.TWO           20      30.89         229.94     123   ☁ 觀望
  6584.TWO           10      36.73         229.12     147   ☁ 觀望
  00757.TW          240      42.86         229.05       7   📈 持有
  2641.TWO           60      35.14         228.64      74   ☁ 觀望
   3014.TW           60      32.05         227.44      78   ☁ 觀望
   2236.TW          120      30.61         226.69      49   📈 持有
   1436.TW          240      34.62         226.05      26   ☁ 觀望
  4768.TWO           20      43.42         225.24      76   📈 持有
   3036.TW          120      34.88         224.66      43   📈 持有
  1569.TWO          240      31.25         224.58      32   ☁ 觀望
  3444.TWO          240      50.00         223.00      18   ☁ 觀望
   2108.TW           60      33.33         222.56      54   📈 持有
   3588.TW          120      21.43         222.33      56   📈 持有
  5483.TWO           20      39.52         222.14     124   ☁ 觀望
   6176.TW          120      37.50         222.13      40   ☁ 觀望
   3018.TW           60      30.77         221.97      65   📈 持有
  8087.TWO          240      33.33         221.48      48   ☁ 觀望
   5292.TW          120      31.25         221.34      32   📈 持有
   2369.TW          120      30.77         221.04      39   📈 持有
   3708.TW           60      33.33         220.33      81   📈 持有
  5474.TWO          120      33.87         214.75      62   ☁ 觀望
   2027.TW          240      21.21         214.23      33   ☁ 觀望
  6190.TWO          120      32.79         214.11      61   ☁ 觀望
  6182.TWO           60      36.00         213.64      75   📈 持有
   2387.TW          240      28.00         212.83      25   ☁ 觀望
  4534.TWO          120      22.92         212.80      48   📈 持有
  4749.TWO           10      43.28         212.34      67   📈 持有
  6679.TWO          240      25.00         211.84       8   ☁ 觀望
  6667.TWO           10      35.86         211.70     145   📈 持有
   3025.TW          240      30.77         211.53      39   ☁ 觀望
  2072.TWO           60      37.50         210.59      32   📈 持有
  5371.TWO           20      31.62         210.33     136   ☁ 觀望
   3413.TW           20      37.50         209.17     136   📈 持有
  6517.TWO          240      23.08         208.33      13   ☁ 觀望
   2429.TW          240      22.50         208.06      40   📈 持有
  3152.TWO          120      32.56         207.63      43   📈 持有
   3135.TW           20      34.69         207.50      49   ☁ 觀望
   4583.TW          240       7.14         206.10      14   ☁ 觀望
   6695.TW           60      30.00         203.34      50   ☁ 觀望
   2428.TW          240      41.18         203.31      34   📈 持有
  6716.TWO          240      44.44         203.22       9   📈 持有
   2360.TW           60      33.80         203.20      71   📈 持有
   3645.TW           10      38.76         202.77     209   📈 持有
  6761.TWO          120      43.48         202.66      23   📈 持有
   2022.TW          120      28.95         202.59      38   📈 持有
  4939.TWO          120      17.07         202.13      41   📈 持有
  8088.TWO          120      26.92         201.78      52   📈 持有
  3236.TWO          120      22.22         201.75      54   📈 持有
  6290.TWO           60      31.46         200.61      89   📈 持有
   3338.TW           60      24.68         199.50      77   📈 持有
  6629.TWO           60      33.33         199.22      45   ☁ 觀望
  3629.TWO            5      32.69         198.61     309   ☁ 觀望
  3178.TWO           20      32.39         198.55     142   ☁ 觀望
   2338.TW          240      34.78         198.38      46   📈 持有
  3081.TWO           10      28.86         198.25     201   📈 持有
   2301.TW          240      26.67         197.90      45   📈 持有
   1305.TW          240      47.62         197.77      21   ☁ 觀望
   1313.TW          120      40.00         196.54      35   📈 持有
  6462.TWO           20      35.04         195.88     137   ☁ 觀望
   2211.TW           60      29.63         195.86      27   ☁ 觀望
  8048.TWO          120      27.50         195.26      40   📈 持有
   3665.TW           60      34.09         195.02      88   📈 持有
  6207.TWO           20      39.10         194.81     133   ☁ 觀望
  3555.TWO          120      29.31         194.17      58   📈 持有
   3712.TW           20      26.19         194.01      84   ☁ 觀望
   1471.TW          120      30.19         193.69      53   📈 持有
   6753.TW          240      36.36         193.09      11   📈 持有
  8279.TWO          240      25.00         192.98      28   ☁ 觀望
  6788.TWO           60      29.41         192.62      34   📈 持有
   6230.TW          240      21.88         189.87      32   ☁ 觀望
   6805.TW           20      33.33         189.70      24   📈 持有
  6664.TWO           60      36.59         189.67      41   📈 持有
   2453.TW          240      38.10         189.13      42   ☁ 觀望
  2755.TWO          120      37.93         189.00      29   📈 持有
   6533.TW          120      23.53         188.82      51   ☁ 觀望
  6170.TWO          120      30.99         188.43      71   ☁ 觀望
   2436.TW          240      32.35         188.38      34   📈 持有
   3596.TW          120      29.73         187.63      37   ☁ 觀望
  8472.TWO          240      39.13         187.42      23   📈 持有
   6239.TW          120      35.71         186.98      56   📈 持有
  4908.TWO           20      44.60         186.96     139   📈 持有
   2413.TW           10      27.37         186.96     190   📈 持有
   6706.TW           10      32.80         186.86     125   📈 持有
   1795.TW          240      25.93         186.85      27   📈 持有
  3687.TWO          240      30.00         186.73      30   ☁ 觀望
   3543.TW          120      39.13         186.58      69   📈 持有
   3149.TW          120      24.49         186.00      49   📈 持有
  6727.TWO           10      29.25         184.57     106   📈 持有
   1587.TW           20      28.47         184.18     144   ☁ 觀望
   2535.TW          240      39.29         184.12      28   📈 持有
  6233.TWO          240      15.15         183.79      33   📈 持有
  3265.TWO          120      38.46         182.68      52   📈 持有
   2308.TW           60      32.94         182.09      85   📈 持有
   2881.TW           60      34.18         181.84      79   ☁ 觀望
  3625.TWO           60      31.51         180.71      73   ☁ 觀望
   5285.TW          120      14.63         179.67      41   📈 持有
   2468.TW          240      36.54         179.49      52   ☁ 觀望
  3551.TWO           10      35.10         179.27     208   📈 持有
   3189.TW          120      20.31         179.12      64   📈 持有
   5871.TW          120      21.05         178.31      38   ☁ 觀望
   8438.TW          120      16.28         178.27      43   📈 持有
   4571.TW          120      28.57         178.00      14   ☁ 觀望
  3071.TWO          240      42.42         177.99      33   📈 持有
   2478.TW           60      31.33         177.64      83   📈 持有
  6163.TWO          120      31.25         176.42      64   📈 持有
   2618.TW          120      31.11         174.99      45   ☁ 觀望
  6683.TWO            5      34.76         174.64     187   ☁ 觀望
   8271.TW          120      31.25         174.26      48   📈 持有
  8096.TWO          240      32.61         173.43      46   ☁ 觀望
   6116.TW          120      23.53         173.37      34   📈 持有
   2206.TW          240      30.19         173.25      53   ☁ 觀望
   1455.TW           20      31.30         172.60     131   ☁ 觀望
  5493.TWO          120      26.76         172.60      71   ☁ 觀望
   3092.TW          240      35.56         172.56      45   📈 持有
  6613.TWO          240      22.86         172.11      35   ☁ 觀望
   2441.TW          120      38.46         171.08      39   📈 持有
   1438.TW          240      26.47         170.41      34   ☁ 觀望
  6419.TWO          240      28.00         169.72      25   ☁ 觀望
   6689.TW          120      20.69         169.46      29   ☁ 觀望
   3686.TW           20      26.67         169.42     150   ☁ 觀望
  3624.TWO           20      27.97         169.05     143   ☁ 觀望
   3044.TW          120      34.48         169.02      58   📈 持有
   8261.TW          240      25.81         168.59      62   📈 持有
  3570.TWO          240      37.04         167.83      54   📈 持有
   3694.TW           20      40.74         167.66     135   ☁ 觀望
   6770.TW          120      12.50         167.24      16   📈 持有
   4989.TW          120      27.45         166.99      51   📈 持有
   2233.TW          240      42.22         166.95      45   📈 持有
  8099.TWO           10      28.00         166.77     225   ☁ 觀望
   9941.TW           60      32.84         166.35      67   ☁ 觀望
  4973.TWO          120      29.63         166.17      54   📈 持有
   5521.TW           20      28.12         166.17     128   ☁ 觀望
   1736.TW          240      34.48         165.37      29   ☁ 觀望
  8390.TWO          120      36.96         165.28      46   📈 持有
  3541.TWO           10      39.33         165.21     178   ☁ 觀望
   8081.TW           60      32.53         165.09      83   📈 持有
  6530.TWO          240      42.42         164.83      33   📈 持有
   1303.TW          120      28.57         163.44      42   📈 持有
  8034.TWO          120      31.58         163.28      38   📈 持有
   4934.TW          240      29.41         162.28      34   📈 持有
   2017.TW          120      22.50         161.56      40   📈 持有
  3064.TWO           10      31.93         161.08     238   ☁ 觀望
   3015.TW          240      40.91         160.51      22   ☁ 觀望
   5471.TW          240      19.44         160.45      36   📈 持有
   6412.TW          240      32.14         160.27      28   ☁ 觀望
   3011.TW          240      27.59         160.18      29   ☁ 觀望
   2367.TW          120      18.06         159.64      72   📈 持有
  3546.TWO          240      45.16         159.53      31   📈 持有
   2357.TW          240      31.91         158.73      47   ☁ 觀望
   7799.TW           10      20.00         158.13      15   📈 持有
  7810.TWO          120     100.00         157.86       2   📈 持有
   1590.TW          120      29.41         157.18      68   📈 持有
  3455.TWO          120      41.07         157.17      56   📈 持有
  8234.TWO          240      33.33         156.97      39   ☁ 觀望
   6757.TW          120      42.86         156.41       7   ☁ 觀望
   2414.TW          240      52.17         156.06      23   📈 持有
  3581.TWO           10      35.09         154.33     228   📈 持有
  4529.TWO           10      30.56         154.29     216   📈 持有
  4561.TWO          120      32.50         154.11      40   ☁ 觀望
   6209.TW           10      37.00         153.56     200   ☁ 觀望
  3227.TWO          120      31.25         153.37      64   📈 持有
   2377.TW          240      38.24         152.28      34   ☁ 觀望
   2317.TW           60      33.33         152.26      81   ☁ 觀望
   3481.TW           10      30.50         152.05     200   📈 持有
   2891.TW          120      33.33         151.25      45   📈 持有
   2812.TW          240      29.17         151.09      24   📈 持有
   2883.TW          120      40.48         150.92      42   📈 持有
   8462.TW           60      32.79         150.38      61   ☁ 觀望
   6438.TW          240      52.63         150.34      19   ☁ 觀望
   6005.TW          120      30.61         150.20      49   📈 持有
  4966.TWO          240      35.29         149.84      34   ☁ 觀望
  6143.TWO           20      36.22         149.64     127   ☁ 觀望
  3508.TWO           20      31.54         149.28     130   📈 持有
  5245.TWO          240      20.00         149.15      25   ☁ 觀望
   2328.TW           20      29.63         148.87     162   ☁ 觀望
  6980.TWO           20      30.77         148.11      26   ☁ 觀望
  6423.TWO           20      26.23         147.88     122   ☁ 觀望
  5543.TWO          240      18.00         147.83      50   📈 持有
  4510.TWO           20      29.49         147.77     156   ☁ 觀望
  6925.TWO          240      25.00         147.62      12   📈 持有
   2006.TW          240      17.14         147.54      35   📈 持有
   2455.TW          120      32.08         146.60      53   📈 持有
  4513.TWO           60      35.62         146.22      73   ☁ 觀望
  6284.TWO           10      35.71         146.06     196   ☁ 觀望
   9910.TW          120      31.75         145.91      63   ☁ 觀望
   2633.TW          120      17.19         145.82      64   ☁ 觀望
   6205.TW           60      25.37         145.81      67   📈 持有
   9110.TW           20      35.59         145.68     177   ☁ 觀望
   3416.TW          240      39.39         144.37      33   ☁ 觀望
   3030.TW           60      30.34         144.35      89   📈 持有
   2630.TW           20      33.87         144.26     124   ☁ 觀望
  3317.TWO           20      34.96         143.86     123   ☁ 觀望
  3093.TWO          120      28.85         143.36      52   📈 持有
   1522.TW           60      32.91         143.20      79   ☁ 觀望
   6431.TW           20      34.13         142.74     126   ☁ 觀望
  6016.TWO           10      30.00         142.48     190   📈 持有
  3709.TWO          120      41.38         142.01      29   📈 持有
   2482.TW           20      22.92         141.93     144   ☁ 觀望
  3372.TWO          120      22.73         141.48      44   📈 持有
   2442.TW          240      37.50         140.23      40   ☁ 觀望
   2349.TW           10      31.31         139.64     198   📈 持有
   2451.TW          120      26.76         139.50      71   📈 持有
   2352.TW           60      21.25         139.39      80   ☁ 觀望
   6873.TW           60      29.41         138.90      17   ☁ 觀望
   8028.TW          240      43.59         138.67      39   📈 持有
  3323.TWO          240      43.18         138.52      44   📈 持有
  6127.TWO          120      40.00         138.44      60   📈 持有
   2472.TW           20      38.41         137.89     138   ☁ 觀望
   6698.TW           10      40.35         137.22     114   ☁ 觀望
  7402.TWO           10      28.17         137.07     213   📈 持有
   0052.TW           10      36.90         136.90     187   📈 持有
   2423.TW          240      37.50         136.27      24   📈 持有
   2885.TW          240      39.13         135.75      23   📈 持有
   3703.TW           20      30.16         135.45     126   ☁ 觀望
   8016.TW           60      25.00         135.11      96   📈 持有
  6903.TWO           20      38.10         134.83      42   📈 持有
  3577.TWO          240      29.41         134.30      51   ☁ 觀望
  8431.TWO           20      37.23         133.15     137   📈 持有
   8131.TW          240      44.00         133.11      25   📈 持有
  4804.TWO           60      35.71         133.01      42   ☁ 觀望
   2374.TW           20      30.77         132.91     143   ☁ 觀望
   2010.TW          120      25.00         132.85      68   📈 持有
  8091.TWO           60      28.24         132.66      85   📈 持有
   8464.TW          240      33.33         132.40      39   ☁ 觀望
   2340.TW          120      32.43         132.19      37   📈 持有
   3028.TW           60      32.73         131.65      55   📈 持有
   3711.TW          120      26.92         131.38      78   📈 持有
  7777.TWO            5      24.39         131.15      41   ☁ 觀望
  6134.TWO           60      31.58         129.91      57   📈 持有
  3587.TWO          240      17.24         129.16      29   📈 持有
  6275.TWO           20      33.33         127.78     150   ☁ 觀望
   2610.TW          120      18.42         127.55      38   ☁ 觀望
  3234.TWO          120      27.12         127.45      59   📈 持有
  5009.TWO          240      34.48         127.25      29   ☁ 觀望
  7751.TWO           10      33.33         126.96      27   📈 持有
   2489.TW          120      20.00         126.89      35   📈 持有
   2406.TW           20      27.07         125.57     133   📈 持有
  6642.TWO          120      30.95         124.78      42   📈 持有
   4949.TW           20      23.81         124.71      21   📈 持有
  4533.TWO          120      26.56         124.16      64   📈 持有
  1785.TWO          240      30.56         124.11      36   📈 持有
   3504.TW           20      32.06         123.46     131   📈 持有
  5351.TWO          120      17.50         123.46      80   📈 持有
   8499.TW          120      26.00         122.43      50   ☁ 觀望
  6219.TWO          240      41.18         122.15      17   ☁ 觀望
   2385.TW           60      33.71         121.86      89   📈 持有
 00715L.TW           20      39.77         121.16      88   📈 持有
