正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  短中期多頭 (MA Bull)  成交量放大 (Vol Up)  交易次數 (Trades) 狀態 (Status)
     2034.TW                 240           25.00                 16.79            False           False             36        ☁ 觀望
    4702.TWO                 240           27.78                 16.30            False            True             36        ☁ 觀望
    00752.TW                 240           22.22                 16.24            False           False             18        ☁ 觀望
    5905.TWO                  20           25.71                 15.81            False           False            140        ☁ 觀望
    6217.TWO                  60           34.18                 15.66             True           False             79        📈 持有
    3611.TWO                  20           28.48                 15.63            False           False            151        ☁ 觀望
     2439.TW                  20           30.41                 15.62            False           False            148        ☁ 觀望
     4526.TW                 120           22.64                 15.32            False           False             53        ☁ 觀望
     2354.TW                  60           28.95                 15.20            False           False             76        ☁ 觀望
    4192.TWO                  20           21.92                 14.23            False           False            146        ☁ 觀望
  00864B.TWO                 120           18.18                 13.98             True           False             11        📈 持有
    3556.TWO                  10           27.59                 12.97            False            True            203        ☁ 觀望
     6505.TW                 240           15.56                 12.78             True            True             45        📈 持有
    4127.TWO                  20           27.56                 12.64            False            True            156        ☁ 觀望
     1714.TW                 240           26.67                 12.38             True            True             30        📈 持有
  00725B.TWO                  20           25.35                 12.06             True           False             71        📈 持有
    5490.TWO                  20           29.01                 11.38            False            True            131        ☁ 觀望
    6904.TWO                  20           27.03                 11.30            False            True             37        ☁ 觀望
    6236.TWO                 240           32.50                 11.26            False           False             40        ☁ 觀望
  00724B.TWO                 120           31.25                 11.03             True           False             32        📈 持有
     2419.TW                  20           26.11                 10.71             True           False            157        ☁ 觀望
    5011.TWO                 240           25.64                 10.41             True           False             39        ☁ 觀望
    6793.TWO                  60           36.36                  9.97            False           False             22        📈 持有
    6884.TWO                 240           11.11                  9.89            False           False              9        ☁ 觀望
    8935.TWO                 240           31.71                  9.45            False           False             41        📈 持有
     9918.TW                 240           23.08                  9.16             True            True             52        📈 持有
     7721.TW                  20           23.08                  9.11             True           False             26        📈 持有
  00719B.TWO                 240           40.00                  9.01             True           False             10        ☁ 觀望
     2739.TW                  60           26.76                  8.53            False           False             71        ☁ 觀望
     6861.TW                 120           42.86                  8.49             True           False              7        📈 持有
    7584.TWO                  10           27.62                  8.24            False            True            105        ☁ 觀望
     6534.TW                  60           23.53                  8.20            False            True             17        ☁ 觀望
   00945B.TW                  20           23.53                  7.12             True           False             17        📈 持有
     6526.TW                  10           40.54                  6.68             True           False             37        📈 持有
   00887.TWO                  20           36.96                  6.60             True           False             46        ☁ 觀望
  00720B.TWO                  20           35.06                  6.32             True           False             77        📈 持有
    5302.TWO                 120           28.57                  5.31             True           False             63        📈 持有
     1516.TW                  20           30.67                  4.86             True            True            163        ☁ 觀望
     1213.TW                 240           25.53                  4.75            False           False             47        ☁ 觀望
     6657.TW                   5           29.23                  4.71            False           False             65        ☁ 觀望
     1402.TW                 240           27.50                  4.25             True           False             40        ☁ 觀望
     1710.TW                 240           21.74                  4.02            False            True             23        ☁ 觀望
  00970B.TWO                  60           50.00                  3.96             True           False              4        📈 持有
  00968B.TWO                  60           50.00                  3.85             True           False              4        📈 持有
    2724.TWO                 120           22.22                  3.76            False           False             63        ☁ 觀望
     6906.TW                 240          100.00                  3.68            False           False              2        ☁ 觀望
  00933B.TWO                  20           32.26                  3.57             True           False             31        📈 持有
     4536.TW                 120           25.37                  3.14            False           False             67        ☁ 觀望
    00946.TW                 240           66.67                  3.09            False           False              6        📈 持有
    00882.TW                  10           25.88                  2.99             True           False             85        📈 持有
    6121.TWO                 240           31.48                  2.24            False           False             54        ☁ 觀望
   00688L.TW                 240           28.57                  2.17             True           False             14        ☁ 觀望
  00751B.TWO                 120           18.92                  2.10             True           False             37        📈 持有
    4538.TWO                 240           27.78                  1.92             True            True             54        📈 持有
    1784.TWO                  60           29.47                  1.35            False           False             95        ☁ 觀望
    3498.TWO                 120           33.33                  1.11             True           False             48        📈 持有
     1536.TW                  60           23.53                  0.10            False           False             85        ☁ 觀望
    00949.TW                 240            0.00                 -0.11             True           False              1        📈 持有
     1418.TW                 120           27.78                 -0.12            False           False             54        ☁ 觀望
    00885.TW                   5           34.86                 -0.44             True           False            109        ☁ 觀望
    7709.TWO                  10           25.00                 -0.52            False           False             52        ☁ 觀望
     2601.TW                 120           23.91                 -1.09             True           False             46        📈 持有
  00942B.TWO                  20           33.33                 -1.10             True            True             18        📈 持有
    5487.TWO                 120           38.18                 -1.17            False            True             55        ☁ 觀望
    6264.TWO                 120           13.79                 -1.29            False           False             29        ☁ 觀望
     9931.TW                 240           28.30                 -1.31             True            True             53        📈 持有
  00950B.TWO                 120           28.57                 -1.57             True           False              7        📈 持有
  00959B.TWO                 240           25.00                 -1.57             True           False              4        📈 持有
  00937B.TWO                  60           31.25                 -1.85             True           False             16        📈 持有
     6924.TW                 240            0.00                 -1.88            False            True              1        ☁ 觀望
     6885.TW                 240            0.00                 -2.06            False           False              1        ☁ 觀望
    00940.TW                 240           50.00                 -2.12            False           False              6        📈 持有
    00939.TW                  20           25.00                 -2.16             True           False             24        ☁ 觀望
    00703.TW                  20           30.34                 -2.34            False           False             89        ☁ 觀望
     9914.TW                  20           30.07                 -2.48            False           False            143        ☁ 觀望
     3380.TW                 240           36.17                 -2.67             True           False             47        📈 持有
    6929.TWO                 240           33.33                 -2.71            False           False              3        ☁ 觀望
    7812.TWO                  60           28.57                 -2.83            False           False              7        ☁ 觀望
     1538.TW                 240           16.13                 -2.94            False            True             31        ☁ 觀望
    7734.TWO                  10           20.00                 -3.29             True           False             25        📈 持有
   00665L.TW                 240           12.50                 -3.42            False           False             24        ☁ 觀望
     6285.TW                  60           30.53                 -3.48            False           False             95        📈 持有
   00642U.TW                  60           37.66                 -3.51             True           False             77        📈 持有
     4560.TW                  20           28.30                 -4.39            False           False            106        📈 持有
     2239.TW                  10           29.19                 -4.41            False           False            185        ☁ 觀望
    8077.TWO                 120           27.78                 -4.44            False           False             54        ☁ 觀望
     2241.TW                  20           22.76                 -4.49            False           False            123        ☁ 觀望
    7805.TWO                 120           50.00                 -4.90            False           False              4        ☁ 觀望
    8102.TWO                 120           33.33                 -5.18            False           False             12        ☁ 觀望
     2432.TW                 240           25.00                 -5.23            False            True              4        ☁ 觀望
  00948B.TWO                  20           26.09                 -5.43             True           False             23        📈 持有
     9904.TW                 120           29.23                 -5.53            False           False             65        📈 持有
  00780B.TWO                 240           28.57                 -5.97             True           False              7        📈 持有
     3008.TW                  10           35.40                 -6.11             True           False            226        📈 持有
     3592.TW                  60           25.00                 -6.23            False           False             16        📈 持有
     6902.TW                 240            0.00                 -7.23            False            True              1        ☁ 觀望
     8162.TW                 240           28.57                 -7.35             True           False              7        📈 持有
    5228.TWO                 240           16.67                 -7.65             True           False             54        📈 持有
     2547.TW                  10           28.78                 -7.75             True            True            205        📈 持有
    4745.TWO                  10           33.33                 -7.95            False            True            210        ☁ 觀望
    6961.TWO                  20           31.25                 -8.09            False            True             32        ☁ 觀望
    4563.TWO                 120           14.29                 -8.39            False           False             42        ☁ 觀望
     3059.TW                 240           25.45                 -8.45            False           False             55        ☁ 觀望
     3266.TW                 120           21.31                 -9.26            False           False             61        📈 持有
  00761B.TWO                 120           21.88                 -9.50             True           False             32        📈 持有
    3672.TWO                  60           19.72                 -9.52            False           False             71        ☁ 觀望
     6957.TW                 120            0.00                 -9.69            False           False              2        📈 持有
     1611.TW                 240           39.06                -10.03            False           False             64        ☁ 觀望
   00680L.TW                 240           15.79                -10.06             True           False             19        ☁ 觀望
  00772B.TWO                  20           28.57                -10.17             True           False             63        📈 持有
  00931B.TWO                 120           30.00                -10.41             True           False             10        📈 持有
  00773B.TWO                  20           33.77                -10.43             True            True             77        📈 持有
     1337.TW                 240           27.59                -10.43            False            True             29        ☁ 觀望
    6432.TWO                  10           27.93                -11.22            False           False            222        📈 持有
     1583.TW                  60           31.91                -11.51            False           False             94        📈 持有
     1726.TW                 120           20.97                -11.96             True           False             62        📈 持有
    3594.TWO                  20           30.15                -12.16             True           False            136        📈 持有
     2395.TW                  60           28.21                -12.64             True            True             78        📈 持有
     2867.TW                 120           23.91                -12.98             True           False             46        📈 持有
    3710.TWO                  20           25.00                -13.34            False            True            136        ☁ 觀望
     3045.TW                  60           17.65                -13.57            False           False            119        ☁ 觀望
     6153.TW                 120           26.53                -13.58            False           False             49        📈 持有
    6228.TWO                  60           27.00                -14.78            False           False            100        ☁ 觀望
     9933.TW                  20           26.49                -15.17            False           False            151        ☁ 觀望
  00764B.TWO                 120           27.59                -15.31             True           False             29        📈 持有
     3550.TW                  60           33.70                -15.63            False           False             92        📈 持有
    6218.TWO                  60           35.71                -15.92             True            True             98        📈 持有
    6843.TWO                  60           31.03                -16.00            False           False             29        ☁ 觀望
   911622.TW                  60           20.41                -16.59            False           False             98        📈 持有
     6928.TW                 240            0.00                -16.86            False           False              2        ☁ 觀望
    6841.TWO                 240           50.00                -18.55            False           False              4        ☁ 觀望
  00679B.TWO                 240           18.18                -19.02             True           False             22        ☁ 觀望
     6722.TW                  60           30.77                -19.52            False           False             26        ☁ 觀望
     6742.TW                  20           24.00                -19.90            False           False             50        ☁ 觀望
  00687B.TWO                 240           17.39                -20.20             True           False             23        ☁ 觀望
     4737.TW                  20           31.79                -20.33            False            True            151        📈 持有
    3615.TWO                 240           25.71                -20.33             True           False             35        📈 持有
     2258.TW                  10           31.43                -20.87            False           False             35        ☁ 觀望
    6859.TWO                 240           31.58                -21.13            False            True             19        ☁ 觀望
  00696B.TWO                 120           33.33                -21.50             True           False             42        📈 持有
     2634.TW                 240           21.05                -23.22             True           False             38        📈 持有
     1718.TW                 240           21.88                -23.98             True            True             32        📈 持有
     1432.TW                 240           22.58                -24.36            False            True             31        ☁ 觀望
     2208.TW                  10           23.11                -24.86            False           False            212        ☁ 觀望
    4167.TWO                  20           27.52                -25.30            False            True            149        ☁ 觀望
     6933.TW                 240            0.00                -25.52            False           False              5        ☁ 觀望
    8038.TWO                 120           31.75                -25.64            False           False             63        ☁ 觀望
    00700.TW                  60           28.57                -26.19            False            True             56        ☁ 觀望
     5388.TW                  20           31.65                -26.51            False           False            158        ☁ 觀望
     6573.TW                 120           37.84                -26.96            False           False             37        📈 持有
    4123.TWO                 240           29.82                -27.96             True           False             57        📈 持有
     6271.TW                  10           31.46                -28.29             True           False            213        📈 持有
     3432.TW                  10           30.28                -28.29            False           False            218        ☁ 觀望
     3057.TW                  10           27.91                -29.15            False           False            215        ☁ 觀望
     1323.TW                 240           23.81                -29.18            False            True             42        ☁ 觀望
  00795B.TWO                  20           27.16                -29.75             True           False             81        📈 持有
  00857B.TWO                  20           34.62                -30.03             True           False             78        📈 持有
     1789.TW                 120           26.32                -30.61            False            True             57        📈 持有
     9929.TW                 240           33.87                -30.83            False           False             62        ☁ 觀望
    8455.TWO                  20           22.94                -30.83            False           False            170        📈 持有
   00671R.TW                 240           12.50                -31.37             True           False              8        ☁ 觀望
   00674R.TW                 120           24.00                -31.45            False            True             25        ☁ 觀望
     1456.TW                 240           27.03                -32.93             True            True             37        ☁ 觀望
   00666R.TW                 120           36.67                -33.16             True            True             30        📈 持有
     6668.TW                  60           34.48                -33.71            False           False             58        ☁ 觀望
     2483.TW                  20           30.16                -34.65             True           False            126        📈 持有
     6890.TW                 120           16.67                -34.86            False           False              6        ☁ 觀望
     3576.TW                 240           26.47                -35.07             True           False             34        📈 持有
    3067.TWO                 120           23.08                -35.54            False            True            104        ☁ 觀望
     1444.TW                 240           23.64                -35.76            False            True             55        ☁ 觀望
    5272.TWO                  60           23.81                -35.78             True           False             84        📈 持有
    4609.TWO                 240           36.51                -36.82            False           False             63        ☁ 觀望
     2431.TW                  10           29.38                -37.07            False           False            211        ☁ 觀望
    6730.TWO                  20           30.43                -37.44            False           False             92        ☁ 觀望
     4906.TW                  60           32.39                -37.92            False           False             71        📈 持有
    2252.TWO                  20           26.09                -37.95            False            True             46        ☁ 觀望
    6179.TWO                  10           29.91                -41.99            False           False            224        ☁ 觀望
    6865.TWO                 120            9.09                -42.94            False           False             11        ☁ 觀望
    2235.TWO                 240           17.14                -42.99            False           False             35        ☁ 觀望
     1589.TW                 240           30.77                -43.01            False            True             26        ☁ 觀望
   00676R.TW                  60           21.43                -43.36            False           False             42        ☁ 觀望
    4130.TWO                  60           20.29                -44.10             True            True             69        📈 持有
   00664R.TW                 240            6.67                -44.44            False           False             15        ☁ 觀望
   00638R.TW                 240           21.88                -45.62             True           False             32        ☁ 觀望
    6147.TWO                 240           27.12                -46.33            False           False             59        ☁ 觀望
     5546.TW                 240           18.52                -46.48            False            True             27        ☁ 觀望
   00634R.TW                 240           18.75                -46.93             True           False             32        ☁ 觀望
     3419.TW                  10           25.12                -47.81             True           False            215        📈 持有
     6719.TW                  60           12.12                -47.94            False           False             33        ☁ 觀望
     3094.TW                  20           29.73                -48.98            False           False            148        ☁ 觀望
   00686R.TW                 240           13.33                -49.26            False           False             15        ☁ 觀望
     4960.TW                 120           35.48                -51.55             True            True             62        📈 持有
   00641R.TW                 240           11.54                -52.01            False           False             26        ☁ 觀望
     2105.TW                 240           12.82                -53.04            False           False             39        ☁ 觀望
     6166.TW                  60           32.89                -53.67            False           False             76        📈 持有
   00656R.TW                 240           25.81                -53.94             True           False             31        ☁ 觀望
   00651R.TW                  60           26.23                -53.98            False           False             61        📈 持有
     1711.TW                  20           25.61                -54.74             True           False            164        📈 持有
    8923.TWO                 240           25.23                -56.61            False           False            111        ☁ 觀望
     2332.TW                  10           30.48                -57.70            False            True            210        📈 持有
    4806.TWO                   5           35.82                -58.16             True           False            282        ☁ 觀望
    3221.TWO                 120           40.30                -59.69             True           False             67        📈 持有
    2067.TWO                  60           34.62                -61.17            False            True            130        ☁ 觀望
    8080.TWO                 120           31.34                -63.02            False           False             67        📈 持有
    5227.TWO                 240           23.68                -63.71            False           False             38        ☁ 觀望
     6666.TW                 120           29.63                -66.94            False           False             27        ☁ 觀望
    6461.TWO                  10           26.92                -67.72             True            True            208        ☁ 觀望
     3714.TW                 240           23.53                -68.66             True            True             17        ☁ 觀望
    8044.TWO                  60           32.43                -70.56            False           False             74        ☁ 觀望
    8477.TWO                 120           31.58                -71.89             True           False             38        ☁ 觀望
    8921.TWO                 120           23.26                -72.30            False            True             86        ☁ 觀望
     3041.TW                  20           27.85                -72.48            False           False            158        ☁ 觀望
     1338.TW                 240           16.67                -72.57            False           False             24        ☁ 觀望
    4406.TWO                 240           31.03                -73.26            False            True             58        ☁ 觀望
    4131.TWO                 240           37.21                -88.18            False            True             43        ☁ 觀望
    2035.TWO                 240           12.07                -94.16             True           False             58        ☁ 觀望
    3176.TWO                 240           29.41                -94.80            False           False             34        ☁ 觀望
     4555.TW                 240           19.57                -95.74            False           False             46        ☁ 觀望
     1460.TW                  60           22.08                -97.45             True           False             77        📈 持有
    6124.TWO                  60           24.35                -99.66             True           False            115        📈 持有
     1340.TW                 240           13.89                -99.75            False            True             36        ☁ 觀望
    3632.TWO                  60           18.57               -101.70             True           False             70        📈 持有
     2923.TW                 240           15.69               -108.27             True            True             51        ☁ 觀望
     3054.TW                  10           27.92               -110.09             True            True            240        📈 持有
     1529.TW                 240           33.90               -112.11             True            True             59        📈 持有
     2321.TW                  20           31.18               -112.38            False           False            186        ☁ 觀望
     4807.TW                 240           25.00               -130.23            False           False             40        ☁ 觀望
    3523.TWO                  20           28.40               -134.61            False           False            162        ☁ 觀望
    4556.TWO                  10           27.73               -135.55            False           False            256        ☁ 觀望
    4161.TWO                 240           10.87               -139.17            False           False             46        ☁ 觀望
    3252.TWO                  20           27.41               -146.27             True           False            197        📈 持有
     6225.TW                 120           31.08               -226.95             True           False             74        📈 持有
    8067.TWO                 240           26.61               -240.95            False            True            109        ☁ 觀望
    8291.TWO                 240           26.03               -270.65            False           False             73        ☁ 觀望

報告已產出！
 TXT: report/20260307/ma_composite-v5-4_report_20260307.txt
 CSV: report/20260307/ma_composite-v5-4_report_20260307.csv
 JSON: data/stock_best_ma.json
