=== 均線扣抵方向性回測競賽 (資料日期: 20260307) ===
代號         |    最佳參數    |      勝率 |       累計報酬 | 交易次數
3045.TW    |    MA60    |    19.3% |    -36.41% |      119
6515.TW    |    MA20    |    27.3% |     35.19% |       77
8102.TWO   |    MA60    |    26.1% |    -36.59% |       23
00634R.TW  |    MA60    |    20.8% |    -98.82% |       72
8416.TWO   |    MA60    |    23.1% |    -19.65% |       91
3444.TWO   |    MA10    |    23.6% |     81.62% |      233
8027.TWO   |    MA10    |    26.2% |    167.73% |      210
4542.TWO   |    MA10    |    23.6% |     80.43% |      229
6415.TW    |    MA20    |    30.0% |     81.51% |      150
6573.TW    |    MA10    |    27.6% |     13.01% |      145
5536.TWO   |    MA10    |    27.8% |    181.50% |      209
6104.TWO   |    MA60    |    25.3% |    258.77% |       79
2211.TW    |    MA20    |    32.1% |    114.87% |       56
00949.TW   |    MA5     |    35.9% |     -1.38% |       39
2542.TW    |    MA20    |    26.9% |     75.48% |      134
6431.TW    |    MA20    |    25.4% |    118.81% |      126
7721.TW    |    MA20    |    23.1% |     -8.15% |       26
02001R.TW  |    MA5     |     0.0% |      0.00% |        0
4192.TWO   |    MA20    |    21.2% |     29.50% |      146
9917.TW    |    MA60    |    24.7% |     -6.65% |       93
8047.TWO   |    MA60    |    15.4% |     -6.40% |      149
1309.TW    |    MA60    |    25.4% |    203.27% |       67
00904.TW   |    MA10    |    38.6% |     77.91% |       57
6756.TW    |    MA60    |    29.3% |     83.79% |       41
6919.TW    |    MA10    |    51.2% |    398.39% |       41
3211.TWO   |    MA20    |    31.7% |    192.70% |      145
2360.TW    |    MA20    |    31.4% |    136.61% |      153
8016.TW    |    MA20    |    30.2% |      6.06% |      162
3094.TW    |    MA20    |    27.0% |    -13.63% |      148
5484.TW    |    MA60    |    18.6% |    180.70% |       70
6284.TWO   |    MA20    |    27.8% |      3.58% |      162
7783.TWO   |    MA5     |    23.3% |    -16.19% |       30
3014.TW    |    MA10    |    28.6% |     95.23% |      220
3558.TWO   |    MA20    |    30.7% |     12.18% |      153
