=== 均線扣抵參數大對決 (20260307) ===
代號         |   最佳參數   |      勝率 |      總累計報酬 | 交易次數
3379.TWO   |    MA10    |    24.6% |    199.84% |    244
2723.TW    |    MA60    |    33.3% |     65.98% |     72
3625.TWO   |    MA60    |    26.8% |    144.59% |     71
3141.TWO   |    MA60    |    27.4% |    561.41% |     62
7740.TW    |    MA5     |    33.3% |     -7.38% |     12
6708.TWO   |    MA20    |    30.4% |     50.55% |     69
1589.TW    |    MA60    |    21.4% |    -53.43% |     70
1435.TW    |    MA60    |    22.8% |    212.93% |     92
6291.TWO   |    MA60    |    24.5% |    117.93% |    106
9945.TW    |    MA60    |    23.2% |     94.91% |     82
9904.TW    |    MA60    |    30.9% |    -55.19% |     97
6140.TWO   |    MA60    |    20.2% |    -42.63% |    124
4949.TW    |    MA20    |    23.8% |    123.82% |     21
6282.TW    |    MA20    |    26.5% |    -11.74% |    155
1312.TW    |    MA60    |    24.4% |    -34.77% |     90
3049.TW    |    MA10    |    28.4% |     56.48% |    215
1537.TW    |    MA20    |    21.5% |    -69.84% |    186
2515.TW    |    MA10    |    25.9% |     73.61% |    212
1723.TW    |    MA20    |    17.1% |    -88.21% |    152
6179.TWO   |    MA10    |    21.5% |    -54.16% |    223
5493.TWO   |    MA60    |    26.8% |     31.37% |     97
00951.TW   |    MA10    |    44.0% |     34.30% |     25
6531.TW    |    MA20    |    38.8% |    539.34% |     80
6264.TWO   |    MA60    |     9.1% |    -25.46% |     66
2457.TW    |    MA60    |    19.4% |    276.20% |     72
6203.TWO   |    MA20    |    28.4% |    144.19% |    134
8926.TW    |    MA60    |    18.6% |     85.05% |     86
3028.TW    |    MA10    |    29.7% |     84.11% |    209
3430.TWO   |    MA20    |    28.8% |    139.81% |    125
3265.TWO   |    MA20    |    34.6% |    189.99% |    127
3481.TW    |    MA10    |    36.9% |    202.52% |    198
2941.TWO   |    MA60    |    20.0% |     95.16% |     25
6841.TWO   |    MA5     |    27.0% |    -40.78% |    100
2067.TWO   |    MA60    |    15.4% |   -189.97% |    130
2409.TW    |    MA10    |    29.7% |     77.86% |    202
00942B.TWO |    MA20    |    44.4% |      2.08% |     18
3236.TWO   |    MA60    |    27.3% |    133.19% |     66
00722B.TWO |    MA20    |    25.6% |     -3.39% |     86
3289.TWO   |    MA10    |    28.4% |     69.17% |    208
00970B.TWO |    MA10    |    14.8% |    -11.63% |     27
0050.TW    |    MA10    |    30.5% |    102.11% |    190
3710.TWO   |    MA20    |    21.6% |     -4.00% |    134
4526.TW    |    MA10    |    24.1% |     11.15% |    228
3090.TW    |    MA60    |    35.8% |    174.41% |     81
5309.TWO   |    MA10    |    30.2% |    275.87% |    212
6719.TW    |    MA60    |    15.6% |    -41.49% |     32
3556.TWO   |    MA10    |    26.2% |     31.66% |    202
00679B.TWO |    MA20    |    28.3% |    -33.88% |    113
1711.TW    |    MA60    |    25.0% |    -79.67% |     92
1102.TW    |    MA60    |    28.2% |    -26.52% |     71
6762.TWO   |    MA60    |    21.4% |    -21.44% |     42
7782.TWO   |    MA60    |    16.7% |    -11.04% |      6
TXF.TW     |    MA10    |    33.0% |     32.80% |    188
3088.TWO   |    MA20    |    25.0% |     18.21% |    152
7744.TWO   |    MA20    |    35.3% |     93.44% |     17
6191.TW    |    MA60    |    29.7% |    294.03% |     74
8422.TW    |    MA10    |    24.1% |      9.52% |    232
3701.TW    |    MA20    |    17.5% |    172.50% |    206
5508.TWO   |    MA60    |    20.9% |    335.56% |     67
4562.TW    |    MA60    |    12.6% |    164.32% |     87
5258.TW    |    MA60    |    25.8% |    179.82% |     97
6904.TWO   |    MA20    |    24.3% |     11.83% |     37
8044.TWO   |    MA60    |    26.7% |    -63.32% |     75
3530.TW    |    MA60    |    30.4% |    217.46% |     69
1599.TWO   |    MA10    |    22.4% |    -20.71% |    219
3092.TW    |    MA10    |    28.1% |    151.04% |    196
1726.TW    |    MA10    |    18.1% |   -143.92% |    282
00985B.TW  |    MA20    |    50.0% |      3.33% |      2
7728.TWO   |    MA5     |    26.7% |     34.66% |     60
2618.TW    |    MA10    |    29.2% |     49.84% |    219
8045.TW    |    MA60    |    19.0% |    450.37% |     63
2489.TW    |    MA60    |    22.9% |     79.23% |     70
6509.TWO   |    MA10    |    27.5% |     36.03% |    204
2838.TW    |    MA10    |    22.6% |    -43.49% |    221
3501.TW    |    MA60    |    26.5% |     15.05% |     68
8039.TW    |    MA20    |    32.0% |     25.46% |    147
3105.TWO   |    MA10    |    34.2% |    166.61% |    219
8478.TW    |    MA60    |    22.6% |    199.58% |     62
3550.TW    |    MA60    |    28.6% |     -7.43% |     91
3432.TW    |    MA10    |    24.2% |      9.13% |    219
1514.TW    |    MA5     |    34.5% |    261.01% |    278
6209.TW    |    MA5     |    26.8% |    200.40% |    317
4912.TW    |    MA60    |    30.1% |    242.37% |     83
3015.TW    |    MA20    |    27.8% |     49.90% |    144
3703.TW    |    MA60    |    31.9% |    123.42% |     69
1735.TW    |    MA60    |    21.3% |    -90.19% |    108
1522.TW    |    MA60    |    31.6% |    131.27% |     79
00712.TW   |    MA20    |    32.2% |     39.87% |     87
6196.TW    |    MA10    |    37.4% |    283.63% |    190
5299.TWO   |    MA60    |    24.4% |    416.71% |     82
4989.TW    |    MA20    |    24.8% |    105.91% |    113
6405.TW    |    MA10    |    27.4% |    109.95% |    201
2423.TW    |    MA5     |    27.1% |   -107.40% |    336
00673R.TW  |    MA60    |    26.1% |    281.05% |     69
1784.TWO   |    MA60    |    27.4% |      9.04% |     95
6130.TWO   |    MA10    |    22.9% |     83.07% |    210
4749.TWO   |    MA10    |    37.9% |    214.47% |     66
5425.TWO   |    MA10    |    34.8% |    107.20% |    204
1307.TW    |    MA20    |    30.1% |     20.85% |    146
4960.TW    |    MA10    |    28.2% |     21.97% |    202
2235.TWO   |    MA20    |    20.7% |   -118.62% |    164
3629.TWO   |    MA10    |    25.2% |     46.21% |    222
6683.TWO   |    MA10    |    32.1% |    237.68% |    112
3290.TWO   |    MA60    |    31.5% |     25.28% |     73
1513.TW    |    MA20    |    23.5% |    161.79% |    170
1455.TW    |    MA20    |    27.5% |    169.03% |    131
6730.TWO   |    MA60    |    14.8% |    -80.25% |     54
3038.TW    |    MA60    |    30.1% |    126.31% |     83
8996.TW    |    MA10    |    31.5% |    376.82% |    203
3465.TWO   |    MA20    |    21.0% |    376.45% |    143
