正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
股票代號 (Stock)  最佳週期 (Best Period)  勝率 (Win Rate%)  總報酬率 (Total Return%)  最大回撤 (MDD%)  夏普比率 (Sharpe Ratio)  獲利因子 (Profit Factor)  交易次數 (Trades) 狀態 (Status)
     0050.TW                  20           36.57                133.77       -23.24                 2.92                  1.97            134        📈 持有
    3071.TWO                  20           33.07                132.82       -48.55                 1.79                  1.46            127        ☁ 觀望
     2615.TW                  10           26.98                132.79      -114.06                 1.34                  1.34            215        📈 持有
    3290.TWO                 120           33.33                132.70       -23.25                 4.60                  2.63             51        📈 持有
    6679.TWO                  10           35.53                132.53       -63.57                 1.80                  1.41            152        📈 持有
    3707.TWO                  20           32.77                132.17       -77.99                 1.77                  1.40            119        ☁ 觀望
     6706.TW                  60           45.83                132.07       -23.40                 3.93                  2.17             48        📈 持有
    6138.TWO                  20           37.50                132.04       -50.96                 1.81                  1.42            136        ☁ 觀望
     2316.TW                 240           36.36                131.44       -35.61                 5.50                  3.08             33        📈 持有
     3032.TW                   5           34.74                131.28       -46.52                 1.16                  1.28            285        ☁ 觀望
   00753L.TW                  60           43.90                130.85       -26.18                 4.54                  2.28             41        ☁ 觀望
    6231.TWO                  20           30.15                130.82       -44.94                 1.65                  1.39            136        ☁ 觀望
     3416.TW                  60           32.69                130.69       -15.38                 4.39                  2.75             52        ☁ 觀望
    6877.TWO                  10           39.06                130.52       -34.17                 3.02                  1.83             64        📈 持有
     6515.TW                  60           41.03                130.31       -49.47                 3.89                  2.06             39        📈 持有
     4943.TW                  10           31.73                130.25      -152.99                 1.14                  1.25            208        📈 持有
     5706.TW                  20           26.32                130.25       -25.75                 2.41                  1.75            114        📈 持有
     6949.TW                  20           44.44                130.22       -15.63                 8.89                  5.85             18        📈 持有
     2376.TW                  10           36.82                130.20       -60.51                 1.37                  1.32            201        ☁ 觀望
     2329.TW                  60           41.67                129.29       -27.55                 3.06                  1.87             72        📈 持有
     6655.TW                  20           31.37                129.17       -39.30                 3.05                  2.08            102        📈 持有
     2231.TW                  20           31.43                128.65       -37.65                 1.70                  1.40            140        ☁ 觀望
    6418.TWO                 240           51.72                128.48       -10.06                 6.35                  3.85             29        📈 持有
     6139.TW                  20           34.84                128.09       -49.15                 1.78                  1.48            155        ☁ 觀望
    8431.TWO                  20           37.23                127.84       -75.63                 1.72                  1.42            137        📈 持有
     3029.TW                 120           38.71                127.80       -21.22                 3.61                  2.10             62        ☁ 觀望
    8096.TWO                 240           39.13                127.26       -91.05                 3.57                  1.96             46        ☁ 觀望
    8069.TWO                  20           30.87                126.85       -46.93                 1.58                  1.36            149        ☁ 觀望
    6640.TWO                  10           39.63                126.47       -70.58                 1.61                  1.42            164        📈 持有
     2313.TW                  10           33.50                125.95       -73.75                 1.37                  1.31            206        📈 持有
    3221.TWO                 240           39.39                125.92       -31.01                 4.78                  2.35             33        📈 持有
    8234.TWO                  60           34.43                125.70       -30.06                 3.14                  1.77             61        ☁ 觀望
    4131.TWO                 240           47.73                124.89       -62.77                 3.68                  1.86             44        ☁ 觀望
    8091.TWO                  20           33.59                124.83       -38.58                 1.96                  1.52            131        ☁ 觀望
     8131.TW                 240           50.00                124.22        -6.19                 8.79                  6.91             26        📈 持有
     2377.TW                  20           35.71                123.29       -48.31                 1.97                  1.49            140        ☁ 觀望
    3587.TWO                  20           26.92                123.19       -48.28                 1.76                  1.42            130        📈 持有
     3011.TW                  10           37.70                123.13       -88.52                 1.30                  1.30            191        ☁ 觀望
     3135.TW                   5           32.32                122.77       -34.91                 2.18                  1.74             99        ☁ 觀望
     5607.TW                  60           33.82                122.35       -46.54                 3.42                  2.13             68        📈 持有
     2022.TW                  10           27.66                122.12       -52.88                 1.54                  1.47            188        📈 持有
    3541.TWO                  10           39.33                122.09       -42.22                 1.87                  1.46            178        ☁ 觀望
     6672.TW                  60           36.36                122.09       -18.68                 4.23                  2.29             44        📈 持有
    6510.TWO                  60           42.86                121.85       -82.42                 2.62                  1.68             77        📈 持有
    6683.TWO                  20           39.33                121.85       -49.86                 2.18                  1.51             89        📈 持有
    3206.TWO                  20           33.33                121.49       -50.23                 1.96                  1.53            141        📈 持有
     1459.TW                 120           39.66                121.47       -17.97                 4.24                  2.86             58        📈 持有
    5487.TWO                 120           40.00                121.46       -32.45                 3.31                  2.06             55        ☁ 觀望
   00715L.TW                  20           41.57                121.08       -78.07                 1.83                  1.37             89        📈 持有
    3162.TWO                  20           30.87                121.04       -53.61                 1.39                  1.30            149        ☁ 觀望
    6488.TWO                  20           38.32                121.00       -56.48                 2.11                  1.50            107        ☁ 觀望
     2838.TW                  60           39.39                120.85       -16.68                 4.49                  3.38             66        ☁ 觀望
     5225.TW                  60           42.03                120.66       -55.66                 2.92                  1.82             69        ☁ 觀望
     5484.TW                  10           30.37                120.23       -72.61                 1.17                  1.28            214        ☁ 觀望
     2211.TW                  10           38.00                119.69       -39.40                 2.57                  1.84            100        ☁ 觀望
     2330.TW                  20           37.58                119.16       -41.89                 2.08                  1.56            165        📈 持有
    7744.TWO                   5           39.53                118.60       -20.52                 4.77                  2.90             43        ☁ 觀望
     3013.TW                  10           34.58                118.49      -145.95                 1.19                  1.28            214        ☁ 觀望
