正在分析 1168 檔標的，並同步產出 TXT, CSV 與 JSON 對照表...
     Stock  Best_Period  Win_Rate%  Total_Return%  Trades Status
  8432.TWO          120      23.26          74.56      43   📈 持有
   3532.TW          240      35.14          74.43      37   📈 持有
   2480.TW           10      26.29          73.66     213   📈 持有
   2515.TW           10      25.94          73.61     212   📈 持有
   3040.TW           20      24.83          73.36     145   ☁ 觀望
   1568.TW          120      22.45          73.30      49   ☁ 觀望
   2023.TW          120      12.16          73.12      74   ☁ 觀望
  3379.TWO           20      19.21          72.91     177   ☁ 觀望
   2314.TW          120      23.53          72.52      34   ☁ 觀望
  3206.TWO           20      27.66          72.13     141   📈 持有
   3033.TW          120      17.74          71.84      62   📈 持有
   6789.TW           10      27.91          71.53      86   📈 持有
   3694.TW           10      30.81          71.35     211   ☁ 觀望
  6624.TWO          120      17.14          71.26      35   📈 持有
  6170.TWO            5      31.15          70.57     305   ☁ 觀望
   6552.TW          120      26.83          70.40      41   ☁ 觀望
  3289.TWO           10      28.71          69.46     209   📈 持有
   6414.TW           10      34.11          69.21     214   ☁ 觀望
   6128.TW          240      25.00          69.09      24   ☁ 觀望
   8499.TW           10      23.87          69.05     155   ☁ 觀望
   4569.TW           20      26.47          66.99      34   📈 持有
    TXF.TW          240      23.08          66.70      26   📈 持有
   7610.TW           10      33.33          66.02       6   📈 持有
   3645.TW          120      26.42          65.93      53   ☁ 觀望
   6456.TW           60      22.39          65.20      67   📈 持有
  6217.TWO           10      30.88          65.12     204   📈 持有
   2393.TW          120      20.31          64.03      64   ☁ 觀望
   2434.TW          120      25.00          63.60      36   📈 持有
  5347.TWO           20      30.63          63.07     160   ☁ 觀望
  7792.TWO           20      25.00          62.86      16   ☁ 觀望
 00738U.TW           10      33.60          62.85     125   📈 持有
  3615.TWO            5      29.32          62.68     307   📈 持有
  3213.TWO           10      28.64          62.35     206   📈 持有
  00923.TW           10      40.54          61.97      37   📈 持有
   6152.TW           60      21.13          61.56      71   📈 持有
  5302.TWO           20      25.53          61.38     141   ☁ 觀望
   2231.TW           10      27.09          61.19     203   ☁ 觀望
   2903.TW           20      27.86          61.14     140   📈 持有
  8349.TWO           20      27.40          60.79     146   ☁ 觀望
   2616.TW          240      19.51          60.14      41   📈 持有
  6284.TWO          240      34.04          60.12      47   📈 持有
  3306.TWO          120      31.48          60.11      54   ☁ 觀望
  00918.TW          120      50.00          60.00       6   📈 持有
   3049.TW           20      29.41          59.65     136   📈 持有
  6565.TWO          240      16.67          59.39      24   ☁ 觀望
   8464.TW          120      26.79          59.31      56   ☁ 觀望
   2414.TW           10      30.26          58.81     195   📈 持有
   6854.TW           10      22.41          58.79      58   📈 持有
  6532.TWO           20      28.80          58.63     125   📈 持有
  4971.TWO           10      33.33          57.97     210   📈 持有
  3664.TWO          240      40.91          57.90      44   ☁ 觀望
  6279.TWO          240      40.48          57.53      42   ☁ 觀望
  3609.TWO          120      27.45          57.32      51   ☁ 觀望
  2740.TWO          120      25.00          57.31      36   📈 持有
  6244.TWO           10      29.03          56.96     217   📈 持有
   6142.TW           20      27.56          56.91     127   ☁ 觀望
  3663.TWO           20      24.83          56.72     149   ☁ 觀望
  6727.TWO          120      20.59          56.56      34   📈 持有
  00922.TW           10      33.33          56.28      45   📈 持有
   6863.TW          120      50.00          55.83      12   ☁ 觀望
   9110.TW          120      16.92          55.71      65   ☁ 觀望
   2498.TW           10      28.18          55.58     220   ☁ 觀望
   2464.TW          240      24.56          55.05      57   ☁ 觀望
   1312.TW          120      27.50          55.00      40   📈 持有
   2485.TW           20      28.06          54.95     139   📈 持有
 00633L.TW           60      29.63          54.73      81   ☁ 觀望
  6616.TWO           60      20.69          54.31      58   📈 持有
  00891.TW           20      42.55          54.11      47   📈 持有
 00753L.TW          240      40.00          54.04      15   ☁ 觀望
  3624.TWO          120      22.22          53.88      72   📈 持有
   2812.TW           10      30.81          53.43     198   📈 持有
  3323.TWO           20      28.57          53.37     161   ☁ 觀望
  6708.TWO           20      30.43          53.10      69   ☁ 觀望
  3516.TWO          240      29.27          53.05      41   ☁ 觀望
 009803.TW           10      57.14          52.97       7   📈 持有
  00878.TW          120      31.25          52.87      16   📈 持有
   6831.TW            5      50.00          52.81       6   📈 持有
   1439.TW           20      25.52          52.51     145   ☁ 觀望
   3057.TW           10      21.40          51.70     215   ☁ 觀望
  6855.TWO          120      37.50          51.02      16   ☁ 觀望
  5478.TWO           10      27.36          50.43     212   📈 持有
  3629.TWO           10      25.68          49.66     222   ☁ 觀望
  2237.TWO          240      21.62          49.29      37   📈 持有
 00650L.TW          240      39.13          49.23      23   📈 持有
  00919.TW           20      40.62          49.22      32   ☁ 觀望
   2392.TW          120      17.31          49.11      52   ☁ 觀望
   1525.TW           20      23.36          48.77     137   ☁ 觀望
  00900.TW          120      20.00          48.62      10   📈 持有
   6451.TW           20      31.25          48.33     128   📈 持有
   2312.TW           10      25.23          46.71     214   ☁ 觀望
   6209.TW          120      18.84          46.51      69   📈 持有
   2426.TW           10      28.71          45.99     209   📈 持有
  1599.TWO          240      18.75          45.84      32   ☁ 觀望
   6937.TW           10      32.79          45.80      61   📈 持有
   6202.TW          240      35.56          44.93      45   📈 持有
  3594.TWO           10      30.14          44.46     209   📈 持有
   2302.TW           20      26.45          44.20     155   ☁ 觀望
  4167.TWO           10      27.40          43.91     219   📈 持有
   2495.TW           60      26.44          43.83      87   📈 持有
   6133.TW          120      21.13          43.78      71   📈 持有
   3189.TW            5      26.82          43.57     302   ☁ 觀望
  4523.TWO           10      22.82          43.55     206   📈 持有
  00646.TW           20      39.60          43.16     101   ☁ 觀望
   2002.TW          120      28.12          42.99      64   ☁ 觀望
  6508.TWO          240      22.22          42.73      27   ☁ 觀望
  4127.TWO           20      24.36          42.26     156   ☁ 觀望
  1593.TWO          120      27.59          42.09      58   📈 持有
   6768.TW           20      31.75          40.33      63   ☁ 觀望
   2419.TW          240      22.00          40.02      50   📈 持有
  00712.TW           20      32.18          39.87      87   ☁ 觀望
  3558.TWO          120      31.91          39.82      47   ☁ 觀望
  6811.TWO           20      22.73          39.30      66   ☁ 觀望
   2889.TW           10      29.74          39.13     195   ☁ 觀望
   2897.TW          120      20.00          38.67      55   📈 持有
  3498.TWO          120      25.00          38.34      48   📈 持有
   1310.TW          240      24.00          38.22      25   📈 持有
   6944.TW           10      33.33          38.09      15   📈 持有
   6153.TW           10      33.33          37.90     201   ☁ 觀望
  3597.TWO          120      24.39          36.85      41   ☁ 觀望
  7810.TWO           10      21.74          36.73      23   ☁ 觀望
  5223.TWO           20      23.33          36.16      90   📈 持有
   6806.TW           60      25.00          34.96      20   📈 持有
  3541.TWO            5      29.93          34.87     274   ☁ 觀望
   6282.TW          240      24.24          34.83      33   📈 持有
  8255.TWO          120      22.97          34.82      74   ☁ 觀望
   2103.TW          120      25.00          34.38      56   📈 持有
  00951.TW           10      44.00          34.30      25   ☁ 觀望
  2726.TWO           60      26.09          33.67      69   ☁ 觀望
   2605.TW            5      28.86          33.03     298   📈 持有
 00955.TWO            5      40.62          32.69      32   ☁ 觀望
  8047.TWO          120      15.29          32.43      85   📈 持有
   3501.TW          240      45.45          32.42      22   ☁ 觀望
  3221.TWO           20      27.61          31.76     134   📈 持有
   9926.TW          240      26.53          31.71      49   📈 持有
  4577.TWO          120      17.39          31.55      23   📈 持有
 00985A.TW           10      80.00          31.23       5   📈 持有
   2347.TW          120      27.14          31.22      70   📈 持有
   6873.TW           20      28.26          30.58      46   ☁ 觀望
   7780.TW          120      60.00          30.11       5   ☁ 觀望
  6884.TWO          240      11.11          30.06       9   ☁ 觀望
   7788.TW           20     100.00          29.87       3   ☁ 觀望
   2420.TW          120      26.53          29.55      49   ☁ 觀望
  4192.TWO           20      21.23          29.50     146   ☁ 觀望
  3556.TWO           10      25.62          29.09     203   ☁ 觀望
  00965.TW           10      41.18          28.84      17   📈 持有
   8463.TW           60      24.24          28.80      99   📈 持有
   2034.TW          240      22.22          28.79      36   ☁ 觀望
  00902.TW           10      18.87          28.59      53   ☁ 觀望
  00929.TW           20      37.93          27.83      29   ☁ 觀望
   3380.TW           20      30.94          27.79     139   ☁ 觀望
 00655L.TW           20      30.97          27.77     113   ☁ 觀望
   3592.TW           20      37.84          27.76      37   ☁ 觀望
   6592.TW          120      28.00          27.56      25   ☁ 觀望
   1528.TW          120      22.06          27.51      68   📈 持有
   9917.TW          240      21.28          27.16      47   ☁ 觀望
   1809.TW          120      27.87          27.01      61   📈 持有
  5011.TWO          240      25.64          27.01      39   ☁ 觀望
  6530.TWO          120      30.51          26.76      59   📈 持有
   7769.TW            5      66.67          26.40       6   ☁ 觀望
   2461.TW          120      28.79          26.38      66   ☁ 觀望
  00752.TW          240      27.78          25.94      18   ☁ 觀望
  7738.TWO           10      18.52          25.76      27   ☁ 觀望
   1723.TW          240      33.33          25.24      21   ☁ 觀望
   6112.TW          120      26.15          25.21      65   ☁ 觀望
   2208.TW           10      23.11          25.02     212   ☁ 觀望
   2458.TW           10      29.52          24.95     210   📈 持有
   1537.TW          120      19.35          24.65      62   ☁ 觀望
00740B.TWO          120      38.46          24.63      26   📈 持有
   2884.TW           10      30.73          24.31     205   📈 持有
   2891.TW           20      30.06          24.06     163   📈 持有
   3416.TW          120      34.38          22.81      64   ☁ 觀望
  6844.TWO          240      50.00          22.16       4   ☁ 觀望
   5203.TW           10      29.95          22.13     197   ☁ 觀望
  6612.TWO          120      28.85          21.82      52   ☁ 觀望
  6163.TWO            5      27.61          21.35     297   ☁ 觀望
  8935.TWO          240      29.27          20.93      41   📈 持有
   1307.TW           20      30.14          20.85     146   📈 持有
   4960.TW           10      28.08          20.81     203   📈 持有
   2867.TW           60      25.71          20.48      70   📈 持有
00722B.TWO          120      20.69          20.45      29   📈 持有
   3003.TW           60      28.57          20.28      77   📈 持有
 00635U.TW           60      32.69          20.26      52   📈 持有
   4770.TW          240      27.27          20.05      11   ☁ 觀望
   6794.TW           20      19.05          19.96      21   ☁ 觀望
   6838.TW           10      27.27          19.83      22   ☁ 觀望
  3088.TWO           20      24.68          19.67     154   ☁ 觀望
  5230.TWO            5      30.36          18.93     280   ☁ 觀望
  5205.TWO            5      21.21          18.69     264   📈 持有
  3073.TWO          120      19.64          18.66      56   ☁ 觀望
  7714.TWO           20      32.00          18.17      25   ☁ 觀望
   1516.TW           20      25.00          17.67     164   ☁ 觀望
   3432.TW           10      24.31          17.64     218   ☁ 觀望
   1714.TW          240      23.33          17.48      30   📈 持有
  7734.TWO            5      24.53          17.40      53   ☁ 觀望
   1326.TW          240      15.38          17.10      26   📈 持有
  3499.TWO          120      25.00          16.85      64   📈 持有
  4130.TWO           10      22.48          16.38     218   📈 持有
  00875.TW          240      33.33          16.28       9   📈 持有
00864B.TWO          120      18.18          15.77      11   📈 持有
  4702.TWO          240      25.00          15.34      36   ☁ 觀望
   6285.TW          120      29.73          15.24      74   📈 持有
   6657.TW            5      24.62          15.06      65   ☁ 觀望
  5905.TWO           20      19.29          14.33     140   ☁ 觀望
00725B.TWO           20      26.76          14.29      71   📈 持有
   1536.TW          120      21.31          14.24      61   ☁ 觀望
   6141.TW          240      21.88          14.20      32   📈 持有
  3521.TWO           60      20.00          14.11      80   📈 持有
  00936.TW           20      31.82          13.97      22   ☁ 觀望
   6742.TW           10      33.33          13.94      72   ☁ 觀望
   6573.TW           10      27.59          13.01     145   ☁ 觀望
  5355.TWO          240      24.24          12.97      33   ☁ 觀望
   6933.TW            5      24.56          12.11      57   ☁ 觀望
  6904.TWO           20      27.03          11.77      37   ☁ 觀望
 00637L.TW           20      30.17          11.72     116   ☁ 觀望
   2104.TW          240      12.50          11.55      32   📈 持有
   6928.TW            5      30.00          11.47      40   ☁ 觀望
  2724.TWO          120      11.11          11.20      63   ☁ 觀望
  8383.TWO          120      21.52          11.17      79   ☁ 觀望
 00983A.TW           20      50.00          10.88       4   ☁ 觀望
   6505.TW          240      15.56          10.53      45   📈 持有
  8489.TWO           20      25.00          10.48     120   ☁ 觀望
00720B.TWO           20      31.17           9.98      77   📈 持有
   7750.TW           20     100.00           9.77       1   📈 持有
   9907.TW           60      24.36           9.53      78   📈 持有
00719B.TWO          240      45.45           9.51      11   ☁ 觀望
 00665L.TW          240      33.33           9.14      24   ☁ 觀望
  1784.TWO           60      27.37           9.04      95   ☁ 觀望
   3652.TW          240      50.00           8.95      34   ☁ 觀望
   1735.TW          120      36.92           8.52      65   📈 持有
  7584.TWO          240      25.00           8.40      12   ☁ 觀望
   1611.TW          240      31.25           8.13      64   ☁ 觀望
   2201.TW          120      12.96           8.06      54   ☁ 觀望
  00882.TW           10      25.88           7.77      85   📈 持有
  5272.TWO           10      28.84           7.67     215   📈 持有
   4904.TW          240      22.73           7.57      44   📈 持有
   1710.TW          240      17.39           7.48      23   ☁ 觀望
  4563.TWO          120      14.29           7.15      42   ☁ 觀望
  6245.TWO          120      21.13           7.05      71   ☁ 觀望
 00945B.TW           20      23.53           7.01      17   📈 持有
   6861.TW          120      42.86           6.97       7   📈 持有
  3611.TWO           20      27.81           6.38     151   ☁ 觀望
  00939.TW            5      35.71           6.02      42   ☁ 觀望
   1721.TW            5      19.56           6.00     317   ☁ 觀望
  3672.TWO           60      14.08           5.94      71   ☁ 觀望
  5013.TWO          240      20.00           5.80      55   ☁ 觀望
   2405.TW          120      24.62           5.61      65   ☁ 觀望
   6885.TW           60      33.33           5.45       3   ☁ 觀望
  4908.TWO          120      27.27           4.81      77   📈 持有
  2066.TWO          240      25.58           4.53      43   ☁ 觀望
  6190.TWO            5      32.12           4.36     302   ☁ 觀望
00724B.TWO          240      28.57           4.16      14   📈 持有
  00885.TW           10      24.69           4.03      81   📈 持有
   2601.TW          120      26.09           3.90      46   📈 持有
   6598.TW           20      24.58           3.74     118   📈 持有
  6735.TWO          240      29.41           3.70      17   ☁ 觀望
 00985B.TW           20      50.00           3.33       2   📈 持有
 00953B.TW           20      33.33           3.13      12   📈 持有
  4745.TWO           10      26.19           2.73     210   ☁ 觀望
00942B.TWO           20      44.44           2.08      18   📈 持有
  3570.TWO           20      22.81           1.67     171   ☁ 觀望
   5388.TW           60      30.38           1.53      79   ☁ 觀望
   4906.TW           10      32.35           1.43     204   📈 持有
00970B.TWO          240      50.00           1.27       2   📈 持有
  7702.TWO          120      60.00           1.13       5   ☁ 觀望
  00949.TW          240     100.00           1.09       1   📈 持有
   6477.TW          120      27.40           0.84      73   ☁ 觀望
  4580.TWO           60      32.61           0.67      46   📈 持有
   6906.TW          240      50.00           0.49       2   ☁ 觀望
  6793.TWO           60      22.73           0.48      22   📈 持有
 009801.TW           10      38.89           0.42      18   ☁ 觀望
 00887.TWO           20      23.91           0.21      46   ☁ 觀望
   2634.TW          240      21.05           0.10      38   📈 持有
  7583.TWO          240      50.00          -0.02       8   ☁ 觀望
00773B.TWO           10      28.97          -0.02     107   📈 持有
00968B.TWO          240      50.00          -0.50       2   📈 持有
00772B.TWO           20      31.75          -0.50      63   📈 持有
   2241.TW           20      24.39          -0.69     123   ☁ 觀望
   1402.TW          240      25.00          -0.74      40   ☁ 觀望
   7786.TW           60       0.00          -0.81       1   ☁ 觀望
  2887I.TW          120       0.00          -1.14       1   📈 持有
   6887.TW           60       0.00          -1.21       1   ☁ 觀望
   9921.TW          120      26.83          -1.39      41   ☁ 觀望
00981D.TWO           60       0.00          -1.48       2   ☁ 觀望
   1456.TW          240      21.62          -1.52      37   ☁ 觀望
00984B.TWO           10      17.65          -1.66      17   📈 持有
  7805.TWO           20      45.45          -1.76      11   📈 持有
00959B.TWO          240      25.00          -1.83       4   📈 持有
 00688L.TW          240      28.57          -1.84      14   ☁ 觀望
   6924.TW          240       0.00          -1.93       1   ☁ 觀望
   1538.TW          240      12.90          -2.08      31   ☁ 觀望
  6929.TWO          240      33.33          -2.29       3   ☁ 觀望
00780B.TWO          240      28.57          -2.38       7   📈 持有
  00946.TW            5      30.43          -2.62      46   ☁ 觀望
   9908.TW           60      14.14          -2.83      99   📈 持有
  6228.TWO           60      17.00          -2.92     100   ☁ 觀望
  7812.TWO          240       0.00          -2.96       1   ☁ 觀望
   2646.TW          120       0.00          -3.01       2   ☁ 觀望
   4536.TW          120      19.40          -3.11      67   ☁ 觀望
   4585.TW           60       0.00          -4.51       1   📈 持有
  6218.TWO          240      30.77          -4.61      39   ☁ 觀望
   6526.TW          240      42.86          -4.72       7   ☁ 觀望
00751B.TWO           20      35.53          -5.24      76   📈 持有
  7455.TWO          120       0.00          -5.28       3   ☁ 觀望
   2547.TW           10      23.90          -5.75     205   📈 持有
   6988.TW          120      33.33          -5.80       3   ☁ 觀望
  7783.TWO          120      25.00          -5.92       4   ☁ 觀望
   6902.TW          240       0.00          -6.22       1   ☁ 觀望
   8162.TW          240      14.29          -7.05       7   📈 持有
   4551.TW           20      25.38          -7.19     130   ☁ 觀望
  7752.TWO          120      28.57          -7.23       7   ☁ 觀望
   7740.TW            5      33.33          -7.38      12   📈 持有
  6264.TWO          120       3.45          -7.44      29   ☁ 觀望
  5490.TWO           20      25.19          -7.45     131   ☁ 觀望
   3717.TW            5      33.33          -7.76      15   📈 持有
   2432.TW          240       0.00          -7.77       4   ☁ 觀望
   1301.TW          240      18.75          -7.94      32   📈 持有
   6957.TW          120       0.00          -7.98       2   📈 持有
 00642U.TW           20      29.82          -8.01     114   📈 持有
   5876.TW           60      22.67          -8.07      75   ☁ 觀望
   7721.TW           20      23.08          -8.15      26   📈 持有
  6961.TWO           10      22.50          -8.24      40   📈 持有
   6534.TW          240      33.33          -8.46       6   📈 持有
  00940.TW            5      28.57          -8.54      42   ☁ 觀望
  7709.TWO           20      24.32          -9.21      37   ☁ 觀望
   2254.TW          120      18.18          -9.54      11   📈 持有
   8926.TW           10      20.66          -9.80     242   📈 持有
 00982A.TW            5       0.00          -9.85       1   ☁ 觀望
   1337.TW          240      24.14         -10.24      29   ☁ 觀望
   1314.TW          240      13.51         -10.80      37   📈 持有
  6996.TWO          120      18.18         -11.05      11   📈 持有
   6271.TW           10      29.11         -11.29     213   📈 持有
  00703.TW           20      33.71         -11.41      89   ☁ 觀望
   2739.TW           60      16.90         -11.72      71   ☁ 觀望
  2948.TWO           20      19.40         -11.73      67   📈 持有
  6841.TWO          120      26.32         -11.85      19   ☁ 觀望
   1432.TW           10      27.45         -12.18     204   ☁ 觀望
  5301.TWO           20      14.69         -12.35     143   📈 持有
  3710.TWO           10      26.37         -13.27     201   📈 持有
   9904.TW          120      24.62         -13.47      65   📈 持有
   3094.TW           20      27.03         -13.63     148   ☁ 觀望
   2892.TW           10      29.06         -13.64     203   📈 持有
  5487.TWO          120      30.91         -13.71      55   ☁ 觀望
   2890.TW           10      29.30         -13.84     215   📈 持有
00679B.TWO          240      13.64         -14.15      22   ☁ 觀望
  6236.TWO          240      22.50         -14.22      40   ☁ 觀望
   6962.TW            5      22.22         -15.06      27   ☁ 觀望
   7749.TW           60       0.00         -15.47       3   ☁ 觀望
  7737.TWO          120       0.00         -16.22       3   ☁ 觀望
  6212.TWO          120      21.52         -16.81      79   ☁ 觀望
  4541.TWO           20      29.87         -17.23     154   ☁ 觀望
   3266.TW          240      12.77         -17.59      47   ☁ 觀望
  6982.TWO          240      33.33         -17.82       6   ☁ 觀望
  00700.TW          240      20.51         -17.88      39   ☁ 觀望
00687B.TWO          240      13.04         -18.27      23   ☁ 觀望
   1563.TW           60       0.00         -18.33       8   📈 持有
00937B.TWO          240      18.18         -18.40      11   ☁ 觀望
 00680L.TW          240      26.32         -18.49      19   ☁ 觀望
  6465.TWO          120      31.11         -19.06      45   📈 持有
   2630.TW           60      25.93         -19.19      81   📈 持有
00795B.TWO           20      30.86         -19.27      81   📈 持有
  8416.TWO           60      23.08         -19.65      91   ☁ 觀望
00761B.TWO          120      12.50         -19.74      32   📈 持有
  4538.TWO          240      20.37         -21.21      54   📈 持有
  3217.TWO            5      28.22         -21.26     326   📈 持有
   4737.TW            5      21.85         -21.72     302   📈 持有
   1418.TW          240      15.62         -22.50      32   ☁ 觀望
   1718.TW          240      18.75         -23.12      32   📈 持有
   3550.TW          240      19.44         -23.51      36   ☁ 觀望
  8102.TWO          120      25.00         -23.88      12   ☁ 觀望
  4911.TWO          120      20.37         -23.98      54   ☁ 觀望
   3008.TW          240      30.00         -25.01      30   ☁ 觀望
   9914.TW          120      24.00         -25.01      50   ☁ 觀望
  3064.TWO           20      20.71         -25.24     169   ☁ 觀望
   2880.TW           10      27.15         -25.26     221   📈 持有
   9933.TW          240      22.64         -25.30      53   ☁ 觀望
   6830.TW           10      33.71         -25.70      89   📈 持有
00696B.TWO          240       9.68         -25.89      31   ☁ 觀望
   2484.TW          120      28.77         -25.95      73   📈 持有
00764B.TWO          120      31.03         -26.06      29   📈 持有
   1102.TW           60      28.17         -26.52      71   ☁ 觀望
   6722.TW           20      27.78         -27.19      36   ☁ 觀望
   1504.TW          120      23.81         -28.89      84   📈 持有
  4744.TWO            5      26.95         -29.47     308   ☁ 觀望
   2332.TW           10      26.67         -30.40     210   📈 持有
  6859.TWO          120      29.63         -30.47      27   ☁ 觀望
   2845.TW           10      23.72         -30.59     215   ☁ 觀望
   1444.TW          240      21.82         -30.82      55   ☁ 觀望
   6166.TW           60      23.68         -31.09      76   📈 持有
   2233.TW            5      27.90         -31.48     319   ☁ 觀望
   2354.TW          120      18.33         -31.94      60   ☁ 觀望
   8101.TW          120      14.71         -31.98      34   📈 持有
   3419.TW           10      23.26         -32.63     215   📈 持有
00857B.TWO           20      28.21         -33.15      78   📈 持有
   1789.TW          120      21.05         -33.15      57   📈 持有
 00666R.TW          120      43.33         -33.24      30   📈 持有
  4416.TWO          120      25.45         -33.36      55   ☁ 觀望
 00664R.TW          240       6.67         -33.48      15   ☁ 觀望
   6890.TW          120       0.00         -33.56       6   ☁ 觀望
  6894.TWO           10      23.68         -33.71      76   📈 持有
  5516.TWO          240      11.76         -33.98      51   ☁ 觀望
   1589.TW          240      23.08         -34.08      26   ☁ 觀望
   1213.TW          120      22.86         -34.25      70   ☁ 觀望
 00674R.TW          120      24.00         -34.29      25   ☁ 觀望
 00686R.TW          240       0.00         -34.82      15   ☁ 觀望
  3691.TWO          240      22.86         -35.45      35   📈 持有
   2483.TW          240      20.97         -35.84      62   📈 持有
   1323.TW          240      11.90         -35.99      42   ☁ 觀望
   3045.TW          120      15.00         -36.11      80   📈 持有
   3041.TW           20      31.01         -36.81     158   ☁ 觀望
  6865.TWO          120       9.09         -36.85      11   ☁ 觀望
   9929.TW          240      12.90         -37.78      62   ☁ 觀望
   6965.TW            5      10.00         -37.91      20   ☁ 觀望
  3684.TWO           10      19.92         -38.83     241   📈 持有
   4560.TW           20      24.53         -39.71     106   📈 持有
   6206.TW           10      27.78         -40.67     216   📈 持有
   3504.TW          120      18.18         -41.23      44   📈 持有
   1459.TW           60      19.00         -41.86     100   📈 持有
 00656R.TW          240      29.03         -41.88      31   ☁ 觀望
   1303.TW          240      14.58         -41.98      48   📈 持有
  6418.TWO            5      23.05         -42.19     282   ☁ 觀望
  4530.TWO          120      16.25         -42.43      80   ☁ 觀望
 00651R.TW          120      28.57         -42.88      28   ☁ 觀望
  5228.TWO          240       7.41         -43.21      54   📈 持有
   2838.TW           10      22.62         -43.49     221   📈 持有
   2324.TW          120      16.07         -44.20      56   📈 持有
 00638R.TW          240      18.75         -44.31      32   ☁ 觀望
   2258.TW          240       0.00         -44.40      13   ☁ 觀望
  8240.TWO          120      27.69         -45.15      65   📈 持有
   2105.TW          240      17.95         -45.44      39   ☁ 觀望
  2067.TWO          120      17.86         -46.03      56   📈 持有
   5880.TW           10      29.31         -46.20     232   ☁ 觀望
 00634R.TW          240      21.88         -46.23      32   ☁ 觀望
  4154.TWO           60      19.32         -46.37      88   ☁ 觀望
  4806.TWO          240      23.53         -46.48      17   ☁ 觀望
  6140.TWO           60      20.33         -46.55     123   ☁ 觀望
 00671R.TW          240       0.00         -47.09       8   ☁ 觀望
   2834.TW           10      23.11         -48.35     225   ☁ 觀望
  6147.TWO          240      28.81         -50.17      59   ☁ 觀望
   3576.TW          120      16.92         -50.25      65   📈 持有
   6719.TW          240      18.75         -50.53      16   ☁ 觀望
 00676R.TW           60      19.05         -51.65      42   ☁ 觀望
   1466.TW           10      16.41         -52.46     256   ☁ 觀望
   2355.TW          240      24.44         -52.73      45   📈 持有
  8917.TWO          120       9.38         -53.29      96   📈 持有
  2252.TWO          240       0.00         -54.99      10   ☁ 觀望
  2235.TWO          240      14.29         -55.59      35   ☁ 觀望
  5227.TWO          240      28.95         -55.65      38   ☁ 觀望
 911622.TW           60      12.24         -57.75      98   📈 持有
   1529.TW          240      35.59         -57.82      59   📈 持有
   3714.TW          240      11.76         -58.75      17   ☁ 觀望
   1338.TW          240      20.83         -60.55      24   ☁ 觀望
   1583.TW          240      17.78         -62.20      45   ☁ 觀望
  6179.TWO            5      26.62         -62.74     293   ☁ 觀望
   2820.TW           20      16.92         -63.24     201   📈 持有
   6666.TW          120      18.52         -63.34      27   ☁ 觀望
  6461.TWO           10      24.40         -65.01     209   ☁ 觀望
   1711.TW          120      25.81         -65.83      62   📈 持有
  8080.TWO          120      17.91         -66.00      67   📈 持有
  8044.TWO           60      27.03         -66.30      74   ☁ 觀望
   2607.TW           10      23.43         -67.19     239   ☁ 觀望
   2431.TW           60      25.00         -67.87      84   📈 持有
 00641R.TW          240       0.00         -68.38      26   ☁ 觀望
  6174.TWO          120      23.46         -73.66      81   📈 持有
   2412.TW           20      15.76         -75.03     184   📈 持有
   1460.TW           20      16.78         -76.33     143   ☁ 觀望
  3632.TWO           60      18.57         -76.42      70   📈 持有
  3176.TWO          120      20.75         -77.03      53   📈 持有
   6668.TW           20      22.86         -82.13     105   ☁ 觀望
  8077.TWO          240      20.59         -83.52      34   ☁ 觀望
   4555.TW          240      17.39         -83.82      46   ☁ 觀望
   1340.TW          240      13.89         -87.39      36   ☁ 觀望
  3623.TWO          240      25.00         -88.12      44   📈 持有
   2923.TW          240      11.76         -89.62      51   ☁ 觀望
  3360.TWO          120      28.12         -90.25      64   📈 持有
  3577.TWO            5      25.91         -91.31     328   ☁ 觀望
   2801.TW           10      27.35         -93.58     234   📈 持有
  3093.TWO           20      17.65         -94.27     187   📈 持有
   2836.TW           10      21.37        -100.36     234   📈 持有
  4609.TWO          240      22.22        -100.90      63   ☁ 觀望
  2035.TWO          240       5.17        -102.69      58   ☁ 觀望
  6432.TWO          240      27.45        -104.03      51   📈 持有
  4406.TWO          240      17.24        -104.82      58   ☁ 觀望
   2423.TW            5      27.08        -107.40     336   ☁ 觀望
   4807.TW          120      16.67        -108.10      60   📈 持有
   2328.TW            5      28.66        -109.92     328   ☁ 觀望
  8477.TWO           60      21.92        -111.65      73   📈 持有
   3054.TW           10      20.42        -112.00     240   📈 持有
   2395.TW          120      17.39        -112.80      92   📈 持有
  4161.TWO          240      17.39        -113.35      46   ☁ 觀望
   2239.TW            5      25.38        -113.61     260   ☁ 觀望
   2886.TW            5      25.75        -114.81     334   ☁ 觀望
  3523.TWO          120      18.84        -128.76      69   ☁ 觀望
  8921.TWO          120      13.79        -130.13      87   ☁ 觀望
   3059.TW            5      26.88        -133.61     320   ☁ 觀望
   3062.TW          120      23.16        -135.22      95   📈 持有
  3252.TWO          120      17.07        -137.20      82   📈 持有
  7556.TWO            5      19.66        -138.13     178   📈 持有
   1726.TW           10      18.09        -143.92     282   📈 持有
  4556.TWO           60      13.39        -144.06     112   📈 持有
  8455.TWO          240      26.67        -156.08      45   ☁ 觀望
  6730.TWO            5      23.03        -157.88     178   📈 持有
   2321.TW           20      19.89        -163.53     186   ☁ 觀望
  4131.TWO           60      16.81        -166.67     119   📈 持有
  3067.TWO          240       9.20        -173.47      87   ☁ 觀望
